,open,high,low,close,volume,value
2022-05-10 12:50:57.943950,10.1,10.1,10.1,10.1,9900.29737606,99993.00349821
2022-05-10 12:51:16.807636,10.1,10.1,10.1,10.1,1000.0,10100.0
2022-05-10 12:51:27.947199,10.1,10.1,10.0,10.0,1500.0,15100.0
2022-05-10 12:51:38.554192,10.1,10.1,10.0,10.0,1500.0,15100.0
2022-05-10 12:51:48.539186,10.1,10.1,10.0,10.0,1500.0,15100.0
2022-05-10 12:52:08.919118,10.0,10.0,10.0,10.0,95142.9047381,951429.047381
2022-05-10 12:52:17.690773,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:52:26.069056,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:52:46.707943,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:53:10.148977,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:53:18.003973,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:53:26.674043,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:53:42.807215,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:53:52.061975,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:54:00.237776,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:54:16.729643,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:54:25.192723,10.0,10.1,10.0,10.1,95636.10862159,956410.40660425
2022-05-10 12:54:34.140318,10.1,10.1,10.1,10.1,4943.06930693,49924.99999999
2022-05-10 12:54:42.626122,10.1,10.1,10.1,10.1,4943.06930693,49924.99999999
2022-05-10 12:54:51.607496,10.1,10.1,10.1,10.1,4943.06930693,49924.99999999
2022-05-10 12:55:02.019135,10.1,10.1,10.1,10.1,4943.06930693,49924.99999999
2022-05-10 12:55:11.004259,10.1,10.1,10.1,10.1,4943.06930693,49924.99999999
2022-05-10 12:55:19.861993,10.1,10.1,10.1,10.1,4943.06930693,49924.99999999
2022-05-10 12:55:30.467966,10.0,10.1,10.0,10.0,4470.29702971,44802.9702971
2022-05-10 12:55:49.928747,10.0,10.1,10.0,10.0,4470.29702971,44802.9702971
2022-05-10 12:55:59.217223,10.0,10.1,10.0,10.0,4470.29702971,44802.9702971
2022-05-10 12:56:09.129294,10.0,10.0,10.0,10.0,15924.55814806,159245.5814806
2022-05-10 12:56:17.836372,10.0,10.0,10.0,10.0,15924.55814806,159245.5814806
2022-05-10 12:56:26.884468,10.0,10.0,10.0,10.0,15924.55814806,159245.5814806
2022-05-10 12:56:35.589462,10.0,10.1,10.0,10.1,16422.59736374,164275.77755897
2022-05-10 12:56:55.616309,10.0,10.1,10.0,10.1,24201.40924492,242841.77755889
2022-05-10 12:57:04.159051,10.0,10.1,10.0,10.1,24201.40924492,242841.77755889
2022-05-10 12:57:13.330125,10.0,10.1,10.0,10.1,24201.40924492,242841.77755889
2022-05-10 12:57:22.307213,10.0,10.1,10.0,10.1,24201.40924492,242841.77755889
2022-05-10 12:57:41.171186,10.0,10.1,10.0,10.1,24201.40924492,242841.77755889
