,open,high,low,close,volume,value
2022-05-10 12:51:20.274809,791.0,791.0,790.0,791.0,30964.2810281,24472802.8503303
2022-05-10 12:51:31.453197,791.0,791.0,790.0,791.0,36561.38467023,28900111.83125513
2022-05-10 12:51:41.571190,791.0,791.0,790.0,791.0,66052.3953785,52227075.53448016
2022-05-10 12:52:01.903177,790.0,791.0,790.0,791.0,3757.78178592,2971681.88900575
2022-05-10 12:52:11.944116,790.0,791.0,790.0,790.0,11495.70577263,9084641.83850665
2022-05-10 12:52:30.849776,790.0,792.0,790.0,791.0,38528.9267633,30467800.82619829
2022-05-10 12:52:40.389947,790.0,792.0,790.0,792.0,47993.80632125,37963985.43609469
2022-05-10 12:52:48.957031,790.0,794.0,790.0,794.0,52955.06649223,41902468.43609523
2022-05-10 12:52:56.780071,790.0,794.0,790.0,794.0,69993.25414965,55430789.43608671
2022-05-10 12:53:12.749976,792.0,793.0,792.0,792.0,75911.87140096,60161490.28103052
2022-05-10 12:53:20.632046,792.0,793.0,792.0,793.0,77618.62578064,61514946.50411676
2022-05-10 12:53:29.139042,792.0,794.0,792.0,793.0,95669.53627887,75829417.48891088
2022-05-10 12:53:36.832218,792.0,794.0,792.0,793.0,96384.60351068,76396465.80373621
2022-05-10 12:53:45.553213,792.0,794.0,792.0,793.0,99783.78857643,79091019.57087596
2022-05-10 12:53:54.699060,792.0,794.0,792.0,793.0,103074.03132548,81700182.0708726
2022-05-10 12:54:02.525901,792.0,792.0,792.0,792.0,358.23349777,283720.93023384
2022-05-10 12:54:11.252031,792.0,792.0,792.0,792.0,1794.65814679,1421369.25225768
2022-05-10 12:54:27.669814,792.0,794.0,792.0,793.0,31439.90250097,24942834.80668512
2022-05-10 12:54:36.587318,792.0,794.0,792.0,792.0,50171.90250097,39778578.80668512
2022-05-10 12:54:45.646382,792.0,794.0,792.0,793.0,55476.60468729,43979965.98995295
2022-05-10 12:55:05.142133,792.0,792.0,792.0,792.0,936.93829761,742055.13170712
2022-05-10 12:55:22.648176,792.0,793.0,792.0,793.0,10456.45849884,8285944.33995598
2022-05-10 12:55:33.646964,792.0,793.0,792.0,793.0,11547.19936748,9150901.8487875
2022-05-10 12:55:43.277786,792.0,794.0,792.0,794.0,16189.10394495,12836574.08329868
2022-05-10 12:56:02.326822,792.0,795.0,792.0,795.0,23208.02803091,18410179.65573936
2022-05-10 12:56:47.312864,795.0,795.0,793.0,793.0,46590.85609144,37012476.90775808
2022-05-10 12:57:06.714131,792.0,793.0,792.0,792.0,30778.98891992,24377022.27627903
2022-05-10 12:57:15.969216,792.0,793.0,791.0,792.0,50811.28312719,40229416.28843687
2022-05-10 12:57:25.294305,792.0,793.0,791.0,792.0,54441.56253908,43101743.85982498
2022-05-10 12:57:34.973766,792.0,793.0,791.0,793.0,56218.02789617,44509075.68012528
2022-05-10 12:57:44.298271,792.0,793.0,791.0,793.0,57120.11230262,45224428.61444013
2022-05-10 12:57:53.702265,792.0,793.0,791.0,793.0,67947.34177614,53810421.58694149
2022-05-10 12:58:03.649334,792.0,793.0,791.0,792.0,71669.39342173,56760170.23100085
2022-05-10 12:58:12.676406,792.0,793.0,792.0,792.0,942.51536946,746550.29619365
2022-05-10 12:58:21.565554,792.0,794.0,792.0,794.0,962.01190598,762030.54619053
2022-05-10 12:58:29.555549,792.0,794.0,792.0,792.0,5163.22484289,4090394.83416016
2022-05-10 12:58:37.566179,792.0,794.0,792.0,792.0,23985.02912701,18997263.8271832
2022-05-10 12:58:53.561933,792.0,794.0,790.0,790.0,46091.66798628,36482615.17486577
2022-05-10 12:59:01.279222,792.0,794.0,790.0,790.0,75716.84801191,59886507.39511347
2022-05-10 12:59:09.676306,790.0,790.0,789.0,789.0,10820.40700725,8540104.8357275
2022-05-10 12:59:28.181629,790.0,790.0,787.0,787.0,74635.65000401,58845411.17194243
