,open,high,low,close,volume,value
2022-05-10 12:50:56.353952,60.1,60.1,60.1,60.1,313.99947522,18871.36846072
2022-05-10 12:51:06.027871,60.1,60.1,60.1,60.1,313.99947522,18871.36846072
2022-05-10 12:51:15.323170,60.1,60.1,60.1,60.1,313.99947522,18871.36846072
2022-05-10 12:51:26.220804,60.1,60.1,60.1,60.1,26448.4048509,1589549.13153909
2022-05-10 12:51:36.936192,60.1,60.1,60.1,60.1,26448.4048509,1589549.13153909
2022-05-10 12:51:47.037186,60.1,60.1,60.1,60.1,26448.4048509,1589549.13153909
2022-05-10 12:51:56.988181,60.1,60.2,60.1,60.2,26548.08782764,1595550.04673884
2022-05-10 12:52:07.328025,60.1,60.2,60.1,60.2,26548.08782764,1595550.04673884
2022-05-10 12:52:16.399772,60.1,60.2,60.1,60.2,26548.08782764,1595550.04673884
2022-05-10 12:52:24.606969,60.1,60.2,60.1,60.2,26548.08782764,1595550.04673884
2022-05-10 12:52:36.109950,60.1,60.2,60.1,60.2,26548.08782764,1595550.04673884
2022-05-10 12:52:45.219944,60.1,60.2,60.1,60.2,26548.08782764,1595550.04673884
2022-05-10 12:53:01.218069,60.1,60.1,60.1,60.1,33388.98163606,2006677.79632721
2022-05-10 12:53:16.803973,60.1,60.1,60.1,60.1,34389.99927905,2066838.95667091
2022-05-10 12:53:49.909210,60.1,60.2,60.1,60.1,54389.99927905,3269421.3193997
2022-05-10 12:53:58.884776,60.1,60.2,60.1,60.1,54389.99927905,3269421.3193997
2022-05-10 12:54:07.011033,60.1,60.2,60.1,60.1,54389.99927905,3269421.3193997
2022-05-10 12:54:15.533110,60.2,60.2,60.2,60.2,431.0,25946.2
2022-05-10 12:54:32.817321,60.2,60.4,60.2,60.4,5906.4087448,355582.36272835
2022-05-10 12:54:41.273920,60.2,60.4,60.2,60.4,5906.4087448,355582.36272835
2022-05-10 12:55:00.279725,60.2,60.4,60.2,60.4,5906.4087448,355582.36272835
2022-05-10 12:55:09.748259,60.2,60.2,60.2,60.2,662.25165563,39867.54966893
2022-05-10 12:55:18.558993,60.2,60.2,60.2,60.2,662.25165563,39867.54966893
2022-05-10 12:55:28.886967,60.2,60.2,60.2,60.2,858.58701396,51686.93824039
2022-05-10 12:55:38.965961,60.2,60.2,60.2,60.2,36256.81710245,2182660.38956749
2022-05-10 12:55:48.268658,60.2,60.2,60.2,60.2,36256.81710245,2182660.38956749
2022-05-10 12:55:57.704145,60.2,60.2,60.2,60.2,36256.81710245,2182660.38956749
2022-05-10 12:56:07.237200,60.2,60.2,60.2,60.2,2603.87029723,156752.99189324
2022-05-10 12:56:25.675396,60.2,60.2,60.2,60.2,2603.87029723,156752.99189324
2022-05-10 12:56:34.240462,60.2,60.2,60.2,60.2,2603.87029723,156752.99189324
2022-05-10 12:56:43.145960,60.2,60.2,60.2,60.2,2603.87029723,156752.99189324
2022-05-10 12:56:53.001064,60.2,60.2,60.2,60.2,2603.87029723,156752.99189324
2022-05-10 12:57:02.894050,60.2,60.2,60.2,60.2,568.2751,34210.16102
2022-05-10 12:57:11.586126,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:57:20.901214,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:57:31.003301,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:57:39.611186,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:57:58.868261,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:08.601409,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:17.817556,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:26.154550,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:34.264190,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:41.641273,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:49.540929,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:58:57.633931,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:59:05.836219,60.2,60.2,60.2,60.2,25899.69127595,1559161.41481219
2022-05-10 12:59:14.820370,60.3,60.3,60.1,60.1,12462.64517677,749999.9999995
2022-05-10 12:59:23.849450,60.3,60.3,60.1,60.1,12462.64517677,749999.9999995
2022-05-10 12:59:42.822706,60.3,60.3,59.9,59.9,40919.7536272,2455237.50797413
2022-05-10 13:00:00.331267,60.3,60.3,59.8,59.8,63484.35875849,3804973.62459789
2022-05-10 13:00:12.782585,60.3,60.3,59.8,59.8,63484.35875849,3804973.62459789
2022-05-10 13:00:21.247974,59.8,59.8,59.7,59.7,81437.02193497,4869333.91171122
2022-05-10 13:00:46.998824,59.8,59.8,59.4,59.6,89707.55356283,5362736.4515806
2022-05-10 13:01:06.226089,59.8,59.8,59.4,59.8,99740.99837888,5962736.45158039
2022-05-10 13:01:15.690149,59.5,59.6,59.5,59.5,58770.17996216,3497663.22868655
2022-05-10 13:01:29.314505,59.5,59.6,59.5,59.5,68755.09593364,4091765.72898961
2022-05-10 13:01:41.766331,59.5,59.6,59.5,59.5,68755.09593364,4091765.72898961
2022-05-10 13:01:58.648131,59.5,59.6,59.5,59.5,68755.09593364,4091765.72898961
2022-05-10 13:02:16.898019,59.5,59.6,59.5,59.5,68755.09593364,4091765.72898961
2022-05-10 13:02:26.095634,59.5,59.6,59.5,59.5,68755.09593364,4091765.72898961
2022-05-10 13:02:34.735628,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:02:44.339883,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:02:54.047844,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:03:03.658750,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:03:13.008328,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:03:21.903240,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:03:31.541540,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:03:39.918232,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:03:49.047294,59.6,59.6,59.6,59.6,11118.86205728,662684.17861389
2022-05-10 13:04:14.104913,59.8,59.8,59.8,59.8,16714.05100125,999500.24987475
2022-05-10 13:04:23.069426,59.8,59.8,59.8,59.8,14022.24132009,838530.03094138
2022-05-10 13:04:32.114945,59.8,59.8,59.8,59.8,14022.24132009,838530.03094138
2022-05-10 13:04:40.868519,59.8,59.8,59.8,59.8,14022.24132009,838530.03094138
2022-05-10 13:04:49.701757,59.8,59.8,59.8,59.8,14522.24132009,868430.03094138
2022-05-10 13:04:57.552601,59.8,59.8,59.8,59.8,22434.14523076,1341561.88479945
2022-05-10 13:05:07.280918,59.8,59.8,59.8,59.8,22434.14523076,1341561.88479945
2022-05-10 13:05:15.754541,59.8,59.8,59.8,59.8,22434.14523076,1341561.88479945
2022-05-10 13:05:23.931536,59.8,59.8,59.8,59.8,22434.14523076,1341561.88479945
2022-05-10 13:05:31.570911,59.7,59.7,59.7,59.7,16226.07431627,968696.63668132
2022-05-10 13:05:48.910583,59.7,59.7,59.6,59.6,29631.33941694,1767650.43668125
2022-05-10 13:06:15.117548,59.5,59.6,59.5,59.6,26376.29024761,1569703.55470127
2022-05-10 13:06:23.729590,59.5,59.6,59.5,59.6,42246.65713759,2515577.42134408
2022-05-10 13:06:32.825803,59.5,59.8,59.5,59.8,49856.48674671,2970645.23196946
2022-05-10 13:06:42.059522,59.5,59.8,59.5,59.8,64277.21713245,3833004.90903672
2022-05-10 13:07:18.010140,60.0,60.0,60.0,60.0,8423.83808095,505430.284857
2022-05-10 13:07:26.906712,60.0,60.1,60.0,60.1,10832.88886926,650164.28485657
2022-05-10 13:07:35.751674,60.0,60.1,60.0,60.1,10832.88886926,650164.28485657
2022-05-10 13:07:44.216960,60.0,60.1,60.0,60.1,10832.88886926,650164.28485657
2022-05-10 13:07:53.126115,60.0,60.1,59.8,59.8,132952.31883668,7952906.19690828
2022-05-10 13:08:10.606993,60.0,60.1,59.8,59.8,132952.31883668,7952906.19690828
2022-05-10 13:08:29.062697,60.0,60.1,59.8,59.8,132952.31883668,7952906.19690828
2022-05-10 13:08:37.847846,60.0,60.1,59.8,59.8,132952.31883668,7952906.19690828
2022-05-10 13:08:46.862527,60.0,60.1,59.8,59.8,132952.31883668,7952906.19690828
2022-05-10 13:09:04.017276,60.2,60.2,60.2,60.2,167.140468,10061.8561736
2022-05-10 13:09:12.576335,60.2,60.2,60.2,60.2,167.140468,10061.8561736
2022-05-10 13:09:29.811725,60.4,60.4,60.4,60.4,11228.89921385,678225.51251654
2022-05-10 13:09:39.244076,60.4,60.4,60.4,60.4,11228.89921385,678225.51251654
2022-05-10 13:10:04.577358,60.4,60.7,60.4,60.7,143523.09281525,8705048.18110736
2022-05-10 13:10:13.061447,60.4,60.7,60.4,60.7,143523.09281525,8705048.18110736
2022-05-10 13:10:22.017499,60.4,60.7,60.4,60.7,143523.09281525,8705048.18110736
2022-05-10 13:10:36.943113,60.4,60.7,60.4,60.7,143523.09281525,8705048.18110736
2022-05-10 13:10:45.009949,60.7,60.8,60.7,60.8,68228.42667329,4142738.99999946
2022-05-10 13:10:53.634945,60.7,60.8,60.7,60.8,68228.42667329,4142738.99999946
2022-05-10 13:11:02.707024,60.7,60.8,60.7,60.8,68228.42667329,4142738.99999946
2022-05-10 13:11:13.572705,60.7,60.8,60.7,60.8,68228.42667329,4142738.99999946
2022-05-10 13:11:22.949169,60.7,60.7,60.7,60.7,1600.0,97120.0
2022-05-10 13:11:32.781978,60.7,60.8,60.7,60.8,3244.7368421,197119.99999968
2022-05-10 13:11:52.861719,60.7,60.9,60.7,60.9,87031.82851164,5291394.17350771
2022-05-10 13:12:01.647604,60.7,60.9,60.7,60.9,88595.61016188,5386628.47600733
2022-05-10 13:12:11.786597,60.9,60.9,60.9,60.9,22728.36761502,1384157.58775472
2022-05-10 13:12:31.067385,60.9,60.9,60.8,60.8,72038.36761502,4382205.58775472
2022-05-10 13:12:40.721471,60.9,60.9,60.8,60.8,72038.36761502,4382205.58775472
2022-05-10 13:12:49.858867,60.9,60.9,60.8,60.8,72128.06744437,4387659.3373792
2022-05-10 13:12:58.784862,60.9,60.9,60.8,60.8,72128.06744437,4387659.3373792
2022-05-10 13:13:17.209436,60.9,60.9,60.8,60.8,72128.06744437,4387659.3373792
2022-05-10 13:13:25.876187,60.9,60.9,60.8,60.8,72128.06744437,4387659.3373792
2022-05-10 13:13:34.211249,60.9,60.9,60.8,60.8,72128.06744437,4387659.3373792
2022-05-10 13:13:50.917269,60.7,60.7,60.7,60.7,20077.64552649,1218713.08345794
2022-05-10 13:13:58.639029,60.7,60.7,60.7,60.7,20077.64552649,1218713.08345794
2022-05-10 13:14:06.665821,60.7,60.7,60.7,60.7,20077.64552649,1218713.08345794
2022-05-10 13:14:15.909280,60.7,60.7,60.7,60.7,20077.64552649,1218713.08345794
2022-05-10 13:14:25.103476,60.7,60.7,60.7,60.7,20077.64552649,1218713.08345794
2022-05-10 13:14:33.671901,60.7,60.7,60.7,60.7,20077.64552649,1218713.08345794
