,open,high,low,close,volume,value
2022-05-10 12:50:52.902881,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:51:02.243270,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:51:12.188375,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:51:22.323808,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:51:53.316183,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:52:03.884177,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:52:21.799768,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:52:33.294952,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:52:42.067946,177.0,177.0,177.0,177.0,9320.94229978,1649806.78706106
2022-05-10 12:53:05.932680,176.0,177.0,176.0,177.0,76.10545009,13432.48375639
2022-05-10 12:53:22.560047,176.0,177.0,176.0,177.0,76.10545009,13432.48375639
2022-05-10 12:53:47.266212,177.0,177.0,177.0,177.0,39.54802259,6999.99999843
2022-05-10 12:54:13.007112,177.0,177.0,177.0,177.0,39.54802259,6999.99999843
2022-05-10 12:54:20.919639,177.0,177.0,177.0,177.0,39.54802259,6999.99999843
2022-05-10 12:54:29.784811,177.0,177.0,177.0,177.0,39.54802259,6999.99999843
2022-05-10 12:54:47.359381,177.0,177.0,177.0,177.0,39.54802259,6999.99999843
2022-05-10 12:54:56.595673,177.0,177.0,177.0,177.0,39.54802259,6999.99999843
2022-05-10 12:55:06.801261,176.0,176.0,176.0,176.0,265.9574468,46808.5106368
2022-05-10 12:55:15.282995,176.0,176.0,176.0,176.0,265.9574468,46808.5106368
2022-05-10 12:55:25.366241,176.0,176.0,176.0,176.0,265.9574468,46808.5106368
2022-05-10 12:55:45.250495,176.0,176.0,176.0,176.0,201.87683548,35530.32304448
2022-05-10 12:55:54.842146,176.0,176.0,176.0,176.0,201.87683548,35530.32304448
2022-05-10 12:56:04.042202,176.0,176.0,176.0,176.0,201.87683548,35530.32304448
2022-05-10 12:56:13.638374,176.0,176.0,176.0,176.0,201.87683548,35530.32304448
2022-05-10 12:56:22.010369,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:56:31.287464,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:56:48.806065,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:56:59.858285,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:57:08.531128,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:57:18.217215,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:57:27.549304,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:57:36.699039,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:57:46.600270,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:57:55.669263,177.0,177.0,177.0,177.0,30368.89806449,5375294.95741473
2022-05-10 12:58:31.537547,177.0,177.0,176.0,176.0,6481.82702854,1142391.7449799
2022-05-10 12:58:39.231257,177.0,177.0,176.0,176.0,6481.82702854,1142391.7449799
2022-05-10 12:58:47.034931,177.0,177.0,176.0,176.0,6481.82702854,1142391.7449799
2022-05-10 12:58:54.970933,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:02.802221,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:11.132305,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:20.991391,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:29.805627,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:39.999708,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:47.818703,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 12:59:56.917945,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 13:00:09.692575,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 13:00:27.231200,177.0,177.0,176.0,177.0,6521.37505113,1149391.74497833
2022-05-10 13:00:43.749726,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:00:53.170677,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:01:02.788996,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:01:11.961151,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:01:22.657437,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:01:38.558496,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:01:55.558132,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:02:04.435120,177.0,177.0,177.0,177.0,135.55932203,23993.99999931
2022-05-10 13:02:41.079601,176.0,176.0,176.0,176.0,7354.72476622,1294431.55885472
2022-05-10 13:02:50.754528,176.0,176.0,176.0,176.0,7354.72476622,1294431.55885472
2022-05-10 13:02:59.861760,176.0,176.0,176.0,176.0,7354.72476622,1294431.55885472
2022-05-10 13:03:19.284324,176.0,176.0,176.0,176.0,7354.72476622,1294431.55885472
2022-05-10 13:03:28.327387,177.0,177.0,177.0,177.0,760.56,134619.12
2022-05-10 13:03:37.044138,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:03:46.118295,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:04:11.075684,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:04:19.810905,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:04:29.071422,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:04:46.735758,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:04:54.937603,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:05:03.821833,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:05:12.992385,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:05:29.166532,177.0,177.0,177.0,177.0,1201.90463276,212737.11999852
2022-05-10 13:05:46.286407,176.0,176.0,176.0,176.0,7284.20695834,1282020.42466784
2022-05-10 13:05:54.556658,176.0,176.0,176.0,176.0,7284.20695834,1282020.42466784
2022-05-10 13:06:03.372740,176.0,176.0,176.0,176.0,7284.20695834,1282020.42466784
2022-05-10 13:06:12.309733,176.0,176.0,176.0,176.0,76.0,13376.0
2022-05-10 13:06:29.939593,176.0,176.0,176.0,176.0,76.0,13376.0
2022-05-10 13:06:38.770078,176.0,176.0,176.0,176.0,76.0,13376.0
2022-05-10 13:06:47.967631,176.0,176.0,176.0,176.0,76.0,13376.0
2022-05-10 13:06:56.666618,176.0,176.0,176.0,176.0,76.0,13376.0
2022-05-10 13:07:05.456727,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
2022-05-10 13:07:14.678143,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
2022-05-10 13:07:32.947329,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
2022-05-10 13:07:49.991046,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
2022-05-10 13:07:58.630686,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
2022-05-10 13:08:25.798699,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
2022-05-10 13:08:34.956847,176.0,176.0,176.0,176.0,5570.54818045,980416.4797592
