,open,high,low,close,volume,value
2022-05-10 12:50:52.995880,777.0,777.0,776.0,777.0,3030.53404302,2352943.23758995
2022-05-10 12:51:02.373269,777.0,777.0,776.0,777.0,3030.53404302,2352943.23758995
2022-05-10 12:51:12.269376,777.0,777.0,776.0,777.0,3030.53404302,2352943.23758995
2022-05-10 12:51:22.403807,777.0,777.0,776.0,777.0,3030.53404302,2352943.23758995
2022-05-10 12:51:33.559195,775.0,775.0,775.0,775.0,21.05277887,16315.90362425
2022-05-10 12:51:53.397183,775.0,777.0,775.0,777.0,42.03070689,32615.75369579
2022-05-10 12:52:03.962176,775.0,777.0,775.0,777.0,42.03070689,32615.75369579
2022-05-10 12:52:21.863769,775.0,776.0,775.0,776.0,695.93076449,539991.50377007
2022-05-10 12:52:42.140946,775.0,776.0,775.0,776.0,695.93076449,539991.50377007
2022-05-10 12:53:06.000680,775.0,776.0,775.0,775.0,995.93076449,772491.50377007
2022-05-10 12:53:22.626046,775.0,776.0,775.0,775.0,995.93076449,772491.50377007
2022-05-10 12:54:13.072112,775.0,776.0,775.0,775.0,995.93076449,772491.50377007
2022-05-10 12:54:20.983639,775.0,776.0,775.0,775.0,995.93076449,772491.50377007
2022-05-10 12:54:29.851812,775.0,776.0,775.0,775.0,995.93076449,772491.50377007
2022-05-10 12:54:56.724673,775.0,775.0,775.0,775.0,200.27266179,155211.31288725
2022-05-10 12:55:06.875262,775.0,775.0,775.0,775.0,200.27266179,155211.31288725
2022-05-10 12:55:15.354996,775.0,775.0,775.0,775.0,200.27266179,155211.31288725
2022-05-10 12:55:25.479240,775.0,775.0,775.0,775.0,200.27266179,155211.31288725
2022-05-10 12:55:45.329495,775.0,775.0,775.0,775.0,200.27266179,155211.31288725
2022-05-10 12:55:54.964146,776.0,776.0,776.0,776.0,2586.10602103,2006818.27231928
2022-05-10 12:56:04.107202,776.0,777.0,776.0,777.0,2593.296139,2012404.99398197
2022-05-10 12:56:13.718375,776.0,777.0,776.0,777.0,2593.296139,2012404.99398197
2022-05-10 12:56:22.089370,776.0,777.0,776.0,777.0,2593.296139,2012404.99398197
2022-05-10 12:56:48.875064,779.0,779.0,779.0,779.0,344.999,268754.221
2022-05-10 12:56:59.960283,779.0,779.0,779.0,779.0,344.999,268754.221
2022-05-10 12:57:08.598129,779.0,779.0,779.0,779.0,344.999,268754.221
2022-05-10 12:57:18.287215,779.0,779.0,779.0,779.0,344.999,268754.221
2022-05-10 12:57:27.619303,782.0,782.0,782.0,782.0,6.7,5239.4
2022-05-10 12:57:36.777039,782.0,782.0,782.0,782.0,6.7,5239.4
2022-05-10 12:57:46.713269,782.0,782.0,781.0,781.0,26.7,20859.4
2022-05-10 12:57:55.753263,782.0,782.0,781.0,781.0,26.7,20859.4
2022-05-10 12:58:05.557411,782.0,782.0,781.0,781.0,26.7,20859.4
2022-05-10 12:58:31.603548,782.0,782.0,781.0,781.0,26.7,20859.4
2022-05-10 12:58:47.118933,782.0,782.0,781.0,781.0,26.7,20859.4
2022-05-10 12:58:55.031932,780.0,780.0,780.0,780.0,450.85897039,351669.9969042
2022-05-10 12:59:02.870220,780.0,780.0,778.0,780.0,3036.96499142,2366975.00006189
2022-05-10 12:59:11.199305,780.0,780.0,778.0,780.0,3036.96499142,2366975.00006189
2022-05-10 12:59:21.064391,780.0,780.0,778.0,780.0,3036.96499142,2366975.00006189
2022-05-10 12:59:29.947629,780.0,780.0,778.0,780.0,3036.96499142,2366975.00006189
2022-05-10 12:59:40.065707,780.0,780.0,778.0,780.0,3036.96499142,2366975.00006189
2022-05-10 12:59:47.889703,780.0,780.0,778.0,780.0,3036.96499142,2366975.00006189
2022-05-10 12:59:56.986945,778.0,778.0,778.0,778.0,2125.29726794,1653481.27445732
2022-05-10 13:00:09.753579,778.0,778.0,778.0,778.0,2125.29726794,1653481.27445732
2022-05-10 13:00:27.324199,778.0,778.0,778.0,778.0,2125.29726794,1653481.27445732
2022-05-10 13:00:35.523604,778.0,778.0,775.0,775.0,923.22276371,715946.11973551
2022-05-10 13:00:43.846725,778.0,778.0,775.0,775.0,923.22276371,715946.11973551
2022-05-10 13:00:53.345677,778.0,778.0,775.0,775.0,1573.65382387,1220030.19135951
2022-05-10 13:01:02.888995,778.0,778.0,775.0,775.0,1573.65382387,1220030.19135951
2022-05-10 13:01:12.083151,778.0,778.0,775.0,775.0,1573.65382387,1220030.19135951
2022-05-10 13:01:22.733438,778.0,778.0,775.0,775.0,1573.65382387,1220030.19135951
2022-05-10 13:01:38.655496,775.0,775.0,775.0,775.0,193.4516129,149924.9999975
2022-05-10 13:01:55.622132,775.0,775.0,775.0,775.0,2910.6486,2255752.665
2022-05-10 13:02:41.161600,776.0,778.0,776.0,778.0,1127.48892731,876266.30524718
2022-05-10 13:02:50.829528,776.0,779.0,776.0,779.0,1342.08775463,1043438.79172946
2022-05-10 13:02:59.957761,776.0,779.0,776.0,779.0,1342.08775463,1043438.79172946
2022-05-10 13:03:19.353451,780.0,781.0,780.0,781.0,1295.26152731,1011068.9913018
2022-05-10 13:03:37.113142,780.0,783.0,780.0,783.0,4573.69521083,3571725.23069796
2022-05-10 13:03:46.187295,780.0,783.0,780.0,781.0,4919.39521083,3841716.93069796
2022-05-10 13:04:11.159745,780.0,783.0,780.0,783.0,8519.39521083,6654916.93069796
2022-05-10 13:04:19.879906,780.0,783.0,780.0,783.0,8519.39521083,6654916.93069796
2022-05-10 13:04:29.152423,780.0,783.0,780.0,783.0,8519.39521083,6654916.93069796
2022-05-10 13:04:46.806758,781.0,781.0,781.0,781.0,1425.46399036,1113287.37647116
2022-05-10 13:04:55.011602,781.0,782.0,781.0,781.0,1939.62853816,1514856.92155104
2022-05-10 13:05:03.955833,781.0,782.0,781.0,782.0,2236.0697737,1746435.07126481
2022-05-10 13:05:13.059384,781.0,782.0,781.0,782.0,2236.0697737,1746435.07126481
2022-05-10 13:05:29.229533,781.0,781.0,781.0,781.0,95.58967354,74655.53503474
2022-05-10 13:05:37.540156,781.0,781.0,781.0,781.0,534.38195288,417352.30519928
2022-05-10 13:05:46.349407,781.0,781.0,781.0,781.0,534.38195288,417352.30519928
2022-05-10 13:05:54.624657,781.0,781.0,781.0,781.0,534.38195288,417352.30519928
2022-05-10 13:06:30.023599,777.0,781.0,777.0,781.0,49.15229778,38256.5895415
2022-05-10 13:06:38.858078,777.0,781.0,777.0,781.0,49.15229778,38256.5895415
2022-05-10 13:06:48.037630,777.0,781.0,777.0,781.0,49.15229778,38256.5895415
2022-05-10 13:06:56.745618,777.0,781.0,777.0,781.0,49.15229778,38256.5895415
2022-05-10 13:07:05.525727,777.0,781.0,777.0,781.0,49.15229778,38256.5895415
2022-05-10 13:07:14.789141,781.0,781.0,781.0,781.0,1270.85051216,992534.24999696
2022-05-10 13:07:33.025329,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:07:50.059046,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:07:58.704685,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:08:25.871699,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:08:35.034847,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:08:43.733527,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:08:52.549316,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:01.163278,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:09.588272,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:18.797929,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:26.827924,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:35.973079,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:44.730168,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:09:52.803291,781.0,781.0,781.0,781.0,2313.30042939,1806687.63535359
2022-05-10 13:10:09.795354,785.0,785.0,785.0,785.0,340.08025477,266962.99999445
2022-05-10 13:10:27.108497,785.0,790.0,785.0,789.0,17443.70657981,13779295.40415402
2022-05-10 13:10:41.887953,785.0,790.0,785.0,789.0,17443.70657981,13779295.40415402
2022-05-10 13:10:50.884945,785.0,790.0,785.0,789.0,17443.70657981,13779295.40415402
2022-05-10 13:11:09.654780,785.0,790.0,785.0,789.0,17443.70657981,13779295.40415402
2022-05-10 13:11:19.846172,785.0,790.0,785.0,789.0,17443.70657981,13779295.40415402
2022-05-10 13:11:29.421185,785.0,790.0,785.0,789.0,17443.70657981,13779295.40415402
2022-05-10 13:11:49.888344,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:11:58.643054,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:12:08.242600,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:12:27.807405,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:12:37.289472,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:12:46.908466,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:12:55.688864,786.0,790.0,782.0,782.0,3600.22896289,2829606.57271997
2022-05-10 13:13:23.215189,782.0,785.0,779.0,779.0,7611.68270223,5944446.66920287
2022-05-10 13:13:31.608011,782.0,785.0,779.0,779.0,7611.68270223,5944446.66920287
2022-05-10 13:13:39.719276,782.0,785.0,779.0,779.0,7611.68270223,5944446.66920287
2022-05-10 13:13:48.136270,782.0,785.0,779.0,785.0,7995.75786146,6245945.66919842
2022-05-10 13:13:55.998264,782.0,785.0,779.0,785.0,7995.75786146,6245945.66919842
2022-05-10 13:14:04.141026,782.0,785.0,779.0,785.0,8867.3434208,6930140.33328032
2022-05-10 13:14:21.971837,785.0,785.0,785.0,785.0,816.99817427,641343.56680195
2022-05-10 13:14:30.737903,785.0,785.0,785.0,785.0,816.99817427,641343.56680195
2022-05-10 13:14:49.586064,785.0,785.0,785.0,785.0,816.99817427,641343.56680195
2022-05-10 13:14:58.689952,785.0,785.0,785.0,785.0,816.99817427,641343.56680195
2022-05-10 13:15:07.961886,785.0,785.0,785.0,785.0,816.99817427,641343.56680195
2022-05-10 13:15:15.694366,782.0,782.0,782.0,782.0,11.28389508,8824.00595256
2022-05-10 13:15:24.644936,782.0,782.0,781.0,781.0,254.68509508,198920.34315256
2022-05-10 13:15:42.701077,782.0,784.0,781.0,784.0,697.96467828,546451.53638136
2022-05-10 13:15:52.613160,782.0,786.0,781.0,786.0,742.96467828,581761.97934912
2022-05-10 13:16:03.391183,782.0,786.0,781.0,786.0,742.96467828,581761.97934912
2022-05-10 13:16:12.758177,786.0,786.0,786.0,786.0,222.9,175199.4
2022-05-10 13:16:24.684724,786.0,786.0,786.0,786.0,222.9,175199.4
2022-05-10 13:16:35.711906,786.0,786.0,786.0,786.0,222.9,175199.4
2022-05-10 13:16:47.499843,786.0,786.0,786.0,786.0,837.53210001,658300.23060786
2022-05-10 13:16:59.303995,786.0,787.0,786.0,787.0,3909.63067055,3076041.80562284
2022-05-10 13:17:11.218140,786.0,787.0,786.0,787.0,3909.63067055,3076041.80562284
