,open,high,low,close,volume,value
2022-05-10 12:50:58.165949,540.0,542.0,540.0,542.0,11947.06648711,6465780.97692747
2022-05-10 12:51:07.818870,543.0,544.0,543.0,544.0,183.89705882,99999.99999808
2022-05-10 12:51:17.054635,543.0,544.0,542.0,542.0,22363.65997865,12163510.7643856
2022-05-10 12:51:28.200199,543.0,544.0,542.0,544.0,23091.82725806,12559633.76438464
2022-05-10 12:51:38.886191,543.0,544.0,542.0,542.0,39549.57876265,21483383.77390775
2022-05-10 12:51:48.778185,543.0,544.0,541.0,541.0,43142.66640303,23429393.13672765
2022-05-10 12:51:58.677179,543.0,544.0,541.0,541.0,77059.49016206,41778394.79036288
2022-05-10 12:52:09.268118,541.0,541.0,540.0,540.0,5595.28650646,3021504.7134884
2022-05-10 12:52:17.904771,541.0,541.0,540.0,540.0,26046.86908367,14065359.3051818
2022-05-10 12:52:26.367055,541.0,541.0,540.0,540.0,27898.72093553,15065359.3051862
2022-05-10 12:52:46.902943,541.0,541.0,540.0,541.0,36561.33242887,19751832.12308314
2022-05-10 12:52:54.624073,541.0,541.0,540.0,541.0,36561.33242887,19751832.12308314
2022-05-10 12:53:10.378977,541.0,542.0,541.0,542.0,234.72190729,127003.00202839
2022-05-10 12:53:18.206972,541.0,542.0,541.0,542.0,6114.54767705,3313868.56923831
2022-05-10 12:53:26.867043,541.0,542.0,541.0,542.0,15580.33014935,8444322.66922491
2022-05-10 12:53:34.738219,541.0,542.0,541.0,541.0,17219.24977835,9331000.33981593
2022-05-10 12:53:43.060214,541.0,542.0,541.0,542.0,22781.46439733,12340211.52530309
2022-05-10 12:53:52.249974,541.0,542.0,541.0,542.0,22781.46439733,12340211.52530309
2022-05-10 12:54:08.588032,542.0,542.0,542.0,542.0,8465.29754005,4588191.2667071
2022-05-10 12:54:16.931642,542.0,543.0,542.0,543.0,12630.4286025,6849857.43361745
2022-05-10 12:54:25.545725,542.0,543.0,542.0,543.0,42704.61986782,23180143.29068621
2022-05-10 12:54:42.875122,542.0,543.0,542.0,543.0,70493.54373053,38246922.98224408
2022-05-10 12:54:51.930496,542.0,544.0,542.0,543.0,73394.66137758,39823148.98223928
2022-05-10 12:55:02.383135,544.0,544.0,544.0,544.0,367.29980597,199811.09444768
2022-05-10 12:55:11.229262,544.0,544.0,543.0,543.0,1925.86811234,1046753.1354659
2022-05-10 12:55:20.072992,544.0,544.0,543.0,544.0,2543.75965645,1382886.13546174
2022-05-10 12:55:30.686965,544.0,544.0,543.0,543.0,3047.64997063,1656938.50817157
2022-05-10 12:55:50.434149,544.0,544.0,543.0,544.0,3418.19632013,1858274.45021477
2022-05-10 12:56:09.380294,544.0,544.0,543.0,544.0,16030.50859543,8718246.67707014
2022-05-10 12:56:18.049372,544.0,545.0,543.0,545.0,16561.9364228,9007786.84298679
2022-05-10 12:56:27.113466,544.0,545.0,543.0,544.0,25855.61672019,14063548.92476695
2022-05-10 12:56:35.946461,544.0,545.0,543.0,544.0,37502.25845542,20399322.02873207
2022-05-10 12:56:44.664866,544.0,545.0,543.0,544.0,37992.72246981,20666134.45256023
2022-05-10 12:56:55.954309,544.0,545.0,543.0,544.0,63198.60432018,34378134.17916151
2022-05-10 12:57:22.543212,544.0,544.0,543.0,543.0,17309.7583466,9402348.1775504
2022-05-10 12:57:32.532300,544.0,544.0,543.0,543.0,24054.51960575,13064753.54126885
2022-05-10 12:57:50.945268,544.0,544.0,543.0,543.0,24054.51960575,13064753.54126885
2022-05-10 12:58:00.598261,544.0,544.0,543.0,543.0,40486.20466707,21987158.52956561
2022-05-10 12:58:10.198407,543.0,544.0,543.0,544.0,5623.96684086,3058636.62542784
2022-05-10 12:58:35.593181,543.0,544.0,543.0,544.0,9239.84452728,5025625.80027993
2022-05-10 12:58:51.270935,543.0,544.0,543.0,543.0,16259.06484048,8844063.07635047
2022-05-10 12:58:59.090930,543.0,544.0,543.0,544.0,17915.05936264,9744924.09640551
2022-05-10 12:59:07.319308,545.0,545.0,544.0,544.0,2488.58082777,1354322.97030688
2022-05-10 12:59:16.804369,545.0,545.0,544.0,544.0,9541.38269346,5192193.62970331
2022-05-10 12:59:25.758629,545.0,545.0,544.0,544.0,12501.9337964,6802733.42970267
2022-05-10 12:59:35.225624,545.0,545.0,544.0,544.0,14137.21222764,7692324.89629723
2022-05-10 12:59:52.113766,545.0,545.0,543.0,543.0,21287.72663752,11579444.50372585
2022-05-10 13:00:02.120405,545.0,545.0,543.0,543.0,59696.53795179,32435429.04737446
2022-05-10 13:00:14.501976,542.0,542.0,542.0,542.0,8289.35933986,4492832.76220412
2022-05-10 13:00:23.327203,542.0,542.0,542.0,542.0,8379.21587548,4541535.00451016
2022-05-10 13:00:31.753197,542.0,542.0,542.0,542.0,8524.55975144,4620311.38528048
2022-05-10 13:00:39.864515,542.0,543.0,542.0,542.0,17218.16327507,9332262.9112942
2022-05-10 13:00:49.135674,542.0,543.0,542.0,542.0,22753.21862562,12332262.9112923
2022-05-10 13:00:58.060923,542.0,543.0,542.0,542.0,30692.56806144,16635390.30550674
2022-05-10 13:01:07.783077,542.0,542.0,540.0,541.0,48187.605137,26087843.3467464
2022-05-10 13:01:17.475147,542.0,542.0,540.0,540.0,57027.03164577,30862274.86664194
2022-05-10 13:01:33.629292,542.0,542.0,540.0,541.0,67061.28309986,36290064.7655289
2022-05-10 13:01:51.756635,542.0,542.0,540.0,541.0,76762.44859349,41538395.29758273
2022-05-10 13:02:09.266933,542.0,542.0,542.0,542.0,14372.07218975,7789663.1268445
2022-05-10 13:02:18.704018,542.0,542.0,542.0,542.0,14372.07218975,7789663.1268445
2022-05-10 13:02:27.597633,542.0,542.0,542.0,542.0,14417.07877736,7814056.69732912
2022-05-10 13:02:36.933627,542.0,542.0,542.0,542.0,20977.07877736,11369576.69732912
2022-05-10 13:02:46.267882,542.0,542.0,542.0,542.0,20977.07877736,11369576.69732912
2022-05-10 13:02:55.856544,542.0,543.0,542.0,542.0,25666.61803456,13911675.11478672
2022-05-10 13:03:14.654327,542.0,542.0,542.0,542.0,1525.17338891,826643.97678922
2022-05-10 13:03:23.681241,542.0,543.0,542.0,543.0,4493.30275345,2437764.19918389
2022-05-10 13:03:33.229538,542.0,543.0,542.0,543.0,4556.00325637,2471810.57226945
2022-05-10 13:03:41.686231,542.0,544.0,542.0,544.0,8745.55965982,4750691.7894742
2022-05-10 13:03:50.789292,542.0,544.0,542.0,544.0,10625.22276943,5773228.52110204
2022-05-10 13:03:58.637593,542.0,544.0,542.0,544.0,10717.63591281,5823501.27110076
2022-05-10 13:04:06.794697,543.0,544.0,543.0,544.0,6513.33203066,3536841.20441308
2022-05-10 13:04:15.779907,543.0,544.0,543.0,543.0,8660.94187569,4703189.58670497
2022-05-10 13:04:24.762425,543.0,544.0,543.0,543.0,9213.42806353,5003189.58670209
2022-05-10 13:04:33.615943,543.0,544.0,543.0,543.0,9950.07631398,5403189.58669644
2022-05-10 13:04:59.259600,543.0,544.0,543.0,544.0,42987.13006399,23342493.59648128
2022-05-10 13:05:08.753104,544.0,544.0,544.0,544.0,21115.79493883,11486992.44672352
2022-05-10 13:05:33.027910,544.0,544.0,543.0,543.0,34720.93304048,18874582.43591947
2022-05-10 13:05:41.952536,544.0,544.0,543.0,543.0,49515.08408568,26907806.45346307
2022-05-10 13:05:50.636582,544.0,544.0,543.0,543.0,53841.95890883,29257904.48243352
2022-05-10 13:05:59.057741,544.0,544.0,543.0,543.0,62294.21112206,33847477.43421741
2022-05-10 13:06:07.890735,544.0,544.0,544.0,544.0,9.57642725,5209.576424
2022-05-10 13:06:25.167588,544.0,544.0,543.0,543.0,18540.19241767,10067334.05922206
2022-05-10 13:06:43.537521,544.0,544.0,543.0,543.0,23542.19241767,12784420.05922206
2022-05-10 13:06:52.848867,544.0,544.0,543.0,544.0,23850.98285884,12952402.05921854
2022-05-10 13:07:01.108826,544.0,544.0,543.0,544.0,23850.98285884,12952402.05921854
2022-05-10 13:07:10.129873,544.0,544.0,544.0,544.0,245.47334558,133537.49999552
2022-05-10 13:07:28.673710,544.0,544.0,544.0,544.0,11043.86760895,6007863.9792688
2022-05-10 13:07:46.152959,544.0,545.0,544.0,545.0,11748.61879245,6391269.79170197
2022-05-10 13:07:54.857680,544.0,545.0,544.0,545.0,12584.22221293,6846673.65586357
2022-05-10 13:08:02.993903,544.0,545.0,544.0,545.0,13501.6534056,7346673.65586872
2022-05-10 13:08:12.357993,544.0,545.0,544.0,545.0,13501.6534056,7346673.65586872
2022-05-10 13:08:21.281704,544.0,545.0,542.0,542.0,17255.58482524,9375589.20334783
2022-05-10 13:08:31.043850,544.0,545.0,542.0,542.0,19417.78254936,10547500.36982087
2022-05-10 13:08:48.560098,544.0,545.0,542.0,542.0,19417.78254936,10547500.36982087
2022-05-10 13:08:57.063974,544.0,545.0,542.0,545.0,19528.48365637,10607832.47314132
2022-05-10 13:09:05.588280,545.0,545.0,545.0,545.0,165.38703124,90135.9320258
2022-05-10 13:09:14.783334,545.0,546.0,544.0,546.0,4138.56049812,2259114.90269401
2022-05-10 13:09:22.961926,545.0,548.0,544.0,547.0,26638.05935667,14563892.47807129
2022-05-10 13:09:31.555724,545.0,550.0,544.0,550.0,86417.44892164,47372331.38468708
2022-05-10 13:09:40.832076,545.0,552.0,544.0,552.0,125461.37944998,68881934.35666175
2022-05-10 13:09:48.864294,545.0,552.0,544.0,552.0,185057.04001267,101770263.669067
2022-05-10 13:09:56.976296,545.0,552.0,544.0,552.0,199547.07770503,109768764.47524972
2022-05-10 13:10:05.932357,552.0,552.0,552.0,552.0,7284.73444436,4021173.41328672
2022-05-10 13:10:30.749494,552.0,552.0,549.0,549.0,31912.60527536,17588518.24711691
2022-05-10 13:10:46.611948,552.0,552.0,548.0,548.0,37938.89369167,20895404.71359545
2022-05-10 13:10:55.174948,552.0,552.0,548.0,548.0,41699.26350676,22956087.37226477
2022-05-10 13:11:15.272704,550.0,550.0,550.0,550.0,13272.00272727,7299601.4999985
2022-05-10 13:11:24.971168,550.0,550.0,550.0,550.0,13272.00272727,7299601.4999985
2022-05-10 13:11:34.557056,550.0,550.0,550.0,550.0,19904.68636363,10947577.4999965
2022-05-10 13:11:46.069346,550.0,550.0,549.0,550.0,29777.20268841,16375639.98500072
2022-05-10 13:11:54.534717,550.0,550.0,549.0,550.0,69209.67190925,38063498.05646272
2022-05-10 13:12:13.713616,550.0,551.0,549.0,549.0,38319.12835897,21069873.14186904
2022-05-10 13:12:23.125328,550.0,551.0,549.0,550.0,55366.0823615,30445697.84326054
2022-05-10 13:12:32.914383,550.0,551.0,549.0,550.0,59181.04260583,32543915.8479824
2022-05-10 13:12:51.815866,550.0,551.0,549.0,550.0,65298.65350102,35908601.8403369
2022-05-10 13:13:00.677396,550.0,551.0,549.0,551.0,89631.23141225,49291537.84033372
2022-05-10 13:13:10.285001,551.0,551.0,551.0,551.0,200.0,110200.0
2022-05-10 13:13:19.110435,551.0,551.0,551.0,551.0,359.01869328,197819.29999728
2022-05-10 13:13:27.635187,551.0,551.0,550.0,550.0,3126.66439072,1720024.43358928
2022-05-10 13:13:35.786277,551.0,551.0,550.0,550.0,32116.09505807,17664211.30063178
2022-05-10 13:13:43.755273,551.0,551.0,550.0,550.0,32661.27701254,17964061.37559028
2022-05-10 13:14:00.059028,551.0,551.0,550.0,550.0,32843.09519435,18064061.37558578
2022-05-10 13:14:17.575279,549.0,549.0,548.0,548.0,15257.94527726,8370130.64895874
2022-05-10 13:14:26.629475,549.0,549.0,548.0,548.0,15257.94527726,8370130.64895874
2022-05-10 13:14:35.638986,549.0,549.0,548.0,548.0,15803.39982271,8669039.73986534
2022-05-10 13:14:44.767066,549.0,549.0,548.0,548.0,16898.60235108,9269210.7254121
2022-05-10 13:14:54.133810,549.0,549.0,548.0,549.0,34519.45842511,18943060.71005457
2022-05-10 13:15:03.619949,550.0,550.0,550.0,550.0,1817.27318159,999500.2498745
2022-05-10 13:15:11.891884,550.0,550.0,549.0,549.0,16091.25408159,8835915.7639745
2022-05-10 13:15:20.153458,550.0,550.0,549.0,549.0,20025.24768315,10995678.25123094
2022-05-10 13:15:29.049646,550.0,550.0,548.0,549.0,51789.72456424,28409239.81094935
2022-05-10 13:15:37.828195,550.0,550.0,548.0,549.0,62161.59056425,34093022.37895484
2022-05-10 13:15:47.766163,550.0,550.0,548.0,549.0,71740.33956425,39351755.57995484
2022-05-10 13:15:58.037747,550.0,550.0,548.0,549.0,94816.99071248,52035912.59134571
2022-05-10 13:16:07.979183,549.0,550.0,549.0,550.0,44556.93718008,24502156.31463752
2022-05-10 13:16:19.070164,549.0,550.0,549.0,550.0,91063.82299228,50080943.51134752
2022-05-10 13:16:30.210909,549.0,550.0,549.0,550.0,116845.41375718,64260818.43204252
2022-05-10 13:16:53.398999,549.0,551.0,549.0,551.0,148911.18853029,81929060.33202612
2022-05-10 13:17:05.209708,550.0,552.0,550.0,552.0,31661.6016761,17462793.08899667
2022-05-10 13:17:17.539802,550.0,553.0,550.0,553.0,52212.3059507,28826016.24821148
2022-05-10 13:17:29.072160,550.0,553.0,550.0,552.0,52225.52921564,28833315.49045836
2022-05-10 13:17:40.901772,550.0,553.0,550.0,553.0,93048.40637538,51405793.72525379
2022-05-10 13:17:52.891500,550.0,553.0,550.0,553.0,107321.68457003,59298916.56689524
2022-05-10 13:18:05.392814,553.0,553.0,553.0,553.0,16294.76497514,9011005.03125242
2022-05-10 13:18:17.082807,553.0,553.0,553.0,553.0,22877.47784956,12651245.25080668
2022-05-10 13:18:28.944958,553.0,553.0,553.0,553.0,28123.596664,15552348.955192
2022-05-10 13:18:38.570860,553.0,553.0,552.0,552.0,28530.51016605,15777344.95515904
2022-05-10 13:18:45.995945,553.0,553.0,550.0,550.0,127606.95666865,70322617.12579586
2022-05-10 13:18:55.030039,553.0,553.0,550.0,550.0,127606.95666865,70322617.12579586
2022-05-10 13:19:04.242540,553.0,553.0,550.0,550.0,127696.24238293,70371724.26864986
2022-05-10 13:19:13.794724,550.0,551.0,550.0,551.0,2538.76316814,1396862.2379562
2022-05-10 13:19:23.011719,550.0,551.0,550.0,550.0,3550.19169782,1953147.9292802
2022-05-10 13:19:30.551792,550.0,552.0,550.0,550.0,7516.63813758,4142001.46932302
2022-05-10 13:19:46.924420,550.0,552.0,550.0,552.0,10790.47415694,5946495.12552567
2022-05-10 13:19:55.647068,550.0,552.0,550.0,552.0,14549.20302744,8021313.46204167
2022-05-10 13:20:05.076005,552.0,552.0,552.0,552.0,356.21558473,196631.00277096
2022-05-10 13:20:15.706867,552.0,552.0,552.0,552.0,1404.80059185,775449.9267012
2022-05-10 13:20:34.185199,552.0,552.0,552.0,552.0,19109.52668044,10548458.72760288
2022-05-10 13:20:51.578192,552.0,553.0,551.0,553.0,37277.21284197,20566408.28836259
2022-05-10 13:21:07.566284,553.0,553.0,553.0,553.0,6608.96485734,3654757.56610902
2022-05-10 13:21:17.041061,553.0,553.0,553.0,553.0,69872.42978838,38639453.67297414
