,open,high,low,close,volume,value
2022-05-10 12:50:55.914953,0.0019,0.002,0.0019,0.002,281089806.26054776,543915.89252924
2022-05-10 12:51:05.363267,0.0019,0.002,0.0019,0.002,476796807.93719226,911021.15210627
2022-05-10 12:51:14.895170,0.0019,0.002,0.0019,0.002,476796807.93719226,911021.15210627
2022-05-10 12:51:25.753805,0.0019,0.002,0.0019,0.002,476796807.93719226,911021.15210627
2022-05-10 12:52:06.907617,0.0019,0.002,0.0019,0.0019,1926074175.9098766,3775100.10760706
2022-05-10 12:52:15.724773,0.0019,0.002,0.0019,0.002,7948161.01255154,15196.5519902
2022-05-10 12:52:24.253970,0.0019,0.002,0.0019,0.002,35434417.88411575,70169.06573333
2022-05-10 12:52:35.612950,0.0019,0.002,0.0019,0.002,152375947.11949804,304052.12420409
2022-05-10 12:52:44.752944,0.0019,0.002,0.0019,0.002,152375947.11949804,304052.12420409
2022-05-10 12:52:53.060074,0.0019,0.002,0.0019,0.002,153339973.68697828,305980.17733905
2022-05-10 12:53:00.610069,0.0019,0.002,0.0019,0.002,177364973.68697828,354030.17733905
2022-05-10 12:53:08.075678,0.002,0.002,0.0019,0.0019,422872928.53573215,812958.56421789
2022-05-10 12:53:25.158045,0.002,0.002,0.0019,0.0019,422872928.53573215,812958.56421789
2022-05-10 12:53:33.207152,0.002,0.002,0.0019,0.002,423799490.3236971,814811.68779382
2022-05-10 12:53:41.036215,0.002,0.002,0.0019,0.002,423799490.3236971,814811.68779382
2022-05-10 12:53:49.536211,0.002,0.002,0.0019,0.002,423799490.3236971,814811.68779382
2022-05-10 12:54:23.209639,0.002,0.002,0.0019,0.0019,141981452.53662562,269871.99598234
2022-05-10 12:54:40.959314,0.002,0.002,0.0019,0.0019,384277139.3801591,730233.80098506
2022-05-10 12:54:49.997497,0.002,0.002,0.0019,0.002,385212061.217973,732103.64466069
2022-05-10 12:54:59.625726,0.002,0.002,0.0019,0.002,512820561.217973,987320.64466069
2022-05-10 12:55:09.404259,0.002,0.002,0.0019,0.002,512820561.217973,987320.64466069
2022-05-10 12:55:18.250994,0.002,0.002,0.0019,0.002,512820561.217973,987320.64466069
2022-05-10 12:55:28.148967,0.002,0.002,0.002,0.002,6648466.39793758,13296.93279588
2022-05-10 12:55:38.446961,0.002,0.002,0.002,0.002,6648466.39793758,13296.93279588
2022-05-10 12:55:47.888493,0.002,0.002,0.0019,0.002,816352526.4009538,1555134.54680161
2022-05-10 12:56:06.701584,0.002,0.002,0.0019,0.002,11893536976.683681,23709503.44736708
2022-05-10 12:56:16.238373,0.002,0.002,0.002,0.002,9892053.97301349,19784.10794603
2022-05-10 12:56:25.324396,0.002,0.002,0.002,0.002,759029985.0074962,1518059.970015
2022-05-10 12:56:33.868462,0.002,0.002,0.002,0.002,859029985.0074962,1718059.970015
2022-05-10 12:56:42.801958,0.002,0.002,0.002,0.002,860038030.05205,1720076.06010411
2022-05-10 12:56:52.221062,0.002,0.002,0.002,0.002,867299982.0386877,1734599.96407739
2022-05-10 12:57:11.187127,0.002,0.002,0.002,0.002,867299982.0386877,1734599.96407739
2022-05-10 12:57:20.549214,0.002,0.002,0.002,0.002,1008804.69223414,2017.60938447
2022-05-10 12:57:30.597302,0.002,0.002,0.002,0.002,1008804.69223414,2017.60938447
2022-05-10 12:57:39.323187,0.002,0.002,0.002,0.002,1008804.69223414,2017.60938447
2022-05-10 12:57:49.052268,0.002,0.002,0.0019,0.002,341212134.1054574,648500.02701135
2022-05-10 12:58:17.332556,0.0019,0.002,0.0019,0.002,5642890279.817789,11274876.33924999
2022-05-10 12:58:25.838551,0.0019,0.002,0.0019,0.002,5643942224.683108,11276980.22898063
2022-05-10 12:58:33.872182,0.0019,0.002,0.0019,0.002,5643942224.683108,11276980.22898063
2022-05-10 12:59:05.460219,0.002,0.002,0.002,0.002,101096287.71495797,202192.57542992
2022-05-10 12:59:14.362371,0.002,0.002,0.002,0.002,101096287.71495797,202192.57542992
2022-05-10 12:59:33.117626,0.002,0.002,0.002,0.002,388993339.18922085,777986.67837845
2022-05-10 12:59:50.185701,0.002,0.002,0.0019,0.0019,394176719.79209894,787937.49755522
2022-05-10 12:59:59.817266,0.002,0.002,0.0019,0.0019,394176719.79209894,787937.49755522
2022-05-10 13:00:20.803973,0.0019,0.002,0.0019,0.0019,308449212.388119,586161.07955847
2022-05-10 13:00:29.948197,0.0019,0.002,0.0019,0.0019,334765001.8618032,636161.07955847
2022-05-10 13:00:38.031517,0.0019,0.002,0.0019,0.002,373700534.0956862,714032.14402624
2022-05-10 13:00:55.998924,0.0019,0.002,0.0019,0.002,474696179.33652115,906023.43450791
2022-05-10 13:01:05.789089,0.0019,0.0019,0.0019,0.0019,195084542.48482832,370660.63072117
2022-05-10 13:01:15.143149,0.0019,0.0019,0.0019,0.0019,195084542.48482832,370660.63072117
2022-05-10 13:01:28.626498,0.0019,0.0019,0.0019,0.0019,617853942.1548787,1173922.49009427
2022-05-10 13:01:41.421331,0.0019,0.002,0.0019,0.0019,2868265635.2583394,5449807.68276091
2022-05-10 13:01:50.017636,0.0019,0.002,0.0019,0.0019,2868265635.2583394,5449807.68276091
2022-05-10 13:02:06.942118,0.002,0.002,0.0019,0.0019,41120971.77217842,80629.84636714
2022-05-10 13:02:16.294019,0.002,0.002,0.0019,0.002,103915342.41231821,206218.58764742
2022-05-10 13:02:25.733635,0.002,0.002,0.0019,0.002,115065342.41231821,228518.58764742
2022-05-10 13:02:43.951884,0.002,0.002,0.0019,0.002,115065342.41231821,228518.58764742
2022-05-10 13:02:53.556845,0.002,0.002,0.0019,0.002,158923519.26993385,316234.94136265
2022-05-10 13:03:03.207681,0.002,0.002,0.0019,0.002,293713896.76868445,585815.69636015
2022-05-10 13:03:12.628328,0.002,0.002,0.002,0.002,65153099.07546226,130306.19815092
2022-05-10 13:03:21.549450,0.002,0.002,0.002,0.002,66160613.76433116,132321.22752866
2022-05-10 13:03:31.178540,0.002,0.002,0.002,0.002,66160613.76433116,132321.22752866
2022-05-10 13:03:48.625293,0.002,0.002,0.002,0.002,117296046.04818922,234592.09209638
2022-05-10 13:03:56.915595,0.002,0.002,0.002,0.002,117296046.04818922,234592.09209638
2022-05-10 13:04:04.877607,0.002,0.002,0.002,0.002,118379124.54633673,236758.24909268
2022-05-10 13:04:13.720910,0.0019,0.002,0.0019,0.002,900174385.3073463,1710831.08220889
2022-05-10 13:04:22.548427,0.0019,0.002,0.0019,0.002,900174385.3073463,1710831.08220889
2022-05-10 13:04:31.698945,0.0019,0.002,0.0019,0.002,900174385.3073463,1710831.08220889
2022-05-10 13:04:40.282519,0.0019,0.002,0.0019,0.002,901158335.6449251,1712798.98288405
