1,2,3,4,5,6,7
,open,high,low,close,volume,value
50:57.6,181,182,181,182,180.6363512,32841.55143
51:07.1,181,182,181,182,180.6363512,32841.55143
51:27.5,181,182,181,182,180.6363512,32841.55143
51:38.2,181,182,181,182,180.6363512,32841.55143
51:48.2,181,181,181,181,638.1637368,115507.6364
51:58.0,181,181,181,181,1051.626929,190344.4742
52:25.6,181,181,181,181,74057.54933,13404416.43
52:36.9,181,182,181,182,96819.13557,17547025.13
52:46.3,181,182,181,182,96819.13557,17547025.13
52:54.1,181,182,181,181,96853.40006,17553227
53:02.0,181,181,181,181,1000,181000
53:09.6,181,181,181,181,1000,181000
53:17.6,181,181,181,181,1000,181000
53:51.5,181,181,181,181,2812.337954,509033.1697
53:59.9,181,181,181,181,5068.263283,917355.6542
54:08.1,181,181,181,181,5068.263283,917355.6542
54:24.7,182,182,182,182,43188.4717,7860301.849
54:33.7,182,182,182,182,43218.4717,7865761.849
54:42.2,182,182,181,181,43248.4717,7871191.849
55:01.7,182,182,181,181,43248.4717,7871191.849
55:10.6,182,182,181,181,43248.4717,7871191.849
55:30.1,181,181,181,181,607.7348066,110000
55:40.0,181,182,181,182,1596.734807,289998
55:49.5,181,182,181,182,4465.734807,812156
55:58.8,181,182,181,182,4465.734807,812156
56:08.7,181,182,181,182,4465.734807,812156
56:26.5,182,182,182,182,86561.27233,15754151.56
56:35.3,182,182,182,182,253715.0381,46176136.93
56:44.1,182,182,182,182,253715.0381,46176136.93
56:55.0,182,182,182,182,269522.2575,49053050.86
57:03.8,182,182,182,182,269522.2575,49053050.86
57:12.9,182,182,182,182,269522.2575,49053050.86
57:21.9,182,182,182,182,269522.2575,49053050.86
57:31.9,182,182,182,182,269522.2575,49053050.86
57:40.8,182,182,182,182,269522.2575,49053050.86
57:59.8,182,182,182,182,269522.2575,49053050.86
58:09.7,182,182,182,182,14548.80801,2647883.058
58:18.7,182,182,182,182,14548.80801,2647883.058
58:27.0,182,182,182,182,15922.43439,2897883.058
58:35.2,182,182,182,182,15990.25762,2910226.887
58:42.8,182,182,182,182,15990.25762,2910226.887
59:06.8,182,182,182,182,17638.60927,3210226.887
59:16.2,181,181,181,181,69411.15557,12563419.16
59:24.9,181,181,181,181,160661.2947,29079694.33
59:43.7,181,181,181,181,185837.6188,33636608.99
59:51.5,181,181,181,181,185837.6188,33636608.99
00:13.7,181,181,181,181,185837.6188,33636608.99
00:22.6,180,181,180,181,22816.83486,4107085.523
00:48.3,180,181,179,179,62085.99038,11175434.77
01:07.2,180,181,179,180,63797.63201,11483485.29
01:16.8,179,179,179,179,34.44215659,6165.14603
01:32.1,179,180,179,180,4075.773151,733604.725
01:42.9,179,180,179,180,5022.781488,904066.2257
01:51.3,179,180,179,180,5022.781488,904066.2257
01:59.7,179,180,179,180,5022.781488,904066.2257
02:08.4,179,180,179,180,5022.781488,904066.2257
02:18.0,179,180,179,180,5022.781488,904066.2257
02:27.1,181,181,181,181,20795,3763895
02:36.2,181,181,181,181,20795,3763895
02:55.2,181,181,181,181,29161.42418,5278217.776
03:04.8,181,181,181,181,29161.42418,5278217.776
03:13.9,181,181,181,181,29161.42418,5278217.776
03:23.0,181,181,181,181,2762.430939,500000
03:32.6,181,181,181,181,2762.430939,500000
03:40.9,181,181,181,181,2762.430939,500000
03:50.1,181,181,181,181,2762.430939,500000
03:58.1,181,181,181,181,2762.430939,500000
04:06.2,181,181,181,181,13891.28605,2514322.776
04:15.1,181,181,181,181,378.3783784,68486.48648
04:24.2,181,181,181,181,378.3783784,68486.48648
04:33.0,181,181,181,181,378.3783784,68486.48648
04:41.9,181,181,181,181,11307.34013,2046628.563
04:50.7,181,181,181,181,11307.34013,2046628.563
04:58.6,181,181,181,181,31307.34013,5666628.563
05:16.9,181,181,181,181,104.5,18914.5
05:24.8,181,181,181,181,79612.80487,14409917.68
05:41.4,181,181,181,181,97285.52298,17608679.66
05:49.8,181,181,181,181,97285.52298,17608679.66
06:16.0,180,180,180,180,428.75,77175
06:24.6,180,180,180,180,428.75,77175
06:33.8,180,181,180,181,6250.479657,1130908.068
06:43.0,180,181,180,181,6250.479657,1130908.068
07:09.4,180,181,180,181,6250.479657,1130908.068
07:19.0,181,181,181,181,461.5848478,83546.85745
07:28.0,181,182,181,182,29532.97644,5374540.126
07:36.8,181,182,181,182,30029.75992,5464512.882
07:45.4,181,182,181,182,30029.75992,5464512.882
07:54.3,181,182,181,182,30029.75992,5464512.882
08:11.6,182,182,182,182,54.94505494,9999.999999
08:20.6,182,182,182,182,54.94505494,9999.999999
08:30.3,182,182,182,182,54.94505494,9999.999999
08:38.8,182,182,182,182,274.6153846,49980
08:48.0,182,182,182,182,36000.64248,6552116.932
09:05.0,182,182,182,182,20706.95366,3768665.567
09:14.0,182,182,182,182,20706.95366,3768665.567
09:31.0,182,183,182,183,44232.82866,8073900.692
09:40.2,182,183,182,183,114033.4991,20847423.39
09:56.3,182,183,182,183,121788.3703,22266564.82
10:14.7,182,183,182,183,121788.3703,22266564.82
10:22.8,182,183,182,183,121788.3703,22266564.82
10:37.7,183,183,183,183,2457.924043,449800.0999
10:46.0,183,183,183,183,2457.924043,449800.0999
11:03.8,183,183,183,183,2457.924043,449800.0999
11:14.6,183,183,183,183,2457.924043,449800.0999
11:24.1,183,183,183,183,82.1830601,15039.5
11:33.9,183,183,183,183,191.4726776,35039.5
11:54.0,183,183,182,183,45464.40137,8319570.811
12:02.8,183,184,182,183,67117.77234,12282520.21
12:13.0,184,184,183,183,97855.38486,17907917.94
12:32.2,184,184,183,183,150929.0742,27620403.1
12:41.7,184,184,183,183,150929.0742,27620403.1
12:50.9,184,184,183,183,150929.0742,27620403.1
12:59.8,184,184,183,183,150929.0742,27620403.1
13:09.7,184,184,183,183,150929.0742,27620403.1
13:18.4,184,184,183,183,150929.0742,27620403.1
13:26.8,184,184,183,183,150929.0742,27620403.1
13:35.3,184,184,183,183,150929.0742,27620403.1
13:43.2,182,182,182,182,27801.51482,5059875.697
13:51.8,182,182,182,182,27801.51482,5059875.697
14:07.8,182,182,182,182,27801.51482,5059875.697
14:16.8,182,182,182,182,1648.351648,300000
14:26.0,182,182,182,182,1648.351648,300000
14:34.9,182,182,182,182,1648.351648,300000
15:02.9,182,182,182,182,42091.98973,7660742.131
15:37.3,182,182,182,182,1792.72094,326275.2111
15:46.7,182,182,182,182,1792.72094,326275.2111
15:57.2,182,182,182,182,101837.3415,18534396.15
16:07.2,182,182,182,182,101837.3415,18534396.15
16:18.3,182,182,182,182,101837.3415,18534396.15
16:40.8,183,183,183,183,400,73200
16:52.7,183,183,183,183,400,73200
17:04.4,183,183,183,183,22535.81311,4124053.8
17:16.4,183,183,183,183,22535.81311,4124053.8
17:28.3,183,183,183,183,22699.74754,4154053.8
17:40.1,183,183,183,183,22699.74754,4154053.8
17:52.0,183,184,183,184,24600.61776,4503813.92
