,open,high,low,close,volume,value
2022-05-10 12:50:56.629950,7.37,7.37,7.37,7.37,135685.21031207,999999.99999996
2022-05-10 12:51:06.341871,7.37,7.38,7.37,7.38,999500.0,7373579.01416988
2022-05-10 12:51:15.653467,7.37,7.38,7.37,7.38,999500.0,7373579.01416988
2022-05-10 12:51:26.555200,7.37,7.38,7.37,7.38,999500.0,7373579.01416988
2022-05-10 12:51:37.276194,7.37,7.38,7.37,7.38,999500.0,7373579.01416988
2022-05-10 12:51:47.354186,7.37,7.38,7.37,7.37,1000178.56173677,7378580.01416987
2022-05-10 12:51:57.310181,7.37,7.38,7.37,7.37,1000178.56173677,7378580.01416987
2022-05-10 12:52:07.618024,7.37,7.38,7.37,7.37,1000178.56173677,7378580.01416987
2022-05-10 12:52:16.656773,7.37,7.38,7.37,7.37,1000178.56173677,7378580.01416987
2022-05-10 12:52:25.014969,7.37,7.37,7.37,7.37,27403.12744086,201961.04923913
2022-05-10 12:52:36.366949,7.37,7.37,7.37,7.37,135685.21031208,1000000.00000002
2022-05-10 12:52:53.560073,7.37,7.37,7.37,7.37,1331289.81296553,9811605.92155595
2022-05-10 12:53:08.785893,7.37,7.37,7.36,7.37,205335.88781886,1513318.493225
2022-05-10 12:53:17.120973,7.37,7.37,7.36,7.37,341021.09813094,2513318.49322503
2022-05-10 12:53:25.794044,7.37,7.37,7.36,7.37,375700.0,2768902.0
2022-05-10 12:53:33.733221,7.37,7.37,7.36,7.37,375700.0,2768902.0
2022-05-10 12:53:41.810216,7.37,7.37,7.36,7.37,375700.0,2768902.0
2022-05-10 12:53:50.293210,7.37,7.37,7.36,7.37,375700.0,2768902.0
2022-05-10 12:53:59.162776,7.37,7.37,7.36,7.37,375700.0,2768902.0
2022-05-10 12:54:07.312032,7.37,7.37,7.36,7.37,375700.0,2768902.0
2022-05-10 12:54:15.830111,7.39,7.39,7.37,7.39,113361.50880417,835759.5874116
2022-05-10 12:54:23.845638,7.39,7.39,7.37,7.39,113361.50880417,835759.5874116
2022-05-10 12:54:33.152320,7.39,7.39,7.37,7.39,113361.50880417,835759.5874116
2022-05-10 12:54:50.631497,7.39,7.39,7.37,7.39,197457.30068948,1457227.48944404
2022-05-10 12:55:00.794136,7.39,7.39,7.37,7.39,471429.9034292,3481885.02369057
2022-05-10 12:55:10.048260,7.39,7.39,7.37,7.39,471429.9034292,3481885.02369057
2022-05-10 12:55:18.855993,7.39,7.39,7.39,7.39,10953.35309796,80945.27939392
2022-05-10 12:55:29.176969,7.39,7.39,7.39,7.39,164204.70427882,1213472.76462048
2022-05-10 12:55:39.295049,7.39,7.39,7.37,7.37,170151.93383027,1257303.84641467
2022-05-10 12:55:48.651747,7.39,7.39,7.37,7.37,170151.93383027,1257303.84641467
2022-05-10 12:55:58.150145,7.39,7.39,7.37,7.37,373896.02037838,2758897.76427424
2022-05-10 12:56:07.575200,7.38,7.38,7.38,7.38,677.64227642,5000.99999998
2022-05-10 12:56:16.867372,7.38,7.38,7.38,7.38,677.64227642,5000.99999998
2022-05-10 12:56:25.933467,7.38,7.38,7.38,7.38,677.64227642,5000.99999998
2022-05-10 12:56:34.577462,7.38,7.38,7.37,7.37,163479.26319255,1204848.94615185
2022-05-10 12:56:53.603780,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:03.218051,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:12.091125,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:21.221213,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:31.283302,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:39.925186,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:49.696268,7.38,7.38,7.37,7.37,346118.70185035,2551235.1259975
2022-05-10 12:57:59.197262,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:58:08.925408,7.39,7.39,7.39,7.39,875.8477366,6472.51477347
2022-05-10 12:58:18.169556,7.39,7.39,7.39,7.39,875.8477366,6472.51477347
2022-05-10 12:58:42.110273,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:58:49.806929,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:58:57.907931,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:59:06.107218,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:59:15.245370,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:59:24.140450,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:59:33.767624,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:59:43.102706,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 12:59:50.770701,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 13:00:00.647266,7.39,7.39,7.39,7.39,67658.99864682,500000.0
2022-05-10 13:00:13.053585,7.38,7.38,7.38,7.38,30167.27642276,222634.49999997
2022-05-10 13:00:21.749203,7.38,7.38,7.38,7.38,36167.27642276,266914.49999997
2022-05-10 13:00:30.632198,7.38,7.38,7.36,7.36,38477.30311208,283916.29643337
2022-05-10 13:00:38.683516,7.38,7.38,7.36,7.36,38477.30311208,283916.29643337
2022-05-10 13:00:47.379884,7.38,7.38,7.36,7.36,92091.88538185,678519.62193888
2022-05-10 13:00:56.844924,7.38,7.38,7.36,7.36,92091.88538185,678519.62193888
2022-05-10 13:01:06.566089,7.35,7.35,7.33,7.33,2899745.26972579,21265192.71010611
2022-05-10 13:01:15.992149,7.35,7.35,7.33,7.33,3033054.63542742,22242350.36069906
2022-05-10 13:01:29.919496,7.35,7.35,7.33,7.33,3098501.72328514,22722077.51469615
2022-05-10 13:01:42.203330,7.35,7.35,7.33,7.33,3235464.53439659,23726014.92014308
2022-05-10 13:01:50.576636,7.35,7.35,7.33,7.33,3235464.53439659,23726014.92014308
2022-05-10 13:01:58.948130,7.35,7.35,7.33,7.33,3235464.53439659,23726014.92014308
2022-05-10 13:02:17.313018,7.33,7.34,7.33,7.33,81839.91418249,599986.57095766
2022-05-10 13:02:35.388628,7.33,7.34,7.33,7.33,543624.57710406,3984868.15017277
2022-05-10 13:02:44.614883,7.33,7.34,7.33,7.33,543624.57710406,3984868.15017277
2022-05-10 13:02:54.350847,7.33,7.34,7.33,7.33,543624.57710406,3984868.15017277
2022-05-10 13:03:04.005749,7.33,7.36,7.33,7.36,544304.06079971,3989869.15017275
2022-05-10 13:03:22.210238,7.33,7.36,7.33,7.36,544304.06079971,3989869.15017275
2022-05-10 13:03:31.911539,7.33,7.36,7.33,7.36,544304.06079971,3989869.15017275
2022-05-10 13:03:40.269233,7.33,7.36,7.33,7.36,544304.06079971,3989869.15017275
2022-05-10 13:04:05.553606,7.35,7.35,7.35,7.35,133474.29868435,981036.09532997
2022-05-10 13:04:23.438425,7.36,7.36,7.36,7.36,67934.7826087,500000.00000004
2022-05-10 13:04:41.219519,7.36,7.37,7.32,7.33,1247840.68414811,9163496.46972799
2022-05-10 13:04:50.040756,7.36,7.37,7.32,7.33,1247840.68414811,9163496.46972799
2022-05-10 13:04:57.828601,7.36,7.37,7.32,7.33,1247840.68414811,9163496.46972799
2022-05-10 13:05:07.636039,7.36,7.37,7.32,7.32,1330862.21416016,9771214.0694162
2022-05-10 13:05:16.272541,7.34,7.34,7.33,7.33,9923.13760475,72743.41199431
2022-05-10 13:05:24.220537,7.34,7.34,7.33,7.33,9923.13760475,72743.41199431
2022-05-10 13:05:31.846912,7.34,7.34,7.33,7.33,9923.13760475,72743.41199431
2022-05-10 13:05:49.276583,7.34,7.34,7.32,7.33,442348.57462587,3238741.71049441
2022-05-10 13:05:57.794742,7.34,7.34,7.32,7.33,442348.57462587,3238741.71049441
2022-05-10 13:06:06.632737,7.34,7.34,7.32,7.33,442348.57462587,3238741.71049441
2022-05-10 13:06:24.021592,7.3,7.31,7.3,7.3,1499171.4233452,10949089.65463983
