,open,high,low,close,volume,value
2022-05-10 12:51:07.997870,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:51:17.223636,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:51:28.377198,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:51:39.041195,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:51:48.955186,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:51:58.872179,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:52:09.426118,288.0,288.0,288.0,288.0,468.48515792,134923.72548096
2022-05-10 12:52:18.149772,288.0,288.0,288.0,288.0,6470.34474348,1863459.28612224
2022-05-10 12:52:37.544949,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:52:47.027943,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:52:54.804072,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:53:02.622068,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:53:10.548977,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:53:26.994043,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:53:34.949219,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:53:43.261214,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:53:52.413973,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:54:08.708032,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:54:17.059642,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:54:25.687723,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:54:43.015122,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:54:52.152496,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
2022-05-10 12:55:02.601135,288.0,288.0,288.0,288.0,7150.52604083,2059351.49975904
