,open,high,low,close,volume,value
2022-05-10 12:50:54.816880,255.0,255.0,254.0,255.0,29138.82697026,7417884.07116762
2022-05-10 12:51:04.274267,255.0,255.0,255.0,255.0,4791.5179665,1221837.0814575
2022-05-10 12:51:13.884375,255.0,255.0,254.0,254.0,11139.22749194,2834155.30091926
2022-05-10 12:51:24.271807,255.0,255.0,254.0,254.0,11139.22749194,2834155.30091926
2022-05-10 12:51:45.375188,255.0,255.0,254.0,254.0,11139.22749194,2834155.30091926
2022-05-10 12:51:55.311182,255.0,255.0,254.0,254.0,11139.22749194,2834155.30091926
2022-05-10 12:52:05.694619,255.0,255.0,254.0,254.0,11139.22749194,2834155.30091926
2022-05-10 12:52:14.800775,255.0,255.0,254.0,254.0,11139.22749194,2834155.30091926
2022-05-10 12:52:34.681950,254.0,254.0,254.0,254.0,3237.11265501,822226.61437254
2022-05-10 12:52:43.829945,254.0,254.0,254.0,254.0,3237.11265501,822226.61437254
2022-05-10 12:52:52.136074,254.0,254.0,254.0,254.0,3237.11265501,822226.61437254
2022-05-10 12:52:59.858069,254.0,254.0,254.0,254.0,3237.11265501,822226.61437254
2022-05-10 12:53:15.636977,254.0,254.0,254.0,254.0,3237.11265501,822226.61437254
2022-05-10 12:53:24.313044,254.0,254.0,254.0,254.0,3237.11265501,822226.61437254
2022-05-10 12:53:32.241153,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:53:40.015217,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:53:48.704211,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:53:57.615777,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:54:05.549971,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:54:14.535111,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:54:31.678322,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:54:39.841315,254.0,254.0,254.0,254.0,159.43752261,40497.13074294
2022-05-10 12:54:48.970498,254.0,254.0,254.0,254.0,26.66666666,6773.33333164
2022-05-10 12:54:58.620671,254.0,254.0,254.0,254.0,26.66666666,6773.33333164
2022-05-10 12:55:17.303994,254.0,254.0,254.0,254.0,26.66666666,6773.33333164
2022-05-10 12:55:27.222239,254.0,254.0,254.0,254.0,26.66666666,6773.33333164
2022-05-10 12:55:37.285962,254.0,254.0,254.0,254.0,26.66666666,6773.33333164
2022-05-10 12:55:46.999494,254.0,254.0,254.0,254.0,26.66666666,6773.33333164
2022-05-10 12:56:05.647201,255.0,255.0,255.0,255.0,243.0,61965.0
2022-05-10 12:56:24.122000,255.0,255.0,255.0,255.0,243.0,61965.0
2022-05-10 12:56:32.832463,255.0,255.0,255.0,255.0,243.0,61965.0
2022-05-10 12:56:41.907960,255.0,255.0,255.0,255.0,266.610236,67985.61018
2022-05-10 12:57:10.307127,255.0,255.0,255.0,255.0,25915.66545027,6608494.68981885
2022-05-10 12:57:19.759215,255.0,255.0,255.0,255.0,25915.66545027,6608494.68981885
2022-05-10 12:57:29.472303,255.0,255.0,255.0,255.0,25915.66545027,6608494.68981885
2022-05-10 12:57:48.181268,255.0,255.0,255.0,255.0,25915.66545027,6608494.68981885
2022-05-10 12:57:57.722262,255.0,255.0,255.0,255.0,25915.66545027,6608494.68981885
2022-05-10 12:58:16.149558,255.0,255.0,255.0,255.0,992.71951731,253143.47691405
2022-05-10 12:58:24.866552,255.0,255.0,255.0,255.0,15200.4225567,3876107.7519585
2022-05-10 12:58:33.126547,255.0,255.0,255.0,255.0,17161.20687042,4376107.7519571
2022-05-10 12:58:40.592274,255.0,255.0,255.0,255.0,17161.20687042,4376107.7519571
2022-05-10 12:58:48.526929,255.0,255.0,255.0,255.0,17161.20687042,4376107.7519571
2022-05-10 12:58:56.623932,255.0,255.0,254.0,254.0,21052.25745407,5364434.6002042
2022-05-10 12:59:13.263371,254.0,254.0,254.0,254.0,446.0,113284.0
2022-05-10 12:59:22.520453,254.0,254.0,254.0,254.0,446.0,113284.0
2022-05-10 12:59:32.097625,254.0,254.0,254.0,254.0,563.0,143002.0
2022-05-10 12:59:41.649706,254.0,254.0,253.0,253.0,43835.71714093,11113294.31208616
2022-05-10 12:59:58.773268,254.0,254.0,253.0,253.0,43835.71714093,11113294.31208616
2022-05-10 13:00:11.718596,253.0,253.0,253.0,253.0,57.39130434,14519.99999802
2022-05-10 13:00:19.920973,253.0,253.0,253.0,253.0,1985.73320157,502390.49999721
2022-05-10 13:00:29.097199,253.0,253.0,252.0,252.0,2025.41574125,512390.49999657
2022-05-10 13:00:37.165517,253.0,253.0,252.0,252.0,8569.43380341,2161483.05166089
2022-05-10 13:00:45.445725,253.0,253.0,252.0,252.0,9586.66067836,2417824.22414829
2022-05-10 13:00:55.083925,253.0,253.0,252.0,252.0,15716.87812169,3962639.01986745
2022-05-10 13:01:04.592996,253.0,253.0,252.0,252.0,15716.87812169,3962639.01986745
2022-05-10 13:01:14.120149,253.0,253.0,252.0,252.0,15716.87812169,3962639.01986745
2022-05-10 13:01:26.242500,253.0,253.0,252.0,252.0,15716.87812169,3962639.01986745
2022-05-10 13:01:40.370144,252.0,252.0,252.0,252.0,1860.19545026,468769.25346552
2022-05-10 13:01:48.882637,252.0,252.0,252.0,252.0,2888.33638985,727860.7702422
2022-05-10 13:01:57.431131,252.0,252.0,252.0,252.0,2888.33638985,727860.7702422
2022-05-10 13:02:06.120119,252.0,252.0,252.0,252.0,2000.0,504000.0
2022-05-10 13:02:15.317020,252.0,252.0,252.0,252.0,2373.13432835,598029.8507442
2022-05-10 13:02:24.945636,252.0,253.0,252.0,252.0,2788.4108166,703074.78270019
2022-05-10 13:02:42.812599,252.0,253.0,252.0,253.0,49744.00416616,12582839.90013887
2022-05-10 13:02:52.680977,252.0,253.0,252.0,253.0,52635.25051938,13314325.22750353
2022-05-10 13:03:02.134682,252.0,253.0,252.0,253.0,52635.25051938,13314325.22750353
2022-05-10 13:03:11.860328,252.0,253.0,252.0,253.0,52635.25051938,13314325.22750353
2022-05-10 13:03:20.766451,252.0,253.0,252.0,253.0,52635.25051938,13314325.22750353
2022-05-10 13:03:30.079810,254.0,254.0,254.0,254.0,19.80237154,5029.80237116
2022-05-10 13:03:38.560137,254.0,254.0,254.0,254.0,19.80237154,5029.80237116
2022-05-10 13:03:47.670294,254.0,254.0,253.0,253.0,304.80237154,77134.80237116
2022-05-10 13:03:55.967596,254.0,254.0,253.0,253.0,304.80237154,77134.80237116
2022-05-10 13:04:04.068078,253.0,253.0,253.0,253.0,183.0,46299.0
2022-05-10 13:04:12.770745,253.0,253.0,253.0,253.0,183.0,46299.0
2022-05-10 13:04:30.877530,253.0,253.0,253.0,253.0,183.0,46299.0
2022-05-10 13:04:39.372897,253.0,253.0,253.0,253.0,183.0,46299.0
2022-05-10 13:05:05.674919,253.0,253.0,252.0,253.0,22705.33561188,5729136.71253368
2022-05-10 13:05:14.565486,253.0,253.0,252.0,253.0,22705.33561188,5729136.71253368
2022-05-10 13:05:22.855538,253.0,253.0,252.0,253.0,22705.33561188,5729136.71253368
2022-05-10 13:05:38.910156,253.0,253.0,252.0,253.0,22705.33561188,5729136.71253368
2022-05-10 13:05:47.649585,253.0,253.0,252.0,253.0,22705.33561188,5729136.71253368
2022-05-10 13:05:56.270656,253.0,253.0,253.0,253.0,7919.89775863,2003734.13293339
2022-05-10 13:06:05.182737,253.0,253.0,253.0,253.0,7919.89775863,2003734.13293339
2022-05-10 13:06:13.825732,253.0,253.0,253.0,253.0,7919.89775863,2003734.13293339
2022-05-10 13:06:22.214497,253.0,253.0,253.0,253.0,7919.89775863,2003734.13293339
2022-05-10 13:06:31.580804,253.0,253.0,253.0,253.0,7919.89775863,2003734.13293339
2022-05-10 13:06:49.920782,253.0,253.0,253.0,253.0,7919.89775863,2003734.13293339
2022-05-10 13:06:58.312617,254.0,254.0,254.0,254.0,718.0,182372.0
2022-05-10 13:07:07.056781,254.0,254.0,254.0,254.0,718.0,182372.0
2022-05-10 13:07:16.632141,254.0,254.0,254.0,254.0,718.0,182372.0
2022-05-10 13:07:25.667814,254.0,254.0,254.0,254.0,19.68897637,5000.99999798
2022-05-10 13:07:34.568328,254.0,254.0,254.0,254.0,98.42913385,25000.9999979
2022-05-10 13:07:42.887960,254.0,254.0,253.0,253.0,176.26075105,44692.3991495
2022-05-10 13:07:51.597046,254.0,254.0,253.0,253.0,365.94580673,92682.71823654
2022-05-10 13:08:00.192683,254.0,254.0,253.0,253.0,482.94580673,122283.71823654
2022-05-10 13:08:09.312903,254.0,254.0,253.0,253.0,482.94580673,122283.71823654
2022-05-10 13:08:18.145627,254.0,254.0,253.0,253.0,482.94580673,122283.71823654
2022-05-10 13:08:36.584846,253.0,253.0,253.0,253.0,6241.82213956,1579181.00130868
2022-05-10 13:08:45.308527,253.0,254.0,253.0,254.0,24293.23221862,6164239.16138992
2022-05-10 13:08:54.263314,253.0,254.0,253.0,254.0,24446.75602814,6203234.209008
2022-05-10 13:09:02.839276,253.0,254.0,253.0,254.0,24446.75602814,6203234.209008
2022-05-10 13:09:11.220273,253.0,254.0,253.0,254.0,24446.75602814,6203234.209008
2022-05-10 13:09:28.564725,255.0,255.0,255.0,255.0,9016.3513188,2299169.586294
2022-05-10 13:09:37.755077,255.0,256.0,255.0,256.0,24495.6200688,6261862.386294
2022-05-10 13:09:46.112296,255.0,256.0,255.0,256.0,24495.6200688,6261862.386294
2022-05-10 13:10:03.011358,256.0,256.0,256.0,256.0,19.921875,5100.0
2022-05-10 13:10:20.954493,256.0,256.0,256.0,256.0,19.921875,5100.0
2022-05-10 13:10:35.774491,256.0,256.0,256.0,256.0,19.921875,5100.0
2022-05-10 13:10:43.555952,256.0,256.0,255.0,255.0,2749.18278558,701061.5321979
2022-05-10 13:11:01.194939,256.0,256.0,255.0,255.0,2935.05639152,748459.3017126
2022-05-10 13:11:11.350672,256.0,256.0,255.0,255.0,2935.05639152,748459.3017126
2022-05-10 13:11:21.575171,256.0,256.0,255.0,255.0,2935.05639152,748459.3017126
2022-05-10 13:11:31.242184,256.0,256.0,256.0,256.0,5182.35342918,1326682.47787008
2022-05-10 13:11:43.031111,256.0,256.0,256.0,256.0,5182.35342918,1326682.47787008
2022-05-10 13:12:00.224604,256.0,256.0,256.0,256.0,5182.35342918,1326682.47787008
2022-05-10 13:12:20.100721,256.0,256.0,256.0,256.0,9343.76815392,2392004.64740352
2022-05-10 13:12:29.619384,256.0,256.0,256.0,256.0,9343.76815392,2392004.64740352
2022-05-10 13:12:38.921471,256.0,256.0,256.0,256.0,9343.76815392,2392004.64740352
2022-05-10 13:13:07.134003,256.0,256.0,256.0,256.0,19521.48925537,4997501.24937472
2022-05-10 13:13:15.759437,256.0,256.0,256.0,256.0,19521.48925537,4997501.24937472
2022-05-10 13:13:24.780189,256.0,256.0,256.0,256.0,19521.48925537,4997501.24937472
2022-05-10 13:13:32.998250,256.0,256.0,256.0,256.0,19521.48925537,4997501.24937472
2022-05-10 13:13:41.254275,255.0,255.0,255.0,255.0,19.63731324,5007.5148762
2022-05-10 13:13:49.702269,255.0,255.0,255.0,255.0,19.63731324,5007.5148762
2022-05-10 13:13:57.559937,255.0,255.0,254.0,254.0,16428.30813943,4189148.88152607
2022-05-10 13:14:23.704477,255.0,255.0,254.0,254.0,16428.30813943,4189148.88152607
2022-05-10 13:14:42.252069,255.0,255.0,255.0,255.0,23.610236,6020.61018
2022-05-10 13:15:00.575951,255.0,255.0,255.0,255.0,23.610236,6020.61018
2022-05-10 13:15:17.169461,255.0,255.0,255.0,255.0,23.610236,6020.61018
2022-05-10 13:15:35.181642,255.0,255.0,255.0,255.0,23.610236,6020.61018
2022-05-10 13:15:54.657644,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:16:04.963183,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:16:15.069176,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:16:26.713723,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:16:37.652904,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:16:49.689841,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:17:01.371993,256.0,256.0,256.0,256.0,8505.84063384,2177495.20226304
2022-05-10 13:17:13.495139,257.0,257.0,257.0,257.0,12057.78897804,3098851.76735628
2022-05-10 13:17:25.257520,257.0,257.0,257.0,257.0,12057.78897804,3098851.76735628
2022-05-10 13:17:36.983657,257.0,257.0,257.0,257.0,12057.78897804,3098851.76735628
2022-05-10 13:17:48.853218,257.0,257.0,257.0,257.0,12057.78897804,3098851.76735628
2022-05-10 13:18:01.462398,257.0,257.0,257.0,257.0,12084.00182985,3105588.47027145
2022-05-10 13:18:12.945810,258.0,258.0,258.0,258.0,77.51937984,19999.99999872
2022-05-10 13:18:25.041028,258.0,258.0,258.0,258.0,77.51937984,19999.99999872
2022-05-10 13:18:36.134471,258.0,258.0,258.0,258.0,488.36046506,125996.99998548
