,open,high,low,close,volume,value
2022-05-10 12:50:57.718951,81.3,81.6,81.2,81.5,77861.26887848,6331666.02688937
2022-05-10 12:51:07.296871,81.3,81.6,81.2,81.5,77861.26887848,6331666.02688937
2022-05-10 12:51:16.549466,81.3,81.6,81.2,81.5,77861.26887848,6331666.02688937
2022-05-10 12:51:27.699198,81.3,81.6,81.2,81.5,77861.26887848,6331666.02688937
2022-05-10 12:51:38.346192,81.3,81.6,81.2,81.5,77861.26887848,6331666.02688937
2022-05-10 12:51:48.329186,81.3,81.6,81.2,81.5,77861.26887848,6331666.02688937
2022-05-10 12:51:58.205181,81.4,81.4,81.4,81.4,245.398773,19975.4601222
2022-05-10 12:52:08.654118,81.4,81.4,81.4,81.4,245.398773,19975.4601222
2022-05-10 12:52:25.788055,81.4,81.4,81.4,81.4,40947.70826974,3333143.45315684
2022-05-10 12:52:37.109949,81.4,81.4,81.4,81.4,40947.70826974,3333143.45315684
2022-05-10 12:53:09.793977,81.4,81.5,81.3,81.5,67382.24015673,5482835.19763449
2022-05-10 12:53:17.775972,81.4,81.5,81.3,81.5,67382.24015673,5482835.19763449
2022-05-10 12:53:42.592218,81.2,81.2,81.2,81.2,28585.23844759,2321121.36194431
2022-05-10 12:53:51.815976,81.2,81.5,81.2,81.5,28688.94534414,2329573.47401314
2022-05-10 12:54:00.039777,81.2,81.5,81.2,81.5,28688.94534414,2329573.47401314
2022-05-10 12:54:08.259032,81.4,81.4,81.4,81.4,3891.18472906,316742.43694548
2022-05-10 12:54:16.539642,81.4,81.4,81.4,81.4,55969.33021052,4555903.47913632
2022-05-10 12:54:24.932637,81.4,81.4,81.4,81.4,55969.33021052,4555903.47913632
2022-05-10 12:54:33.886319,81.4,81.5,81.4,81.5,56061.72578791,4563433.71869361
2022-05-10 12:55:01.803135,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:55:10.780259,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:55:19.602993,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:55:30.258966,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:55:40.112048,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:55:49.656746,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:55:58.977222,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:56:08.910294,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:56:17.560372,81.4,81.5,81.4,81.5,60793.77180017,4949095.4686928
2022-05-10 12:56:26.669467,81.5,81.5,81.5,81.5,12728.7153969,1037390.30484735
2022-05-10 12:56:44.249866,81.5,81.5,81.5,81.5,12728.7153969,1037390.30484735
2022-05-10 12:56:55.423308,81.5,81.5,81.5,81.5,12728.7153969,1037390.30484735
2022-05-10 12:57:03.955050,81.5,81.5,81.5,81.5,12728.7153969,1037390.30484735
2022-05-10 12:57:13.090125,81.5,81.5,81.5,81.5,12728.7153969,1037390.30484735
2022-05-10 12:57:22.016213,81.5,81.5,81.5,81.5,19674.68718448,1603487.00553512
2022-05-10 12:57:32.127301,81.5,81.5,81.5,81.5,34109.05682128,2779888.13093432
2022-05-10 12:57:40.953186,81.5,81.5,81.3,81.3,34301.50451796,2795534.1286744
2022-05-10 12:58:00.095262,81.5,81.5,81.3,81.4,46059.65300567,3753527.53017707
2022-05-10 12:58:09.790408,81.4,81.4,81.4,81.4,2196.73614359,178814.32208823
2022-05-10 12:58:18.891556,81.4,81.5,81.3,81.5,27226.04921201,2216488.10225923
2022-05-10 12:58:27.153550,81.4,81.6,81.3,81.6,27292.6462636,2221922.42166897
2022-05-10 12:58:42.905273,81.4,81.6,81.3,81.6,27292.6462636,2221922.42166897
2022-05-10 12:58:50.574929,81.4,81.6,81.3,81.6,27292.6462636,2221922.42166897
2022-05-10 12:58:58.659930,81.4,81.6,81.3,81.6,27292.6462636,2221922.42166897
2022-05-10 12:59:06.906307,81.5,81.5,81.5,81.5,4099.48223039,334107.80177679
2022-05-10 12:59:16.359369,81.5,81.5,81.5,81.5,16369.42088069,1334107.80177624
2022-05-10 12:59:25.098539,81.5,81.5,81.5,81.5,16369.42088069,1334107.80177624
2022-05-10 12:59:34.765623,81.5,81.5,81.2,81.2,52421.09533483,4264598.93489784
2022-05-10 12:59:43.847705,81.5,81.5,81.2,81.4,89530.73771297,7282847.51857096
2022-05-10 12:59:51.665765,81.5,81.5,81.2,81.4,89530.73771297,7282847.51857096
2022-05-10 13:00:01.538408,81.5,81.5,81.2,81.4,89530.73771297,7282847.51857096
2022-05-10 13:00:13.986978,81.4,81.4,81.4,81.4,17357.19363905,1412875.56221867
2022-05-10 13:00:22.884204,81.4,81.4,81.4,81.4,29642.20592406,2412875.56221848
2022-05-10 13:00:48.554883,81.4,81.4,81.4,81.4,29642.20592406,2412875.56221848
2022-05-10 13:00:57.620923,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:01:16.975148,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:01:32.372291,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:01:43.011908,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:01:59.875130,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:02:08.649934,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:02:18.215017,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:02:27.247633,81.4,81.4,81.4,81.4,29765.05604691,2422875.56221847
2022-05-10 13:02:36.409642,81.3,81.3,81.3,81.3,100.0,8130.0
2022-05-10 13:02:45.531883,81.3,81.3,81.3,81.3,100.0,8130.0
2022-05-10 13:02:55.352544,81.3,81.3,81.2,81.2,8435.22680916,684962.71087674
2022-05-10 13:03:04.900749,81.3,81.3,81.2,81.2,8435.22680916,684962.71087674
2022-05-10 13:03:14.029327,81.3,81.3,81.2,81.2,8435.22680916,684962.71087674
2022-05-10 13:03:23.129238,81.3,81.3,81.2,81.2,8435.22680916,684962.71087674
2022-05-10 13:03:32.810540,81.2,81.2,81.2,81.2,619.34790623,50291.04998588
2022-05-10 13:03:41.158231,81.2,81.2,81.2,81.2,13984.9001442,1135573.89170904
2022-05-10 13:03:50.260295,81.2,81.2,81.2,81.2,13984.9001442,1135573.89170904
2022-05-10 13:03:58.261594,81.2,81.2,81.2,81.2,13984.9001442,1135573.89170904
2022-05-10 13:04:15.309908,81.2,81.2,81.2,81.2,13984.9001442,1135573.89170904
2022-05-10 13:04:24.331425,81.2,81.2,81.2,81.2,471.3618677,38274.58365724
2022-05-10 13:04:33.190944,81.2,81.3,81.2,81.3,871.3618677,70794.58365724
2022-05-10 13:04:42.059517,81.2,81.3,81.2,81.3,871.3618677,70794.58365724
2022-05-10 13:04:50.828756,81.2,81.3,81.2,81.3,871.3618677,70794.58365724
2022-05-10 13:04:58.803600,81.2,81.3,81.2,81.3,2007.48507301,163161.40024894
2022-05-10 13:05:16.996541,81.3,81.3,81.3,81.3,8946.16960381,727323.58878976
2022-05-10 13:05:24.954537,81.3,81.3,81.3,81.3,8946.16960381,727323.58878976
2022-05-10 13:05:32.563910,81.3,81.3,81.3,81.3,8946.16960381,727323.58878976
2022-05-10 13:05:41.532536,81.3,81.3,81.3,81.3,9946.16960381,808623.58878976
2022-05-10 13:05:50.036583,81.3,81.3,81.3,81.3,9946.16960381,808623.58878976
2022-05-10 13:05:58.597742,81.3,81.3,81.3,81.3,9946.16960381,808623.58878976
2022-05-10 13:06:16.122548,81.5,81.5,81.5,81.5,10000.0,815000.0
2022-05-10 13:06:24.735589,81.5,81.5,81.5,81.5,15100.0,1230650.0
2022-05-10 13:06:33.977803,81.5,81.5,81.5,81.5,15100.0,1230650.0
2022-05-10 13:06:43.128521,81.5,81.6,81.5,81.6,24700.68811302,2013118.33611309
2022-05-10 13:07:00.562827,81.5,81.6,81.5,81.5,26500.68811302,2159818.33611309
2022-05-10 13:07:09.556873,81.5,81.6,81.5,81.6,3137.40225165,256000.1307058
2022-05-10 13:07:19.134139,81.5,81.6,81.5,81.6,3137.40225165,256000.1307058
2022-05-10 13:07:28.176710,81.5,81.6,81.5,81.6,3137.40225165,256000.1307058
2022-05-10 13:07:36.959563,81.5,81.6,81.5,81.6,3137.40225165,256000.1307058
2022-05-10 13:07:45.580959,81.5,81.7,81.5,81.7,3198.61400196,261001.13070613
2022-05-10 13:08:11.728993,81.8,81.8,81.8,81.8,61.12469437,4999.99999947
2022-05-10 13:08:20.803702,81.8,81.8,81.8,81.8,61.12469437,4999.99999947
2022-05-10 13:08:30.443758,81.8,81.8,81.8,81.8,61.12469437,4999.99999947
2022-05-10 13:08:38.923845,81.8,81.8,81.8,81.8,61.12469437,4999.99999947
2022-05-10 13:08:48.106525,81.8,81.8,81.8,81.8,61.12469437,4999.99999947
2022-05-10 13:08:56.623974,81.8,81.8,81.8,81.8,61.12469437,4999.99999947
2022-05-10 13:09:05.180274,81.8,81.8,81.8,81.8,80.93389202,6620.39236724
2022-05-10 13:09:14.228334,81.8,81.8,81.8,81.8,80.93389202,6620.39236724
2022-05-10 13:09:31.125725,81.8,81.9,81.8,81.9,215.48881009,17640.44015717
2022-05-10 13:10:05.538357,81.8,81.9,81.8,81.9,8279.16041009,678055.14419717
2022-05-10 13:10:14.835583,81.8,81.9,81.8,81.9,8279.16041009,678055.14419717
2022-05-10 13:10:22.973499,81.8,81.9,81.8,81.9,8279.16041009,678055.14419717
2022-05-10 13:10:37.793112,81.9,82.0,81.9,82.0,6195.95713002,507454.98772913
2022-05-10 13:10:46.173949,81.9,82.0,81.9,82.0,6195.95713002,507454.98772913
2022-05-10 13:10:54.707943,81.9,82.0,81.9,82.0,6195.95713002,507454.98772913
2022-05-10 13:11:03.980024,81.9,81.9,81.9,81.9,6134.96932515,502453.98772979
2022-05-10 13:11:14.701705,81.9,81.9,81.9,81.9,6134.96932515,502453.98772979
2022-05-10 13:11:24.276169,81.9,81.9,81.9,81.9,6134.96932515,502453.98772979
2022-05-10 13:11:34.042057,81.9,81.9,81.9,81.9,6134.96932515,502453.98772979
