,open,high,low,close,volume,value
2022-05-10 12:51:09.407377,144.0,145.0,144.0,145.0,60229.74685194,8728228.38805867
2022-05-10 12:51:19.187810,144.0,145.0,144.0,144.0,63311.81110709,9174114.60631751
2022-05-10 12:51:30.154199,144.0,145.0,144.0,144.0,660147.7604062,95118491.30538934
2022-05-10 12:51:50.330185,144.0,145.0,144.0,144.0,672050.74171355,96832520.61364774
2022-05-10 12:52:00.712178,144.0,145.0,144.0,144.0,777067.78537092,111954974.90030903
2022-05-10 12:52:10.830116,144.0,144.0,144.0,144.0,132822.48384993,19126437.67438992
2022-05-10 12:52:28.578053,144.0,144.0,144.0,144.0,188821.18930191,27190251.25947504
2022-05-10 12:52:39.143948,144.0,144.0,144.0,144.0,197813.35629311,28485123.30620784
2022-05-10 12:52:48.200032,144.0,144.0,144.0,144.0,209112.72359246,30112232.19731424
2022-05-10 12:52:55.995072,144.0,145.0,144.0,144.0,221809.07393642,31946309.89201689
2022-05-10 12:53:03.603067,144.0,145.0,144.0,144.0,263887.03508912,38046904.58562637
2022-05-10 12:53:11.649977,144.0,145.0,144.0,145.0,96551.05826742,13957736.99131152
2022-05-10 12:53:28.257042,144.0,145.0,144.0,145.0,175721.24781463,25387734.41910976
2022-05-10 12:53:35.994219,144.0,145.0,144.0,145.0,190822.68755426,27569984.66061648
2022-05-10 12:53:44.536215,144.0,145.0,144.0,145.0,217971.588216,31506575.25656878
2022-05-10 12:53:53.697060,144.0,145.0,144.0,145.0,224342.28476772,32430326.25656818
2022-05-10 12:54:01.594786,144.0,145.0,144.0,145.0,235203.20607616,34005159.84629198
2022-05-10 12:54:10.252031,145.0,145.0,145.0,145.0,10195.12965517,1478293.79999965
2022-05-10 12:54:26.722722,145.0,145.0,144.0,144.0,51719.99872304,7497947.69984102
2022-05-10 12:54:35.750318,145.0,145.0,144.0,144.0,72525.52630924,10493943.67225382
2022-05-10 12:54:44.705382,145.0,145.0,144.0,145.0,83748.0376383,12111598.47605224
2022-05-10 12:55:03.993134,145.0,145.0,144.0,144.0,94521.72058722,13663008.82069672
2022-05-10 12:55:32.420965,144.0,145.0,144.0,145.0,69845.70865595,10077075.1667751
2022-05-10 12:55:42.068788,144.0,145.0,144.0,145.0,72334.53127653,10437954.4467592
2022-05-10 12:55:52.353148,144.0,145.0,144.0,144.0,75575.91058688,10904713.0674496
2022-05-10 12:56:01.072786,144.0,145.0,144.0,145.0,82725.10503462,11936575.68895847
2022-05-10 12:56:10.608377,145.0,145.0,144.0,144.0,9139.91318098,1323044.04978525
2022-05-10 12:56:28.642466,145.0,145.0,144.0,144.0,23319.05682693,3368065.25357714
2022-05-10 12:56:46.271865,145.0,145.0,144.0,144.0,64584.62374704,9335637.37351091
2022-05-10 12:57:05.754129,144.0,145.0,144.0,145.0,63426.18139108,9154394.09108875
2022-05-10 12:57:14.910125,144.0,145.0,144.0,144.0,98348.40361331,14183194.09108987
2022-05-10 12:57:24.150307,144.0,145.0,144.0,145.0,152235.32691192,21982237.28686428
2022-05-10 12:57:34.027767,144.0,145.0,144.0,144.0,152536.53173119,22025610.78083916
2022-05-10 12:57:43.010185,144.0,145.0,144.0,145.0,153226.1869036,22125610.78083861
2022-05-10 12:57:52.609265,144.0,145.0,144.0,145.0,162922.42154489,23531564.80382566
2022-05-10 12:58:02.530336,145.0,145.0,145.0,145.0,3040.44184804,440864.0679658
2022-05-10 12:58:11.664407,145.0,145.0,144.0,145.0,23313.49842319,3379422.78860392
2022-05-10 12:58:20.778554,145.0,145.0,144.0,145.0,23351.80876801,3384977.78860282
2022-05-10 12:58:28.763550,145.0,145.0,144.0,145.0,24818.74014714,3597682.83857667
2022-05-10 12:58:36.785182,145.0,145.0,144.0,145.0,64333.84012233,9287933.85569367
2022-05-10 12:58:52.756934,145.0,145.0,144.0,145.0,70635.63760977,10195775.65940226
2022-05-10 12:59:08.732307,145.0,145.0,145.0,145.0,700.0,101500.0
2022-05-10 12:59:18.275393,145.0,145.0,145.0,145.0,700.0,101500.0
2022-05-10 12:59:27.239629,145.0,145.0,145.0,145.0,1410.5,204522.5
2022-05-10 12:59:37.101628,145.0,145.0,144.0,144.0,10252.24583908,1479408.97999993
2022-05-10 12:59:53.961859,145.0,145.0,144.0,144.0,1336295.41599483,192429625.48242792
2022-05-10 13:00:05.743603,143.0,144.0,143.0,144.0,110746.26301872,15943872.3166578
2022-05-10 13:00:15.839977,143.0,144.0,143.0,144.0,256270.50154469,36899362.66439748
2022-05-10 13:00:24.629202,143.0,144.0,143.0,143.0,340061.68850448,48898032.648405
2022-05-10 13:00:33.073196,143.0,144.0,143.0,144.0,387826.79119525,55774114.20557529
2022-05-10 13:00:41.312515,143.0,144.0,143.0,144.0,389094.90389653,55956722.43455961
2022-05-10 13:00:50.589679,143.0,144.0,143.0,144.0,461958.83696139,66445773.12977435
2022-05-10 13:01:19.496146,143.0,144.0,143.0,143.0,15529.427435,2221124.78987166
2022-05-10 13:01:35.830375,143.0,144.0,143.0,143.0,46244.32597096,6613355.28051394
2022-05-10 13:01:44.631606,143.0,144.0,143.0,143.0,48002.16929929,6865421.37646513
2022-05-10 13:01:52.999634,143.0,144.0,143.0,143.0,125609.21401363,17963228.77061575
2022-05-10 13:02:01.783121,143.0,143.0,143.0,143.0,35622.83129233,5094064.87480319
2022-05-10 13:02:28.954633,143.0,144.0,143.0,143.0,56227.27548862,8041255.95343754
2022-05-10 13:02:38.275627,143.0,144.0,143.0,144.0,61296.61915011,8768516.80301095
2022-05-10 13:02:47.628882,143.0,144.0,143.0,144.0,129665.44916918,18612125.9105027
2022-05-10 13:03:07.387895,144.0,144.0,144.0,144.0,116556.26415958,16784102.03897952
2022-05-10 13:03:16.107326,144.0,144.0,143.0,144.0,143504.44789451,20664231.06307451
2022-05-10 13:03:25.533312,144.0,144.0,143.0,144.0,153750.7395421,22139697.06032747
2022-05-10 13:03:34.640428,144.0,144.0,143.0,144.0,153820.18398654,22149697.06032683
2022-05-10 13:03:43.303297,144.0,144.0,143.0,144.0,167713.78363973,24150375.41038619
2022-05-10 13:03:52.078408,144.0,144.0,143.0,144.0,203013.25490402,29233499.27244395
2022-05-10 13:03:59.991592,144.0,144.0,143.0,144.0,217130.76797796,31263820.60853959
2022-05-10 13:04:08.231685,144.0,144.0,144.0,144.0,961291.02999536,138425908.31933185
2022-05-10 13:04:17.203907,144.0,144.0,144.0,144.0,961291.02999536,138425908.31933185
2022-05-10 13:04:35.159941,144.0,144.0,144.0,144.0,1058141.60970603,152372391.7976683
2022-05-10 13:04:43.847517,144.0,144.0,144.0,144.0,1061846.32975979,152905871.48540977
2022-05-10 13:05:01.185675,144.0,144.0,144.0,144.0,1375575.84384455,198082921.5136152
2022-05-10 13:05:18.854540,144.0,144.0,144.0,144.0,89819.65742559,12934030.66928496
2022-05-10 13:05:26.630535,144.0,144.0,144.0,144.0,93222.43520337,13424030.66928528
2022-05-10 13:05:35.142158,144.0,144.0,144.0,144.0,155740.7614192,22426669.6443648
2022-05-10 13:05:52.047661,144.0,144.0,143.0,144.0,171590.48753154,24708123.23873895
2022-05-10 13:06:18.105546,143.0,144.0,143.0,144.0,357011.20962789,51404614.18641616
2022-05-10 13:06:26.660595,143.0,145.0,143.0,145.0,451859.99530744,65081460.06950717
2022-05-10 13:06:36.134081,143.0,145.0,143.0,145.0,458967.20769228,66105398.65292413
2022-05-10 13:06:45.017632,143.0,145.0,143.0,145.0,458967.20769228,66105398.65292413
2022-05-10 13:06:54.198867,143.0,145.0,143.0,145.0,458967.20769228,66105398.65292413
2022-05-10 13:07:11.787906,145.0,145.0,145.0,145.0,500.0,72500.0
2022-05-10 13:07:20.833139,145.0,145.0,144.0,144.0,23455.94176491,3379155.61414704
2022-05-10 13:07:30.200709,145.0,145.0,144.0,144.0,49969.72843817,7197140.89509648
2022-05-10 13:07:38.559563,145.0,145.0,144.0,145.0,83232.14490235,12019982.94906924
2022-05-10 13:07:47.552958,145.0,145.0,144.0,144.0,83950.46042813,12123420.38478156
2022-05-10 13:07:56.151679,145.0,145.0,144.0,144.0,99157.59901042,14313937.65114847
2022-05-10 13:08:13.925992,145.0,145.0,145.0,145.0,1758.62068965,254999.99999925
2022-05-10 13:08:22.641701,145.0,145.0,145.0,145.0,3137.93103447,454999.99999815
2022-05-10 13:08:40.866994,145.0,145.0,144.0,144.0,18883.91669784,2737529.03310962
2022-05-10 13:08:50.052098,145.0,145.0,144.0,145.0,28168.78423762,4076890.38193328
2022-05-10 13:08:58.598972,145.0,145.0,144.0,145.0,33014.46577919,4779396.55840211
2022-05-10 13:09:07.034274,145.0,145.0,144.0,145.0,33014.46577919,4779396.55840211
2022-05-10 13:09:16.303397,145.0,145.0,144.0,145.0,226097.31578939,32756708.57884371
2022-05-10 13:09:33.018723,145.0,145.0,144.0,145.0,689700.81782175,99979216.37353592
2022-05-10 13:09:50.119293,145.0,145.0,144.0,145.0,1058548.89497806,153462187.56120086
2022-05-10 13:09:58.853295,145.0,145.0,144.0,145.0,1364329.69977548,197763053.25145826
2022-05-10 13:10:07.328356,145.0,145.0,144.0,145.0,167864.85275391,24331315.4286273
2022-05-10 13:10:16.942581,145.0,145.0,144.0,145.0,302411.62351658,43837124.96699222
2022-05-10 13:10:24.661498,145.0,145.0,144.0,145.0,302411.62351658,43837124.96699222
2022-05-10 13:10:31.897493,145.0,145.0,144.0,145.0,304211.62351658,44098124.96699222
2022-05-10 13:10:48.121947,145.0,145.0,144.0,145.0,442749.93812133,64186180.58468097
2022-05-10 13:10:56.561941,145.0,145.0,144.0,145.0,445818.86917304,64631175.58717892
2022-05-10 13:11:06.136690,145.0,145.0,145.0,145.0,6879.0,997455.0
2022-05-10 13:11:16.683704,145.0,145.0,144.0,144.0,121183.44300084,17535948.04087957
2022-05-10 13:11:37.605956,145.0,145.0,144.0,145.0,214812.72479312,31110796.2384628
2022-05-10 13:11:55.993716,145.0,145.0,144.0,145.0,539668.88488476,78214939.4517506
2022-05-10 13:12:05.411601,145.0,145.0,145.0,145.0,9359.55091711,1357134.88298095
2022-05-10 13:12:24.855407,145.0,145.0,145.0,145.0,354488.05501405,51400767.97703725
2022-05-10 13:12:43.835469,145.0,145.0,145.0,145.0,424832.97983987,61600782.07678115
2022-05-10 13:12:53.272865,145.0,145.0,145.0,145.0,426380.15570193,61825122.57677985
2022-05-10 13:13:02.128396,145.0,145.0,145.0,145.0,426860.7391502,61894807.176779
2022-05-10 13:13:11.626000,145.0,145.0,144.0,145.0,10314.98799224,1487087.13059063
2022-05-10 13:13:20.660434,145.0,145.0,144.0,145.0,15211.53971637,2197087.13058948
2022-05-10 13:13:28.956012,145.0,145.0,144.0,144.0,28528.77362244,4127525.04529226
2022-05-10 13:13:45.101273,145.0,145.0,144.0,144.0,41858.93983406,6059252.15714235
2022-05-10 13:13:53.613267,145.0,145.0,144.0,145.0,76019.48575636,11010668.21824594
2022-05-10 13:14:10.149284,145.0,145.0,144.0,145.0,78711.89664049,11400808.16435608
2022-05-10 13:14:19.200278,145.0,145.0,145.0,145.0,9136.26871253,1324758.96331685
2022-05-10 13:14:28.079140,145.0,145.0,144.0,145.0,42178.68249981,6088418.16230558
2022-05-10 13:14:37.253986,145.0,145.0,144.0,145.0,77681.14066044,11211340.19134038
2022-05-10 13:15:05.124949,145.0,145.0,145.0,145.0,232.60413793,33727.59999985
2022-05-10 13:15:13.192883,145.0,145.0,145.0,145.0,12494.89975926,1811760.4650927
2022-05-10 13:15:21.531462,145.0,145.0,145.0,145.0,124529.79817095,18056820.73478775
2022-05-10 13:15:30.742644,145.0,145.0,145.0,145.0,448749.41718698,65068665.4921121
2022-05-10 13:15:39.071195,145.0,146.0,144.0,146.0,1729209.8307427,250764525.39835662
2022-05-10 13:15:49.626163,145.0,146.0,144.0,146.0,1738484.16449158,252111137.34366834
2022-05-10 13:16:09.900179,146.0,146.0,145.0,146.0,8105.77759748,1179443.52923208
2022-05-10 13:16:21.102160,146.0,146.0,145.0,146.0,9644.13376185,1404043.5292301
2022-05-10 13:16:32.007908,146.0,146.0,145.0,145.0,13373.97551904,1948393.52922812
2022-05-10 13:16:43.541902,146.0,146.0,145.0,146.0,39768.46013323,5797840.70633849
2022-05-10 13:16:55.321000,146.0,146.0,145.0,146.0,41480.78890035,6047840.70633801
2022-05-10 13:17:07.503258,146.0,146.0,146.0,146.0,27729.06697336,4048443.77811056
2022-05-10 13:17:19.562085,146.0,146.0,146.0,146.0,411830.14888444,60127201.73712824
2022-05-10 13:17:31.174540,146.0,146.0,145.0,146.0,422098.02667465,61626248.01570869
2022-05-10 13:17:42.970691,146.0,146.0,145.0,145.0,482947.70270677,70503312.78064007
2022-05-10 13:17:54.907401,146.0,146.0,145.0,146.0,484976.47088484,70799512.93463828
2022-05-10 13:18:07.402813,146.0,146.0,146.0,146.0,84251.03293356,12300650.80829976
2022-05-10 13:18:19.195350,146.0,146.0,146.0,146.0,181504.57110479,26499667.38129934
2022-05-10 13:18:30.922957,146.0,146.0,146.0,146.0,322102.35120174,47026943.27545404
2022-05-10 13:18:39.710860,146.0,146.0,146.0,146.0,326360.54648765,47648639.7871969
2022-05-10 13:18:56.680038,146.0,146.0,145.0,146.0,348558.59604069,50889508.87834588
2022-05-10 13:19:05.583539,146.0,146.0,146.0,146.0,46939.8955747,6853224.7539062
2022-05-10 13:19:31.757790,146.0,146.0,145.0,146.0,83924.93182679,12245681.89992802
2022-05-10 13:19:39.768584,146.0,146.0,145.0,146.0,94045.32368564,13722711.16611464
2022-05-10 13:19:57.275067,146.0,146.0,145.0,146.0,561104.46871629,81913346.34058954
2022-05-10 13:20:06.721004,146.0,146.0,145.0,146.0,490178.83324601,71556109.65391746
2022-05-10 13:20:17.299866,146.0,146.0,145.0,146.0,495773.96998846,72372999.61831516
2022-05-10 13:20:26.875950,146.0,146.0,145.0,145.0,573236.69452475,83681870.90440139
2022-05-10 13:20:35.593198,146.0,146.0,145.0,146.0,604948.09677772,88311735.63333501
2022-05-10 13:20:44.059638,146.0,146.0,145.0,146.0,604948.09677772,88311735.63333501
2022-05-10 13:20:52.889190,146.0,146.0,145.0,146.0,624761.49812496,91204492.23003206
2022-05-10 13:21:00.754288,146.0,146.0,145.0,145.0,680517.98707704,99289383.12808365
