,open,high,low,close,volume,value
2022-05-10 12:51:04.901267,231.0,231.0,230.0,230.0,1513.16472722,348079.49349211
2022-05-10 12:51:25.176805,231.0,231.0,230.0,231.0,6352.4151217,1465946.33461699
2022-05-10 12:51:35.965193,231.0,231.0,230.0,231.0,6352.4151217,1465946.33461699
2022-05-10 12:51:46.002187,231.0,231.0,230.0,231.0,6352.4151217,1465946.33461699
2022-05-10 12:51:55.937181,231.0,231.0,230.0,231.0,24604.99087927,5682291.33461566
2022-05-10 12:52:06.396617,230.0,230.0,230.0,230.0,56.86225713,13078.3191399
2022-05-10 12:52:23.877970,230.0,231.0,230.0,231.0,136.23224528,31412.78640255
2022-05-10 12:52:35.268950,230.0,231.0,230.0,230.0,8985.7897674,2066811.01649015
2022-05-10 12:52:52.639074,230.0,231.0,230.0,230.0,12663.12944891,2912599.14323745
2022-05-10 12:53:07.693679,230.0,231.0,230.0,230.0,12663.12944891,2912599.14323745
2022-05-10 12:53:16.198974,230.0,230.0,230.0,230.0,2666.51257237,613297.8916451
2022-05-10 12:53:24.790045,230.0,231.0,230.0,231.0,3106.51257237,714937.8916451
2022-05-10 12:53:32.834152,230.0,231.0,230.0,231.0,20843.14469037,4812099.9109031
2022-05-10 12:53:40.669216,230.0,231.0,230.0,231.0,20843.14469037,4812099.9109031
2022-05-10 12:53:49.299210,230.0,231.0,230.0,231.0,46895.33244813,10830155.28294566
2022-05-10 12:53:58.153777,230.0,231.0,230.0,231.0,46895.33244813,10830155.28294566
2022-05-10 12:54:06.048033,230.0,231.0,230.0,231.0,46895.33244813,10830155.28294566
2022-05-10 12:54:15.021111,231.0,231.0,231.0,231.0,4329.004329,999999.999999
2022-05-10 12:54:22.865638,231.0,231.0,231.0,231.0,4761.9047619,1099999.9999989
2022-05-10 12:54:32.137320,231.0,231.0,230.0,230.0,22508.71317587,5181765.935212
2022-05-10 12:54:49.570500,231.0,231.0,230.0,230.0,22925.1715092,5277551.3518779
2022-05-10 12:54:59.287730,231.0,231.0,230.0,230.0,48613.45365188,11185856.2446943
2022-05-10 12:55:08.986260,231.0,231.0,230.0,230.0,48613.45365188,11185856.2446943
2022-05-10 12:55:17.834993,231.0,231.0,231.0,231.0,43.29870128,10001.99999568
2022-05-10 12:55:27.700968,231.0,231.0,231.0,231.0,133.29870128,30791.99999568
2022-05-10 12:55:38.044961,231.0,231.0,231.0,231.0,133.29870128,30791.99999568
2022-05-10 12:55:56.892145,231.0,231.0,230.0,231.0,2435.47569095,562457.20978428
2022-05-10 12:56:06.304586,231.0,231.0,231.0,231.0,123.88921432,28618.40850792
2022-05-10 12:56:15.813373,231.0,231.0,231.0,231.0,123.88921432,28618.40850792
2022-05-10 12:56:24.666397,231.0,231.0,231.0,231.0,123.88921432,28618.40850792
2022-05-10 12:56:51.411062,231.0,231.0,231.0,231.0,123.88921432,28618.40850792
2022-05-10 12:57:02.044052,231.0,231.0,231.0,231.0,123.88921432,28618.40850792
2022-05-10 12:57:10.767127,232.0,232.0,231.0,231.0,37948.67559163,8766328.62718678
2022-05-10 12:57:30.124302,232.0,232.0,231.0,231.0,46148.04702754,10660383.42888199
2022-05-10 12:57:38.979188,232.0,232.0,231.0,231.0,47446.74832624,10960383.42888169
2022-05-10 12:57:48.642276,232.0,232.0,231.0,231.0,48578.87579336,11221904.87378641
2022-05-10 12:57:58.222262,232.0,232.0,231.0,231.0,48578.87579336,11221904.87378641
2022-05-10 12:58:07.866410,232.0,232.0,231.0,231.0,48578.87579336,11221904.87378641
2022-05-10 12:58:16.979557,231.0,231.0,231.0,231.0,9544.19674655,2204709.44845305
2022-05-10 12:58:41.085275,231.0,231.0,231.0,231.0,9544.19674655,2204709.44845305
2022-05-10 12:58:49.026935,231.0,231.0,231.0,231.0,25357.66315789,5857620.18947259
2022-05-10 12:58:57.095931,231.0,231.0,231.0,231.0,29024.71622707,6704709.44845317
2022-05-10 12:59:04.843219,231.0,231.0,231.0,231.0,31917.72781651,7372995.12561381
2022-05-10 12:59:13.890370,231.0,231.0,231.0,231.0,7565.73021475,1747683.67960725
2022-05-10 12:59:23.056451,231.0,231.0,231.0,231.0,7565.73021475,1747683.67960725
2022-05-10 12:59:32.665625,231.0,231.0,231.0,231.0,7587.59168661,1752733.67960691
2022-05-10 12:59:42.179706,231.0,231.0,231.0,231.0,7587.59168661,1752733.67960691
2022-05-10 12:59:49.795701,231.0,231.0,231.0,231.0,7587.59168661,1752733.67960691
2022-05-10 13:00:12.175595,231.0,231.0,231.0,231.0,7587.59168661,1752733.67960691
2022-05-10 13:00:29.536200,231.0,231.0,231.0,231.0,649.02613628,149925.03748068
2022-05-10 13:00:37.562517,231.0,231.0,230.0,230.0,2881.56684635,665572.82071019
2022-05-10 13:00:45.931823,231.0,231.0,230.0,230.0,5237.57997992,1207513.32395726
