,open,high,low,close,volume,value
2022-05-10 12:50:51.902785,31200.0,31320.0,31200.0,31220.0,357.97489391,11181011.4230937
2022-05-10 12:51:21.439809,31230.0,31230.0,31190.0,31190.0,470.66446733,14698728.6212959
2022-05-10 12:51:32.810196,31230.0,31230.0,31190.0,31190.0,572.62793142,17878969.066263
2022-05-10 12:51:42.606190,31230.0,31230.0,31190.0,31190.0,572.62793142,17878969.066263
2022-05-10 12:52:03.208176,31160.0,31160.0,31150.0,31150.0,171.52681874,5343060.4666402
2022-05-10 12:52:12.730668,31160.0,31160.0,31150.0,31160.0,182.82438911,5695054.8024203
2022-05-10 12:52:21.127770,31160.0,31190.0,31150.0,31190.0,662.68131414,20659632.983114
2022-05-10 12:52:32.622952,31160.0,31200.0,31150.0,31200.0,2801.83487181,87380532.4468413
2022-05-10 12:52:49.802031,31160.0,31270.0,31150.0,31260.0,2840.46592245,88588349.853683
2022-05-10 12:52:57.605071,31160.0,31270.0,31150.0,31250.0,2841.46592245,88619599.853683
2022-05-10 12:53:13.673975,31190.0,31230.0,31160.0,31160.0,199.24291865,6214605.0128809
2022-05-10 12:53:21.774046,31190.0,31230.0,31160.0,31170.0,200.24291865,6245775.0128809
2022-05-10 12:53:29.857042,31190.0,31230.0,31160.0,31200.0,204.43078727,6376436.5138249
2022-05-10 12:53:37.698218,31190.0,31230.0,31160.0,31190.0,233.35840744,7278688.9869272
2022-05-10 12:53:46.560213,31190.0,31230.0,31160.0,31190.0,233.35840744,7278688.9869272
2022-05-10 12:53:55.756058,31190.0,31240.0,31160.0,31210.0,286.01136211,8922514.6047293
2022-05-10 12:54:03.588900,31210.0,31230.0,31210.0,31230.0,3.11634128,97305.9559392
2022-05-10 12:54:12.327113,31210.0,31230.0,31170.0,31170.0,341.16381199,10639203.7738493
2022-05-10 12:54:20.226640,31210.0,31230.0,31170.0,31180.0,370.81505164,11563729.4261363
2022-05-10 12:54:28.836813,31210.0,31230.0,31170.0,31170.0,1023.66658959,31932803.4121097
2022-05-10 12:54:37.692316,31210.0,31230.0,31170.0,31180.0,1149.50128226,35856247.3200764
2022-05-10 12:54:46.663381,31210.0,31230.0,31170.0,31180.0,1248.4963723,38942934.178424
