,open,high,low,close,volume,value
2022-05-10 12:50:59.721271,4660.0,4665.0,4640.0,4650.0,4316.7501796,20090387.15061025
2022-05-10 12:51:09.687377,4655.0,4655.0,4655.0,4655.0,644.41117078,2999733.9999809
2022-05-10 12:51:19.447808,4655.0,4655.0,4645.0,4645.0,1108.42373676,5157603.8443017
2022-05-10 12:51:30.464196,4655.0,4660.0,4645.0,4660.0,1115.59749803,5190979.655294
2022-05-10 12:51:40.655191,4655.0,4660.0,4645.0,4660.0,1115.59749803,5190979.655294
2022-05-10 12:51:50.531184,4655.0,4660.0,4645.0,4660.0,1115.59749803,5190979.655294
2022-05-10 12:52:00.978178,4655.0,4660.0,4645.0,4660.0,1115.59749803,5190979.655294
2022-05-10 12:52:11.083116,4655.0,4655.0,4655.0,4655.0,10.72961373,49946.35191315
2022-05-10 12:52:19.524771,4655.0,4660.0,4645.0,4660.0,3554.29093924,16546038.13513425
2022-05-10 12:52:28.864053,4655.0,4660.0,4645.0,4655.0,5809.72671678,27045091.67958295
2022-05-10 12:52:39.370947,4655.0,4660.0,4645.0,4655.0,5809.72671678,27045091.67958295
2022-05-10 12:53:03.814067,4655.0,4660.0,4645.0,4655.0,7002.03053135,32595500.0564063
2022-05-10 12:53:11.886976,4655.0,4660.0,4645.0,4655.0,7002.03053135,32595500.0564063
2022-05-10 12:53:19.795048,4650.0,4650.0,4645.0,4645.0,1318.93228275,6126460.45337375
2022-05-10 12:53:36.190219,4650.0,4660.0,4645.0,4650.0,1765.54908297,8202636.59650195
2022-05-10 12:53:44.824214,4650.0,4660.0,4645.0,4650.0,1765.54908297,8202636.59650195
2022-05-10 12:53:53.898059,4650.0,4660.0,4645.0,4650.0,3725.30585715,17315505.59643895
2022-05-10 12:54:01.781786,4650.0,4660.0,4645.0,4650.0,3726.81123349,17322505.59641995
2022-05-10 12:54:18.634641,4650.0,4660.0,4650.0,4660.0,4181.43951217,19445007.66209045
2022-05-10 12:54:26.943721,4650.0,4660.0,4650.0,4660.0,4181.43951217,19445007.66209045
