,open,high,low,close,volume,value
2022-05-10 12:50:53.161881,595.0,595.0,593.0,594.0,10792.76179665,6412904.10736555
2022-05-10 12:51:02.546269,595.0,595.0,593.0,594.0,10792.76179665,6412904.10736555
2022-05-10 12:51:22.542807,595.0,595.0,593.0,594.0,10792.76179665,6412904.10736555
2022-05-10 12:51:33.731195,594.0,594.0,594.0,594.0,33.67003367,19999.99999998
2022-05-10 12:51:43.529189,594.0,594.0,594.0,594.0,33.67003367,19999.99999998
2022-05-10 12:51:53.529182,594.0,594.0,594.0,594.0,33.67003367,19999.99999998
2022-05-10 12:52:04.135176,594.0,594.0,594.0,594.0,33.67003367,19999.99999998
2022-05-10 12:52:22.021768,594.0,594.0,594.0,594.0,33.67003367,19999.99999998
2022-05-10 12:52:50.649075,593.0,593.0,593.0,593.0,80.0,47440.0
2022-05-10 12:52:58.629070,593.0,593.0,592.0,592.0,3176.73444664,1880706.79241088
2022-05-10 12:53:06.132680,593.0,593.0,592.0,592.0,3176.73444664,1880706.79241088
2022-05-10 12:53:22.756047,593.0,593.0,592.0,592.0,3176.73444664,1880706.79241088
2022-05-10 12:53:30.622154,593.0,593.0,592.0,592.0,3176.73444664,1880706.79241088
2022-05-10 12:53:38.530217,593.0,593.0,592.0,592.0,3176.73444664,1880706.79241088
2022-05-10 12:54:13.215112,593.0,593.0,592.0,592.0,3176.73444664,1880706.79241088
2022-05-10 12:54:21.177639,592.0,592.0,592.0,592.0,3000.0,1776000.0
2022-05-10 12:54:30.138811,592.0,594.0,592.0,594.0,3902.3755449,2312011.0736706
2022-05-10 12:54:47.539385,592.0,594.0,592.0,594.0,3902.3755449,2312011.0736706
2022-05-10 12:54:56.912672,592.0,594.0,592.0,594.0,3902.3755449,2312011.0736706
2022-05-10 12:55:07.007262,592.0,594.0,592.0,594.0,3902.3755449,2312011.0736706
2022-05-10 12:55:25.627241,592.0,594.0,592.0,594.0,3902.3755449,2312011.0736706
2022-05-10 12:55:35.590963,592.0,594.0,592.0,594.0,3902.3755449,2312011.0736706
2022-05-10 12:55:55.092147,594.0,594.0,594.0,594.0,797.49625187,473712.77361078
2022-05-10 12:56:04.238202,594.0,594.0,594.0,594.0,797.49625187,473712.77361078
2022-05-10 12:56:13.858378,595.0,595.0,595.0,595.0,588.23529411,349999.99999545
2022-05-10 12:56:22.346369,595.0,595.0,595.0,595.0,588.23529411,349999.99999545
2022-05-10 12:56:40.608960,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:56:49.042064,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:57:00.182284,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:57:08.768127,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:57:27.783303,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:57:36.917039,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:57:46.851269,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:57:55.976264,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:58:05.851411,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:58:14.550482,595.0,595.0,595.0,595.0,622.08416345,370140.07725275
2022-05-10 12:58:31.730547,596.0,597.0,596.0,597.0,1507.67230997,900030.36905209
2022-05-10 12:58:47.271931,596.0,598.0,596.0,598.0,1811.21451879,1081548.60992645
2022-05-10 12:58:55.162934,596.0,598.0,596.0,598.0,1811.21451879,1081548.60992645
2022-05-10 12:59:02.998220,596.0,598.0,596.0,597.0,1821.84585479,1087895.51751845
2022-05-10 12:59:21.208391,596.0,598.0,596.0,597.0,1821.84585479,1087895.51751845
2022-05-10 12:59:30.102627,596.0,598.0,596.0,597.0,1821.84585479,1087895.51751845
2022-05-10 12:59:40.208707,597.0,597.0,597.0,597.0,156.73823007,93572.72335179
2022-05-10 12:59:48.032702,597.0,597.0,596.0,596.0,270.3844271,161305.85678167
2022-05-10 12:59:57.194945,597.0,597.0,595.0,595.0,1493.16331398,888859.29447527
2022-05-10 13:00:09.897580,597.0,597.0,595.0,595.0,1493.16331398,888859.29447527
2022-05-10 13:00:18.647974,595.0,595.0,595.0,595.0,9.6401715,5735.9020425
2022-05-10 13:00:35.659602,595.0,595.0,595.0,595.0,1497.34646718,890921.1479721
2022-05-10 13:00:43.992725,595.0,595.0,595.0,595.0,1497.34646718,890921.1479721
2022-05-10 13:00:53.653920,595.0,595.0,595.0,595.0,1505.94890448,896039.5981656
2022-05-10 13:01:03.031995,595.0,595.0,595.0,595.0,1505.94890448,896039.5981656
2022-05-10 13:01:12.254151,595.0,595.0,595.0,595.0,1505.94890448,896039.5981656
2022-05-10 13:01:22.962438,596.0,596.0,596.0,596.0,1677.85229411,999999.96728956
2022-05-10 13:01:38.823496,596.0,597.0,596.0,597.0,1760.85229411,1049550.96728956
2022-05-10 13:01:55.782136,596.0,597.0,596.0,597.0,1760.85229411,1049550.96728956
2022-05-10 13:02:04.661119,596.0,597.0,596.0,597.0,720.39992443,430068.36009171
2022-05-10 13:02:23.547040,596.0,597.0,596.0,597.0,720.39992443,430068.36009171
2022-05-10 13:02:31.682632,596.0,597.0,596.0,597.0,740.49038171,442062.36308787
2022-05-10 13:02:41.308599,596.0,597.0,596.0,597.0,750.75325697,448189.29961809
2022-05-10 13:02:50.972528,596.0,599.0,596.0,599.0,4643.48447566,2779239.57557367
2022-05-10 13:03:00.208759,596.0,599.0,596.0,599.0,4643.48447566,2779239.57557367
2022-05-10 13:03:10.531215,596.0,599.0,596.0,599.0,4643.48447566,2779239.57557367
2022-05-10 13:03:28.593811,597.0,597.0,597.0,597.0,8.6471946,5162.3751762
2022-05-10 13:03:46.346296,597.0,597.0,597.0,597.0,644.4691946,384748.1091762
