,open,high,low,close,volume,value
2022-05-10 12:50:57.790950,767.0,767.0,767.0,767.0,4525.52750276,3471079.59461692
2022-05-10 12:51:07.370871,767.0,767.0,767.0,767.0,4525.52750276,3471079.59461692
2022-05-10 12:51:16.635636,767.0,767.0,767.0,767.0,1843.53254783,1413989.46418561
2022-05-10 12:51:27.783200,767.0,774.0,767.0,772.0,68135.12696685,52568056.08409276
2022-05-10 12:51:38.426192,767.0,774.0,767.0,771.0,69443.98692985,53576628.97020224
2022-05-10 12:51:48.408187,767.0,774.0,767.0,770.0,79082.80735245,60999512.97969325
2022-05-10 12:51:58.311180,767.0,774.0,767.0,771.0,80101.40338398,61783838.41943179
2022-05-10 12:52:08.730118,767.0,774.0,767.0,771.0,80101.40338398,61783838.41943179
2022-05-10 12:52:17.564772,767.0,774.0,767.0,771.0,80101.40338398,61783838.41943179
2022-05-10 12:52:25.859055,767.0,774.0,767.0,771.0,80101.40338398,61783838.41943179
2022-05-10 12:52:37.173949,767.0,774.0,767.0,771.0,80101.40338398,61783838.41943179
2022-05-10 12:52:46.581943,767.0,774.0,767.0,771.0,80101.40338398,61783838.41943179
2022-05-10 12:53:09.905978,770.0,770.0,770.0,770.0,439.31234385,338270.5047645
2022-05-10 12:53:17.864974,770.0,770.0,770.0,770.0,439.31234385,338270.5047645
2022-05-10 12:53:42.656215,770.0,770.0,769.0,770.0,1287.57974925,991165.5279225
2022-05-10 12:53:51.923975,770.0,770.0,769.0,770.0,1819.78767125,1400965.6278625
2022-05-10 12:54:00.106775,770.0,770.0,769.0,770.0,2279.97897819,1755312.9342063
2022-05-10 12:54:08.324032,770.0,770.0,769.0,770.0,2279.97897819,1755312.9342063
2022-05-10 12:54:16.600642,770.0,770.0,770.0,770.0,3219.05619149,2478673.2674473
2022-05-10 12:54:24.994638,770.0,770.0,770.0,770.0,3219.05619149,2478673.2674473
2022-05-10 12:54:33.950319,770.0,770.0,770.0,770.0,3535.33002558,2722204.1196966
2022-05-10 12:55:01.873136,770.0,770.0,769.0,769.0,12110.7466031,9318887.73650931
2022-05-10 12:55:10.845259,769.0,769.0,769.0,769.0,8656.13573557,6656568.38065333
2022-05-10 12:55:19.710993,769.0,769.0,769.0,769.0,9076.13573557,6979548.38065333
2022-05-10 12:55:30.328966,769.0,769.0,769.0,769.0,9106.27647524,7002726.60945956
2022-05-10 12:55:40.180049,769.0,769.0,769.0,769.0,9106.27647524,7002726.60945956
2022-05-10 12:55:49.725746,769.0,770.0,769.0,770.0,10406.66659227,8004026.99957266
2022-05-10 12:55:59.043226,769.0,770.0,769.0,769.0,12809.47427933,9851786.1109218
2022-05-10 12:56:08.998294,769.0,769.0,769.0,769.0,1897.91327543,1459495.30880567
2022-05-10 12:56:17.637372,769.0,769.0,769.0,769.0,1897.91327543,1459495.30880567
2022-05-10 12:56:26.733467,769.0,769.0,769.0,769.0,1910.91717661,1469495.30881309
2022-05-10 12:56:44.347866,769.0,770.0,769.0,770.0,2244.08222395,1725778.01556185
2022-05-10 12:56:55.489308,769.0,770.0,769.0,770.0,2253.54462149,1733064.06166765
2022-05-10 12:57:04.021050,769.0,770.0,769.0,770.0,2253.54462149,1733064.06166765
2022-05-10 12:57:13.156126,769.0,770.0,769.0,770.0,2253.54462149,1733064.06166765
2022-05-10 12:57:22.095213,771.0,771.0,771.0,771.0,3041.08657587,2344677.74999577
2022-05-10 12:57:32.224301,771.0,771.0,771.0,771.0,3310.48994811,2552387.74999281
2022-05-10 12:57:41.027187,771.0,771.0,770.0,770.0,4018.97921177,3097924.48301101
2022-05-10 12:57:50.552267,771.0,771.0,770.0,771.0,4070.92726371,3137976.43105675
2022-05-10 12:58:00.216262,771.0,771.0,770.0,771.0,5225.44420294,4028108.99120308
2022-05-10 12:58:09.857408,771.0,771.0,770.0,771.0,5225.44420294,4028108.99120308
2022-05-10 12:58:18.956556,771.0,771.0,770.0,771.0,5225.44420294,4028108.99120308
2022-05-10 12:58:42.977272,771.0,771.0,770.0,771.0,5225.44420294,4028108.99120308
2022-05-10 12:58:50.673935,771.0,771.0,771.0,771.0,5284.72831406,4074525.53014026
2022-05-10 12:58:58.749930,771.0,771.0,771.0,771.0,5284.72831406,4074525.53014026
2022-05-10 12:59:06.974308,771.0,771.0,771.0,771.0,283.0,218193.0
2022-05-10 12:59:16.442369,771.0,771.0,771.0,771.0,332.62150493,256451.18030103
2022-05-10 12:59:25.326629,771.0,771.0,771.0,771.0,6947.15140078,5356253.73000138
2022-05-10 12:59:34.836624,771.0,771.0,770.0,771.0,7269.52028954,5604524.81223534
2022-05-10 12:59:43.915707,771.0,771.0,770.0,771.0,7269.52028954,5604524.81223534
2022-05-10 12:59:51.759765,771.0,771.0,770.0,771.0,7613.43214726,5869680.85453746
2022-05-10 13:00:01.630407,771.0,771.0,770.0,770.0,8027.78690114,6188879.01416734
