,open,high,low,close,volume,value
2022-05-10 12:51:09.334377,301.0,301.0,298.0,299.0,111223.79010808,33253969.57863732
2022-05-10 12:51:19.106809,299.0,299.0,299.0,299.0,548.48627466,163997.39612334
2022-05-10 12:51:30.074197,299.0,299.0,299.0,299.0,7744.15267466,2315501.64972334
2022-05-10 12:51:40.394193,299.0,299.0,299.0,299.0,9484.59756588,2835894.67219812
2022-05-10 12:51:50.213185,299.0,299.0,299.0,299.0,9484.59756588,2835894.67219812
2022-05-10 12:52:00.627178,299.0,299.0,298.0,298.0,12286.44193674,3670844.2947144
2022-05-10 12:52:10.742117,299.0,299.0,298.0,298.0,8526.56282732,2543705.40462339
2022-05-10 12:52:28.238055,299.0,299.0,298.0,298.0,17054.36361223,5084990.03852657
2022-05-10 12:52:38.998947,299.0,299.0,298.0,299.0,20381.11873193,6078035.30499984
2022-05-10 12:52:48.137032,299.0,299.0,298.0,299.0,31620.91689305,9438734.95517472
2022-05-10 12:52:55.931072,299.0,299.0,298.0,299.0,59578.89677266,17798170.93917811
2022-05-10 12:53:03.538067,299.0,299.0,299.0,299.0,2385.39258798,713232.38380602
2022-05-10 12:53:11.583977,299.0,299.0,299.0,299.0,2385.39258798,713232.38380602
2022-05-10 12:53:28.194043,299.0,299.0,299.0,299.0,6127.99954537,1832271.86406563
2022-05-10 12:53:35.930220,299.0,299.0,299.0,299.0,10271.51947436,3071184.32283364
2022-05-10 12:53:53.614060,299.0,299.0,299.0,299.0,10271.51947436,3071184.32283364
2022-05-10 12:54:10.152031,298.0,298.0,298.0,298.0,988.61079014,294606.01546172
2022-05-10 12:54:18.364641,298.0,298.0,298.0,298.0,988.61079014,294606.01546172
2022-05-10 12:54:26.648721,298.0,299.0,298.0,298.0,1621.77872227,483534.2866612
2022-05-10 12:54:35.672318,298.0,299.0,298.0,298.0,2313.95341055,689802.34376864
2022-05-10 12:54:44.640383,298.0,299.0,298.0,299.0,2481.17749081,739802.34376638
2022-05-10 12:55:03.923134,299.0,299.0,299.0,299.0,32.16555183,9617.49999717
2022-05-10 12:55:32.341965,299.0,299.0,298.0,298.0,1728.40091344,515095.63775695
2022-05-10 12:55:41.991787,299.0,299.0,298.0,298.0,1748.48753679,521081.45151525
2022-05-10 12:55:52.281148,299.0,299.0,298.0,298.0,1748.48753679,521081.45151525
2022-05-10 12:56:00.979787,299.0,299.0,298.0,299.0,3937.50673956,1175598.19314348
2022-05-10 12:56:10.545376,299.0,299.0,299.0,299.0,9392.7215719,2808423.7499981
2022-05-10 12:56:28.577465,299.0,299.0,298.0,299.0,10226.91653374,3057497.72998941
2022-05-10 12:56:46.202865,299.0,299.0,298.0,299.0,56780.47565148,16977011.90619367
2022-05-10 12:57:05.682130,299.0,299.0,298.0,299.0,56780.47565148,16977011.90619367
2022-05-10 12:57:14.838125,299.0,299.0,298.0,299.0,56780.47565148,16977011.90619367
2022-05-10 12:57:24.072306,299.0,299.0,298.0,299.0,56780.47565148,16977011.90619367
2022-05-10 12:57:33.966767,299.0,299.0,298.0,299.0,56780.47565148,16977011.90619367
2022-05-10 12:57:42.901185,299.0,299.0,299.0,299.0,7570.73188988,2263648.83507412
2022-05-10 12:57:52.540266,299.0,299.0,299.0,299.0,7570.73188988,2263648.83507412
2022-05-10 12:58:02.449336,299.0,299.0,299.0,299.0,31721.63637074,9484769.27485126
2022-05-10 12:58:11.603407,299.0,299.0,299.0,299.0,204.59531772,61173.99999828
2022-05-10 12:58:20.715554,299.0,299.0,299.0,299.0,204.59531772,61173.99999828
2022-05-10 12:58:28.668549,299.0,299.0,299.0,299.0,15236.27493192,4555646.20464408
2022-05-10 12:58:36.713180,299.0,299.0,298.0,298.0,27375.05039868,8173001.29373856
2022-05-10 12:58:52.598935,299.0,299.0,298.0,298.0,27375.05039868,8173001.29373856
2022-05-10 12:59:18.126392,298.0,299.0,298.0,299.0,69442.92442341,20695019.40259959
2022-05-10 12:59:27.169628,298.0,299.0,298.0,299.0,72615.08495852,21643495.40259748
2022-05-10 12:59:37.026628,298.0,299.0,298.0,298.0,77302.3027803,23040286.31348792
