,open,high,low,close,volume,value
2022-05-10 12:50:53.817880,747.0,747.0,744.0,745.0,21899.89297512,16313872.3933621
2022-05-10 12:51:03.064268,747.0,747.0,744.0,745.0,29663.34830328,22089903.27160709
2022-05-10 12:51:12.871375,745.0,745.0,745.0,745.0,13418.03134863,9996433.35472935
2022-05-10 12:51:23.091806,745.0,745.0,744.0,744.0,17238.0624934,12839590.42623288
2022-05-10 12:51:34.289194,745.0,745.0,744.0,744.0,20979.45127028,15623183.6762316
2022-05-10 12:51:44.239188,745.0,745.0,744.0,744.0,33076.5638897,24623435.46508008
2022-05-10 12:51:54.096182,745.0,745.0,744.0,744.0,33900.98494001,25236804.72651072
2022-05-10 12:52:13.915684,744.0,745.0,744.0,745.0,13559.1298121,10088261.03657823
2022-05-10 12:52:33.835951,744.0,746.0,744.0,746.0,20091.4999947,14957127.80683203
2022-05-10 12:52:42.547946,744.0,747.0,744.0,747.0,20749.90388042,15448955.50946487
2022-05-10 12:52:51.144075,744.0,747.0,744.0,745.0,22350.27145674,16641229.35382327
2022-05-10 12:52:59.021070,744.0,747.0,744.0,745.0,23682.46818797,17633715.91858962
2022-05-10 12:53:14.876975,745.0,745.0,745.0,745.0,19438.82767436,14481926.6173982
2022-05-10 12:53:23.176046,745.0,745.0,745.0,745.0,19438.82767436,14481926.6173982
2022-05-10 12:53:31.089153,745.0,745.0,745.0,745.0,19438.82767436,14481926.6173982
2022-05-10 12:53:39.046236,745.0,745.0,745.0,745.0,19438.82767436,14481926.6173982
2022-05-10 12:53:47.920213,745.0,745.0,745.0,745.0,21604.18443914,16095117.4071593
2022-05-10 12:53:56.858058,745.0,745.0,745.0,745.0,45862.84886238,34167822.4024731
2022-05-10 12:54:04.698899,745.0,745.0,744.0,744.0,6958.91848685,5184366.12507258
2022-05-10 12:54:13.538111,745.0,745.0,744.0,745.0,7093.14667476,5284366.12506553
2022-05-10 12:54:30.675811,745.0,746.0,744.0,745.0,24769.86127434,18454955.65667565
2022-05-10 12:54:38.975316,745.0,746.0,744.0,745.0,24769.86127434,18454955.65667565
2022-05-10 12:54:48.066735,745.0,746.0,744.0,745.0,24769.86127434,18454955.65667565
2022-05-10 12:54:57.412672,745.0,746.0,744.0,745.0,33034.20002427,24611888.0253735
2022-05-10 12:55:16.061995,745.0,745.0,745.0,745.0,8715.8788471,6493329.7410895
2022-05-10 12:55:26.072240,745.0,746.0,745.0,745.0,17188.17482996,12808039.6783202
2022-05-10 12:55:36.155963,745.0,746.0,745.0,746.0,17308.55658541,12897844.4678859
2022-05-10 12:55:45.966494,745.0,746.0,745.0,746.0,21940.50449202,16353277.60621696
2022-05-10 12:55:55.569146,745.0,748.0,745.0,748.0,28028.34203191,20906041.92770189
2022-05-10 12:56:04.599201,747.0,747.0,747.0,747.0,402.0,300294.0
2022-05-10 12:56:22.738369,747.0,747.0,747.0,747.0,668.64257029,499476.00000663
2022-05-10 12:56:32.027463,747.0,747.0,746.0,746.0,7546.58465042,5635459.79725261
