,open,high,low,close,volume,value
2022-05-10 12:50:54.642881,25.3,25.3,25.3,25.3,4403.16205533,111399.99999985
2022-05-10 12:51:04.119268,25.3,25.3,25.3,25.3,4665.70760078,118042.40229974
2022-05-10 12:51:13.717374,25.2,25.2,25.2,25.2,2289.3250016,57690.99004032
2022-05-10 12:51:24.031805,25.2,25.2,25.2,25.2,5713.96203198,143991.8432059
2022-05-10 12:51:35.278194,25.2,25.2,25.2,25.2,5713.96203198,143991.8432059
2022-05-10 12:51:45.218188,25.2,25.2,25.2,25.2,12807.41912543,322746.96196084
2022-05-10 12:51:55.115181,25.2,25.2,25.2,25.2,865533.13232528,21811434.93459706
2022-05-10 12:52:14.673774,25.2,25.2,25.2,25.2,879251.76320591,22157144.43278894
2022-05-10 12:52:23.180970,25.2,25.2,25.2,25.2,879251.76320591,22157144.43278894
2022-05-10 12:52:34.550950,25.2,25.2,25.2,25.2,209677.02078236,5283860.92371547
2022-05-10 12:52:43.635944,25.2,25.2,25.2,25.2,209677.02078236,5283860.92371547
2022-05-10 12:52:51.992074,25.2,25.2,25.2,25.2,211394.01453356,5327129.16624571
2022-05-10 12:52:59.716070,25.2,25.2,25.2,25.2,212187.66532722,5347129.16624594
2022-05-10 12:53:07.198680,25.2,25.2,25.2,25.2,212187.66532722,5347129.16624594
2022-05-10 12:53:24.054046,25.2,25.2,25.2,25.2,116218.9823217,2928718.35450684
2022-05-10 12:53:32.072153,25.2,25.2,25.2,25.2,126218.9823217,3180718.35450684
2022-05-10 12:53:39.891217,25.2,25.2,25.2,25.2,126218.9823217,3180718.35450684
2022-05-10 12:53:48.547211,25.2,25.3,25.2,25.3,139433.26803598,3515039.78307813
2022-05-10 12:54:31.534320,25.3,25.3,25.3,25.3,8560.82244409,216588.80783548
2022-05-10 12:54:39.715316,25.3,25.3,25.3,25.3,8560.82244409,216588.80783548
2022-05-10 12:54:48.834498,25.3,25.3,25.2,25.2,124495.46063245,3139343.39367822
2022-05-10 12:54:58.425672,25.3,25.3,25.2,25.2,124495.46063245,3139343.39367822
2022-05-10 12:55:08.204260,25.3,25.3,25.2,25.2,124495.46063245,3139343.39367822
2022-05-10 12:55:17.113994,25.3,25.3,25.2,25.2,124495.46063245,3139343.39367822
2022-05-10 12:55:26.998239,25.3,25.3,25.2,25.2,124495.46063245,3139343.39367822
2022-05-10 12:55:37.101962,25.3,25.3,25.2,25.2,124495.46063245,3139343.39367822
2022-05-10 12:55:46.858494,25.2,25.3,25.2,25.3,12596.49096825,318294.3960999
2022-05-10 12:56:23.939604,25.3,25.3,25.3,25.3,239683.92365524,6064003.26847758
2022-05-10 12:56:32.697463,25.3,25.3,25.3,25.3,239683.92365524,6064003.26847758
2022-05-10 12:56:41.769960,25.3,25.3,25.3,25.3,239683.92365524,6064003.26847758
2022-05-10 12:56:50.390064,25.3,25.3,25.3,25.3,239683.92365524,6064003.26847758
