,open,high,low,close,volume,value
2022-05-10 12:50:55.013879,526.0,526.0,526.0,526.0,1944.61533849,1022867.66804574
2022-05-10 12:51:04.444268,525.0,525.0,525.0,525.0,3481.13807519,1827597.48947475
2022-05-10 12:51:14.115374,525.0,525.0,525.0,525.0,3481.13807519,1827597.48947475
2022-05-10 12:51:35.541194,525.0,525.0,525.0,525.0,20783.1487564,10911153.09711
2022-05-10 12:51:45.551188,525.0,525.0,524.0,524.0,23147.71779399,12150811.27280716
2022-05-10 12:51:55.555181,525.0,525.0,524.0,524.0,23147.71779399,12150811.27280716
2022-05-10 12:52:05.926617,525.0,525.0,524.0,524.0,23147.71779399,12150811.27280716
2022-05-10 12:52:14.952773,525.0,525.0,524.0,525.0,8614.51384934,4518459.59075416
2022-05-10 12:52:34.833950,525.0,527.0,524.0,527.0,28214.98464934,14813928.90531295
2022-05-10 12:52:43.958945,525.0,527.0,524.0,527.0,28734.98464934,15087968.90531295
2022-05-10 12:52:59.987069,525.0,527.0,524.0,525.0,33734.98464934,17712968.90531295
2022-05-10 12:53:15.771974,525.0,527.0,524.0,525.0,33734.98464934,17712968.90531295
2022-05-10 12:53:24.440045,525.0,527.0,524.0,525.0,33734.98464934,17712968.90531295
2022-05-10 12:53:40.175217,526.0,526.0,526.0,526.0,9.50570342,4999.99999892
2022-05-10 12:53:48.954212,526.0,526.0,526.0,526.0,9.50570342,4999.99999892
2022-05-10 12:53:57.748778,526.0,526.0,526.0,526.0,9.50570342,4999.99999892
2022-05-10 12:54:05.678971,526.0,526.0,526.0,526.0,9.50570342,4999.99999892
2022-05-10 12:54:14.663111,526.0,526.0,526.0,526.0,9.50570342,4999.99999892
2022-05-10 12:54:31.813320,525.0,526.0,525.0,525.0,7553.13907453,3968142.14206428
2022-05-10 12:54:40.072315,525.0,526.0,525.0,525.0,7553.13907453,3968142.14206428
2022-05-10 12:54:49.110497,525.0,526.0,525.0,525.0,7553.13907453,3968142.14206428
2022-05-10 12:54:58.792672,525.0,526.0,523.0,525.0,7851.81957167,4124495.53981482
2022-05-10 12:55:17.452994,525.0,525.0,524.0,525.0,1638.69410815,860228.7126706
2022-05-10 12:55:27.370239,525.0,526.0,524.0,526.0,11159.69410815,5860070.39443804
2022-05-10 12:55:47.144493,525.0,526.0,524.0,526.0,14542.69410815,7639528.39443804
2022-05-10 12:55:56.565145,525.0,526.0,524.0,526.0,14607.95181379,7673853.94760468
2022-05-10 12:56:05.786201,525.0,526.0,524.0,526.0,14607.95181379,7673853.94760468
2022-05-10 12:56:24.259396,525.0,526.0,524.0,526.0,14607.95181379,7673853.94760468
2022-05-10 12:56:33.016463,526.0,526.0,526.0,526.0,290.64521379,152879.38245354
2022-05-10 12:56:42.046959,526.0,526.0,526.0,526.0,3718.27694731,1955813.67428506
2022-05-10 12:56:50.659064,526.0,526.0,526.0,526.0,3718.27694731,1955813.67428506
2022-05-10 12:57:01.667052,526.0,526.0,526.0,526.0,3718.27694731,1955813.67428506
2022-05-10 12:57:19.897215,525.0,525.0,525.0,525.0,1767.14851358,927752.9696295
2022-05-10 12:57:29.651302,525.0,525.0,525.0,525.0,1767.14851358,927752.9696295
2022-05-10 12:57:57.868263,525.0,526.0,525.0,526.0,2327.14851358,1222312.9696295
2022-05-10 12:58:07.542409,525.0,526.0,525.0,526.0,2327.14851358,1222312.9696295
2022-05-10 12:58:16.413558,526.0,526.0,526.0,526.0,3931.91316218,2068186.32330668
2022-05-10 12:58:25.077553,526.0,526.0,526.0,526.0,3931.91316218,2068186.32330668
2022-05-10 12:58:40.731274,526.0,526.0,526.0,526.0,3932.25224904,2068364.68299504
2022-05-10 12:58:48.665930,526.0,526.0,526.0,526.0,3932.25224904,2068364.68299504
2022-05-10 12:58:56.749932,526.0,526.0,526.0,526.0,3932.25224904,2068364.68299504
2022-05-10 12:59:13.480372,525.0,525.0,524.0,524.0,3906.66279132,2047423.05609186
2022-05-10 12:59:22.674451,525.0,525.0,524.0,524.0,4843.86279132,2538515.85609186
2022-05-10 12:59:32.315625,525.0,525.0,524.0,524.0,4843.86279132,2538515.85609186
2022-05-10 12:59:41.783709,525.0,525.0,523.0,523.0,6359.86279132,3331383.85609186
2022-05-10 12:59:58.998268,525.0,525.0,523.0,523.0,22612.55127423,11831539.93265379
2022-05-10 13:00:11.859596,524.0,524.0,524.0,524.0,2729.84118627,1430436.78160548
2022-05-10 13:00:20.056974,524.0,524.0,523.0,523.0,17834.2503474,9330042.77287647
2022-05-10 13:00:29.261199,524.0,524.0,522.0,522.0,22557.15163593,11795397.24548913
2022-05-10 13:00:37.307517,524.0,524.0,521.0,521.0,27307.15163593,14270147.24548913
2022-05-10 13:00:45.554725,524.0,524.0,520.0,520.0,32905.36158478,17181245.91973954
2022-05-10 13:00:55.260925,524.0,524.0,520.0,520.0,32949.09326589,17203986.39391674
2022-05-10 13:01:04.730994,524.0,524.0,520.0,520.0,33662.33364128,17574871.38911954
2022-05-10 13:01:14.262150,520.0,520.0,520.0,520.0,747.84508247,388879.4428844
2022-05-10 13:01:26.611499,520.0,521.0,520.0,521.0,1797.39229936,935693.54288409
2022-05-10 13:01:49.207637,520.0,521.0,520.0,520.0,6260.82780014,3258413.5976042
2022-05-10 13:01:57.608131,520.0,521.0,520.0,520.0,6260.82780014,3258413.5976042
2022-05-10 13:02:06.276119,521.0,521.0,521.0,521.0,188.46153847,98188.46154287
2022-05-10 13:02:15.532020,521.0,521.0,521.0,521.0,188.46153847,98188.46154287
2022-05-10 13:02:25.082635,521.0,521.0,521.0,521.0,188.46153847,98188.46154287
