,open,high,low,close,volume,value
2022-05-10 12:50:54.911880,9.2,9.21,9.2,9.21,187372.22696536,1723855.02271216
2022-05-10 12:51:04.351268,9.22,9.22,9.22,9.22,10000.0,92200.0
2022-05-10 12:51:14.032375,9.22,9.22,9.22,9.22,60355.6399,556478.999878
2022-05-10 12:51:24.370806,9.22,9.22,9.21,9.21,187427.90970594,1726814.60479071
2022-05-10 12:51:55.476182,9.22,9.22,9.19,9.2,298906.45750159,2751697.66422469
2022-05-10 12:52:05.833616,9.22,9.22,9.19,9.2,298906.45750159,2751697.66422469
2022-05-10 12:52:14.888774,9.19,9.19,9.17,9.18,248732.93320408,2284065.7905773
2022-05-10 12:52:34.766951,9.19,9.19,9.17,9.18,248732.93320408,2284065.7905773
2022-05-10 12:52:43.892945,9.19,9.19,9.17,9.18,248732.93320408,2284065.7905773
2022-05-10 12:52:52.251074,9.19,9.19,9.17,9.18,248732.93320408,2284065.7905773
2022-05-10 12:52:59.925069,9.19,9.21,9.17,9.21,324186.95207747,2978250.54705722
2022-05-10 12:53:15.708975,9.18,9.18,9.18,9.18,66066.59615426,606491.35269611
2022-05-10 12:53:24.377045,9.18,9.18,9.18,9.18,586197.86734467,5381296.42222408
2022-05-10 12:53:32.357153,9.18,9.18,9.18,9.18,586197.86734467,5381296.42222408
2022-05-10 12:53:40.075217,9.18,9.18,9.18,9.18,586197.86734467,5381296.42222408
2022-05-10 12:53:48.826211,9.18,9.18,9.18,9.18,586197.86734467,5381296.42222408
2022-05-10 12:53:57.681777,9.18,9.21,9.18,9.21,604932.77194067,5553844.89355324
2022-05-10 12:54:05.614970,9.18,9.21,9.18,9.21,604932.77194067,5553844.89355324
2022-05-10 12:54:14.601110,9.18,9.21,9.18,9.21,604932.77194067,5553844.89355324
2022-05-10 12:54:31.743319,9.18,9.21,9.18,9.21,604932.77194067,5553844.89355324
2022-05-10 12:54:39.973315,9.18,9.21,9.18,9.21,604932.77194067,5553844.89355324
