,open,high,low,close,volume,value
2022-05-10 12:50:58.241950,71.6,71.6,71.2,71.2,105366.08878875,7514005.38415685
2022-05-10 12:51:07.891870,71.6,71.6,71.2,71.2,105366.08878875,7514005.38415685
2022-05-10 12:51:17.137636,71.2,71.2,71.2,71.2,23315.09079204,1660034.46439325
2022-05-10 12:51:28.294198,71.2,71.4,71.2,71.4,23385.13280884,1665035.46439277
2022-05-10 12:51:38.969193,71.2,71.4,71.2,71.4,26095.24485365,1858537.4643922
2022-05-10 12:51:48.879185,71.2,71.4,71.2,71.3,26173.48890074,1864116.26494972
2022-05-10 12:51:58.755179,71.2,71.4,71.0,71.0,98826.50902387,7033868.43749245
2022-05-10 12:52:09.342120,71.0,71.0,70.8,70.9,216257.01730509,15327651.61755913
2022-05-10 12:52:18.049772,71.0,71.0,70.7,70.7,788024.64224749,55794301.31711158
2022-05-10 12:52:46.962943,71.0,71.1,70.6,71.1,1299996.63612975,92062202.59152731
2022-05-10 12:52:54.726073,71.0,71.3,70.6,71.3,1301783.77814655,92189454.10732517
2022-05-10 12:53:02.558068,71.0,71.3,70.6,71.3,1301924.42512264,92199482.23672038
2022-05-10 12:53:26.930044,71.3,71.4,71.3,71.4,12937.2286969,922431.39072584
2022-05-10 12:53:34.852221,71.3,71.4,71.2,71.3,14779.5704723,1053613.13915957
2022-05-10 12:53:43.155215,71.3,71.4,71.2,71.2,30381.67424662,2164668.39072426
2022-05-10 12:53:52.320974,71.3,71.4,71.0,71.0,30628.6604181,2182204.40889934
2022-05-10 12:54:08.648032,71.2,71.2,71.2,71.2,702.24719101,49999.99999991
2022-05-10 12:54:16.995642,71.2,71.2,71.2,71.2,2106.7977528,150003.99999936
2022-05-10 12:54:25.624722,71.2,71.2,71.2,71.2,12225.36725164,870446.14831677
2022-05-10 12:54:42.942122,71.2,71.3,71.2,71.2,31588.4236951,2249102.78111637
2022-05-10 12:54:52.052496,71.2,71.3,71.2,71.2,31665.67088611,2254602.78111628
2022-05-10 12:55:20.141993,71.1,71.1,71.1,71.1,30376.27239845,2159752.96752979
2022-05-10 12:55:30.760966,71.1,71.5,71.1,71.5,35673.20970831,2536915.8872086
2022-05-10 12:55:40.607047,71.1,71.5,71.1,71.4,42700.18743939,3038642.09720772
2022-05-10 12:55:50.504149,71.1,71.5,71.1,71.4,46136.65755392,3284006.06338516
2022-05-10 12:55:59.586222,71.1,71.5,71.1,71.5,46206.60160986,3289007.06338487
2022-05-10 12:56:18.136390,71.5,71.5,71.5,71.5,654.3006993,46782.49999995
2022-05-10 12:56:27.216467,71.5,71.5,71.4,71.4,75668.84316793,5408482.37211957
2022-05-10 12:56:36.014461,71.5,71.5,71.4,71.4,75668.84316793,5408482.37211957
2022-05-10 12:56:44.736865,71.5,71.5,71.4,71.4,85052.59666933,6078482.37211953
2022-05-10 12:56:56.071308,71.5,71.5,71.4,71.5,85816.23583575,6133082.57251856
2022-05-10 12:57:13.633125,71.4,71.4,71.4,71.4,28814.50823149,2057355.88772839
2022-05-10 12:57:22.652212,71.4,71.4,71.3,71.3,40656.74775345,2901987.53770293
2022-05-10 12:57:32.609300,71.4,71.4,71.3,71.4,40726.78977025,2906988.53770245
2022-05-10 12:57:51.022266,71.4,71.4,71.3,71.4,40726.78977025,2906988.53770245
2022-05-10 12:58:00.706260,71.4,71.4,71.3,71.3,44847.66889112,3200807.21902048
2022-05-10 12:58:27.549550,71.5,71.5,71.5,71.5,69.94405594,5000.99999971
2022-05-10 12:58:35.657180,71.5,71.5,71.4,71.5,10949.16298852,782681.73475774
2022-05-10 12:58:51.421935,71.5,71.5,71.4,71.5,11648.46368782,832681.73475769
2022-05-10 12:58:59.188933,71.5,71.5,71.3,71.3,12122.07304306,866450.0817863
2022-05-10 12:59:16.879368,71.4,71.4,71.2,71.2,2588.64340144,184386.73573825
2022-05-10 12:59:25.827629,71.4,71.4,71.2,71.2,4798.28860055,341783.60014209
2022-05-10 12:59:35.301623,71.4,71.4,71.2,71.2,16938.31867913,1206153.74173699
2022-05-10 12:59:52.197766,71.4,71.4,71.2,71.2,86358.38607833,6148876.54896339
2022-05-10 13:00:02.191405,71.3,71.3,71.3,71.3,70.14025245,5000.99999969
2022-05-10 13:00:14.566976,71.3,71.3,71.1,71.3,4097.5727591,291631.81587889
2022-05-10 13:00:23.396201,71.3,71.3,71.1,71.3,5196.24036078,369966.81587867
2022-05-10 13:00:31.812197,71.3,71.3,71.1,71.2,16558.57454279,1178965.00963778
2022-05-10 13:00:39.930516,71.3,71.3,71.1,71.2,16558.57454279,1178965.00963778
2022-05-10 13:00:49.263679,71.3,71.3,71.1,71.2,16558.57454279,1178965.00963778
2022-05-10 13:00:58.126924,71.3,71.4,71.1,71.4,16628.61655959,1183966.0096373
2022-05-10 13:01:07.853078,71.2,71.2,71.2,71.2,10000.0,712000.0
2022-05-10 13:01:17.543147,71.2,71.2,71.2,71.2,54823.66369577,3903444.85513882
2022-05-10 13:01:33.804290,71.2,71.2,71.1,71.1,169903.87047183,12095513.15268951
2022-05-10 13:01:43.537908,71.2,71.2,71.0,71.1,198155.1085393,14104155.13833268
2022-05-10 13:01:51.824315,71.2,71.2,71.0,71.1,220544.05607885,15693789.77782147
2022-05-10 13:02:09.330949,71.0,71.0,71.0,71.0,21099.192,1498042.632
2022-05-10 13:02:18.798017,71.0,71.0,71.0,71.0,109218.304075,7754499.589325
2022-05-10 13:02:27.666633,71.0,71.0,71.0,71.0,258985.99694472,18388005.78307512
2022-05-10 13:02:37.001627,71.0,71.0,71.0,71.0,329160.43036171,23370390.55568141
2022-05-10 13:02:46.357884,71.0,71.0,70.9,70.9,357908.35872366,25408689.09907888
2022-05-10 13:02:55.972762,71.0,71.0,70.9,71.0,357978.79534337,25413690.09907829
2022-05-10 13:03:05.557749,71.0,71.0,70.9,71.0,360733.19534337,25609252.49907829
2022-05-10 13:03:14.727327,71.0,71.0,71.0,71.0,704.22535211,49999.99999981
2022-05-10 13:03:23.847238,71.0,71.0,71.0,71.0,704.22535211,49999.99999981
2022-05-10 13:03:33.298539,71.0,71.0,70.9,71.0,14385.99224664,1020708.09944171
2022-05-10 13:03:41.767231,71.0,71.0,70.9,71.0,21428.24576776,1520708.09944123
2022-05-10 13:03:50.859292,71.0,71.0,70.9,70.9,39245.47255633,2783949.47875084
2022-05-10 13:03:58.746593,71.0,71.0,70.8,70.8,56696.24964215,4021172.8364269
2022-05-10 13:04:06.862696,70.8,70.8,70.8,70.8,131324.65604493,9297785.64798105
2022-05-10 13:04:15.849907,70.8,70.8,70.7,70.8,263069.83372836,18619426.68550769
2022-05-10 13:04:24.853424,70.8,70.9,70.7,70.9,263140.3696945,18624427.68550702
2022-05-10 13:04:33.723943,70.8,71.0,70.7,71.0,409070.48891175,28979029.52905
2022-05-10 13:04:42.573517,70.8,71.2,70.7,71.2,409140.72767579,28984030.52904965
2022-05-10 13:04:59.336600,70.8,71.2,70.7,71.0,412895.66945006,29250631.39502282
2022-05-10 13:05:08.848105,71.0,71.0,71.0,71.0,140.84507042,9999.99999982
2022-05-10 13:05:33.092910,71.0,71.1,70.9,71.1,93015.47203899,6603173.53828626
2022-05-10 13:05:42.076538,71.0,71.1,70.9,71.1,93015.47203899,6603173.53828626
2022-05-10 13:05:50.708582,71.0,71.1,70.9,71.1,94421.94179989,6703173.53828625
2022-05-10 13:05:59.128741,71.0,71.1,70.9,71.1,94421.94179989,6703173.53828625
2022-05-10 13:06:07.960736,70.9,70.9,70.9,70.9,28441.91533402,2016531.79718202
