,open,high,low,close,volume,value
2022-05-10 12:51:04.974267,2835.0,2835.0,2825.0,2830.0,16895.32139154,47852207.25758735
2022-05-10 12:51:14.570171,2830.0,2830.0,2830.0,2830.0,1754.18264795,4964336.8936985
2022-05-10 12:51:25.382806,2830.0,2830.0,2825.0,2830.0,16512.55106207,46729964.5056581
2022-05-10 12:51:36.067193,2830.0,2830.0,2825.0,2830.0,19196.79045184,54320582.1001567
2022-05-10 12:51:46.082187,2830.0,2830.0,2825.0,2830.0,19550.14734229,55320582.1001302
2022-05-10 12:51:56.018181,2830.0,2830.0,2825.0,2825.0,20204.49934956,57169126.52066795
2022-05-10 12:52:06.564616,2825.0,2825.0,2825.0,2825.0,144.87847437,409281.69009525
2022-05-10 12:52:23.965970,2825.0,2830.0,2820.0,2830.0,14501.67662335,41018739.36341
2022-05-10 12:52:52.731074,2825.0,2835.0,2820.0,2835.0,22025.84034903,62337157.84360865
2022-05-10 12:53:07.761678,2835.0,2835.0,2835.0,2835.0,211.64021164,599999.9999994
2022-05-10 12:53:16.303974,2835.0,2835.0,2830.0,2830.0,2631.10025322,7447071.9176708
2022-05-10 12:53:24.876047,2835.0,2835.0,2830.0,2830.0,2631.10025322,7447071.9176708
2022-05-10 12:53:32.898154,2835.0,2835.0,2830.0,2830.0,2770.59629562,7841845.7176628
2022-05-10 12:53:40.748216,2835.0,2835.0,2825.0,2825.0,3685.77283914,10431777.88381745
2022-05-10 12:53:58.226776,2835.0,2835.0,2825.0,2830.0,3934.04567128,11133963.4364403
2022-05-10 12:54:06.109035,2825.0,2825.0,2825.0,2825.0,356.36109903,1006720.10475975
2022-05-10 12:54:15.088111,2825.0,2825.0,2825.0,2825.0,356.36109903,1006720.10475975
2022-05-10 12:54:22.933638,2825.0,2835.0,2825.0,2835.0,8895.75160805,25207951.2535256
2022-05-10 12:54:40.659314,2825.0,2835.0,2825.0,2825.0,11534.30835578,32662748.3554534
2022-05-10 12:54:49.641497,2825.0,2835.0,2825.0,2825.0,11534.30835578,32662748.3554534
2022-05-10 12:54:59.357726,2825.0,2835.0,2825.0,2825.0,12261.02626366,34715726.4452144
2022-05-10 12:55:09.108260,2825.0,2825.0,2825.0,2825.0,196.9440885,556367.0500125
2022-05-10 12:55:17.905994,2825.0,2825.0,2825.0,2825.0,7148.14573635,20193511.70518875
2022-05-10 12:55:27.767967,2825.0,2830.0,2825.0,2830.0,7924.96510051,22391910.50576155
2022-05-10 12:55:38.163961,2825.0,2835.0,2825.0,2835.0,10449.25521722,29533306.6578727
2022-05-10 12:55:47.606494,2825.0,2835.0,2825.0,2835.0,10971.66040757,31014295.37251495
2022-05-10 12:55:56.957145,2825.0,2840.0,2825.0,2840.0,12453.28021565,35218323.37246215
2022-05-10 12:56:06.366584,2825.0,2840.0,2825.0,2830.0,12486.61354898,35312656.70578605
2022-05-10 12:56:15.877374,2830.0,2835.0,2830.0,2835.0,498.52578795,1410947.9798985
2022-05-10 12:56:24.799397,2830.0,2835.0,2830.0,2835.0,500.52578795,1416617.9798985
2022-05-10 12:56:51.575063,2830.0,2840.0,2830.0,2830.0,16544.67589236,46838819.01302875
2022-05-10 12:57:02.118051,2830.0,2840.0,2830.0,2830.0,16544.67589236,46838819.01302875
2022-05-10 12:57:10.837126,2835.0,2835.0,2830.0,2830.0,4215.65419732,11930316.21086705
2022-05-10 12:57:30.199303,2835.0,2835.0,2825.0,2830.0,5511.55581791,15594391.1273099
