,open,high,low,close,volume,value
2022-05-10 12:51:03.884268,79.2,79.2,79.2,79.2,7000.0,554400.0
2022-05-10 12:51:23.782806,79.2,79.2,79.1,79.1,30531.91225818,2416964.20650992
2022-05-10 12:51:34.986194,79.2,79.2,79.0,79.0,50362.82046862,3983605.95513468
2022-05-10 12:51:44.996188,79.2,79.2,78.9,78.9,83297.29112935,6582135.69026627
2022-05-10 12:51:54.752182,79.2,79.2,78.9,78.9,232233.29012935,18333186.01136627
2022-05-10 12:52:05.235617,78.9,78.9,78.9,78.9,2663.27200881,210132.16149511
2022-05-10 12:52:22.922970,78.9,78.9,78.8,78.8,21470.67741243,1692155.70730036
2022-05-10 12:52:43.442945,78.9,78.9,78.7,78.7,74245.35700783,5845522.99145835
2022-05-10 12:52:51.774074,78.9,78.9,78.7,78.7,74245.35700783,5845522.99145835
2022-05-10 12:53:06.958679,78.9,78.9,78.6,78.6,142906.07502729,11242255.4277879
2022-05-10 12:53:23.738047,78.7,78.7,78.6,78.6,10899.95774334,856988.39400152
2022-05-10 12:53:31.832153,78.7,78.7,78.6,78.6,10899.95774334,856988.39400152
2022-05-10 12:53:39.614219,78.7,78.7,78.6,78.6,10899.95774334,856988.39400152
2022-05-10 12:54:14.222111,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:54:22.089639,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:54:31.385320,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:54:48.626499,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:54:58.203672,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:55:07.926260,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:55:16.645995,78.7,78.7,78.6,78.7,13303.09330003,1046115.16231303
2022-05-10 12:55:26.763240,78.7,78.7,78.7,78.7,50000.44460528,3935034.99043554
2022-05-10 12:55:36.867962,78.7,78.7,78.7,78.7,50000.44460528,3935034.99043554
2022-05-10 12:55:46.557494,78.7,78.7,78.7,78.7,50000.44460528,3935034.99043554
2022-05-10 12:55:56.125146,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:56:05.308201,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:56:15.007375,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:56:23.742604,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:56:41.549960,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:56:50.192063,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:57:01.102052,78.7,78.8,78.7,78.8,50254.7703686,3955075.86058516
2022-05-10 12:57:09.882128,79.0,79.0,79.0,79.0,2498.75062468,197401.29934972
2022-05-10 12:57:28.917304,79.0,79.0,79.0,79.0,2587.35821961,204401.29934919
2022-05-10 12:57:37.961188,79.0,79.0,79.0,79.0,2587.35821961,204401.29934919
2022-05-10 12:57:47.753268,79.0,79.0,78.9,78.9,11307.55201961,892424.5901692
2022-05-10 12:57:57.280262,79.0,79.0,78.9,78.9,24898.88862457,1964781.04830055
2022-05-10 12:58:06.965410,79.0,79.0,78.9,78.9,24898.88862457,1964781.04830055
2022-05-10 12:58:15.524481,79.0,79.0,78.9,78.9,24898.88862457,1964781.04830055
2022-05-10 12:58:32.784547,79.0,79.0,78.9,78.9,25364.35950286,2002893.81548421
2022-05-10 12:58:56.159936,79.0,79.0,78.9,78.9,25364.35950286,2002893.81548421
2022-05-10 12:59:04.108238,79.0,79.0,78.9,78.9,25364.35950286,2002893.81548421
2022-05-10 12:59:12.693371,79.0,79.0,78.9,78.9,25364.35950286,2002893.81548421
2022-05-10 12:59:22.171234,79.0,79.0,78.9,78.9,25364.35950286,2002893.81548421
2022-05-10 12:59:31.569626,79.0,79.0,78.9,78.9,25364.35950286,2002893.81548421
2022-05-10 12:59:41.212708,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
2022-05-10 12:59:48.996702,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
2022-05-10 13:00:11.373596,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
2022-05-10 13:00:19.540973,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
2022-05-10 13:00:28.699198,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
2022-05-10 13:00:36.707524,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
2022-05-10 13:00:44.930725,78.9,78.9,78.9,78.9,1405.1017381,110862.52713609
