,open,high,low,close,volume,value
2022-05-10 12:50:56.705951,7.7,7.7,7.67,7.67,835309.09124072,6415278.94949718
2022-05-10 12:51:06.420871,7.68,7.68,7.68,7.68,700.0,5376.0
2022-05-10 12:51:15.741466,7.68,7.68,7.67,7.68,537475.10158812,4127772.66147255
2022-05-10 12:51:26.635200,7.68,7.68,7.67,7.68,537475.10158812,4127772.66147255
2022-05-10 12:51:37.366193,7.68,7.68,7.67,7.67,857663.69959772,6583749.41653951
2022-05-10 12:51:47.437186,7.68,7.68,7.67,7.67,866140.0359732,6648762.91653944
2022-05-10 12:51:57.389180,7.68,7.68,7.67,7.67,867450.0359732,6658810.61653944
2022-05-10 12:52:07.733025,7.68,7.68,7.67,7.67,867450.0359732,6658810.61653944
2022-05-10 12:52:16.718774,7.67,7.67,7.67,7.67,571766.82790091,4385451.56999998
2022-05-10 12:52:25.078969,7.67,7.68,7.67,7.67,1259427.00615797,9661335.59723163
2022-05-10 12:52:45.538944,7.67,7.68,7.66,7.66,1835054.34723814,14071165.91855728
2022-05-10 12:52:53.625073,7.67,7.68,7.66,7.67,1946777.34723814,14928081.32855728
2022-05-10 12:53:01.525068,7.67,7.68,7.65,7.65,3084278.05948958,23631891.66606966
2022-05-10 12:53:08.892893,7.65,7.65,7.65,7.65,302809.80392157,2316495.00000001
2022-05-10 12:53:17.187973,7.65,7.65,7.65,7.65,319393.80392157,2443362.60000001
2022-05-10 12:53:25.856044,7.65,7.65,7.65,7.65,586414.80392157,4486073.25000001
2022-05-10 12:53:33.799221,7.65,7.65,7.64,7.65,704010.64933346,5384824.27894686
2022-05-10 12:53:41.919215,7.65,7.65,7.64,7.65,848504.91730731,6490205.42894681
2022-05-10 12:53:59.234778,7.65,7.65,7.62,7.63,2033839.02688637,15535209.23560521
2022-05-10 12:54:07.437033,7.65,7.65,7.65,7.65,16572.0,126775.8
2022-05-10 12:54:15.977111,7.65,7.65,7.63,7.65,98465.2049034,753178.81751101
2022-05-10 12:54:23.927639,7.65,7.65,7.63,7.65,971651.4267798,7426407.4726467
2022-05-10 12:54:33.215320,7.65,7.67,7.63,7.67,1537106.41313166,11752156.37117193
2022-05-10 12:54:41.540920,7.65,7.67,7.63,7.67,1549739.34047502,11849050.9238955
2022-05-10 12:54:50.700497,7.65,7.67,7.63,7.67,1549739.34047502,11849050.9238955
2022-05-10 12:55:00.926136,7.65,7.67,7.63,7.67,1549739.34047502,11849050.9238955
2022-05-10 12:55:10.120259,7.65,7.67,7.63,7.67,1549739.34047502,11849050.9238955
2022-05-10 12:55:18.927993,7.67,7.67,7.67,7.67,19518.90482398,149709.99999993
2022-05-10 12:55:29.247966,7.67,7.67,7.67,7.67,19518.90482398,149709.99999993
2022-05-10 12:55:39.363049,7.67,7.67,7.67,7.67,19518.90482398,149709.99999993
2022-05-10 12:55:48.789748,7.67,7.67,7.67,7.67,1074856.42511207,8244148.78060958
2022-05-10 12:55:58.214223,7.67,7.67,7.67,7.67,1074856.42511207,8244148.78060958
2022-05-10 12:56:07.679199,7.66,7.67,7.66,7.67,274879.35212353,2108105.64951785
