,open,high,low,close,volume,value
2022-05-10 12:50:57.030951,39.9,39.9,39.8,39.8,117069.38827868,4665800.59848681
2022-05-10 12:51:06.692871,40.0,40.0,40.0,40.0,7500.0,300000.0
2022-05-10 12:51:15.996466,40.0,40.0,40.0,40.0,7500.0,300000.0
2022-05-10 12:51:26.970199,40.0,40.0,40.0,40.0,7500.0,300000.0
2022-05-10 12:51:37.701193,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:51:47.733186,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:51:57.646180,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:52:07.969025,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:52:16.939772,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:52:25.302056,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:52:36.603949,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:52:45.809944,40.0,40.0,40.0,40.0,22475.5375,899021.5
2022-05-10 12:52:53.823073,40.0,40.0,40.0,40.0,5000.0,200000.0
2022-05-10 12:53:01.727068,40.0,40.0,40.0,40.0,5000.0,200000.0
2022-05-10 12:53:09.261978,40.0,40.0,40.0,40.0,5000.0,200000.0
2022-05-10 12:53:26.053044,40.0,40.0,40.0,40.0,2125.0,85000.0
2022-05-10 12:53:33.991220,40.0,40.0,39.8,39.8,7608.02941176,303424.57058805
2022-05-10 12:53:42.143216,40.0,40.0,39.8,39.8,7608.02941176,303424.57058805
2022-05-10 12:53:50.820975,40.0,40.0,39.8,40.0,8738.02941176,348624.57058805
2022-05-10 12:54:07.670032,40.0,40.0,40.0,40.0,1000.0,40000.0
2022-05-10 12:54:16.167109,40.0,40.0,39.9,39.9,26062.6566416,1039999.99999984
2022-05-10 12:54:24.262637,40.0,40.0,39.8,39.8,31340.17577676,1250045.26157921
2022-05-10 12:54:41.798919,40.0,40.0,39.8,39.9,33846.44144092,1350045.26157919
2022-05-10 12:54:50.954496,40.0,40.0,39.8,39.9,33846.44144092,1350045.26157919
2022-05-10 12:55:01.178136,40.0,40.0,39.8,39.9,33846.44144092,1350045.26157919
2022-05-10 12:55:19.145993,40.0,40.0,39.8,39.9,33846.44144092,1350045.26157919
2022-05-10 12:55:29.522967,39.9,39.9,39.9,39.9,3508.77192982,139999.99999982
2022-05-10 12:55:39.546048,39.9,39.9,39.9,39.9,16857.61129459,672618.69065414
2022-05-10 12:55:49.097748,39.9,39.9,39.9,39.9,18107.61129459,722493.69065414
2022-05-10 12:56:08.025199,39.9,39.9,39.9,39.9,94200.96604345,3758618.54513365
2022-05-10 12:56:17.131373,39.9,39.9,39.9,39.9,94200.96604345,3758618.54513365
2022-05-10 12:56:34.886462,39.9,39.9,39.9,39.9,94200.96604345,3758618.54513365
2022-05-10 12:56:43.623958,39.9,39.9,39.9,39.9,94200.96604345,3758618.54513365
2022-05-10 12:56:54.270780,39.9,39.9,39.9,39.9,718.73384254,28677.48031735
2022-05-10 12:57:12.437126,39.9,39.9,39.9,39.9,718.73384254,28677.48031735
2022-05-10 12:57:31.556301,40.0,40.1,40.0,40.1,348934.71809321,13990994.24492541
2022-05-10 12:57:40.471186,40.0,40.1,40.0,40.1,348934.71809321,13990994.24492541
2022-05-10 12:57:49.973267,40.0,40.1,40.0,40.0,349406.30207379,14009857.60414861
2022-05-10 12:58:09.280410,40.0,40.1,40.0,40.0,349406.30207379,14009857.60414861
2022-05-10 12:58:26.661550,40.0,40.1,40.0,40.0,349406.30207379,14009857.60414861
2022-05-10 12:58:34.808181,40.0,40.0,40.0,40.0,456.81490384,18272.5961536
