,open,high,low,close,volume,value
2022-05-10 12:50:59.218949,68.7,69.0,68.6,68.6,98333.45911218,6754528.74098819
2022-05-10 12:51:08.977377,68.7,69.0,68.6,68.6,98333.45911218,6754528.74098819
2022-05-10 12:51:18.578809,68.6,68.6,68.6,68.6,5873.36244542,402912.66375581
2022-05-10 12:51:29.667197,68.6,68.6,68.6,68.6,5873.36244542,402912.66375581
2022-05-10 12:51:39.998191,68.6,68.6,68.5,68.6,24447.14957324,1676589.82024428
2022-05-10 12:51:49.899185,68.6,68.6,68.5,68.6,25432.0944186,1744157.03663598
2022-05-10 12:52:00.319179,68.6,68.6,68.5,68.6,27165.50050548,1863068.69419595
2022-05-10 12:52:19.058771,68.5,68.5,68.4,68.4,10110.09822135,692313.68793031
2022-05-10 12:52:47.874032,68.5,68.5,68.4,68.4,44311.73148645,3031705.40326315
2022-05-10 12:52:55.655071,68.5,68.5,68.4,68.4,49704.52997589,3400572.81994084
2022-05-10 12:53:19.023972,68.4,68.4,68.4,68.4,2931.29020284,200500.24987426
2022-05-10 12:53:27.931043,68.4,68.4,68.3,68.3,42895.08803505,2930027.64181421
2022-05-10 12:53:35.639219,68.4,68.4,68.3,68.3,42895.08803505,2930027.64181421
2022-05-10 12:53:44.280215,68.4,68.4,68.3,68.3,42895.08803505,2930027.64181421
2022-05-10 12:54:09.877031,68.3,68.3,68.3,68.3,17111.20944044,1168695.60478205
2022-05-10 12:54:17.973642,68.3,68.3,68.3,68.3,17111.20944044,1168695.60478205
2022-05-10 12:54:44.193382,68.3,68.3,68.3,68.3,34065.62054208,2326681.88302406
2022-05-10 12:54:53.010496,68.3,68.3,68.3,68.3,44065.62054208,3009681.88302406
2022-05-10 12:55:03.592134,68.3,68.3,68.2,68.2,76727.19041682,5237200.94848133
2022-05-10 12:55:12.151258,68.2,68.2,68.2,68.2,275.65982404,18799.99999953
2022-05-10 12:55:21.160178,68.2,68.2,68.2,68.2,275.65982404,18799.99999953
2022-05-10 12:55:32.011965,68.2,68.2,68.2,68.2,404.6920821,27599.99999922
2022-05-10 12:55:41.629049,68.2,68.2,68.2,68.2,404.6920821,27599.99999922
2022-05-10 12:55:51.815148,68.2,68.2,68.2,68.2,22369.19490512,1525579.09252918
2022-05-10 12:56:00.605787,68.2,68.2,68.1,68.1,34155.78773331,2328610.93700477
2022-05-10 12:56:19.028371,68.2,68.3,68.1,68.3,13061.97208039,891877.00540735
2022-05-10 12:56:28.296466,68.2,68.3,68.1,68.3,13061.97208039,891877.00540735
2022-05-10 12:56:36.997461,68.2,68.3,68.1,68.3,13061.97208039,891877.00540735
2022-05-10 12:56:45.787865,68.2,68.4,68.1,68.3,20152.25999813,1376151.67018899
2022-05-10 12:56:57.099223,68.2,68.4,68.1,68.3,20152.25999813,1376151.67018899
2022-05-10 12:57:14.556124,68.2,68.4,68.1,68.3,20152.25999813,1376151.67018899
2022-05-10 12:57:23.787306,68.4,68.4,68.4,68.4,1792.51017765,122607.69615126
2022-05-10 12:57:42.585186,68.4,68.4,68.4,68.4,8832.49895519,604142.928535
2022-05-10 12:57:52.267266,68.4,68.4,68.4,68.4,8832.49895519,604142.928535
2022-05-10 12:58:01.921336,68.4,68.4,68.4,68.4,8832.49895519,604142.928535
2022-05-10 12:58:11.339407,68.4,68.4,68.4,68.4,8832.49895519,604142.928535
2022-05-10 12:59:00.021222,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 12:59:17.792393,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 12:59:26.868628,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 12:59:36.688632,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 12:59:45.184705,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 12:59:53.594859,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 13:00:04.909602,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 13:00:32.678198,68.4,68.5,68.4,68.5,44580.51676075,3049314.6709967
2022-05-10 13:00:40.865515,68.5,68.5,68.5,68.5,37748.62950906,2585781.12137062
2022-05-10 13:00:50.297678,68.5,68.5,68.5,68.5,37748.62950906,2585781.12137062
2022-05-10 13:00:59.091924,68.5,68.5,68.5,68.5,37748.62950906,2585781.12137062
2022-05-10 13:01:08.924075,68.5,68.5,68.5,68.5,37748.62950906,2585781.12137062
2022-05-10 13:01:18.710147,68.5,68.5,68.5,68.5,37748.62950906,2585781.12137062
2022-05-10 13:01:35.208376,68.5,68.5,68.5,68.5,6203.51604278,424940.84893043
2022-05-10 13:01:52.597634,68.5,68.6,68.5,68.6,12391.79592616,849456.8489303
2022-05-10 13:02:20.060017,68.5,68.5,68.5,68.5,1653.2539574,113247.89608191
2022-05-10 13:02:28.584632,68.5,68.5,68.5,68.5,1653.2539574,113247.89608191
2022-05-10 13:02:37.871627,68.5,68.5,68.5,68.5,1653.2539574,113247.89608191
2022-05-10 13:02:56.987762,68.5,68.5,68.5,68.5,1653.2539574,113247.89608191
2022-05-10 13:03:06.899896,68.5,68.5,68.5,68.5,1653.2539574,113247.89608191
2022-05-10 13:03:15.708327,68.5,68.5,68.5,68.5,1653.2539574,113247.89608191
2022-05-10 13:03:25.120238,68.4,68.4,68.4,68.4,207.68552101,14205.68963708
2022-05-10 13:03:34.318428,68.4,68.5,68.4,68.4,14618.09538909,999898.44272184
2022-05-10 13:03:42.918297,68.4,68.5,68.4,68.4,44307.74184044,3030670.25999418
2022-05-10 13:03:51.731408,68.4,68.5,68.4,68.4,44307.74184044,3030670.25999418
2022-05-10 13:03:59.624592,68.4,68.5,68.3,68.3,49474.34642971,3383549.35344132
2022-05-10 13:04:07.810686,68.4,68.4,68.4,68.4,29992.14995204,2051463.05671954
2022-05-10 13:04:16.801907,68.4,68.4,68.4,68.4,29992.14995204,2051463.05671954
2022-05-10 13:04:26.052424,68.4,68.4,68.4,68.4,29992.14995204,2051463.05671954
2022-05-10 13:04:34.756943,68.4,68.4,68.4,68.4,29992.14995204,2051463.05671954
2022-05-10 13:04:52.186754,68.4,68.4,68.4,68.4,29992.14995204,2051463.05671954
2022-05-10 13:05:00.767676,68.4,68.5,68.4,68.4,44583.39447576,3050955.30077194
2022-05-10 13:05:09.901179,68.4,68.5,68.4,68.4,44583.39447576,3050955.30077194
2022-05-10 13:05:34.449158,68.3,68.5,68.3,68.5,33702.07428383,2301907.14803815
2022-05-10 13:05:42.944535,68.3,68.5,68.3,68.5,33702.07428383,2301907.14803815
2022-05-10 13:05:51.709659,68.3,68.5,68.3,68.3,40645.00977838,2776109.64231592
2022-05-10 13:06:00.003740,68.3,68.5,68.3,68.3,41033.86607091,2802668.52709572
2022-05-10 13:06:09.116735,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:06:17.640546,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:06:26.249596,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:06:35.782802,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:06:44.628632,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:06:53.847868,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:07:02.173825,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:07:11.403907,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:07:29.775709,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:07:47.227958,68.5,68.5,68.3,68.3,18918.55742426,1294137.47207696
2022-05-10 13:07:55.765678,68.4,68.4,68.4,68.4,200.0,13680.0
2022-05-10 13:08:04.040902,68.4,68.4,68.4,68.4,200.0,13680.0
2022-05-10 13:08:13.568992,68.4,68.4,68.4,68.4,2096.85314685,143424.75524454
2022-05-10 13:08:32.005849,68.4,68.4,68.4,68.4,2096.85314685,143424.75524454
2022-05-10 13:08:49.695098,68.4,68.6,68.4,68.6,7904.17835034,541807.26420395
2022-05-10 13:08:58.233973,68.4,68.7,68.4,68.7,50630.88125494,3477131.75374997
2022-05-10 13:09:06.549274,68.7,68.7,68.7,68.7,20913.87163018,1436782.98099337
2022-05-10 13:09:15.924398,68.7,68.7,68.7,68.7,115864.91008143,7959919.32259425
2022-05-10 13:09:24.107926,68.7,68.7,68.7,68.7,115864.91008143,7959919.32259425
2022-05-10 13:09:32.647723,68.7,68.7,68.7,68.7,115864.91008143,7959919.32259425
2022-05-10 13:09:41.970169,68.7,68.7,68.7,68.7,115864.91008143,7959919.32259425
2022-05-10 13:09:49.730292,68.7,68.7,68.7,68.7,115864.91008143,7959919.32259425
2022-05-10 13:09:58.494294,68.7,68.7,68.7,68.7,115864.91008143,7959919.32259425
2022-05-10 13:10:06.988356,68.8,68.8,68.8,68.8,970.18168604,66748.49999955
2022-05-10 13:10:16.513581,68.8,68.8,68.7,68.8,52448.46123903,3607066.42923772
