,open,high,low,close,volume,value
2022-05-10 12:50:55.087879,6.89,6.93,6.89,6.93,474326.4749976,3271270.28749221
2022-05-10 12:51:04.523267,6.9,6.9,6.9,6.9,571278.70133616,3941823.0392195
2022-05-10 12:51:14.205374,6.9,6.9,6.9,6.9,571278.70133616,3941823.0392195
2022-05-10 12:51:35.619195,6.9,6.9,6.9,6.9,650448.53699802,4488094.90528634
2022-05-10 12:51:45.678188,6.9,6.9,6.9,6.9,650832.73101315,4490745.84399074
2022-05-10 12:51:55.644181,6.9,6.9,6.9,6.9,650832.73101315,4490745.84399074
2022-05-10 12:52:06.005616,6.9,6.93,6.9,6.9,665328.0903205,4590815.79399068
2022-05-10 12:52:15.016774,6.9,6.93,6.9,6.9,665328.0903205,4590815.79399068
2022-05-10 12:52:23.573970,6.9,6.9,6.9,6.9,147238.25694862,1015943.97294548
2022-05-10 12:52:34.967951,6.9,6.9,6.9,6.9,219702.02506456,1515943.97294547
2022-05-10 12:52:44.062945,6.9,6.9,6.9,6.9,219702.02506456,1515943.97294547
2022-05-10 12:53:00.054069,6.9,6.9,6.89,6.89,249424.90356456,1720734.60581047
2022-05-10 12:53:15.856974,6.89,6.89,6.89,6.89,115324.46264744,794585.54764086
2022-05-10 12:53:32.573152,6.89,6.89,6.89,6.89,115324.46264744,794585.54764086
2022-05-10 12:53:40.350217,6.89,6.89,6.89,6.89,115324.46264744,794585.54764086
2022-05-10 12:53:49.046212,6.89,6.89,6.89,6.89,115324.46264744,794585.54764086
2022-05-10 12:53:57.828777,6.89,6.89,6.89,6.89,116775.8414573,804585.5476408
2022-05-10 12:54:05.740970,6.89,6.89,6.89,6.89,116775.8414573,804585.5476408
2022-05-10 12:54:14.726111,6.89,6.89,6.89,6.89,14513.78809869,99999.99999997
2022-05-10 12:54:22.527638,6.89,6.89,6.89,6.89,55761.81430329,384198.90054966
2022-05-10 12:54:31.880321,6.89,6.89,6.89,6.89,56761.81430329,391088.90054966
2022-05-10 12:54:40.143315,6.89,6.89,6.89,6.89,56761.81430329,391088.90054966
