,open,high,low,close,volume,value
2022-05-10 12:50:57.156952,723.0,726.0,723.0,726.0,6652.19302862,4816288.12672529
2022-05-10 12:51:06.800871,723.0,726.0,723.0,726.0,6652.19302862,4816288.12672529
2022-05-10 12:51:16.099466,726.0,726.0,726.0,726.0,27.54820936,19999.99999536
2022-05-10 12:51:27.144199,726.0,726.0,726.0,726.0,27.54820936,19999.99999536
2022-05-10 12:51:37.846192,726.0,726.0,726.0,726.0,48.20936638,34999.99999188
2022-05-10 12:51:47.814186,726.0,726.0,726.0,726.0,48.20936638,34999.99999188
2022-05-10 12:51:57.727180,726.0,726.0,726.0,726.0,48.20936638,34999.99999188
2022-05-10 12:52:08.052119,726.0,726.0,726.0,726.0,48.20936638,34999.99999188
2022-05-10 12:52:17.001772,726.0,726.0,726.0,726.0,48.20936638,34999.99999188
2022-05-10 12:52:36.668950,725.0,725.0,725.0,725.0,11357.114,8233907.65
2022-05-10 12:52:45.895944,725.0,725.0,725.0,725.0,11357.114,8233907.65
2022-05-10 12:52:53.887073,725.0,725.0,725.0,725.0,18893.721,13697947.725
2022-05-10 12:53:01.788068,725.0,725.0,725.0,725.0,22125.81047888,16041212.597188
2022-05-10 12:53:09.341979,725.0,725.0,725.0,725.0,22125.81047888,16041212.597188
2022-05-10 12:53:26.115046,725.0,725.0,725.0,725.0,22125.81047888,16041212.597188
2022-05-10 12:53:34.056219,725.0,725.0,725.0,725.0,22125.81047888,16041212.597188
2022-05-10 12:53:42.209214,725.0,725.0,725.0,725.0,22125.81047888,16041212.597188
2022-05-10 12:53:50.953975,725.0,725.0,725.0,725.0,5514.48413724,3998000.999499
2022-05-10 12:53:59.634776,725.0,725.0,725.0,725.0,5528.27861999,4008001.99949275
2022-05-10 12:54:07.762032,725.0,725.0,725.0,725.0,859.48749763,623128.43578175
2022-05-10 12:54:16.229110,725.0,725.0,725.0,725.0,859.48749763,623128.43578175
2022-05-10 12:54:24.332639,725.0,725.0,723.0,723.0,3308.22640846,2393566.66831184
2022-05-10 12:54:41.878920,725.0,725.0,723.0,724.0,4816.61300463,3485638.56393892
2022-05-10 12:54:51.034496,725.0,725.0,723.0,725.0,5416.61300463,3920638.56393892
2022-05-10 12:55:01.248135,725.0,725.0,723.0,725.0,5416.61300463,3920638.56393892
2022-05-10 12:55:19.254993,725.0,725.0,723.0,725.0,5416.61300463,3920638.56393892
2022-05-10 12:55:29.657966,725.0,725.0,723.0,725.0,5416.61300463,3920638.56393892
2022-05-10 12:55:39.645049,725.0,725.0,723.0,725.0,5416.61300463,3920638.56393892
2022-05-10 12:55:49.173749,725.0,725.0,723.0,725.0,5416.61300463,3920638.56393892
2022-05-10 12:56:08.174199,725.0,725.0,725.0,725.0,10.0,7250.0
2022-05-10 12:56:17.200372,725.0,725.0,725.0,725.0,284.37261761,206170.14776725
2022-05-10 12:56:35.002462,725.0,725.0,725.0,725.0,284.37261761,206170.14776725
2022-05-10 12:56:43.717958,725.0,725.0,725.0,725.0,1948.10464185,1412375.86534125
2022-05-10 12:56:54.447780,725.0,725.0,725.0,725.0,1948.10464185,1412375.86534125
2022-05-10 12:57:03.536050,725.0,725.0,725.0,725.0,1948.10464185,1412375.86534125
2022-05-10 12:57:12.560126,725.0,725.0,725.0,725.0,1948.10464185,1412375.86534125
2022-05-10 12:57:31.623301,725.0,725.0,725.0,725.0,1948.10464185,1412375.86534125
2022-05-10 12:57:40.535186,725.0,725.0,725.0,725.0,1948.10464185,1412375.86534125
2022-05-10 12:57:50.041267,726.0,726.0,726.0,726.0,6953.12988247,5047972.29467322
2022-05-10 12:57:59.523261,726.0,726.0,726.0,726.0,6953.12988247,5047972.29467322
2022-05-10 12:58:09.360408,727.0,727.0,726.0,726.0,137.70305356,99989.15542038
2022-05-10 12:58:26.728550,727.0,727.0,726.0,727.0,1314.17365485,955283.28255821
2022-05-10 12:58:34.871181,727.0,727.0,726.0,727.0,1314.17365485,955283.28255821
2022-05-10 12:58:50.251928,727.0,729.0,726.0,729.0,1725.69628859,1255283.28255467
2022-05-10 12:59:15.766368,728.0,728.0,728.0,728.0,1111.99369902,809531.41288656
2022-05-10 12:59:24.603539,728.0,728.0,728.0,728.0,1111.99369902,809531.41288656
2022-05-10 12:59:34.160624,728.0,728.0,727.0,728.0,6974.66392248,5072067.45791547
2022-05-10 12:59:51.212700,728.0,728.0,727.0,728.0,6974.66392248,5072067.45791547
2022-05-10 13:00:01.120406,728.0,728.0,727.0,728.0,6974.66392248,5072067.45791547
2022-05-10 13:00:22.263204,728.0,728.0,728.0,728.0,4625.20742651,3367151.00649928
2022-05-10 13:00:31.000197,728.0,728.0,727.0,727.0,19799.01537977,14398509.3885193
2022-05-10 13:00:39.013516,728.0,728.0,727.0,727.0,19853.1398723,14437857.89458861
2022-05-10 13:00:47.903885,728.0,728.0,727.0,727.0,19853.1398723,14437857.89458861
2022-05-10 13:00:57.201924,728.0,728.0,727.0,728.0,21226.08080636,15437358.89458429
2022-05-10 13:01:06.953077,728.0,728.0,727.0,728.0,21226.08080636,15437358.89458429
2022-05-10 13:01:31.166495,727.0,727.0,727.0,727.0,604.19920785,439252.82410695
2022-05-10 13:01:42.537330,727.0,727.0,726.0,726.0,1097.76078662,797578.53029397
2022-05-10 13:01:51.012636,727.0,727.0,726.0,726.0,1097.76078662,797578.53029397
2022-05-10 13:02:07.936483,728.0,728.0,728.0,728.0,32.61977138,23747.19356464
2022-05-10 13:02:17.741019,728.0,728.0,728.0,728.0,32.61977138,23747.19356464
2022-05-10 13:02:26.834634,728.0,728.0,728.0,728.0,32.61977138,23747.19356464
2022-05-10 13:02:35.772628,728.0,728.0,728.0,728.0,32.61977138,23747.19356464
2022-05-10 13:02:45.034883,728.0,730.0,727.0,727.0,1030.79616537,749694.28210613
2022-05-10 13:02:54.797844,728.0,730.0,727.0,727.0,1030.79616537,749694.28210613
