,open,high,low,close,volume,value
2022-05-10 12:50:56.008953,157.0,157.0,157.0,157.0,11160.53200684,1752203.52507388
2022-05-10 12:51:14.981171,157.0,157.0,157.0,157.0,76464.36571015,12004905.41649355
2022-05-10 12:51:25.836804,157.0,157.0,157.0,157.0,76464.36571015,12004905.41649355
2022-05-10 12:52:06.986616,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:52:15.879773,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:52:35.753950,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:52:44.879944,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:52:53.123074,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:53:00.679069,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:53:08.140678,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:53:16.549974,157.0,157.0,157.0,157.0,79.0509554,12410.9999978
2022-05-10 12:53:25.221043,157.0,157.0,157.0,157.0,99370.37418652,15601148.74728364
2022-05-10 12:53:41.099217,157.0,157.0,157.0,157.0,99449.42514192,15613559.74728144
2022-05-10 12:53:49.612211,157.0,157.0,157.0,157.0,101324.42514192,15907934.74728144
2022-05-10 12:54:41.020314,157.0,157.0,157.0,157.0,101324.42514192,15907934.74728144
2022-05-10 12:54:50.066498,157.0,157.0,157.0,157.0,101324.42514192,15907934.74728144
2022-05-10 12:54:59.701725,157.0,157.0,157.0,157.0,101324.42514192,15907934.74728144
2022-05-10 12:55:28.224967,157.0,157.0,157.0,157.0,62.63919822,9834.35412054
2022-05-10 12:55:38.531961,157.0,157.0,157.0,157.0,62.63919822,9834.35412054
2022-05-10 12:55:47.964658,157.0,157.0,157.0,157.0,62.63919822,9834.35412054
2022-05-10 12:56:06.876586,157.0,157.0,157.0,157.0,362.63919822,56934.35412054
2022-05-10 12:56:25.398396,158.0,158.0,158.0,158.0,316.4556962,49999.9999996
2022-05-10 12:56:33.965462,158.0,158.0,157.0,157.0,5462.2348373,857887.3251523
