,open,high,low,close,volume,value
2022-05-10 12:50:58.793950,9.01,9.02,9.01,9.02,91635.52244496,825717.91319689
2022-05-10 12:51:17.733635,9.01,9.01,9.01,9.01,131806.33085885,1187575.04103824
2022-05-10 12:51:29.060198,9.01,9.01,9.01,9.01,131806.33085885,1187575.04103824
2022-05-10 12:51:39.541192,9.01,9.01,9.01,9.01,131806.33085885,1187575.04103824
2022-05-10 12:51:59.909179,9.01,9.04,9.01,9.04,153930.22466415,1387575.04103815
2022-05-10 12:52:10.026117,9.01,9.02,9.01,9.02,17094.01709401,154040.18185947
2022-05-10 12:52:18.676771,9.01,9.02,9.01,9.02,17094.01709401,154040.18185947
2022-05-10 12:52:27.049055,9.01,9.02,9.01,9.02,17094.01709401,154040.18185947
2022-05-10 12:52:38.034954,9.01,9.02,9.01,9.02,17094.01709401,154040.18185947
2022-05-10 12:53:03.083067,9.01,9.02,9.01,9.02,17094.01709401,154040.18185947
2022-05-10 12:53:11.076978,9.01,9.02,9.01,9.02,17094.01709401,154040.18185947
2022-05-10 12:53:18.666972,9.05,9.05,9.05,9.05,22099.44751381,199999.99999998
2022-05-10 12:53:43.831214,9.05,9.05,9.05,9.05,44198.89502762,399999.99999996
2022-05-10 12:53:52.956060,9.05,9.05,9.05,9.05,52170.48068295,472142.8501807
2022-05-10 12:54:00.968786,9.05,9.05,9.05,9.05,52170.48068295,472142.8501807
2022-05-10 12:54:17.625641,9.05,9.05,9.05,9.05,52170.48068295,472142.8501807
2022-05-10 12:54:26.140721,9.05,9.05,9.05,9.05,52170.48068295,472142.8501807
2022-05-10 12:54:35.068318,9.05,9.05,9.05,9.05,52170.48068295,472142.8501807
2022-05-10 12:54:43.677122,9.06,9.06,9.06,9.06,2692.03837331,24389.86766219
2022-05-10 12:54:52.623496,9.06,9.06,9.06,9.06,2692.03837331,24389.86766219
2022-05-10 12:55:03.254134,9.06,9.06,9.06,9.06,2692.03837331,24389.86766219
2022-05-10 12:55:11.804258,9.06,9.06,9.06,9.06,2692.03837331,24389.86766219
2022-05-10 12:55:20.797992,9.06,9.06,9.06,9.06,2692.03837331,24389.86766219
2022-05-10 12:55:41.280046,9.08,9.08,9.08,9.08,83171.85019824,755200.39980001
2022-05-10 12:55:51.328149,9.08,9.08,9.08,9.08,93651.59621958,850356.49367378
2022-05-10 12:56:00.278787,9.08,9.1,9.08,9.1,137607.64017562,1250356.49367374
2022-05-10 12:56:10.023294,9.1,9.1,9.1,9.1,21978.02197802,199999.99999998
2022-05-10 12:56:18.689372,9.1,9.1,9.1,9.1,21978.02197802,199999.99999998
2022-05-10 12:56:27.912465,9.1,9.1,9.06,9.09,168868.02741811,1533186.66978044
2022-05-10 12:56:36.637460,9.1,9.1,9.06,9.09,168868.02741811,1533186.66978044
2022-05-10 12:56:56.695308,9.1,9.1,9.06,9.09,168868.02741811,1533186.66978044
2022-05-10 12:57:05.017131,9.1,9.1,9.06,9.09,195328.02741811,1773708.06978044
2022-05-10 12:57:14.236125,9.1,9.1,9.09,9.09,169217.69522116,1538628.40999991
2022-05-10 12:57:23.311307,9.1,9.1,9.08,9.08,279107.80511126,2537273.91890092
2022-05-10 12:57:33.223568,9.1,9.1,9.08,9.08,279107.80511126,2537273.91890092
2022-05-10 12:57:42.047185,9.1,9.1,9.08,9.08,279107.80511126,2537273.91890092
2022-05-10 12:57:51.696266,9.1,9.1,9.08,9.08,288936.90411014,2626522.13781075
2022-05-10 12:58:10.973407,9.08,9.09,9.08,9.09,22602.20022002,205447.99999998
2022-05-10 12:58:19.950555,9.08,9.09,9.08,9.09,85322.72388282,775577.56009483
2022-05-10 12:58:28.119550,9.08,9.1,9.08,9.1,102994.76445767,936393.1200659
2022-05-10 12:58:43.845272,9.08,9.1,9.08,9.1,102994.76445767,936393.1200659
2022-05-10 12:58:52.037935,9.08,9.1,9.08,9.1,103559.52401788,941532.43206381
2022-05-10 12:58:59.661930,9.08,9.1,9.08,9.08,285494.94979524,2593889.63017614
2022-05-10 12:59:07.885307,9.08,9.08,9.08,9.08,61538.46153846,558769.23076922
2022-05-10 12:59:36.035628,9.08,9.11,9.08,9.11,122634.11445557,1114481.85231492
2022-05-10 12:59:44.802705,9.08,9.11,9.08,9.11,122634.11445557,1114481.85231492
2022-05-10 12:59:52.997764,9.08,9.11,9.08,9.11,122634.11445557,1114481.85231492
2022-05-10 13:00:03.927537,9.08,9.11,9.08,9.1,169875.84926825,1544381.63911031
2022-05-10 13:00:15.127976,9.1,9.1,9.1,9.1,2697.80456417,24550.02153395
2022-05-10 13:00:23.996202,9.1,9.1,9.08,9.08,21044.99863048,191148.54365604
2022-05-10 13:00:49.951679,9.1,9.1,9.08,9.08,21044.99863048,191148.54365604
2022-05-10 13:00:58.711923,9.1,9.1,9.08,9.08,21044.99863048,191148.54365604
2022-05-10 13:01:08.549077,9.1,9.1,9.08,9.08,21044.99863048,191148.54365604
2022-05-10 13:01:18.317146,9.08,9.08,9.07,9.07,112703.32714659,1023340.21049104
2022-05-10 13:01:34.837375,9.08,9.08,9.07,9.07,112703.32714659,1023340.21049104
2022-05-10 13:01:44.097606,9.08,9.08,9.07,9.07,112703.32714659,1023340.21049104
2022-05-10 13:02:01.033122,9.08,9.08,9.05,9.07,177201.25974489,1607493.07382428
2022-05-10 13:02:09.885932,9.06,9.06,9.06,9.06,47350.6355973,428996.75851154
2022-05-10 13:02:19.573018,9.06,9.06,9.06,9.06,47350.6355973,428996.75851154
2022-05-10 13:02:46.959882,9.06,9.06,9.06,9.06,47603.02993557,431283.45121627
2022-05-10 13:02:56.573761,9.06,9.06,9.06,9.06,47603.02993557,431283.45121627
2022-05-10 13:03:06.270895,9.06,9.06,9.06,9.06,47603.02993557,431283.45121627
