,open,high,low,close,volume,value
2022-05-10 12:50:54.164880,483.0,483.0,483.0,483.0,41.469,20029.527
2022-05-10 12:51:13.210375,483.0,483.0,482.0,483.0,795.45288356,383475.52699186
2022-05-10 12:51:34.618194,482.0,482.0,481.0,481.0,19214.55489052,9242213.78018691
2022-05-10 12:51:44.600188,482.0,482.0,481.0,481.0,19214.55489052,9242213.78018691
2022-05-10 12:52:04.834617,482.0,482.0,481.0,481.0,19214.55489052,9242213.78018691
2022-05-10 12:52:14.255773,482.0,482.0,481.0,481.0,19214.55489052,9242213.78018691
2022-05-10 12:52:22.662971,481.0,482.0,481.0,482.0,24138.31721409,11613170.10051649
2022-05-10 12:52:34.129950,481.0,482.0,481.0,482.0,24483.26491409,11779434.89191649
2022-05-10 12:52:43.097945,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:53:06.710679,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:53:15.157975,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:53:48.218212,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:53:57.145057,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:54:05.014899,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:54:13.940115,481.0,482.0,481.0,482.0,25029.74813644,12042839.80508919
2022-05-10 12:54:21.739639,482.0,482.0,482.0,482.0,41.49377593,19999.99999826
2022-05-10 12:54:31.060320,482.0,482.0,482.0,482.0,41.49377593,19999.99999826
2022-05-10 12:54:39.232316,482.0,482.0,481.0,481.0,5830.36634995,2804447.70810188
2022-05-10 12:54:57.867672,482.0,482.0,480.0,480.0,6034.1085537,2902243.96590188
2022-05-10 12:55:07.633261,482.0,482.0,480.0,480.0,6034.1085537,2902243.96590188
2022-05-10 12:55:16.347995,482.0,482.0,480.0,480.0,6034.1085537,2902243.96590188
2022-05-10 12:55:46.334494,482.0,482.0,481.0,481.0,845.0936839,406648.56817997
2022-05-10 12:55:55.847148,482.0,482.0,481.0,481.0,845.0936839,406648.56817997
2022-05-10 12:56:04.929201,482.0,483.0,481.0,483.0,1052.56256357,506856.03706058
2022-05-10 12:56:14.750373,482.0,483.0,481.0,483.0,1052.56256357,506856.03706058
2022-05-10 12:56:23.159368,482.0,483.0,481.0,483.0,1052.56256357,506856.03706058
2022-05-10 12:56:32.289464,482.0,483.0,481.0,483.0,1052.56256357,506856.03706058
2022-05-10 12:56:49.772064,483.0,483.0,482.0,482.0,250.86998026,121081.99715198
2022-05-10 12:57:00.827052,483.0,483.0,482.0,482.0,250.86998026,121081.99715198
2022-05-10 12:57:09.532127,483.0,483.0,482.0,482.0,250.86998026,121081.99715198
2022-05-10 12:57:19.169215,481.0,481.0,481.0,481.0,1604.31857241,771677.23332921
2022-05-10 12:57:28.519303,481.0,481.0,480.0,480.0,2006.47839495,965061.16750162
2022-05-10 12:57:37.697039,481.0,481.0,480.0,480.0,2006.47839495,965061.16750162
2022-05-10 12:57:56.995263,481.0,482.0,480.0,482.0,6011.05564989,2895267.4043827
2022-05-10 12:58:06.643410,481.0,482.0,480.0,482.0,6011.05564989,2895267.4043827
2022-05-10 12:58:24.237552,482.0,482.0,482.0,482.0,1258.62738589,606658.39999898
2022-05-10 12:58:40.034255,482.0,482.0,482.0,482.0,2295.45337123,1106408.52493286
2022-05-10 12:58:48.021930,482.0,482.0,482.0,482.0,2295.45337123,1106408.52493286
2022-05-10 12:58:55.789932,482.0,482.0,481.0,481.0,2503.35357914,1206408.52493757
2022-05-10 12:59:03.837220,482.0,482.0,481.0,481.0,2503.35357914,1206408.52493757
2022-05-10 12:59:12.311371,481.0,481.0,480.0,480.0,35863.7155349,17217488.60969493
2022-05-10 12:59:21.883235,481.0,481.0,480.0,480.0,35863.7155349,17217488.60969493
2022-05-10 12:59:31.080625,481.0,481.0,480.0,480.0,47449.7155349,22778768.60969493
2022-05-10 12:59:40.922707,481.0,481.0,479.0,479.0,49964.74502327,23983467.73462416
2022-05-10 12:59:48.681707,481.0,481.0,479.0,479.0,49964.74502327,23983467.73462416
