,open,high,low,close,volume,value
2022-05-10 12:50:57.398952,69.1,69.1,69.1,69.1,10000.0,691000.0
2022-05-10 12:51:06.968871,69.1,69.1,69.1,69.1,10000.0,691000.0
2022-05-10 12:51:16.284466,69.1,69.1,69.1,69.1,6048.67245099,417963.2663634
2022-05-10 12:51:27.320198,69.1,69.1,69.1,69.1,6048.67245099,417963.2663634
2022-05-10 12:51:38.028192,69.1,69.1,69.1,69.1,6048.67245099,417963.2663634
2022-05-10 12:51:47.975186,69.1,69.1,69.0,69.1,27760.99909523,1916325.03748039
2022-05-10 12:51:57.879180,69.1,69.1,69.0,69.1,27760.99909523,1916325.03748039
2022-05-10 12:52:08.335118,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:52:17.169772,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:52:36.796949,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:52:46.128943,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:52:54.019073,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:53:01.916068,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:53:09.473978,69.0,69.0,69.0,69.0,1854.81239702,127982.05539438
2022-05-10 12:53:42.339215,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:53:51.222975,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:53:59.776775,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:54:07.997032,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:54:24.461638,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:54:33.536319,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:54:42.049123,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:54:51.191498,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:55:01.496135,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:55:29.865967,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:55:39.822048,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:55:49.319748,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:55:58.596223,69.1,69.1,69.0,69.0,14486.46154491,999999.99999966
2022-05-10 12:56:08.488200,68.9,68.9,68.9,68.9,128.2051282,8833.33333298
2022-05-10 12:56:35.162463,68.9,68.9,68.9,68.9,128.2051282,8833.33333298
2022-05-10 12:56:43.868960,68.9,68.9,68.9,68.9,128.2051282,8833.33333298
2022-05-10 12:56:54.692780,68.9,68.9,68.9,68.9,1888.89758179,130145.04338533
2022-05-10 12:57:03.691050,68.9,68.9,68.9,68.9,10842.59838186,747055.02851015
2022-05-10 12:57:12.727126,68.9,68.9,68.9,68.9,10842.59838186,747055.02851015
2022-05-10 12:57:21.664212,68.9,68.9,68.9,68.9,10842.59838186,747055.02851015
2022-05-10 12:57:31.779301,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:57:40.665186,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:57:50.225268,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:57:59.662261,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:58:18.592555,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:58:26.857551,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:58:35.002182,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:58:42.635273,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:59:15.964370,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:59:24.740540,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:59:34.347624,68.9,68.9,68.9,68.9,8953.70080008,616909.98512551
2022-05-10 12:59:43.533705,68.9,68.9,68.9,68.9,849.15058093,58506.47502608
2022-05-10 13:00:01.286406,68.9,68.9,68.9,68.9,849.15058093,58506.47502608
2022-05-10 13:00:22.441204,68.9,68.9,68.9,68.9,849.15058093,58506.47502608
2022-05-10 13:00:31.160198,68.8,68.8,68.8,68.8,383.07700148,26355.69770182
2022-05-10 13:00:39.146516,68.8,68.8,68.8,68.8,3177.39636325,218604.86979159
2022-05-10 13:00:48.120884,68.8,68.8,68.8,68.8,3400.74596652,233971.32249656
2022-05-10 13:00:57.369924,68.8,68.8,68.8,68.8,3400.74596652,233971.32249656
2022-05-10 13:01:07.095077,68.8,68.8,68.8,68.8,3400.74596652,233971.32249656
2022-05-10 13:01:31.574497,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:01:42.730695,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:01:51.148636,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:01:59.567129,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:02:08.134934,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:02:17.872019,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:02:26.972634,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:02:36.062627,68.8,68.8,68.8,68.8,9755.47351485,671176.57782168
2022-05-10 13:02:45.238884,68.9,69.0,68.9,69.0,6622.31429905,456291.94071179
2022-05-10 13:02:55.033740,68.9,69.0,68.9,69.0,6622.31429905,456291.94071179
2022-05-10 13:03:04.578750,68.9,69.0,68.9,69.0,6622.31429905,456291.94071179
2022-05-10 13:03:13.721327,68.9,69.0,68.9,69.0,6622.31429905,456291.94071179
2022-05-10 13:03:22.827238,68.9,69.0,68.9,69.0,6622.31429905,456291.94071179
2022-05-10 13:03:40.777231,69.0,69.0,69.0,69.0,17690.20711868,1220624.29118892
2022-05-10 13:03:49.967293,69.0,69.0,69.0,69.0,17690.20711868,1220624.29118892
2022-05-10 13:03:57.891593,69.0,69.0,69.0,69.0,17690.20711868,1220624.29118892
2022-05-10 13:04:06.096607,69.0,69.0,69.0,69.0,17690.20711868,1220624.29118892
2022-05-10 13:04:14.954908,69.0,69.0,69.0,69.0,17690.20711868,1220624.29118892
2022-05-10 13:04:24.054425,69.0,69.0,69.0,69.0,17690.20711868,1220624.29118892
2022-05-10 13:04:32.899944,69.0,69.0,69.0,69.0,13646.8198801,941630.5717269
2022-05-10 13:04:41.776518,69.0,69.0,69.0,69.0,13646.8198801,941630.5717269
2022-05-10 13:04:50.546755,69.0,69.0,69.0,69.0,14986.8198801,1034090.5717269
2022-05-10 13:05:08.124040,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:05:16.731541,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:05:24.693536,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:05:41.138539,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:05:49.692584,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:06:07.203736,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:06:15.841547,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:06:33.622803,69.0,69.0,69.0,69.0,8806.39045689,607640.94152541
2022-05-10 13:06:42.839521,69.0,69.1,69.0,69.1,286.59792743,19789.56958312
2022-05-10 13:06:52.153781,69.0,69.1,69.0,69.1,286.59792743,19789.56958312
2022-05-10 13:07:00.319827,69.0,69.1,69.0,69.1,286.59792743,19789.56958312
2022-05-10 13:07:09.237874,69.0,69.1,69.0,69.1,286.59792743,19789.56958312
2022-05-10 13:07:18.807139,69.0,69.1,69.0,69.1,16600.46760898,1146432.77370269
2022-05-10 13:07:27.875711,69.0,69.1,69.0,69.1,35434.85635205,2447889.03584883
2022-05-10 13:07:36.676564,69.0,69.1,69.0,69.1,35434.85635205,2447889.03584883
2022-05-10 13:07:45.163960,69.0,69.1,69.0,69.1,35434.85635205,2447889.03584883
2022-05-10 13:07:54.170680,69.0,69.1,69.0,69.1,35434.85635205,2447889.03584883
2022-05-10 13:08:02.247903,69.0,69.1,69.0,69.1,35434.85635205,2447889.03584883
2022-05-10 13:08:30.130696,69.2,69.2,69.2,69.2,7398.84393063,511999.99999959
2022-05-10 13:08:38.597844,69.2,69.2,69.2,69.2,7398.84393063,511999.99999959
2022-05-10 13:08:47.800524,69.2,69.2,69.2,69.2,10289.01734103,711999.99999927
2022-05-10 13:09:04.836275,69.2,69.2,69.2,69.2,2916.62150939,201830.2084498
2022-05-10 13:09:13.798334,69.2,69.2,69.2,69.2,3628.19985957,251071.43028226
2022-05-10 13:09:30.848724,69.2,69.2,69.2,69.2,3628.19985957,251071.43028226
