,open,high,low,close,volume,value
2022-05-10 12:50:59.648270,750.0,750.0,747.0,748.0,21846.86769602,16364243.76236735
2022-05-10 12:51:09.565378,748.0,748.0,748.0,748.0,11.067299,8278.339652
2022-05-10 12:51:19.367809,748.0,748.0,748.0,748.0,11.067299,8278.339652
2022-05-10 12:51:30.380197,748.0,748.0,746.0,746.0,2793.24246878,2083781.01630788
2022-05-10 12:51:40.575191,748.0,748.0,746.0,746.0,2812.94466652,2098478.85582192
2022-05-10 12:52:00.889178,748.0,748.0,744.0,745.0,8453.97017861,6300870.21222104
2022-05-10 12:52:11.005116,745.0,746.0,745.0,746.0,41217.45493489,30707562.76790935
2022-05-10 12:52:28.798054,745.0,746.0,745.0,745.0,41265.98485466,30743717.558138
2022-05-10 12:52:39.299947,745.0,746.0,745.0,745.0,41265.98485466,30743717.558138
2022-05-10 12:52:56.145071,745.0,746.0,745.0,746.0,43601.54302471,32484426.24228261
2022-05-10 12:53:03.753067,746.0,746.0,746.0,746.0,7.95755968,5936.33952128
2022-05-10 12:53:11.780977,746.0,746.0,746.0,746.0,23.09468468,17228.63477128
2022-05-10 12:53:19.730047,746.0,746.0,746.0,746.0,37.05382268,27642.15171928
2022-05-10 12:53:36.129219,746.0,746.0,746.0,746.0,49.11241668,36637.86284328
2022-05-10 12:53:44.760214,746.0,746.0,746.0,746.0,49.11241668,36637.86284328
2022-05-10 12:53:53.832060,746.0,746.0,746.0,746.0,49.11241668,36637.86284328
2022-05-10 12:54:01.718787,746.0,746.0,746.0,746.0,63.31677786,47234.31628356
2022-05-10 12:54:18.567641,745.0,745.0,745.0,745.0,2000.0,1490000.0
2022-05-10 12:54:26.878721,745.0,745.0,745.0,745.0,2011.717583,1498729.599335
2022-05-10 12:54:35.886318,745.0,745.0,745.0,745.0,2153.7362232,1604533.486284
2022-05-10 12:54:44.921382,745.0,745.0,745.0,745.0,2153.7362232,1604533.486284
2022-05-10 12:55:04.133134,745.0,745.0,745.0,745.0,2615.52404586,1948565.4141657
2022-05-10 12:55:12.535258,745.0,745.0,745.0,745.0,26.0237097,19387.6637265
2022-05-10 12:55:21.644177,745.0,745.0,745.0,745.0,39.6744747,29557.4836515
2022-05-10 12:55:32.608965,745.0,745.0,745.0,745.0,987.18861297,735455.51666265
2022-05-10 12:55:42.229787,745.0,745.0,745.0,745.0,987.18861297,735455.51666265
2022-05-10 12:56:01.205785,745.0,745.0,743.0,745.0,5887.82195134,4381433.37142088
2022-05-10 12:56:10.746377,745.0,745.0,744.0,745.0,626.47028466,466183.61087994
2022-05-10 12:56:19.550372,745.0,745.0,744.0,745.0,638.70355866,475297.40000994
2022-05-10 12:56:28.772465,745.0,745.0,744.0,745.0,772.93174657,575297.40000289
2022-05-10 12:56:46.438864,745.0,745.0,744.0,745.0,793.12081577,590338.25655689
2022-05-10 12:57:05.909131,745.0,746.0,744.0,746.0,1858.63325778,1384152.02585434
2022-05-10 12:57:15.055124,745.0,746.0,744.0,746.0,1858.63325778,1384152.02585434
2022-05-10 12:57:24.299305,745.0,746.0,744.0,746.0,1858.63325778,1384152.02585434
2022-05-10 12:57:34.160767,745.0,746.0,744.0,746.0,1858.63325778,1384152.02585434
2022-05-10 12:57:43.259185,745.0,746.0,744.0,746.0,1858.63325778,1384152.02585434
2022-05-10 12:57:52.775265,746.0,746.0,746.0,746.0,2100.53150368,1566996.50174528
2022-05-10 12:58:02.766336,746.0,746.0,746.0,746.0,2108.01640448,1572580.23774208
2022-05-10 12:58:11.800407,746.0,746.0,746.0,746.0,2108.01640448,1572580.23774208
2022-05-10 12:58:20.904554,746.0,746.0,746.0,746.0,2108.01640448,1572580.23774208
2022-05-10 12:58:28.906549,745.0,745.0,745.0,745.0,1775.12606797,1322468.92063765
2022-05-10 12:58:36.915180,745.0,745.0,745.0,745.0,1775.12606797,1322468.92063765
2022-05-10 12:58:44.580271,745.0,745.0,745.0,745.0,1775.12606797,1322468.92063765
2022-05-10 12:58:52.895933,745.0,745.0,745.0,745.0,1775.12606797,1322468.92063765
2022-05-10 12:59:08.868306,745.0,745.0,745.0,745.0,1775.12606797,1322468.92063765
2022-05-10 12:59:37.347627,744.0,744.0,744.0,744.0,365.47203648,271911.19514112
2022-05-10 12:59:45.568704,744.0,744.0,744.0,744.0,1347.37534844,1002447.25923936
2022-05-10 12:59:54.100860,744.0,744.0,744.0,744.0,1347.37534844,1002447.25923936
2022-05-10 13:00:06.106601,744.0,744.0,743.0,743.0,3204.4167454,2383631.01623733
2022-05-10 13:00:15.971975,743.0,743.0,743.0,743.0,16.41307161,12194.91220623
2022-05-10 13:00:24.758200,743.0,743.0,743.0,743.0,29.87202181,22194.91220483
2022-05-10 13:00:33.205196,743.0,743.0,741.0,742.0,4519.86118892,3352085.52687884
2022-05-10 13:00:50.716680,743.0,743.0,741.0,742.0,4534.68598676,3363085.52687612
2022-05-10 13:00:59.675012,743.0,743.0,741.0,742.0,4556.26950526,3379100.49760312
2022-05-10 13:01:19.719146,741.0,741.0,740.0,740.0,1689.89773282,1251850.96205256
2022-05-10 13:01:36.011374,741.0,741.0,740.0,740.0,7372.2409859,5457236.16145421
2022-05-10 13:01:44.759606,741.0,741.0,740.0,740.0,7372.2409859,5457236.16145421
2022-05-10 13:01:53.133634,741.0,741.0,739.0,739.0,10582.08213623,7829628.8298769
2022-05-10 13:02:02.010121,741.0,741.0,738.0,738.0,11134.95114781,8237646.16042294
2022-05-10 13:02:10.732023,741.0,741.0,741.0,741.0,8.04289544,5959.78552104
2022-05-10 13:02:20.647016,741.0,741.0,741.0,741.0,8.04289544,5959.78552104
2022-05-10 13:02:29.097632,741.0,745.0,741.0,745.0,1315.53553503,974843.87418083
2022-05-10 13:02:47.824882,741.0,746.0,741.0,746.0,1323.53553503,980806.37810573
2022-05-10 13:02:57.592760,741.0,746.0,741.0,745.0,1591.4980685,1180438.46554088
2022-05-10 13:03:07.576896,741.0,746.0,741.0,745.0,1591.4980685,1180438.46554088
2022-05-10 13:03:16.300326,741.0,746.0,741.0,745.0,1591.4980685,1180438.46554088
2022-05-10 13:03:25.671312,743.0,743.0,743.0,743.0,8.0803592,6003.7068856
2022-05-10 13:03:34.783428,743.0,743.0,743.0,743.0,15.5417875,11547.5481125
2022-05-10 13:04:00.193592,743.0,743.0,741.0,741.0,29.03706415,21547.54811015
2022-05-10 13:04:17.343906,741.0,741.0,740.0,741.0,888.5244198,657527.58929173
2022-05-10 13:04:44.009517,741.0,741.0,740.0,741.0,895.5244198,662714.58929173
2022-05-10 13:04:52.605605,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:05:01.359676,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:05:18.986540,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:05:26.771534,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:05:35.307157,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:05:52.185659,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:06:09.635735,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:06:18.246546,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:06:26.805596,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:06:36.280080,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
2022-05-10 13:06:45.154632,741.0,743.0,740.0,743.0,3089.16935944,2287379.01769264
