,open,high,low,close,volume,value
2022-05-10 12:50:55.827951,17.6,17.6,17.5,17.6,119120.90651966,2090898.75395224
2022-05-10 12:51:05.216273,17.6,17.6,17.6,17.6,819.83606556,14429.11475385
2022-05-10 12:51:14.816170,17.6,17.6,17.6,17.6,2459.50819668,43287.34426155
2022-05-10 12:51:25.656805,17.6,17.6,17.6,17.6,3286.95257984,57850.36540517
2022-05-10 12:51:36.295193,17.6,17.6,17.6,17.6,4404.49447928,77519.10283533
2022-05-10 12:51:46.366188,17.6,17.6,17.6,17.6,5520.48423719,97160.52257456
2022-05-10 12:51:56.320186,17.6,17.6,17.6,17.6,7196.79708635,126663.6287198
2022-05-10 12:52:06.833616,17.6,17.6,17.6,17.6,838.15642458,14751.55307262
2022-05-10 12:52:15.607774,17.6,17.6,17.6,17.6,2516.03885505,44282.28384891
2022-05-10 12:52:24.162970,17.6,17.6,17.5,17.6,15367.10564306,269343.74088215
2022-05-10 12:52:44.645944,17.6,17.6,17.5,17.5,27787.53599515,486924.78042365
2022-05-10 12:52:52.995074,17.6,17.6,17.5,17.6,29463.84884431,516427.88656889
2022-05-10 12:53:00.545068,17.6,17.6,17.5,17.6,236513.31776889,4160498.53964151
2022-05-10 12:53:08.001678,17.6,17.6,17.6,17.6,1117.54189944,19668.73743016
2022-05-10 12:53:25.093045,17.6,17.6,17.6,17.6,2779.95379508,48927.18679343
2022-05-10 12:53:33.146152,17.6,17.6,17.6,17.6,3897.49569452,68595.92422359
2022-05-10 12:53:40.966216,17.6,17.6,17.5,17.6,16126.14870507,282709.10609818
2022-05-10 12:54:23.145639,17.6,17.6,17.5,17.6,109101.35048867,1909329.51064671
2022-05-10 12:54:40.892316,17.6,17.6,17.5,17.6,175145.64435428,3065161.47147671
2022-05-10 12:54:49.928497,17.6,17.6,17.5,17.6,175145.64435428,3065161.47147671
2022-05-10 12:54:59.557725,17.6,17.6,17.5,17.6,181395.64435427,3175161.47147653
2022-05-10 12:55:09.333260,17.6,17.6,17.5,17.5,342468.01355356,5997818.60482167
2022-05-10 12:55:18.128993,17.6,17.6,17.5,17.5,625943.38845898,10958637.66566654
2022-05-10 12:55:28.059968,17.6,17.6,17.5,17.5,628771.97593885,11008137.9465643
2022-05-10 12:55:38.377961,17.6,17.6,17.5,17.6,685522.39872814,12001298.28392437
2022-05-10 12:55:47.819493,17.6,17.6,17.5,17.6,685522.39872814,12001298.28392437
2022-05-10 12:55:57.153146,17.6,17.6,17.5,17.6,685522.39872814,12001298.28392437
2022-05-10 12:56:06.635584,17.5,17.5,17.5,17.5,46099.2667508,806737.168139
2022-05-10 12:56:16.120373,17.5,17.5,17.5,17.5,46099.2667508,806737.168139
2022-05-10 12:56:25.258397,17.5,17.5,17.5,17.5,46099.2667508,806737.168139
2022-05-10 12:56:33.707463,17.5,17.6,17.5,17.6,46377.10008413,811627.03480561
2022-05-10 12:56:42.701963,17.5,17.6,17.5,17.6,47875.4013828,837967.03480508
2022-05-10 12:56:52.011063,17.5,17.6,17.5,17.5,50232.28370801,879327.75230023
2022-05-10 12:57:11.061127,17.6,17.6,17.5,17.5,2642.04293483,46381.42565304
2022-05-10 12:57:39.255187,17.6,17.6,17.5,17.6,195671.25036133,3432256.25413724
2022-05-10 12:57:48.979268,17.6,17.6,17.5,17.6,204876.63388405,3594271.00413711
2022-05-10 12:58:08.124409,17.6,17.6,17.6,17.6,43160.23806278,759620.18990492
2022-05-10 12:58:17.247556,17.6,17.6,17.6,17.6,270432.9653355,4759620.1899048
2022-05-10 12:58:25.741551,17.6,17.6,17.6,17.6,343280.46204169,6041736.13193375
2022-05-10 12:58:33.762181,17.6,17.6,17.6,17.6,638802.26862067,11242919.92772379
2022-05-10 12:59:05.320219,17.6,17.7,17.6,17.7,639078.56696321,11247810.40838675
2022-05-10 12:59:14.290370,17.7,17.7,17.7,17.7,208370.39107564,3688155.92203883
2022-05-10 12:59:33.004624,17.7,17.8,17.7,17.8,470277.09592332,8324015.73289117
2022-05-10 12:59:50.115701,17.7,17.8,17.7,17.8,472765.332865,8368306.35045305
2022-05-10 12:59:59.729267,17.7,17.8,17.7,17.8,490771.14879086,8688809.87393334
2022-05-10 13:00:20.719977,17.8,17.8,17.8,17.8,13988.96856168,249003.64039789
2022-05-10 13:00:29.875197,17.8,17.8,17.7,17.8,54653.50864022,968820.955832
2022-05-10 13:00:37.863519,17.8,17.8,17.7,17.8,55206.1053253,978657.17682642
2022-05-10 13:00:46.435821,17.8,17.8,17.7,17.8,55206.1053253,978657.17682642
2022-05-10 13:00:55.934924,17.8,17.8,17.7,17.8,56033.48223016,993384.48573292
2022-05-10 13:01:05.647090,17.8,17.8,17.8,17.8,828.89502762,14754.33149163
2022-05-10 13:01:15.074149,17.8,17.8,17.8,17.8,2486.68508286,44262.99447489
2022-05-10 13:01:28.437498,17.8,17.8,17.7,17.7,51852.11235316,918251.94402094
2022-05-10 13:01:41.351331,17.8,17.8,17.7,17.7,52129.94568649,923169.59402088
2022-05-10 13:01:49.957636,17.8,17.8,17.6,17.6,56170.32001805,994280.18225634
2022-05-10 13:01:58.226130,17.8,17.8,17.6,17.6,56170.32001805,994280.18225634
2022-05-10 13:02:06.865118,17.8,17.8,17.6,17.6,56170.32001805,994280.18225634
2022-05-10 13:02:16.228019,17.6,17.6,17.6,17.6,525.08021389,9241.41176446
2022-05-10 13:02:25.653634,17.6,17.6,17.6,17.6,525.08021389,9241.41176446
2022-05-10 13:02:34.239629,17.6,17.6,17.6,17.6,525.08021389,9241.41176446
2022-05-10 13:02:43.817884,17.6,17.6,17.6,17.6,525.08021389,9241.41176446
2022-05-10 13:03:03.077682,17.6,17.6,17.6,17.6,182301.01048805,3208497.78458968
2022-05-10 13:03:12.550329,17.6,17.6,17.6,17.6,182301.01048805,3208497.78458968
2022-05-10 13:03:31.103540,17.7,17.7,17.7,17.7,279.38547486,4945.12290502
2022-05-10 13:03:48.552294,17.7,17.7,17.7,17.7,279.38547486,4945.12290502
2022-05-10 13:03:56.852594,17.7,17.7,17.7,17.7,279.38547486,4945.12290502
2022-05-10 13:04:04.807607,17.7,17.7,17.7,17.7,279.38547486,4945.12290502
2022-05-10 13:04:13.634908,17.7,17.7,17.7,17.7,279.38547486,4945.12290502
2022-05-10 13:04:31.623944,17.6,17.6,17.6,17.6,116666.05836219,2053322.62717454
2022-05-10 13:04:40.181895,17.6,17.6,17.6,17.6,116666.05836219,2053322.62717454
2022-05-10 13:04:49.214761,17.6,17.6,17.6,17.6,269256.71177128,4738918.12717452
2022-05-10 13:04:57.155602,17.6,17.6,17.6,17.6,269256.71177128,4738918.12717452
2022-05-10 13:05:06.801919,17.6,17.6,17.6,17.6,269256.71177128,4738918.12717452
2022-05-10 13:05:39.844473,17.6,17.6,17.6,17.6,568.23863636,10000.99999994
2022-05-10 13:05:57.097656,17.6,17.6,17.6,17.6,1704.60227271,30000.9999997
2022-05-10 13:06:06.030737,17.6,17.6,17.6,17.6,1704.60227271,30000.9999997
2022-05-10 13:06:14.665548,17.6,17.6,17.6,17.6,1704.60227271,30000.9999997
2022-05-10 13:06:23.236590,17.6,17.6,17.6,17.6,1704.60227271,30000.9999997
2022-05-10 13:06:41.479522,17.7,17.7,17.7,17.7,564.68926553,9994.99999988
2022-05-10 13:06:50.931783,17.7,17.7,17.7,17.7,56868.79709861,1006577.70864539
2022-05-10 13:06:59.061617,17.7,17.7,17.7,17.7,56868.79709861,1006577.70864539
2022-05-10 13:07:07.884873,17.7,17.7,17.7,17.7,56868.79709861,1006577.70864539
2022-05-10 13:07:43.707960,17.7,17.7,17.6,17.6,12965.28655943,228919.48312153
2022-05-10 13:07:52.608115,17.7,17.7,17.6,17.7,13243.11989276,233837.13312147
2022-05-10 13:08:01.002682,17.7,17.7,17.6,17.7,13243.11989276,233837.13312147
2022-05-10 13:08:10.225994,17.7,17.7,17.6,17.7,13243.11989276,233837.13312147
2022-05-10 13:08:18.888704,17.7,17.7,17.6,17.7,13243.11989276,233837.13312147
2022-05-10 13:08:46.286526,17.7,17.7,17.6,17.6,647004.55913177,11443723.37913723
2022-05-10 13:08:55.116055,17.7,17.7,17.6,17.7,647282.3924651,11448641.02913717
2022-05-10 13:09:03.566275,17.7,17.7,17.6,17.7,647282.3924651,11448641.02913717
2022-05-10 13:09:12.066270,17.7,17.7,17.6,17.7,647282.3924651,11448641.02913717
2022-05-10 13:09:38.755077,17.7,17.7,17.7,17.7,367968.10235902,6513035.41175466
2022-05-10 13:09:46.969295,17.7,17.8,17.7,17.8,368787.93842458,6527628.49372164
2022-05-10 13:09:54.886297,17.7,17.8,17.7,17.8,384539.63457944,6808008.68527813
2022-05-10 13:10:04.097358,17.8,17.8,17.8,17.8,5617.97752808,99999.99999982
2022-05-10 13:10:21.618493,17.8,17.8,17.8,17.8,8151.50918543,145096.86350066
2022-05-10 13:10:29.097495,17.8,17.8,17.8,17.8,8985.00918542,159933.16350047
2022-05-10 13:10:36.551114,17.8,17.8,17.8,17.8,9542.22799361,169851.65828625
2022-05-10 13:10:53.235945,17.8,17.8,17.8,17.8,10919.16533803,194361.14301691
2022-05-10 13:11:02.120025,17.8,17.8,17.8,17.8,276.29834254,4918.11049721
2022-05-10 13:11:13.138706,17.8,17.8,17.8,17.8,1108.26335174,19727.08766096
2022-05-10 13:11:32.164978,17.8,17.8,17.8,17.8,60069.47624899,1069236.67723198
2022-05-10 13:11:43.832111,17.8,17.8,17.8,17.8,62290.60792484,1108772.82106208
2022-05-10 13:11:52.305718,17.8,17.8,17.7,17.7,68021.23526555,1210560.91469299
2022-05-10 13:12:01.030604,17.8,17.8,17.7,17.7,75577.7053029,1344757.71618928
2022-05-10 13:12:11.281598,17.8,17.8,17.7,17.8,8690.11107646,154307.57828459
2022-05-10 13:12:21.052723,17.8,17.8,17.7,17.7,16087.69534598,285598.1906416
2022-05-10 13:12:30.613384,17.8,17.8,17.7,17.8,23413.31332338,415642.35917865
2022-05-10 13:12:40.218471,17.8,17.8,17.6,17.7,375794.41739144,6652658.05981979
2022-05-10 13:12:49.396867,17.8,17.8,17.6,17.8,436857.83934813,7733435.32975638
2022-05-10 13:12:58.259862,17.8,17.8,17.6,17.8,438247.00601478,7758162.49642273
2022-05-10 13:13:07.954002,17.8,17.8,17.8,17.8,1389.16666665,24727.16666635
2022-05-10 13:13:16.611436,17.8,17.8,17.8,17.8,2778.3333333,49454.3333327
2022-05-10 13:13:33.801250,17.8,17.8,17.8,17.8,5834.49999993,103854.09999867
2022-05-10 13:13:41.956274,17.8,17.8,17.8,17.8,7223.66666658,128581.26666502
2022-05-10 13:14:24.641476,17.8,17.8,17.7,17.7,134621.90609296,2383695.14107644
