,open,high,low,close,volume,value
50:53.3,11770,11770,11760,11770,171.8964396,2022539.226
51:02.6,11770,11770,11760,11770,171.8964396,2022539.226
51:22.6,11770,11770,11760,11770,171.8964396,2022539.226
51:33.8,11770,11770,11760,11770,171.8964396,2022539.226
51:43.6,11770,11770,11760,11770,171.8964396,2022539.226
51:53.6,11770,11770,11760,11770,171.8964396,2022539.226
52:04.2,11770,11770,11760,11770,171.8964396,2022539.226
52:13.6,11770,11770,11760,11770,171.8964396,2022539.226
52:22.1,11770,11770,11760,11770,171.8964396,2022539.226
52:33.5,11770,11770,11760,11770,171.8964396,2022539.226
52:50.8,11770,11770,11770,11770,71.79237924,844996.3037
52:58.7,11770,11780,11770,11780,79.88228847,940295.4344
53:06.2,11770,11780,11770,11780,79.88228847,940295.4344
53:22.8,11770,11780,11770,11780,79.88228847,940295.4344
53:30.7,11770,11780,11770,11780,79.88228847,940295.4344
53:38.6,11790,11790,11790,11790,8.4817642,99999.99992
53:47.5,11790,11790,11790,11790,8.4817642,99999.99992
54:21.2,11790,11800,11790,11800,276.0645989,3254882.523
54:30.3,11790,11810,11790,11810,305.3138657,3600316.364
54:38.6,11790,11810,11790,11810,305.3138657,3600316.364
54:47.6,11790,11810,11790,11810,305.3138657,3600316.364
54:57.0,11790,11810,11790,11810,305.3138657,3600316.364
55:07.1,11790,11810,11790,11810,305.3138657,3600316.364
55:15.6,11790,11810,11790,11810,305.3138657,3600316.364
55:25.7,11880,11890,11820,11820,477.0789826,5661692.948
55:35.7,11880,11890,11820,11820,477.0789826,5661692.948
55:45.5,11880,11890,11820,11820,477.0789826,5661692.948
55:55.2,11880,11890,11820,11820,477.0789826,5661692.948
56:14.0,11880,11890,11820,11820,477.0789826,5661692.948
56:22.4,11820,11830,11820,11830,11.75806723,139075.6421
56:31.6,11820,11880,11820,11880,12.17894265,144075.6421
56:40.7,11820,11880,11820,11880,12.17894265,144075.6421
56:49.1,11820,11880,11820,11880,12.17894265,144075.6421
57:00.3,11820,11880,11820,11880,12.17894265,144075.6421
57:08.9,11820,11880,11820,11880,12.17894265,144075.6421
57:27.9,11820,11880,11820,11880,12.17894265,144075.6421
57:37.0,11820,11880,11820,11880,12.17894265,144075.6421
57:46.9,11820,11880,11820,11880,12.17894265,144075.6421
57:56.1,11820,11880,11820,11880,12.17894265,144075.6421
58:05.9,11820,11880,11820,11880,12.17894265,144075.6421
58:14.6,11820,11880,11820,11880,12.17894265,144075.6421
58:23.6,11820,11880,11820,11880,12.17894265,144075.6421
58:31.8,11820,11880,11820,11880,12.17894265,144075.6421
59:03.1,11860,11860,11860,11860,9.10787189,108019.3606
59:30.2,11860,11860,11860,11860,9.10787189,108019.3606
59:48.1,11860,11860,11860,11860,9.10787189,108019.3606
59:57.3,11860,11860,11860,11860,9.10787189,108019.3606
00:10.1,11860,11860,11860,11860,6.60539629,78340
00:18.7,11860,11860,11860,11860,6.60539629,78340
00:27.6,11860,11860,11860,11860,6.60539629,78340
00:35.7,11860,11860,11860,11860,6.60539629,78340
00:44.1,11830,11830,11830,11830,8.09021769,95707.27527
00:53.7,11830,11830,11810,11810,738.0439889,8722189.639
01:03.1,11830,11830,11790,11800,1186.53883,14014965
01:12.4,11790,11810,11790,11810,64.2337759,757977.1779
01:23.0,11790,11810,11790,11810,64.2337759,757977.1779
01:38.9,11790,11810,11790,11800,213.7849708,2522681.278
01:47.6,11790,11810,11790,11800,213.7849708,2522681.278
01:55.8,11790,11810,11790,11800,213.7849708,2522681.278
02:04.7,11790,11810,11790,11790,221.87488,2618061.308
02:13.6,11790,11790,11790,11790,54.89617828,647225.9419
02:23.7,11790,11790,11790,11790,54.89617828,647225.9419
02:31.8,11790,11790,11790,11790,54.89617828,647225.9419
