,open,high,low,close,volume,value
2022-05-10 12:50:54.726880,9.95,9.95,9.94,9.94,1507.63819094,14990.94974859
2022-05-10 12:51:04.201267,9.95,9.95,9.94,9.94,1507.63819094,14990.94974859
2022-05-10 12:51:13.798374,9.93,9.94,9.89,9.89,169845.2736317,1684698.68730403
2022-05-10 12:51:24.119806,9.93,9.94,9.89,9.89,169845.2736317,1684698.68730403
2022-05-10 12:51:35.357194,9.93,9.94,9.88,9.88,406287.36942733,4022107.76992345
2022-05-10 12:51:45.297188,9.93,9.94,9.88,9.88,406287.36942733,4022107.76992345
2022-05-10 12:51:55.203181,9.93,9.94,9.88,9.93,406790.99480497,4027108.76992342
2022-05-10 12:52:05.565616,9.93,9.94,9.88,9.93,406790.99480497,4027108.76992342
2022-05-10 12:52:14.736774,9.93,9.94,9.88,9.93,406790.99480497,4027108.76992342
2022-05-10 12:52:23.245972,9.93,9.94,9.88,9.93,406790.99480497,4027108.76992342
2022-05-10 12:52:34.612950,9.88,9.88,9.88,9.88,305977.11355415,3023053.881915
2022-05-10 12:52:43.698945,9.88,9.93,9.88,9.93,306480.73893179,3028054.88191497
2022-05-10 12:52:52.058074,9.88,9.93,9.88,9.93,306480.73893179,3028054.88191497
2022-05-10 12:52:59.786069,9.88,9.93,9.88,9.93,306480.73893179,3028054.88191497
2022-05-10 12:53:15.568975,9.88,9.93,9.88,9.93,306480.73893179,3028054.88191497
2022-05-10 12:53:24.205047,9.89,9.89,9.89,9.89,3257.01854954,32211.91345495
2022-05-10 12:53:32.141152,9.89,9.89,9.89,9.89,3257.01854954,32211.91345495
2022-05-10 12:53:39.952217,9.89,9.89,9.89,9.89,3257.01854954,32211.91345495
2022-05-10 12:53:48.620211,9.89,9.89,9.89,9.89,3257.01854954,32211.91345495
2022-05-10 12:53:57.553057,9.89,9.89,9.89,9.89,3257.01854954,32211.91345495
2022-05-10 12:54:31.604319,9.9,9.92,9.9,9.92,9955.82003962,98663.42484385
2022-05-10 12:54:39.775316,9.9,9.92,9.9,9.92,10963.88455574,108663.42484376
2022-05-10 12:54:48.902498,9.9,9.92,9.9,9.92,10963.88455574,108663.42484376
2022-05-10 12:55:08.331261,9.9,9.92,9.9,9.92,10963.88455574,108663.42484376
2022-05-10 12:55:17.233994,9.88,9.9,9.88,9.88,207075.23703393,2047776.84396479
2022-05-10 12:55:27.113239,9.88,9.9,9.88,9.88,348759.2700813,3447615.0904728
2022-05-10 12:55:37.170962,9.88,9.9,9.88,9.88,1904916.39546596,18822447.48927324
2022-05-10 12:55:46.929494,9.88,9.9,9.88,9.88,2068674.07804797,20440373.3931835
2022-05-10 12:56:05.577202,9.88,9.9,9.88,9.88,2068674.07804797,20440373.3931835
2022-05-10 12:56:24.044057,9.88,9.9,9.88,9.88,2068674.07804797,20440373.3931835
2022-05-10 12:56:32.761464,9.88,9.9,9.88,9.88,2068674.07804797,20440373.3931835
2022-05-10 12:56:41.836960,9.89,9.89,9.88,9.88,15782.23914107,156049.95973558
2022-05-10 12:57:10.239127,9.89,9.89,9.88,9.88,48062.86073503,474982.5010839
2022-05-10 12:57:19.690214,9.89,9.89,9.88,9.88,48062.86073503,474982.5010839
2022-05-10 12:57:29.385302,9.89,9.89,9.88,9.88,48062.86073503,474982.5010839
2022-05-10 12:57:48.088269,9.91,9.91,9.91,9.91,504.64177598,5000.99999996
2022-05-10 12:57:57.625263,9.91,9.91,9.88,9.88,156677.97069095,1547993.48967986
2022-05-10 12:58:07.370410,9.88,9.88,9.88,9.88,19521.66611437,192874.06120998
2022-05-10 12:58:16.013558,9.88,9.91,9.88,9.91,489004.74489603,4836077.26636463
2022-05-10 12:58:24.745552,9.88,9.91,9.88,9.91,489004.74489603,4836077.26636463
2022-05-10 12:58:33.054547,9.88,9.91,9.88,9.91,489004.74489603,4836077.26636463
2022-05-10 12:58:40.528274,9.88,9.91,9.88,9.9,510213.38125966,5046042.76636457
2022-05-10 12:58:56.558932,9.88,9.91,9.88,9.9,512788.07822936,5071532.2663646
2022-05-10 12:59:13.179371,9.88,9.91,9.88,9.9,512788.07822936,5071532.2663646
2022-05-10 12:59:31.981626,9.9,9.9,9.9,9.9,5299.52020202,52465.25
2022-05-10 12:59:41.580708,9.9,9.93,9.9,9.93,247179.69246193,2452025.51128518
2022-05-10 12:59:58.698268,9.9,9.93,9.9,9.93,257250.1859161,2552025.51128509
2022-05-10 13:00:11.608596,9.9,9.93,9.9,9.93,257250.1859161,2552025.51128509
2022-05-10 13:00:19.852973,9.9,9.93,9.9,9.93,257250.1859161,2552025.51128509
2022-05-10 13:00:29.031200,9.93,9.93,9.93,9.93,3726.08257804,36999.99999994
2022-05-10 13:00:37.079518,9.93,9.93,9.9,9.9,67257.96979212,667763.63942622
2022-05-10 13:00:45.376725,9.93,9.93,9.88,9.88,2000045.74254828,19767060.28604525
2022-05-10 13:00:55.018926,9.93,9.93,9.88,9.88,2014025.94299589,19905184.66646764
2022-05-10 13:01:14.048149,9.86,9.87,9.85,9.85,1346048.5855117,13274268.43821728
2022-05-10 13:01:26.061436,9.86,9.87,9.84,9.84,1720125.65354245,16956503.94215764
2022-05-10 13:01:40.302144,9.86,9.87,9.84,9.85,2421925.25482086,23869230.01474998
2022-05-10 13:01:48.770637,9.86,9.87,9.84,9.85,2421925.25482086,23869230.01474998
2022-05-10 13:01:57.291131,9.86,9.87,9.84,9.85,2421925.25482086,23869230.01474998
2022-05-10 13:02:06.008123,9.93,9.93,9.85,9.85,143180.26685488,1411033.13339078
2022-05-10 13:02:15.252020,9.93,9.93,9.85,9.85,211230.36162339,2081366.85689082
2022-05-10 13:02:24.859641,9.93,9.93,9.85,9.92,211734.4946879,2086367.85689076
2022-05-10 13:02:33.363630,9.93,9.93,9.85,9.92,211734.4946879,2086367.85689076
2022-05-10 13:02:42.744599,9.93,9.93,9.85,9.92,211734.4946879,2086367.85689076
2022-05-10 13:02:52.607977,9.93,9.93,9.85,9.88,342647.51888173,3378686.77356423
2022-05-10 13:03:02.068681,9.93,9.93,9.85,9.88,343273.2651557,3384869.14675105
2022-05-10 13:03:11.793328,9.93,9.93,9.85,9.88,343273.2651557,3384869.14675105
2022-05-10 13:03:20.699451,9.93,9.93,9.85,9.88,343273.2651557,3384869.14675105
2022-05-10 13:03:30.006810,9.93,9.93,9.85,9.88,343273.2651557,3384869.14675105
2022-05-10 13:03:47.598294,9.88,9.88,9.88,9.88,1989.01821862,19651.49999997
2022-05-10 13:03:55.835595,9.88,9.88,9.88,9.88,1989.01821862,19651.49999997
2022-05-10 13:04:03.997300,9.88,9.88,9.87,9.87,64889.23744639,640819.74527374
2022-05-10 13:04:12.700745,9.87,9.87,9.86,9.86,1023.3029382,10094.88348535
2022-05-10 13:04:30.803530,9.87,9.93,9.86,9.93,277592.25277808,2740146.39709911
2022-05-10 13:04:39.285897,9.87,9.94,9.86,9.94,278095.37149035,2745147.39709907
2022-05-10 13:05:05.591920,9.87,9.94,9.86,9.9,700189.88897256,6923897.9390811
2022-05-10 13:05:22.745537,9.87,9.94,9.86,9.9,700189.88897256,6923897.9390811
2022-05-10 13:05:38.845156,9.89,9.92,9.89,9.92,50504.13306451,499500.99999994
2022-05-10 13:05:47.562584,9.89,9.92,9.89,9.92,50504.13306451,499500.99999994
2022-05-10 13:05:56.170657,9.89,9.92,9.89,9.92,50504.13306451,499500.99999994
2022-05-10 13:06:05.060737,9.89,9.89,9.89,9.89,229554.71417219,2270296.12316297
2022-05-10 13:06:13.754733,9.89,9.92,9.89,9.92,230058.8472367,2275297.12316291
2022-05-10 13:06:22.129497,9.89,9.92,9.89,9.92,230058.8472367,2275297.12316291
2022-05-10 13:06:49.801782,9.89,9.92,9.89,9.92,230058.8472367,2275297.12316291
2022-05-10 13:06:58.242617,9.89,9.92,9.89,9.89,244704.79285776,2420155.61819071
2022-05-10 13:07:06.982780,9.89,9.92,9.89,9.89,244704.79285776,2420155.61819071
2022-05-10 13:07:16.567141,9.89,9.89,9.89,9.89,94841.1165132,937978.64231555
2022-05-10 13:07:25.597813,9.89,9.91,9.89,9.91,95345.75828918,942979.64231551
2022-05-10 13:07:42.816961,9.89,9.91,9.89,9.91,105743.08233149,1046017.1235748
2022-05-10 13:07:51.526045,9.89,9.91,9.89,9.91,105743.08233149,1046017.1235748
2022-05-10 13:08:00.124684,9.89,9.91,9.89,9.91,105743.08233149,1046017.1235748
2022-05-10 13:08:09.213902,9.91,9.91,9.91,9.91,319506.22441048,3166306.68390786
2022-05-10 13:08:18.062625,9.91,9.91,9.91,9.91,364960.48903667,3616758.4463534
2022-05-10 13:08:45.201526,9.91,9.93,9.91,9.93,1115688.49601448,11056483.06801105
2022-05-10 13:08:54.166314,9.91,9.93,9.91,9.93,1115688.49601448,11056483.06801105
2022-05-10 13:09:02.735276,9.91,9.93,9.91,9.93,1115688.49601448,11056483.06801105
2022-05-10 13:09:11.137271,9.91,9.93,9.91,9.93,1115688.49601448,11056483.06801105
2022-05-10 13:09:37.689078,9.93,9.94,9.93,9.94,252675.32581328,2509076.04065786
2022-05-10 13:09:46.006294,9.93,9.94,9.92,9.93,813486.39874715,8077654.89608737
2022-05-10 13:10:02.937359,9.93,9.94,9.92,9.93,1030409.58779687,10231702.16335109
2022-05-10 13:10:20.861493,9.94,9.94,9.94,9.94,390126.6068337,3877858.47192697
2022-05-10 13:10:35.707490,9.94,9.95,9.94,9.95,419139.10028243,4166257.682938
2022-05-10 13:11:01.122939,9.94,9.97,9.94,9.97,651133.01513416,6475532.61028394
2022-05-10 13:11:11.217672,9.94,9.97,9.94,9.97,651133.01513416,6475532.61028394
2022-05-10 13:11:31.173184,9.97,9.97,9.96,9.96,240866.91047912,2399084.57882339
2022-05-10 13:11:42.951111,9.97,9.97,9.96,9.97,477220.38063728,4753170.15764681
2022-05-10 13:11:51.365719,9.97,9.97,9.96,9.96,504356.05902924,5023441.51443073
2022-05-10 13:12:00.149604,9.97,9.97,9.96,9.96,647603.56362106,6450191.6762134
2022-05-10 13:12:10.279599,9.97,9.97,9.97,9.97,501.60481444,5000.99999997
2022-05-10 13:12:19.959722,9.97,9.99,9.97,9.99,325046.94135414,3241898.96666214
2022-05-10 13:12:38.769472,9.97,9.99,9.97,9.99,404767.17910277,4038304.14177095
2022-05-10 13:12:48.357466,9.97,9.99,9.97,9.99,404767.17910277,4038304.14177095
