,open,high,low,close,volume,value
2022-05-10 12:50:54.089880,8.07,8.07,8.06,8.06,496274.3978256,4000004.5579985
2022-05-10 12:51:03.328268,8.06,8.06,8.06,8.06,20062.401,161702.95206
2022-05-10 12:51:13.127374,8.06,8.06,8.06,8.06,20062.401,161702.95206
2022-05-10 12:51:23.393807,8.06,8.06,8.05,8.06,740381.72024856,5966276.6652034
2022-05-10 12:51:34.537194,8.06,8.06,8.05,8.06,787834.37124856,6348745.0322634
2022-05-10 12:51:44.487189,8.06,8.09,8.05,8.07,860961.41943922,6939025.08259584
2022-05-10 12:51:54.370182,8.06,8.09,8.05,8.06,965948.41893922,7785220.29856584
2022-05-10 12:52:04.745617,8.06,8.06,8.06,8.06,682.38213399,5499.99999996
2022-05-10 12:52:14.190774,8.06,8.06,8.06,8.06,682.38213399,5499.99999996
2022-05-10 12:52:22.542970,8.06,8.07,8.06,8.07,182220.37440024,1470208.24771266
2022-05-10 12:52:34.036951,8.06,8.1,8.06,8.1,195293.52118874,1575852.37187503
2022-05-10 12:52:42.946946,8.06,8.1,8.06,8.1,195293.52118874,1575852.37187503
2022-05-10 12:52:51.404076,8.06,8.1,8.06,8.1,195293.52118874,1575852.37187503
2022-05-10 12:52:59.215069,8.06,8.1,8.06,8.07,334894.82070479,2705245.26993319
2022-05-10 12:53:06.645679,8.07,8.07,8.07,8.07,7308.0,58975.56
2022-05-10 12:53:15.092975,8.07,8.07,8.07,8.07,584363.26821965,4715811.57453257
2022-05-10 12:53:39.345221,8.07,8.08,8.07,8.07,591922.92334943,4776827.06066338
2022-05-10 12:53:48.157212,8.07,8.08,8.07,8.07,591922.92334943,4776827.06066338
2022-05-10 12:53:57.079058,8.07,8.08,8.07,8.07,591922.92334943,4776827.06066338
2022-05-10 12:54:04.951898,8.08,8.08,8.08,8.08,11176.83732391,90308.84557719
2022-05-10 12:54:13.854111,8.08,8.08,8.07,8.07,42355.27832391,341918.86444719
2022-05-10 12:54:21.675638,8.08,8.08,8.07,8.07,42355.27832391,341918.86444719
2022-05-10 12:54:30.996321,8.08,8.08,8.07,8.07,42355.27832391,341918.86444719
2022-05-10 12:54:39.166317,8.08,8.08,8.07,8.07,42355.27832391,341918.86444719
2022-05-10 12:54:48.322500,8.08,8.08,8.07,8.07,42355.27832391,341918.86444719
2022-05-10 12:54:57.744672,8.08,8.08,8.07,8.08,86933.22185391,702108.64816959
2022-05-10 12:55:07.562261,8.08,8.09,8.08,8.09,37542.48198903,303355.61541079
2022-05-10 12:55:16.278994,8.08,8.09,8.08,8.09,37542.48198903,303355.61541079
2022-05-10 12:55:36.392962,8.08,8.09,8.08,8.08,72389.03648892,585162.87101091
2022-05-10 12:55:46.261494,8.08,8.09,8.08,8.08,103567.47748892,837084.67429091
2022-05-10 12:55:55.783146,8.08,8.09,8.08,8.08,117322.22292322,948223.01740005
2022-05-10 12:56:04.849202,8.09,8.09,8.09,8.09,46330.35768889,374812.59370312
2022-05-10 12:56:14.686375,8.09,8.09,8.09,8.09,100833.00923108,815739.04467944
2022-05-10 12:56:23.026369,8.09,8.09,8.09,8.09,103460.73151451,836997.31795239
2022-05-10 12:56:32.222463,8.09,8.1,8.09,8.09,697874.96724247,5646108.48499159
2022-05-10 12:56:49.694064,8.09,8.1,8.09,8.09,885657.11704053,7165266.0768579
2022-05-10 12:57:00.716052,8.09,8.1,8.09,8.09,885657.11704053,7165266.0768579
2022-05-10 12:57:19.099214,8.09,8.09,8.08,8.08,125061.98088697,1011612.79605062
2022-05-10 12:57:37.630039,8.09,8.09,8.08,8.08,125061.98088697,1011612.79605062
2022-05-10 12:57:56.921263,8.09,8.09,8.08,8.08,125061.98088697,1011612.79605062
2022-05-10 12:58:06.572410,8.09,8.09,8.08,8.08,125061.98088697,1011612.79605062
2022-05-10 12:58:15.224482,8.09,8.09,8.08,8.08,125061.98088697,1011612.79605062
2022-05-10 12:58:24.169552,8.08,8.08,8.08,8.08,16967.29233709,137095.72208369
2022-05-10 12:58:39.969254,8.08,8.08,8.08,8.08,16967.29233709,137095.72208369
2022-05-10 12:58:47.955930,8.08,8.08,8.08,8.08,16967.29233709,137095.72208369
2022-05-10 12:58:55.720932,8.08,8.08,8.08,8.08,16967.29233709,137095.72208369
2022-05-10 12:59:03.763220,8.08,8.08,8.08,8.08,165571.23627949,1337815.58913828
2022-05-10 12:59:12.168371,8.08,8.08,8.08,8.08,258158.1561943,2085917.90204994
2022-05-10 12:59:21.814235,8.08,8.08,8.07,8.07,476920.39796629,3853206.3265663
2022-05-10 12:59:31.007625,8.08,8.08,8.07,8.07,476920.39796629,3853206.3265663
2022-05-10 12:59:40.853707,8.08,8.08,8.06,8.06,590827.08222433,4771294.2016861
2022-05-10 12:59:48.608702,8.08,8.08,8.06,8.06,1320421.6385549,10651826.32571049
2022-05-10 12:59:57.958268,8.08,8.08,8.05,8.05,2445071.68274,19716759.67230975
2022-05-10 13:00:10.837526,8.05,8.06,8.05,8.06,221332.28924423,1781946.17041706
2022-05-10 13:00:19.293974,8.05,8.06,8.05,8.05,326774.01805135,2631090.96005086
2022-05-10 13:00:28.246199,8.05,8.06,8.05,8.05,948405.89460945,7635227.56634357
2022-05-10 13:00:54.387920,8.05,8.07,8.04,8.04,1857757.81543892,14949882.04120919
2022-05-10 13:01:03.744996,8.04,8.04,8.04,8.04,700.0,5628.0
2022-05-10 13:01:13.086151,8.04,8.04,8.04,8.04,700.0,5628.0
2022-05-10 13:01:24.751436,8.04,8.04,8.03,8.03,45937.32068859,368883.68512938
2022-05-10 13:01:48.193637,8.04,8.04,8.03,8.03,71065.73396562,570664.84374393
2022-05-10 13:02:14.373022,8.05,8.05,8.05,8.05,1060.06710635,8533.54020612
2022-05-10 13:02:24.241636,8.05,8.06,8.05,8.06,4782.06710635,38532.86020612
2022-05-10 13:02:32.596629,8.05,8.06,8.05,8.06,4782.06710635,38532.86020612
2022-05-10 13:02:42.072599,8.05,8.1,8.05,8.1,956673.27741659,7732851.86020606
2022-05-10 13:02:51.773978,8.05,8.1,8.05,8.1,969378.40633361,7835763.40443392
2022-05-10 13:03:01.094682,8.05,8.1,8.05,8.1,969378.40633361,7835763.40443392
2022-05-10 13:03:11.219214,8.05,8.1,8.05,8.1,969378.40633361,7835763.40443392
2022-05-10 13:03:20.106452,8.05,8.1,8.05,8.1,969378.40633361,7835763.40443392
2022-05-10 13:03:29.325811,8.05,8.1,8.05,8.1,969378.40633361,7835763.40443392
2022-05-10 13:03:37.951141,8.05,8.1,8.05,8.1,969378.40633361,7835763.40443392
2022-05-10 13:03:47.009295,8.06,8.07,8.04,8.04,144558.43432492,1165284.1461481
2022-05-10 13:04:03.309137,8.06,8.07,8.04,8.04,144558.43432492,1165284.1461481
2022-05-10 13:04:12.058745,8.06,8.07,8.04,8.04,144558.43432492,1165284.1461481
2022-05-10 13:04:20.716905,8.06,8.07,8.04,8.04,144558.43432492,1165284.1461481
2022-05-10 13:04:29.928530,8.06,8.07,8.04,8.04,144558.43432492,1165284.1461481
2022-05-10 13:04:47.682758,8.04,8.04,8.04,8.04,1992.03187251,16015.93625498
2022-05-10 13:04:55.705603,8.04,8.04,8.04,8.04,1992.03187251,16015.93625498
2022-05-10 13:05:04.844833,8.06,8.06,8.06,8.06,25105.89911823,202353.54689293
2022-05-10 13:05:13.973421,8.06,8.06,8.06,8.06,25105.89911823,202353.54689293
2022-05-10 13:05:29.904534,8.06,8.06,8.06,8.06,25105.89911823,202353.54689293
2022-05-10 13:05:47.022584,8.06,8.06,8.05,8.05,50105.89911823,403603.54689293
2022-05-10 13:06:04.380738,8.05,8.05,8.05,8.05,450416.0,3625848.8
2022-05-10 13:06:13.194733,8.05,8.05,8.05,8.05,456751.40372671,3676848.80000002
2022-05-10 13:06:30.844594,8.05,8.06,8.05,8.06,461846.40372671,3717914.50000002
2022-05-10 13:06:39.641523,8.05,8.07,8.05,8.07,527424.88721224,4247132.86172825
2022-05-10 13:06:49.009629,8.05,8.07,8.05,8.07,527424.88721224,4247132.86172825
2022-05-10 13:07:15.957142,8.05,8.1,8.05,8.1,604257.07961217,4869228.14335768
2022-05-10 13:07:24.652814,8.05,8.1,8.05,8.1,604257.07961217,4869228.14335768
2022-05-10 13:07:33.903329,8.05,8.1,8.05,8.1,604257.07961217,4869228.14335768
2022-05-10 13:07:42.201962,8.05,8.1,8.05,8.1,604257.07961217,4869228.14335768
2022-05-10 13:07:50.895044,8.05,8.1,8.05,8.1,604257.07961217,4869228.14335768
2022-05-10 13:08:26.809699,8.05,8.1,8.05,8.1,604257.07961217,4869228.14335768
2022-05-10 13:08:35.855846,8.08,8.08,8.08,8.08,164891.0891089,1332319.99999991
2022-05-10 13:09:01.913277,8.08,8.08,8.08,8.08,576630.81467661,4659176.98258701
2022-05-10 13:09:19.709930,8.1,8.11,8.1,8.11,1323919.28730881,10723760.52720136
2022-05-10 13:09:27.751065,8.1,8.12,8.1,8.12,1441993.17712345,11682520.51249624
2022-05-10 13:09:36.966078,8.1,8.13,8.1,8.13,1482983.28730881,12015770.10830322
2022-05-10 13:09:53.592291,8.1,8.13,8.1,8.13,1482983.28730881,12015770.10830322
2022-05-10 13:10:10.611356,8.1,8.15,8.1,8.15,1544302.30571371,12515520.10830316
2022-05-10 13:10:20.153494,8.1,8.15,8.1,8.15,1544302.30571371,12515520.10830316
2022-05-10 13:10:27.765496,8.1,8.15,8.1,8.15,1544302.30571371,12515520.10830316
2022-05-10 13:10:35.119491,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:10:42.801952,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:10:51.628945,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:11:20.804173,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:11:30.349184,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:11:42.343112,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:11:50.615719,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:12:09.588599,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:12:19.309722,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:12:28.702405,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:12:38.092472,8.15,8.15,8.13,8.13,15972.9386503,130105.38999995
2022-05-10 13:12:47.613467,8.13,8.13,8.13,8.13,37128.71287128,301856.43564351
2022-05-10 13:12:56.557863,8.13,8.13,8.12,8.12,126529.52292135,1028316.01766054
2022-05-10 13:13:06.338003,8.13,8.13,8.12,8.12,126529.52292135,1028316.01766054
2022-05-10 13:13:15.069438,8.13,8.13,8.12,8.12,126529.52292135,1028316.01766054
2022-05-10 13:13:24.014188,8.13,8.13,8.12,8.12,126529.52292135,1028316.01766054
2022-05-10 13:13:48.920269,8.12,8.12,8.12,8.12,1231.52709359,9999.99999995
2022-05-10 13:13:56.924264,8.12,8.12,8.12,8.12,1231.52709359,9999.99999995
2022-05-10 13:14:04.823025,8.12,8.12,8.12,8.12,1231.52709359,9999.99999995
2022-05-10 13:14:13.562282,8.12,8.12,8.12,8.12,1231.52709359,9999.99999995
2022-05-10 13:14:22.904477,8.11,8.11,8.11,8.11,863.13193588,6999.99999999
2022-05-10 13:14:31.694902,8.11,8.11,8.11,8.11,863.13193588,6999.99999999
2022-05-10 13:14:50.548145,8.11,8.11,8.11,8.11,7022.19790228,56950.02498749
2022-05-10 13:14:59.702952,8.11,8.11,8.11,8.11,7022.19790228,56950.02498749
2022-05-10 13:15:08.791886,8.11,8.11,8.11,8.11,7022.19790228,56950.02498749
2022-05-10 13:15:25.551568,8.11,8.11,8.1,8.1,210317.03540336,1704994.99971419
2022-05-10 13:15:43.570077,8.11,8.13,8.1,8.13,225476.83987724,1828229.51204209
2022-05-10 13:15:53.833586,8.11,8.13,8.1,8.13,225476.83987724,1828229.51204209
2022-05-10 13:16:04.177184,8.11,8.13,8.1,8.13,225476.83987724,1828229.51204209
2022-05-10 13:16:13.940176,8.11,8.13,8.1,8.13,225476.83987724,1828229.51204209
2022-05-10 13:16:25.857724,8.11,8.13,8.1,8.13,225476.83987724,1828229.51204209
2022-05-10 13:16:36.765905,8.13,8.13,8.13,8.13,61500.61500615,500000.0
2022-05-10 13:16:48.630842,8.13,8.13,8.13,8.13,61500.61500615,500000.0
2022-05-10 13:17:00.332996,8.13,8.13,8.13,8.13,156647.30939202,1273542.62535713
2022-05-10 13:17:12.292140,8.15,8.16,8.15,8.16,607915.39462373,4955078.25735838
2022-05-10 13:17:24.204520,8.15,8.19,8.15,8.19,1022156.0783588,8344842.2488215
2022-05-10 13:17:36.018660,8.15,8.19,8.15,8.19,1022156.0783588,8344842.2488215
2022-05-10 13:17:47.799220,8.15,8.19,8.15,8.19,1022156.0783588,8344842.2488215
2022-05-10 13:18:00.125399,8.15,8.19,8.15,8.19,1022156.0783588,8344842.2488215
2022-05-10 13:18:11.987810,8.18,8.18,8.18,8.18,244498.77750611,1999999.99999998
2022-05-10 13:18:23.998027,8.18,8.18,8.17,8.18,263166.2591687,2152549.99999997
2022-05-10 13:18:35.235345,8.18,8.18,8.17,8.17,293166.2591687,2397649.99999997
2022-05-10 13:18:42.554858,8.18,8.18,8.17,8.17,386280.93180007,3158396.87539826
2022-05-10 13:18:50.948943,8.18,8.18,8.17,8.17,386280.93180007,3158396.87539826
2022-05-10 13:19:00.266405,8.18,8.18,8.17,8.17,386280.93180007,3158396.87539826
2022-05-10 13:19:09.662630,8.18,8.18,8.17,8.17,386280.93180007,3158396.87539826
2022-05-10 13:19:27.546717,8.17,8.17,8.15,8.15,229569.18284761,1871053.84999994
2022-05-10 13:19:34.860531,8.17,8.17,8.15,8.15,911994.38130975,7432819.21746638
2022-05-10 13:19:51.911984,8.17,8.18,8.15,8.18,1009913.38130976,8233211.42246773
2022-05-10 13:20:00.850008,8.17,8.18,8.15,8.18,1009913.38130976,8233211.42246773
2022-05-10 13:20:11.292869,8.17,8.18,8.15,8.18,1009913.38130976,8233211.42246773
2022-05-10 13:20:21.717953,8.17,8.18,8.15,8.18,1009913.38130976,8233211.42246773
2022-05-10 13:20:30.839026,8.17,8.18,8.15,8.18,1009913.38130976,8233211.42246773
2022-05-10 13:20:39.020554,8.17,8.18,8.15,8.18,1009913.38130976,8233211.42246773
2022-05-10 13:20:47.893605,8.18,8.18,8.18,8.18,6112.46943765,49999.99999998
2022-05-10 13:20:56.125294,8.18,8.18,8.17,8.17,542694.17858307,4439168.38080952
2022-05-10 13:21:12.992064,8.18,8.18,8.17,8.18,562788.67072242,4603541.32650941
2022-05-10 13:21:22.231627,8.18,8.19,8.18,8.19,192722.70535288,1576963.60978656
2022-05-10 13:21:31.551961,8.18,8.2,8.18,8.2,1092559.33989913,8946876.96080214
2022-05-10 13:21:42.760497,8.18,8.2,8.18,8.2,1092559.33989913,8946876.96080214
2022-05-10 13:21:51.257492,8.18,8.2,8.18,8.2,1092559.33989913,8946876.96080214
2022-05-10 13:21:59.553429,8.18,8.2,8.18,8.2,1092559.33989913,8946876.96080214
2022-05-10 13:22:07.338871,8.18,8.18,8.18,8.18,15000.0,122700.0
2022-05-10 13:22:17.200814,8.18,8.18,8.18,8.18,244200.2442,1997557.997556
2022-05-10 13:22:25.643810,8.18,8.18,8.18,8.18,252905.90872674,2068770.33338473
2022-05-10 13:22:34.209552,8.18,8.18,8.18,8.18,252905.90872674,2068770.33338473
2022-05-10 13:22:43.933978,8.18,8.18,8.18,8.18,584575.41113975,4781826.86312315
2022-05-10 13:22:53.019134,8.18,8.18,8.17,8.17,2240006.99008711,18306702.86312308
2022-05-10 13:23:01.789292,8.18,8.18,8.17,8.17,2505976.49311065,20479673.7028254
2022-05-10 13:23:10.891161,8.17,8.17,8.17,8.17,24480.0,200001.6
2022-05-10 13:23:20.669077,8.17,8.17,8.17,8.17,24480.0,200001.6
2022-05-10 13:23:29.612175,8.17,8.17,8.17,8.17,24480.0,200001.6
2022-05-10 13:23:38.601687,8.17,8.17,8.17,8.17,69480.0,567651.6
2022-05-10 13:23:48.191307,8.17,8.17,8.14,8.15,1519754.72093316,12388349.2664694
2022-05-10 13:23:56.978653,8.17,8.17,8.14,8.17,1529804.33129432,12470454.58312008
2022-05-10 13:24:06.563738,8.17,8.17,8.14,8.17,1529804.33129432,12470454.58312008
2022-05-10 13:24:14.980788,8.17,8.17,8.14,8.17,1529804.33129432,12470454.58312008
2022-05-10 13:24:23.914389,8.18,8.18,8.18,8.18,611.4302262,5001.49925032
2022-05-10 13:24:31.669566,8.18,8.18,8.18,8.18,611.4302262,5001.49925032
2022-05-10 13:24:47.635095,8.18,8.18,8.18,8.18,611.4302262,5001.49925032
2022-05-10 13:24:57.139358,8.18,8.18,8.18,8.18,611.4302262,5001.49925032
2022-05-10 13:25:05.404441,8.18,8.18,8.18,8.18,611.4302262,5001.49925032
2022-05-10 13:25:14.125161,8.16,8.16,8.16,8.16,12168.79305445,99297.35132431
2022-05-10 13:25:30.907127,8.16,8.16,8.14,8.14,127218.40341561,1035801.17966415
2022-05-10 13:25:40.312786,8.16,8.16,8.14,8.14,127218.40341561,1035801.17966415
2022-05-10 13:25:57.831080,8.16,8.16,8.14,8.15,202218.40341561,1647051.17966415
2022-05-10 13:26:06.703074,8.15,8.15,8.14,8.14,43565.34247692,354921.88776213
