,open,high,low,close,volume,value
2022-05-10 12:50:52.125785,52.3,52.3,52.2,52.2,1654.94448678,86480.99999987
2022-05-10 12:51:01.575270,52.3,52.3,52.2,52.2,1654.94448678,86480.99999987
2022-05-10 12:51:11.619377,52.3,52.3,52.2,52.2,1654.94448678,86480.99999987
2022-05-10 12:51:21.622807,52.1,52.1,52.1,52.1,2984.0,155466.4
2022-05-10 12:51:32.967195,52.1,52.1,52.1,52.1,2984.0,155466.4
2022-05-10 12:51:42.755190,52.1,52.1,52.1,52.1,2984.0,155466.4
2022-05-10 12:51:52.683183,52.1,52.1,52.1,52.1,2984.0,155466.4
2022-05-10 12:52:03.368178,52.1,52.1,52.1,52.1,2984.0,155466.4
2022-05-10 12:52:12.854669,52.0,52.0,51.9,51.9,33581.60382414,1744697.94240056
2022-05-10 12:52:32.794951,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:52:41.611946,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:52:49.932030,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:52:57.764071,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:53:13.806974,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:53:21.946047,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:53:29.986042,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:53:37.883218,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:53:46.695212,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:53:55.881059,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:54:03.717900,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:54:29.058813,52.0,52.0,51.9,51.9,52212.36192581,2711634.28787723
2022-05-10 12:54:37.836316,52.0,52.0,52.0,52.0,96.15384615,4999.9999998
2022-05-10 12:54:46.808381,52.0,52.0,52.0,52.0,96.15384615,4999.9999998
2022-05-10 12:54:55.881586,52.0,52.0,52.0,52.0,96.15384615,4999.9999998
2022-05-10 12:55:14.643125,52.0,52.0,52.0,52.0,96.15384615,4999.9999998
2022-05-10 12:55:24.710241,51.8,51.8,51.8,51.8,2090.0,108262.0
2022-05-10 12:55:34.893963,51.8,51.8,51.8,51.8,2090.0,108262.0
2022-05-10 12:55:44.550495,51.8,51.8,51.8,51.8,2090.0,108262.0
2022-05-10 12:56:13.055375,51.8,51.8,51.8,51.8,40960.96483008,2121777.97819814
2022-05-10 12:56:30.678468,51.8,51.8,51.8,51.8,71823.19048292,3720441.26701525
2022-05-10 12:56:39.787960,51.8,51.8,51.8,51.8,71823.19048292,3720441.26701525
2022-05-10 12:57:07.758129,51.8,51.9,51.8,51.9,87237.44867175,4520441.26701553
2022-05-10 12:57:17.563216,51.9,51.9,51.9,51.9,1457.19298245,75628.31578916
2022-05-10 12:57:27.031303,51.9,51.9,51.9,51.9,1457.19298245,75628.31578916
2022-05-10 12:57:36.096039,51.9,51.9,51.9,51.9,1457.19298245,75628.31578916
2022-05-10 12:57:45.666269,51.9,51.9,51.9,51.9,1457.19298245,75628.31578916
2022-05-10 12:57:55.163264,51.9,51.9,51.9,51.9,1457.19298245,75628.31578916
2022-05-10 12:58:04.910335,51.9,51.9,51.9,51.9,1457.19298245,75628.31578916
2022-05-10 12:58:13.811483,52.0,52.0,52.0,52.0,4519.72692307,235025.79999964
2022-05-10 12:58:22.890553,52.0,52.0,52.0,52.0,4519.72692307,235025.79999964
2022-05-10 12:58:30.988547,52.0,52.0,52.0,52.0,8027.54639489,417432.41253428
2022-05-10 12:58:38.697256,52.0,52.0,52.0,52.0,25074.58956492,1303878.65737584
2022-05-10 12:59:10.601305,52.0,52.0,52.0,52.0,4479.74554294,232946.76823288
2022-05-10 12:59:29.339626,52.0,52.1,52.0,52.1,32360.02805043,1685509.48687311
2022-05-10 12:59:56.349858,52.0,52.2,52.0,52.0,50831.29685103,2646398.60626676
2022-05-10 13:00:09.025605,52.0,52.0,52.0,52.0,300.0,15600.0
2022-05-10 13:00:17.831975,52.0,52.0,52.0,52.0,324678.41453176,16883277.55565152
2022-05-10 13:00:26.599201,52.0,52.0,51.9,51.9,325376.7438187,16919520.84564371
2022-05-10 13:00:35.035195,52.0,52.0,51.9,51.9,342562.16788595,17811454.35473399
2022-05-10 13:01:02.079923,52.0,52.0,51.9,51.9,342562.16788595,17811454.35473399
2022-05-10 13:01:11.301074,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:01:22.072438,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:01:38.087374,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:01:46.834624,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:01:55.166719,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:02:03.787124,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:02:12.896022,51.9,51.9,51.9,51.9,11297.24983036,586327.26619568
2022-05-10 13:02:22.752016,51.9,51.9,51.9,51.9,342.60326484,17781.1094452
2022-05-10 13:02:30.953631,51.9,51.9,51.9,51.9,342.60326484,17781.1094452
2022-05-10 13:02:49.940529,51.9,52.0,51.9,52.0,24992.72060966,1297758.91815356
2022-05-10 13:03:09.790215,51.9,51.9,51.9,51.9,1838.23529411,95404.41176431
2022-05-10 13:03:18.672325,51.9,51.9,51.9,51.9,2285.08307831,118595.81176429
2022-05-10 13:03:27.785387,51.9,51.9,51.9,51.9,2285.08307831,118595.81176429
2022-05-10 13:03:36.523139,51.9,51.9,51.9,51.9,2285.08307831,118595.81176429
2022-05-10 13:03:54.024597,51.9,51.9,51.9,51.9,3571.08307831,185339.21176429
2022-05-10 13:04:02.011592,51.9,51.9,51.9,51.9,3571.08307831,185339.21176429
2022-05-10 13:04:28.555422,51.9,51.9,51.9,51.9,24132.24743719,1252463.64199016
2022-05-10 13:04:37.054897,51.9,51.9,51.9,51.9,24132.24743719,1252463.64199016
2022-05-10 13:04:46.051853,51.9,51.9,51.9,51.9,24132.24743719,1252463.64199016
2022-05-10 13:05:20.953544,51.9,51.9,51.8,51.8,2478.98959536,128559.55999919
2022-05-10 13:05:28.637533,51.9,51.9,51.8,51.8,2694.0433588,139699.34494538
2022-05-10 13:05:37.090157,51.9,51.9,51.8,51.8,2694.0433588,139699.34494538
2022-05-10 13:05:45.638534,51.9,51.9,51.8,51.8,2694.0433588,139699.34494538
2022-05-10 13:05:54.082659,51.9,51.9,51.8,51.9,3694.0433588,191599.34494538
2022-05-10 13:06:02.701739,51.9,51.9,51.8,51.9,3694.0433588,191599.34494538
2022-05-10 13:06:11.762734,51.9,51.9,51.8,51.9,3694.0433588,191599.34494538
2022-05-10 13:06:20.012545,51.9,51.9,51.8,51.9,3694.0433588,191599.34494538
2022-05-10 13:06:29.148594,51.9,51.9,51.9,51.9,273.54913294,14197.19999959
2022-05-10 13:06:38.330077,51.9,51.9,51.9,51.9,9500.5192394,493076.94852487
2022-05-10 13:06:47.239630,51.9,51.9,51.9,51.9,9500.5192394,493076.94852487
2022-05-10 13:06:56.203618,51.9,51.9,51.9,51.9,30723.45305187,1594547.21339207
2022-05-10 13:07:04.692728,51.9,51.9,51.9,51.9,30723.45305187,1594547.21339207
2022-05-10 13:07:14.149905,51.9,51.9,51.9,51.9,5553.87764932,288246.24999971
2022-05-10 13:07:22.909226,51.9,51.9,51.9,51.9,5553.87764932,288246.24999971
2022-05-10 13:07:40.758561,51.9,51.9,51.9,51.9,189237.22277273,9821411.86190469
2022-05-10 13:07:58.225684,51.9,52.0,51.9,52.0,194726.53142608,10106855.91187889
