,open,high,low,close,volume,value
2022-05-10 12:51:00.101270,87080.0,87130.0,86780.0,86980.0,312.76623701,27198628.5477019
2022-05-10 12:51:10.079376,87050.0,87200.0,87000.0,87200.0,276.75031821,24090283.3408721
2022-05-10 12:51:19.870808,87050.0,87200.0,86940.0,86940.0,332.00549907,28896079.792871
2022-05-10 12:51:31.029196,87050.0,87200.0,86940.0,86940.0,355.15970886,30909106.7920136
2022-05-10 12:51:41.104191,87050.0,87200.0,86940.0,86970.0,424.23142365,36914540.6638441
2022-05-10 12:51:51.015184,87050.0,87200.0,86940.0,86970.0,461.64507991,40168406.3487763
2022-05-10 12:52:19.885771,86900.0,87200.0,86900.0,87200.0,278.31826655,24229028.943693
2022-05-10 12:52:30.011689,86900.0,87200.0,86900.0,87200.0,278.31826655,24229028.943693
2022-05-10 12:52:40.021947,86900.0,87200.0,86900.0,87190.0,309.34047762,26933855.5268863
2022-05-10 12:52:48.602031,86900.0,87200.0,86900.0,87190.0,329.66354237,28705823.5424388
2022-05-10 12:53:04.220067,87010.0,87010.0,87010.0,87010.0,0.13791518,11999.9998118
2022-05-10 12:53:20.143049,87010.0,87010.0,86900.0,86920.0,93.91443936,8163393.9163764
2022-05-10 12:53:28.813043,87010.0,87010.0,86900.0,86920.0,93.91443936,8163393.9163764
2022-05-10 12:53:45.246213,87010.0,87010.0,86900.0,86990.0,132.82152446,11546308.8241194
2022-05-10 12:54:02.220900,87010.0,87010.0,86900.0,86920.0,283.86936177,24679640.290208
2022-05-10 12:54:10.854031,86920.0,86920.0,86850.0,86890.0,95.72906162,8319118.5352457
2022-05-10 12:54:18.961641,86920.0,87000.0,86800.0,87000.0,198.33043068,17238917.1465982
2022-05-10 12:54:53.933496,86920.0,87000.0,86800.0,86910.0,305.5346307,26555801.9815988
2022-05-10 12:55:04.556133,86990.0,87000.0,86990.0,87000.0,114.39446738,9951973.1610311
2022-05-10 12:55:12.976258,86990.0,87000.0,86990.0,87000.0,198.47976012,17267393.6294111
2022-05-10 12:55:22.199177,86990.0,87000.0,86930.0,86970.0,202.04532152,17577553.9790491
2022-05-10 12:55:33.232965,86990.0,87100.0,86930.0,87100.0,309.53848507,26936211.84558
2022-05-10 12:55:42.849788,86990.0,87200.0,86930.0,87200.0,799.10167804,69616802.0671561
2022-05-10 12:55:52.929149,86990.0,87250.0,86930.0,87250.0,799.32296965,69636109.7601286
2022-05-10 12:56:01.768786,86990.0,87250.0,86930.0,87250.0,843.32296965,73475109.7601286
2022-05-10 12:56:11.182376,87250.0,87250.0,87250.0,87250.0,109.98917995,9596555.9506375
2022-05-10 12:56:20.030370,87250.0,87250.0,87150.0,87200.0,195.18036639,17023430.6864494
2022-05-10 12:56:29.172464,87250.0,87250.0,87150.0,87200.0,273.69328882,23869757.5223454
2022-05-10 12:56:37.941962,87250.0,87250.0,87000.0,87000.0,374.96875364,32689448.6782144
2022-05-10 12:56:46.926865,87250.0,87250.0,87000.0,87130.0,410.02854837,35741302.6540079
2022-05-10 12:56:57.876223,87250.0,87250.0,87000.0,87190.0,411.37897348,35858995.9517253
2022-05-10 12:57:24.880306,87070.0,87160.0,86960.0,87160.0,283.02679904,24620924.0887256
