,open,high,low,close,volume,value
2022-05-10 12:50:59.136951,41.8,41.8,41.8,41.8,2579.01913875,107802.99999975
2022-05-10 12:51:08.796378,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:51:18.385635,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:51:29.541197,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:51:39.896191,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:51:49.812185,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:52:00.232178,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:52:10.358117,41.7,41.7,41.7,41.7,12639.88009592,527082.99999986
2022-05-10 12:52:18.939772,41.7,41.7,41.7,41.7,119.90407673,4999.99999964
2022-05-10 12:52:47.811032,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:52:55.592072,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:53:18.961972,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:53:27.823048,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:53:35.561220,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:53:44.183214,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:53:53.257061,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:54:09.812031,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:54:17.884642,41.7,41.7,41.7,41.7,599.52038368,24999.99999946
2022-05-10 12:54:44.052383,41.6,41.6,41.6,41.6,14159.495,589034.992
2022-05-10 12:54:52.923495,41.6,41.6,41.6,41.6,33380.65365144,1388635.1918999
2022-05-10 12:55:03.521134,41.6,41.6,41.6,41.6,34582.57672836,1438635.19189977
2022-05-10 12:55:12.080258,41.6,41.6,41.6,41.6,4807.69230769,199999.9999999
2022-05-10 12:55:21.092178,41.6,41.6,41.6,41.6,44144.87467804,1836426.78660646
2022-05-10 12:55:31.937965,41.6,41.6,41.6,41.6,44144.87467804,1836426.78660646
2022-05-10 12:55:41.546048,41.6,41.6,41.5,41.5,89381.04161869,3713727.71464344
2022-05-10 12:55:51.715148,41.6,41.6,41.5,41.5,140581.75378876,5838557.26970135
2022-05-10 12:56:00.534787,41.6,41.6,41.5,41.5,140581.75378876,5838557.26970135
