,open,high,low,close,volume,value
2022-05-10 12:50:52.608785,444.0,444.0,441.0,442.0,117292.84751481,51919136.62964887
2022-05-10 12:51:02.040269,440.0,441.0,440.0,441.0,11571.37399874,5094063.67886548
2022-05-10 12:51:12.026376,440.0,442.0,440.0,441.0,45093.06184564,19868031.0587547
2022-05-10 12:51:22.161807,440.0,442.0,440.0,440.0,59666.75462812,26289580.00705519
2022-05-10 12:51:33.383195,440.0,442.0,440.0,440.0,111521.65906426,49109025.13677311
2022-05-10 12:51:43.199189,440.0,442.0,440.0,440.0,184190.7795553,81086218.03046557
2022-05-10 12:51:53.137182,440.0,442.0,440.0,440.0,199046.25024528,87622625.13405678
2022-05-10 12:52:03.730176,440.0,442.0,440.0,442.0,251862.05432885,110911616.53810173
2022-05-10 12:52:21.612769,443.0,443.0,442.0,443.0,25345.99202001,11220586.04035422
2022-05-10 12:52:33.168951,443.0,443.0,442.0,443.0,27603.61652148,12220413.0650901
2022-05-10 12:52:41.944946,443.0,443.0,442.0,443.0,28365.42974579,12557896.32345943
2022-05-10 12:52:58.130070,443.0,443.0,442.0,442.0,37825.14327322,16739089.70258349
2022-05-10 12:53:05.777679,443.0,443.0,442.0,442.0,38825.14327322,17181089.70258349
2022-05-10 12:53:14.182975,441.0,443.0,441.0,442.0,12851.61462496,5676272.40347299
2022-05-10 12:53:38.218217,441.0,443.0,441.0,442.0,34745.76198783,15356639.11468485
2022-05-10 12:53:47.081212,441.0,443.0,441.0,442.0,50845.76675501,22472841.22177841
2022-05-10 12:53:56.199058,441.0,443.0,441.0,442.0,66639.24194845,29453557.25727889
2022-05-10 12:54:04.059899,442.0,442.0,442.0,442.0,1682.83777068,743814.29464056
2022-05-10 12:54:12.864112,442.0,443.0,442.0,442.0,4944.76651877,2185973.57330536
2022-05-10 12:54:20.752639,442.0,443.0,442.0,442.0,4944.76651877,2185973.57330536
2022-05-10 12:54:29.605813,442.0,443.0,442.0,442.0,23771.77842587,10507512.83624356
2022-05-10 12:54:38.235316,442.0,443.0,441.0,441.0,26285.32246817,11617070.60109214
2022-05-10 12:54:47.180381,442.0,443.0,441.0,442.0,28022.66876659,12384977.66499378
2022-05-10 12:54:56.371586,442.0,443.0,441.0,442.0,59796.22408321,26458852.98402108
2022-05-10 12:55:06.643262,442.0,443.0,442.0,442.0,12378.26890253,5477277.17997347
2022-05-10 12:55:15.135996,442.0,443.0,442.0,442.0,21626.31463474,9564913.39361029
2022-05-10 12:55:25.084242,442.0,443.0,442.0,442.0,46832.26620652,20705943.98833705
