,open,high,low,close,volume,value
2022-05-10 12:50:57.646951,14.4,14.4,14.3,14.4,140207.36159672,2011986.00699276
2022-05-10 12:51:07.219871,14.3,14.3,14.3,14.3,11189.0,160002.7
2022-05-10 12:51:27.594199,14.3,14.3,14.2,14.3,102699.30239945,1460288.15421205
2022-05-10 12:51:38.265192,14.3,14.3,14.2,14.3,102699.30239945,1460288.15421205
2022-05-10 12:51:48.247186,14.3,14.3,14.2,14.3,102699.30239945,1460288.15421205
2022-05-10 12:51:58.126180,14.3,14.3,14.2,14.3,102699.30239945,1460288.15421205
2022-05-10 12:52:08.549119,14.3,14.3,14.3,14.3,34965.03496503,499999.99999993
2022-05-10 12:52:25.716056,14.3,14.3,14.3,14.3,41958.03496503,599999.89999993
2022-05-10 12:52:37.045951,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:52:46.381944,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:53:02.119068,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:53:09.713978,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:53:17.702972,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:53:51.670974,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:53:59.975776,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:54:08.196032,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:54:24.815638,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:54:33.820319,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:54:42.312122,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:55:01.734135,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:55:10.706259,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:55:19.535993,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:55:30.187966,14.3,14.3,14.3,14.3,44908.58766071,642192.80354815
2022-05-10 12:55:40.034048,14.3,14.3,14.3,14.3,349.72027972,5001.0
2022-05-10 12:55:49.583747,14.3,14.4,14.3,14.4,110446.67491541,1579422.18045703
2022-05-10 12:55:58.914223,14.3,14.4,14.3,14.4,110446.67491541,1579422.18045703
2022-05-10 12:56:08.817295,14.3,14.4,14.3,14.4,110446.67491541,1579422.18045703
2022-05-10 12:56:26.607467,14.3,14.4,14.3,14.4,110446.67491541,1579422.18045703
2022-05-10 12:56:44.179865,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:56:55.231309,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:57:03.890050,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:57:13.029126,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:57:21.934213,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:57:32.016301,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:57:40.886186,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:57:59.940261,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:58:09.728408,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:58:18.819556,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:58:27.074551,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:58:35.239181,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:58:42.840273,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:58:58.561931,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:59:06.843307,14.3,14.3,14.3,14.3,30000.0,429000.0
2022-05-10 12:59:16.262369,14.3,14.3,14.3,14.3,831284.17142725,11887363.65140968
2022-05-10 12:59:24.985539,14.3,14.3,14.3,14.3,942664.75154028,13480105.94702601
2022-05-10 12:59:34.667623,14.3,14.3,14.3,14.3,942664.75154028,13480105.94702601
2022-05-10 12:59:43.775706,14.3,14.3,14.3,14.3,942664.75154028,13480105.94702601
2022-05-10 12:59:51.590765,14.3,14.3,14.3,14.3,942664.75154028,13480105.94702601
2022-05-10 13:00:13.868017,14.3,14.3,14.3,14.3,942664.75154028,13480105.94702601
2022-05-10 13:00:22.767204,14.3,14.3,14.3,14.3,942664.75154028,13480105.94702601
2022-05-10 13:00:48.403885,14.3,14.3,14.2,14.2,680123.10789461,9658000.70767455
