,open,high,low,close,volume,value
2022-05-10 12:50:53.079880,840.0,841.0,840.0,841.0,3716.79072137,3124388.88171777
2022-05-10 12:51:02.466269,840.0,841.0,840.0,840.0,9387.13553535,7892412.05869435
2022-05-10 12:51:33.635195,840.0,841.0,840.0,841.0,613.2482,515448.4052
2022-05-10 12:52:04.058176,840.0,841.0,840.0,841.0,613.2482,515448.4052
2022-05-10 12:52:21.954769,840.0,843.0,840.0,843.0,331.77959619,278730.4479882
2022-05-10 12:53:06.066679,840.0,844.0,840.0,842.0,349.21888533,293426.1777853
2022-05-10 12:53:22.690045,840.0,844.0,840.0,842.0,349.21888533,293426.1777853
2022-05-10 12:53:30.554154,840.0,840.0,840.0,840.0,323.96423841,272129.9602644
2022-05-10 12:54:13.151111,842.0,842.0,842.0,842.0,356.29453681,299999.99999402
2022-05-10 12:54:21.118639,842.0,842.0,842.0,842.0,415.67695961,349999.99999162
2022-05-10 12:54:29.920813,842.0,842.0,842.0,842.0,415.67695961,349999.99999162
2022-05-10 12:54:56.839673,842.0,842.0,842.0,842.0,415.67695961,349999.99999162
2022-05-10 12:55:06.939261,842.0,842.0,842.0,842.0,415.67695961,349999.99999162
2022-05-10 12:55:25.552241,842.0,842.0,842.0,842.0,597.93650434,503462.53665428
2022-05-10 12:55:45.411496,842.0,842.0,842.0,842.0,597.93650434,503462.53665428
2022-05-10 12:55:55.027146,842.0,842.0,842.0,842.0,597.93650434,503462.53665428
2022-05-10 12:56:04.169202,842.0,843.0,842.0,843.0,682.43598044,574695.59500658
2022-05-10 12:56:13.783375,842.0,843.0,842.0,843.0,682.43598044,574695.59500658
2022-05-10 12:56:22.202369,842.0,842.0,842.0,842.0,10.73730909,9040.81425378
2022-05-10 12:56:40.536960,842.0,842.0,842.0,842.0,646.58126297,544421.42342074
2022-05-10 12:56:48.944065,842.0,842.0,842.0,842.0,646.58126297,544421.42342074
2022-05-10 12:57:00.076283,842.0,844.0,842.0,844.0,29804.309271,25153543.86219806
2022-05-10 12:57:08.663128,844.0,844.0,842.0,842.0,6658.95816275,5618834.78955058
2022-05-10 12:57:18.357215,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:57:27.688321,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:57:36.843039,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:57:46.782270,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:57:55.861264,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:58:05.669411,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:58:31.668547,844.0,844.0,842.0,842.0,6697.15392931,5650995.6249941
2022-05-10 12:58:47.208931,844.0,844.0,844.0,844.0,5.961322,5031.355768
2022-05-10 12:58:55.098933,844.0,844.0,843.0,843.0,605.961322,510831.355768
2022-05-10 12:59:02.936220,844.0,844.0,840.0,840.0,6201.47101614,5226618.93268992
2022-05-10 12:59:21.136391,840.0,840.0,840.0,840.0,2265.03260563,1902627.3887292
2022-05-10 12:59:30.033630,840.0,840.0,838.0,838.0,26074.44399185,21886881.51545962
2022-05-10 12:59:40.135707,840.0,840.0,838.0,838.0,33008.58974269,27697695.65466354
2022-05-10 12:59:47.961703,840.0,840.0,835.0,835.0,36293.2165297,30441430.62806568
2022-05-10 12:59:57.079944,840.0,840.0,834.0,834.0,36305.22372394,30451444.62806184
2022-05-10 13:00:09.823581,835.0,835.0,835.0,835.0,694.02385584,579509.9196264
2022-05-10 13:00:35.584604,835.0,835.0,831.0,831.0,20684.78524748,17227946.85383992
2022-05-10 13:00:43.909725,835.0,835.0,831.0,832.0,20990.85495901,17482296.85383288
2022-05-10 13:00:53.500227,835.0,835.0,831.0,831.0,24338.06452357,20263946.99236685
2022-05-10 13:01:02.957996,831.0,831.0,830.0,830.0,214.33694344,178019.99999864
2022-05-10 13:01:12.165152,831.0,831.0,830.0,830.0,4544.05959232,3771689.79856904
2022-05-10 13:01:22.881437,831.0,831.0,830.0,830.0,4550.15959232,3776752.79856904
2022-05-10 13:01:38.728496,831.0,831.0,830.0,830.0,16698.23497686,13859655.36773724
2022-05-10 13:01:55.695132,831.0,831.0,830.0,830.0,17585.35395351,14595964.11835674
2022-05-10 13:02:04.573119,831.0,831.0,830.0,830.0,17585.35395351,14595964.11835674
2022-05-10 13:02:31.569630,832.0,835.0,830.0,832.0,14648.56815955,12177672.5386296
2022-05-10 13:02:41.235600,832.0,835.0,830.0,832.0,14648.56815955,12177672.5386296
2022-05-10 13:02:50.894528,832.0,835.0,830.0,832.0,14648.56815955,12177672.5386296
2022-05-10 13:03:00.089759,832.0,837.0,830.0,837.0,14989.60685956,12463121.93053797
2022-05-10 13:03:37.195139,836.0,837.0,836.0,836.0,12245.85918876,10237877.71710336
2022-05-10 13:03:46.278295,836.0,837.0,836.0,836.0,12245.85918876,10237877.71710336
2022-05-10 13:03:54.527596,836.0,837.0,836.0,836.0,12245.85918876,10237877.71710336
2022-05-10 13:04:11.254746,835.0,836.0,835.0,836.0,2191.32698998,1831370.4073652
2022-05-10 13:04:19.950905,835.0,836.0,835.0,836.0,2191.32698998,1831370.4073652
2022-05-10 13:04:29.227422,835.0,836.0,835.0,836.0,2491.32698998,2082170.4073652
2022-05-10 13:04:37.624897,835.0,836.0,835.0,835.0,2498.26318778,2087962.1325282
2022-05-10 13:04:46.877758,835.0,836.0,835.0,835.0,2498.26318778,2087962.1325282
2022-05-10 13:04:55.082603,835.0,836.0,835.0,835.0,10131.65142968,8462109.91301981
2022-05-10 13:05:04.022833,835.0,836.0,835.0,836.0,12114.91003329,10119852.44333046
2022-05-10 13:05:13.126384,837.0,837.0,837.0,837.0,275.40677855,230515.47364635
2022-05-10 13:05:21.563538,837.0,837.0,835.0,836.0,2873.33834247,2400158.14578834
2022-05-10 13:05:29.291533,837.0,837.0,835.0,835.0,3511.25919487,2932822.05754234
2022-05-10 13:05:37.609156,837.0,837.0,833.0,833.0,4486.13102158,3744890.28919177
2022-05-10 13:05:54.689657,837.0,839.0,830.0,832.0,41675.28433659,34877424.89336238
2022-05-10 13:06:20.572544,833.0,836.0,833.0,836.0,15262.04057989,12720493.65916347
