,open,high,low,close,volume,value
2022-05-10 12:50:57.253951,78.3,78.3,78.3,78.3,1611.0245839,126143.22491937
2022-05-10 12:51:06.895870,78.3,78.3,78.3,78.3,1611.0245839,126143.22491937
2022-05-10 12:51:16.201466,78.3,78.3,78.3,78.3,1611.0245839,126143.22491937
2022-05-10 12:51:27.239199,78.3,78.3,78.3,78.3,1611.0245839,126143.22491937
2022-05-10 12:51:37.932192,78.3,78.3,78.3,78.3,1611.0245839,126143.22491937
2022-05-10 12:51:47.898186,78.3,78.3,78.3,78.3,6488.86911826,508078.45195976
2022-05-10 12:51:57.805180,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:52:08.174120,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:52:17.082772,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:52:36.734949,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:52:46.019943,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:52:53.959073,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:01.850068,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:09.405978,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:26.191043,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:34.130220,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:42.275215,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:51.063976,78.3,78.3,78.3,78.3,8690.12697989,680436.94252539
2022-05-10 12:53:59.698776,78.5,78.5,78.5,78.5,63.70700636,5000.99999926
2022-05-10 12:54:07.932033,78.5,78.5,78.5,78.5,63.70700636,5000.99999926
2022-05-10 12:54:24.398637,78.5,78.5,78.5,78.5,63.70700636,5000.99999926
2022-05-10 12:54:41.952123,78.5,78.5,78.5,78.5,63.70700636,5000.99999926
2022-05-10 12:54:51.106497,78.5,78.5,78.5,78.5,4789.38846371,375966.99440124
2022-05-10 12:55:01.349135,78.5,78.5,78.5,78.5,4789.38846371,375966.99440124
2022-05-10 12:55:29.792967,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:55:39.715049,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:55:49.247747,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:56:08.335199,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:56:17.274373,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:56:35.094462,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:56:43.785959,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:56:54.627779,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:03.600050,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:12.664125,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:21.590213,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:31.691301,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:40.598195,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:50.120268,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:57:59.594261,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:58:18.529556,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:58:26.794551,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:58:34.937181,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:58:42.574273,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:59:15.892369,78.6,78.6,78.6,78.6,63.62595419,5000.99999933
2022-05-10 12:59:24.671539,78.5,78.5,78.5,78.5,2522.06809583,197982.34552266
2022-05-10 12:59:34.235624,78.5,78.5,78.5,78.5,2522.06809583,197982.34552266
2022-05-10 12:59:51.280701,78.5,78.5,78.5,78.5,2522.06809583,197982.34552266
2022-05-10 13:00:01.191406,78.5,78.5,78.5,78.5,2522.06809583,197982.34552266
2022-05-10 13:00:22.370202,78.5,78.6,78.5,78.6,69982.65830375,5499999.9999996
2022-05-10 13:00:31.096197,78.5,78.6,78.5,78.6,78888.51072105,6199999.99999938
2022-05-10 13:00:39.079517,78.5,78.6,78.5,78.5,79960.42182015,6284152.65486652
2022-05-10 13:00:48.014886,78.5,78.6,78.5,78.5,79960.42182015,6284152.65486652
2022-05-10 13:00:57.278923,78.5,78.6,78.5,78.5,79960.42182015,6284152.65486652
2022-05-10 13:01:07.028078,78.5,78.6,78.5,78.5,79960.42182015,6284152.65486652
2022-05-10 13:01:31.361495,78.6,78.6,78.5,78.5,21738.73951882,1707344.35967034
2022-05-10 13:01:42.660330,78.6,78.6,78.5,78.5,48334.33851882,3795098.88117035
2022-05-10 13:01:51.080636,78.6,78.6,78.5,78.5,48334.33851882,3795098.88117035
2022-05-10 13:02:08.017935,78.6,78.6,78.5,78.5,48334.33851882,3795098.88117035
2022-05-10 13:02:17.809018,78.6,78.6,78.5,78.5,48334.33851882,3795098.88117035
2022-05-10 13:02:26.902634,78.6,78.6,78.5,78.5,48334.33851882,3795098.88117035
2022-05-10 13:02:35.909627,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
2022-05-10 13:02:45.104883,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
2022-05-10 13:02:54.907847,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
2022-05-10 13:03:13.649328,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
2022-05-10 13:03:22.754237,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
2022-05-10 13:03:40.706231,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
2022-05-10 13:03:49.873293,78.5,78.5,78.5,78.5,7647.46654697,600326.12393715
