,open,high,low,close,volume,value
2022-05-10 12:50:58.873950,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:51:08.558378,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:51:17.861635,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:51:29.146198,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:51:39.649191,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:51:49.581185,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:51:59.992178,914.0,914.0,914.0,914.0,164.22454374,150101.23297836
2022-05-10 12:52:10.115117,911.0,911.0,911.0,911.0,10.0,9110.0
2022-05-10 12:52:18.743771,911.0,911.0,911.0,911.0,10.0,9110.0
2022-05-10 12:52:27.160054,911.0,911.0,911.0,911.0,10.0,9110.0
2022-05-10 12:52:38.097948,911.0,911.0,911.0,911.0,10.0,9110.0
2022-05-10 12:52:47.516943,911.0,911.0,911.0,911.0,104.06238536,94800.83306296
2022-05-10 12:53:03.151067,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:53:11.142977,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:53:18.734973,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:53:43.899214,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:53:53.024060,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:54:01.036787,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:54:09.560032,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:54:17.696641,911.0,911.0,911.0,911.0,7077.9436071,6448006.6260681
2022-05-10 12:54:35.131318,911.0,911.0,910.0,910.0,215.65971459,196445.99999149
2022-05-10 12:54:43.744122,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:54:52.696497,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:55:03.325135,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:55:11.873259,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:55:20.870471,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:55:31.593966,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:55:41.352048,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:55:51.497148,911.0,911.0,909.0,909.0,293.92786573,267621.74937775
2022-05-10 12:56:00.369787,909.0,909.0,908.0,909.0,270.42606973,245676.36901495
2022-05-10 12:56:10.088376,909.0,909.0,908.0,909.0,270.42606973,245676.36901495
2022-05-10 12:56:18.753372,909.0,909.0,908.0,909.0,270.42606973,245676.36901495
2022-05-10 12:56:28.024467,909.0,909.0,908.0,909.0,270.42606973,245676.36901495
2022-05-10 12:56:36.718461,909.0,909.0,908.0,909.0,270.42606973,245676.36901495
2022-05-10 12:56:56.776308,909.0,909.0,908.0,908.0,3643.50667584,3308938.52849755
