,open,high,low,close,volume,value
2022-05-10 12:50:59.947271,857.0,857.0,853.0,854.0,13544.55406349,11568739.57954527
2022-05-10 12:51:09.920380,853.0,853.0,853.0,853.0,813.95348837,694302.32557961
2022-05-10 12:51:19.700809,853.0,853.0,853.0,853.0,7572.07854097,6458982.99544741
2022-05-10 12:51:30.807197,853.0,853.0,853.0,853.0,7697.14933979,6565668.38684087
2022-05-10 12:51:40.890190,853.0,853.0,853.0,853.0,7697.14933979,6565668.38684087
2022-05-10 12:51:50.860184,853.0,853.0,852.0,852.0,9821.12019637,8376291.55664703
2022-05-10 12:52:01.246178,853.0,853.0,852.0,852.0,9821.12019637,8376291.55664703
2022-05-10 12:52:11.350117,853.0,853.0,853.0,853.0,7877.19221609,6719244.96032477
2022-05-10 12:52:19.738770,853.0,853.0,853.0,853.0,14202.82527588,12115009.96032564
2022-05-10 12:52:29.457054,853.0,853.0,853.0,853.0,15250.77612035,13008912.03065855
2022-05-10 12:52:39.706947,853.0,854.0,853.0,854.0,26479.38366677,22596698.64530676
2022-05-10 12:53:04.082066,855.0,855.0,855.0,855.0,405.43267693,346644.93877515
2022-05-10 12:53:12.212976,855.0,858.0,854.0,857.0,11345.3854769,9719990.20364582
2022-05-10 12:53:19.992048,855.0,858.0,854.0,857.0,11365.8344565,9737514.97916302
2022-05-10 12:53:28.672044,855.0,858.0,854.0,857.0,11386.2834361,9755029.53019042
2022-05-10 12:53:45.083214,855.0,858.0,854.0,857.0,11406.7324157,9772554.30570762
2022-05-10 12:53:54.118059,855.0,858.0,854.0,857.0,11704.92048958,10027807.38674482
2022-05-10 12:54:02.050901,855.0,858.0,854.0,857.0,11713.10008142,10034817.2969517
2022-05-10 12:54:10.716031,857.0,857.0,857.0,857.0,20.4489796,17524.7755172
2022-05-10 12:54:18.827641,857.0,857.0,856.0,856.0,156.22753761,133832.9014538
2022-05-10 12:54:27.137720,857.0,857.0,856.0,856.0,156.22753761,133832.9014538
2022-05-10 12:54:36.171318,857.0,857.0,856.0,856.0,273.04996751,233832.9014482
2022-05-10 12:54:45.204382,857.0,857.0,855.0,855.0,1277.13976343,1092333.76675572
2022-05-10 12:54:53.755494,857.0,857.0,855.0,856.0,1289.40915119,1102836.36267828
2022-05-10 12:55:12.824258,856.0,856.0,856.0,856.0,72.79789719,62314.99999464
2022-05-10 12:55:21.975177,856.0,856.0,855.0,855.0,8342.88202166,7133236.92641649
2022-05-10 12:55:32.994964,856.0,856.0,855.0,855.0,13017.56219193,11130096.65158918
2022-05-10 12:55:52.769148,856.0,858.0,855.0,858.0,18166.40568404,15547568.02777414
2022-05-10 12:56:11.007376,858.0,858.0,858.0,858.0,8.17959184,7018.08979872
2022-05-10 12:56:19.851370,858.0,858.0,858.0,858.0,20.4489796,17545.2244968
2022-05-10 12:56:29.030465,858.0,859.0,858.0,858.0,489.70968623,420255.94154283
2022-05-10 12:56:37.798963,858.0,860.0,858.0,860.0,696.87474318,598413.80072391
2022-05-10 12:56:46.790864,858.0,860.0,857.0,857.0,705.05433502,605423.71093079
2022-05-10 12:56:57.739222,858.0,860.0,857.0,857.0,739.21682401,634700.96399522
2022-05-10 12:57:06.218130,859.0,859.0,859.0,859.0,10.2244898,8782.8367382
2022-05-10 12:57:24.637306,859.0,859.0,856.0,856.0,9576.32816798,8203819.65868898
2022-05-10 12:57:43.712271,859.0,859.0,856.0,858.0,17081.1034234,14642916.82783934
2022-05-10 12:57:53.065265,859.0,859.0,856.0,858.0,17081.1034234,14642916.82783934
2022-05-10 12:58:03.052335,859.0,859.0,856.0,858.0,17081.1034234,14642916.82783934
2022-05-10 12:58:12.195407,860.0,860.0,858.0,858.0,2373.23516176,2036468.3269296
