,open,high,low,close,volume,value
2022-05-10 12:51:00.757269,81.3,81.3,81.3,81.3,1895.86,154133.418
2022-05-10 12:51:10.748376,81.4,81.4,81.3,81.3,4521.41709962,367948.84975685
2022-05-10 12:51:20.525808,81.4,81.4,81.3,81.3,4521.41709962,367948.84975685
2022-05-10 12:51:31.929196,81.4,81.4,81.3,81.3,4521.41709962,367948.84975685
2022-05-10 12:51:41.911191,81.4,81.4,81.3,81.3,4521.41709962,367948.84975685
2022-05-10 12:51:51.734183,81.4,81.4,81.3,81.3,5213.20837493,424191.48043955
2022-05-10 12:52:02.307177,81.4,81.4,81.3,81.4,10195.09211622,829518.62860643
2022-05-10 12:52:12.198578,81.3,81.3,81.3,81.3,3024.50575615,245892.31797499
2022-05-10 12:52:31.461869,81.3,81.3,81.3,81.3,33002.60961615,2683112.16179299
2022-05-10 12:52:40.772946,81.3,81.3,81.3,81.3,33002.60961615,2683112.16179299
2022-05-10 12:52:57.079070,81.3,81.3,81.3,81.3,45302.73261738,3683112.16179299
2022-05-10 12:53:04.732681,80.7,81.2,80.7,80.8,223337.4693393,18034881.9504918
2022-05-10 12:53:13.053976,80.7,81.3,80.7,81.3,223472.77069231,18045881.95049151
2022-05-10 12:53:21.050047,80.7,81.3,80.7,81.3,223472.77069231,18045881.95049151
2022-05-10 12:53:37.087219,80.7,81.3,80.7,81.3,225105.76544154,18177745.80756617
2022-05-10 12:53:45.902212,80.7,81.3,80.7,81.3,225105.76544154,18177745.80756617
2022-05-10 12:53:55.027058,80.7,81.3,80.7,81.3,257310.04460577,20795953.70361807
2022-05-10 12:54:02.784900,81.3,81.3,81.3,81.3,3439.68832242,279646.66061275
2022-05-10 12:54:19.617641,81.3,81.3,81.3,81.3,3439.68832242,279646.66061275
2022-05-10 12:54:28.037813,81.3,81.3,81.3,81.3,3439.68832242,279646.66061275
2022-05-10 12:54:37.098318,81.3,81.3,81.3,81.3,3439.68832242,279646.66061275
2022-05-10 12:54:45.997382,81.3,81.3,81.3,81.3,3439.68832242,279646.66061275
2022-05-10 12:55:05.459132,81.3,81.3,81.3,81.3,3562.68955243,289646.66061256
2022-05-10 12:55:13.613258,81.1,81.1,81.1,81.1,449.1017964,36422.15568804
2022-05-10 12:55:23.332243,81.1,81.1,81.1,81.1,449.1017964,36422.15568804
2022-05-10 12:55:34.040963,81.1,81.1,81.1,81.1,449.1017964,36422.15568804
2022-05-10 12:55:43.620786,81.1,81.1,81.1,81.1,449.1017964,36422.15568804
2022-05-10 12:56:02.751822,81.1,81.1,81.1,81.1,36410.67184837,2952905.48690281
2022-05-10 12:56:11.827375,81.1,81.1,81.1,81.1,36410.67184837,2952905.48690281
2022-05-10 12:56:20.620370,81.1,81.1,81.1,81.1,76335.99496786,6190849.19189345
2022-05-10 12:56:29.823464,81.1,81.1,81.1,81.1,89339.19496786,7245408.71189345
2022-05-10 12:56:38.762962,81.1,81.1,81.1,81.1,105709.76396786,8573061.85779345
2022-05-10 12:56:47.595864,81.1,81.1,81.1,81.1,106103.88234023,8605024.85779266
2022-05-10 12:56:58.728284,81.1,81.1,81.1,81.1,106911.56310619,8670527.76791202
2022-05-10 12:57:06.993129,81.1,81.1,81.1,81.1,106911.56310619,8670527.76791202
2022-05-10 12:57:16.724215,81.1,81.1,81.0,81.0,19290.28511597,1564217.23439357
2022-05-10 12:57:25.696305,81.1,81.1,81.0,81.1,43951.19756973,3564217.23439351
2022-05-10 12:57:35.281778,81.1,81.1,81.0,81.1,67093.92953297,5441092.79661227
2022-05-10 12:57:44.624271,81.1,81.4,81.0,81.4,119940.7651774,9726989.59857947
2022-05-10 12:57:54.072264,81.1,81.4,81.0,81.4,119940.7651774,9726989.59857947
2022-05-10 12:58:03.936335,81.1,81.4,81.0,81.4,119940.7651774,9726989.59857947
