,open,high,low,close,volume,value
2022-05-10 12:50:56.178951,132.0,132.0,132.0,132.0,912.72727273,120480.00000036
2022-05-10 12:51:05.863267,132.0,132.0,132.0,132.0,912.72727273,120480.00000036
2022-05-10 12:51:15.160171,132.0,132.0,132.0,132.0,912.72727273,120480.00000036
2022-05-10 12:51:26.016805,132.0,132.0,132.0,132.0,912.72727273,120480.00000036
2022-05-10 12:51:36.750193,132.0,132.0,132.0,132.0,912.72727273,120480.00000036
2022-05-10 12:51:46.771186,131.0,132.0,131.0,132.0,863.15915055,113149.6062978
2022-05-10 12:51:56.725180,131.0,132.0,131.0,132.0,863.15915055,113149.6062978
2022-05-10 12:52:07.141025,131.0,132.0,131.0,132.0,863.15915055,113149.6062978
2022-05-10 12:52:16.268773,131.0,132.0,131.0,132.0,863.15915055,113149.6062978
2022-05-10 12:52:35.980949,131.0,131.0,131.0,131.0,3314.62985821,434216.51142551
2022-05-10 12:52:45.091944,131.0,131.0,131.0,131.0,8863.93039591,1161174.88186421
2022-05-10 12:52:53.256073,131.0,132.0,131.0,132.0,18111.0307851,2381792.13323729
2022-05-10 12:53:00.931069,131.0,132.0,131.0,132.0,18111.0307851,2381792.13323729
2022-05-10 12:53:16.677973,131.0,132.0,131.0,132.0,13413.75643249,1757998.45629255
2022-05-10 12:53:41.221216,131.0,132.0,131.0,132.0,14936.92533249,1959056.75109255
2022-05-10 12:53:49.740212,131.0,132.0,131.0,132.0,14936.92533249,1959056.75109255
2022-05-10 12:53:58.712778,131.0,132.0,131.0,132.0,14936.92533249,1959056.75109255
2022-05-10 12:54:06.852033,131.0,132.0,131.0,132.0,14936.92533249,1959056.75109255
2022-05-10 12:54:32.675320,131.0,132.0,131.0,132.0,14936.92533249,1959056.75109255
2022-05-10 12:54:41.149314,132.0,132.0,132.0,132.0,38.78787879,5120.00000028
2022-05-10 12:54:50.250496,132.0,132.0,132.0,132.0,15190.3030303,2005119.9999996
2022-05-10 12:54:59.917726,132.0,132.0,132.0,132.0,140298.41384515,18519390.6275598
2022-05-10 12:55:09.607260,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:55:38.748960,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:55:48.118658,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:55:57.560144,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:56:07.058584,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:56:25.533396,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:56:34.100462,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:56:43.004959,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:56:52.637063,132.0,132.0,132.0,132.0,606.06060606,79999.99999992
2022-05-10 12:57:02.762051,132.0,132.0,132.0,132.0,11363.63636363,1499999.99999916
2022-05-10 12:57:20.753213,132.0,132.0,131.0,131.0,11553.35762202,1525004.99999976
2022-05-10 12:57:30.836302,132.0,132.0,131.0,132.0,20033.96580277,2644445.27985876
2022-05-10 12:57:49.325268,132.0,132.0,131.0,131.0,20072.81195662,2649534.12601311
2022-05-10 12:57:58.727262,132.0,132.0,131.0,131.0,20072.81195662,2649534.12601311
2022-05-10 12:58:17.591556,132.0,132.0,131.0,131.0,20072.81195662,2649534.12601311
2022-05-10 12:58:26.026551,132.0,132.0,131.0,131.0,20072.81195662,2649534.12601311
2022-05-10 12:58:34.107181,132.0,132.0,131.0,131.0,20072.81195662,2649534.12601311
2022-05-10 12:59:05.699219,132.0,132.0,131.0,131.0,20072.81195662,2649534.12601311
2022-05-10 12:59:14.606370,131.0,131.0,131.0,131.0,6576.65864037,861542.28188847
2022-05-10 12:59:23.634450,131.0,131.0,131.0,131.0,42206.71080178,5529079.11503318
2022-05-10 12:59:42.682707,131.0,131.0,131.0,131.0,62838.42382563,8231833.52115753
2022-05-10 13:00:00.190267,131.0,131.0,131.0,131.0,64330.96113906,8427355.90921686
2022-05-10 13:00:12.641586,131.0,131.0,131.0,131.0,938.21745843,122906.48705433
2022-05-10 13:00:21.116973,131.0,131.0,131.0,131.0,938.21745843,122906.48705433
2022-05-10 13:00:30.153199,131.0,131.0,131.0,131.0,938.21745843,122906.48705433
2022-05-10 13:00:38.314516,131.0,131.0,131.0,131.0,2635.30891136,345225.46738816
2022-05-10 13:00:46.859822,131.0,131.0,131.0,131.0,4193.48471067,549346.49709777
2022-05-10 13:00:56.209924,131.0,131.0,131.0,131.0,5311.58237825,695817.29155075
2022-05-10 13:01:06.065091,131.0,131.0,131.0,131.0,41697.45610805,5462366.75015455
2022-05-10 13:01:29.053505,131.0,131.0,131.0,131.0,171646.18671211,22485650.45928641
2022-05-10 13:01:41.614331,131.0,131.0,131.0,131.0,182880.87944326,23957395.20706706
2022-05-10 13:02:07.182118,131.0,131.0,131.0,131.0,182880.87944326,23957395.20706706
2022-05-10 13:02:16.631019,131.0,131.0,131.0,131.0,182880.87944326,23957395.20706706
2022-05-10 13:02:25.959633,131.0,131.0,131.0,131.0,13912.23975324,1822503.40767444
2022-05-10 13:02:44.178884,131.0,131.0,131.0,131.0,23347.73818403,3058553.70210793
2022-05-10 13:02:53.768846,131.0,131.0,131.0,131.0,23347.73818403,3058553.70210793
2022-05-10 13:03:12.866328,131.0,131.0,131.0,131.0,23347.73818403,3058553.70210793
2022-05-10 13:03:21.767239,131.0,131.0,131.0,131.0,16036.11567164,2100731.15298484
2022-05-10 13:03:39.766233,131.0,131.0,130.0,130.0,39223.51939547,5133535.59594646
2022-05-10 13:03:48.866294,131.0,131.0,130.0,131.0,57628.63744712,7544606.06071261
2022-05-10 13:03:57.114594,131.0,131.0,130.0,131.0,85167.38715622,11152182.27260471
2022-05-10 13:04:05.141606,131.0,131.0,131.0,131.0,9142.93235061,1197724.13792991
2022-05-10 13:04:13.944911,131.0,131.0,131.0,131.0,64559.17079625,8457251.37430875
2022-05-10 13:04:22.778426,131.0,131.0,131.0,131.0,115590.24304636,15142321.83907316
2022-05-10 13:04:31.918944,131.0,131.0,131.0,131.0,169519.59897905,22207067.46625555
2022-05-10 13:04:40.613519,131.0,131.0,131.0,131.0,189330.97009763,24802357.08278953
2022-05-10 13:05:07.111919,132.0,132.0,132.0,132.0,5264.10279708,694861.56921456
2022-05-10 13:05:15.601541,132.0,132.0,132.0,132.0,5264.10279708,694861.56921456
2022-05-10 13:05:23.794536,132.0,132.0,132.0,132.0,5264.10279708,694861.56921456
2022-05-10 13:05:40.126473,132.0,132.0,132.0,132.0,5264.10279708,694861.56921456
2022-05-10 13:05:48.744584,132.0,132.0,132.0,132.0,5264.10279708,694861.56921456
2022-05-10 13:06:14.966548,131.0,131.0,131.0,131.0,7596.0,995076.0
2022-05-10 13:06:32.682805,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:06:41.868522,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:06:51.212782,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:07:08.169874,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:07:17.872140,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:07:26.764711,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:07:35.601674,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:07:44.069960,131.0,131.0,131.0,131.0,59847.93428569,7840079.39142539
2022-05-10 13:07:52.932115,131.0,131.0,131.0,131.0,26581.66572843,3482198.21042433
2022-05-10 13:08:01.329904,131.0,131.0,131.0,131.0,26581.66572843,3482198.21042433
2022-05-10 13:08:19.268703,131.0,131.0,131.0,131.0,763.35877862,99999.99999922
2022-05-10 13:08:28.836698,131.0,131.0,131.0,131.0,763.35877862,99999.99999922
2022-05-10 13:08:37.711845,131.0,131.0,131.0,131.0,1381.73464985,181007.23913035
2022-05-10 13:08:46.663526,131.0,131.0,131.0,131.0,1381.73464985,181007.23913035
2022-05-10 13:09:03.876276,131.0,131.0,131.0,131.0,1381.73464985,181007.23913035
2022-05-10 13:09:29.638725,131.0,131.0,131.0,131.0,1381.73464985,181007.23913035
2022-05-10 13:09:39.115080,131.0,131.0,131.0,131.0,228886.89362351,29984183.06467981
2022-05-10 13:09:47.303295,131.0,131.0,131.0,131.0,228886.89362351,29984183.06467981
2022-05-10 13:09:55.163297,131.0,131.0,131.0,131.0,228886.89362351,29984183.06467981
2022-05-10 13:10:04.456357,132.0,132.0,132.0,132.0,39.68992248,5239.06976736
2022-05-10 13:10:12.930447,132.0,132.0,131.0,132.0,13955.41028745,1828315.70378702
2022-05-10 13:10:21.884499,132.0,132.0,131.0,132.0,19258.44059048,2528315.70378698
2022-05-10 13:10:36.815113,132.0,132.0,131.0,132.0,19258.44059048,2528315.70378698
2022-05-10 13:10:44.819949,132.0,132.0,131.0,132.0,19258.44059048,2528315.70378698
2022-05-10 13:11:02.560025,132.0,132.0,131.0,132.0,19258.44059048,2528315.70378698
2022-05-10 13:11:13.430705,132.0,132.0,132.0,132.0,1515.15151515,199999.9999998
2022-05-10 13:11:22.623170,132.0,132.0,132.0,132.0,1515.15151515,199999.9999998
2022-05-10 13:11:32.609981,132.0,132.0,132.0,132.0,1515.15151515,199999.9999998
2022-05-10 13:11:44.202111,132.0,132.0,132.0,132.0,1515.15151515,199999.9999998
2022-05-10 13:11:52.622718,132.0,132.0,132.0,132.0,1515.15151515,199999.9999998
2022-05-10 13:12:30.921384,132.0,132.0,132.0,132.0,39.68992248,5239.06976736
2022-05-10 13:12:49.696867,132.0,132.0,132.0,132.0,423.44501463,55894.74193116
2022-05-10 13:12:58.612862,132.0,132.0,132.0,132.0,423.44501463,55894.74193116
2022-05-10 13:13:08.237002,132.0,132.0,132.0,132.0,423.44501463,55894.74193116
2022-05-10 13:13:16.979436,132.0,132.0,132.0,132.0,423.44501463,55894.74193116
2022-05-10 13:13:25.751187,132.0,132.0,132.0,132.0,204.85227272,27040.49999904
2022-05-10 13:13:34.078250,132.0,132.0,132.0,132.0,204.85227272,27040.49999904
2022-05-10 13:13:42.265274,132.0,132.0,132.0,132.0,204.85227272,27040.49999904
2022-05-10 13:13:50.782270,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:14:15.761280,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:14:24.956476,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:15:01.771951,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:15:18.385461,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:15:36.205197,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:15:45.566077,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:15:55.880643,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:16:06.003182,132.0,132.0,132.0,132.0,281.18815058,37116.83587656
2022-05-10 13:16:16.710314,131.0,132.0,131.0,132.0,779.15824916,102108.51851875
2022-05-10 13:16:28.285910,131.0,132.0,131.0,132.0,817.94612795,107228.51851903
