,open,high,low,close,volume,value
2022-05-10 12:50:54.000881,102.0,103.0,101.0,103.0,5897525.48789835,601442362.4262961
2022-05-10 12:51:03.217268,103.0,103.0,103.0,103.0,97630.84477178,10055977.01149334
2022-05-10 12:51:13.043375,103.0,103.0,102.0,103.0,131769.75188276,13558880.9737065
2022-05-10 12:51:23.262807,103.0,103.0,102.0,102.0,1215104.34767018,124064852.35214937
2022-05-10 12:51:44.397189,103.0,103.0,101.0,102.0,1268443.4075063,129471759.69989173
2022-05-10 12:51:54.296182,103.0,103.0,101.0,102.0,1294067.49825801,132079805.5745639
2022-05-10 12:52:04.663615,103.0,103.0,101.0,102.0,1310350.22452912,133734737.43577053
2022-05-10 12:52:14.114683,101.0,101.0,101.0,101.0,10598.488489,1070447.337389
2022-05-10 12:52:33.974951,101.0,103.0,101.0,102.0,2097515.17075906,213933672.2377948
2022-05-10 12:52:42.773946,101.0,103.0,101.0,103.0,2133715.8504638,217626341.56767827
2022-05-10 12:52:51.318075,101.0,103.0,101.0,103.0,2175519.15924628,221932082.3722737
2022-05-10 12:52:59.151069,101.0,103.0,101.0,103.0,2175619.15924628,221942382.3722737
2022-05-10 12:53:06.577681,103.0,103.0,102.0,103.0,104629.04318296,10721773.28384488
2022-05-10 12:53:15.027975,103.0,103.0,102.0,102.0,127100.810232,13014093.52284696
2022-05-10 12:53:31.271153,103.0,103.0,102.0,103.0,179967.91609353,18428365.12455408
2022-05-10 12:53:39.273217,103.0,103.0,102.0,103.0,214215.33960365,21946065.91589644
2022-05-10 12:53:48.091212,103.0,103.0,102.0,103.0,233310.85992406,23912308.13986425
2022-05-10 12:53:57.015058,103.0,103.0,102.0,103.0,308297.94755995,31585126.75971947
2022-05-10 12:54:04.837899,102.0,103.0,102.0,102.0,1140.50179155,116431.1827381
2022-05-10 12:54:13.786110,102.0,103.0,102.0,103.0,6978.50179155,712007.1827381
2022-05-10 12:54:21.608640,102.0,103.0,102.0,103.0,12290.02654858,1259094.23271219
2022-05-10 12:54:30.917321,102.0,103.0,102.0,103.0,14324.86374785,1468682.464237
2022-05-10 12:54:39.101315,102.0,103.0,102.0,103.0,15418.40269739,1581316.97603962
2022-05-10 12:54:48.257498,102.0,103.0,102.0,103.0,196340.88316163,20102413.88991333
2022-05-10 12:54:57.549672,102.0,103.0,102.0,103.0,241475.51766118,24715409.85394392
2022-05-10 12:55:16.202995,103.0,103.0,102.0,102.0,96624.44223406,9879604.75835955
2022-05-10 12:55:26.256240,103.0,103.0,102.0,103.0,270309.69466123,27756832.75835806
2022-05-10 12:55:36.322963,103.0,103.0,102.0,102.0,282508.80703213,29013279.87611917
2022-05-10 12:55:46.153496,103.0,103.0,102.0,102.0,318709.84691167,32741888.9444961
2022-05-10 12:55:55.714146,103.0,103.0,102.0,103.0,382296.50810614,39289994.40574951
2022-05-10 12:56:04.777202,103.0,103.0,102.0,103.0,15829.3200076,1625517.99999849
2022-05-10 12:56:14.601374,103.0,103.0,102.0,103.0,112047.50374856,11534148.18783386
2022-05-10 12:56:22.893368,103.0,103.0,102.0,103.0,139357.12369585,14347039.04240473
2022-05-10 12:56:32.160463,103.0,103.0,102.0,103.0,151084.33728808,15554942.04240442
2022-05-10 12:56:41.188960,103.0,103.0,102.0,103.0,210087.07174508,21630954.06337542
2022-05-10 12:56:49.557066,103.0,103.0,102.0,103.0,245458.54280565,25274215.58261413
2022-05-10 12:57:00.642052,103.0,103.0,102.0,102.0,415460.47096976,42719803.54174899
2022-05-10 12:57:19.017215,102.0,103.0,101.0,102.0,2323145.62503291,236947491.31150082
2022-05-10 12:57:37.540039,102.0,103.0,101.0,103.0,4837659.41387494,493443831.7539704
2022-05-10 12:57:56.768263,102.0,103.0,101.0,103.0,4921857.58775743,502069630.55687326
2022-05-10 12:58:15.157482,103.0,103.0,102.0,103.0,34210.5266973,3514312.28321348
2022-05-10 12:58:24.105553,103.0,103.0,102.0,103.0,80624.02562797,8252163.38291121
2022-05-10 12:58:39.901255,103.0,103.0,102.0,103.0,107848.91010206,11039110.33713247
2022-05-10 12:58:47.891932,103.0,103.0,102.0,103.0,212705.04820206,21734636.42333247
2022-05-10 12:58:55.632933,103.0,103.0,102.0,103.0,228302.96916478,23325933.24325409
2022-05-10 12:59:03.688220,103.0,103.0,103.0,103.0,5951.00970873,612953.99999919
2022-05-10 12:59:11.976305,103.0,103.0,102.0,102.0,967259.15349222,98667633.07853653
2022-05-10 12:59:21.744235,103.0,103.0,101.0,102.0,3246395.77990973,331139463.79779553
2022-05-10 12:59:30.937625,103.0,103.0,101.0,102.0,3277921.26338022,334346020.524122
2022-05-10 12:59:40.788708,103.0,103.0,101.0,101.0,3279001.16558597,334456120.5491085
2022-05-10 12:59:48.540702,103.0,103.0,101.0,102.0,3298293.83578709,336410605.28688073
2022-05-10 12:59:57.879270,103.0,103.0,101.0,102.0,3305126.09129167,337107495.3483479
2022-05-10 13:00:10.768525,101.0,102.0,101.0,102.0,897619.98030192,91556151.47752051
2022-05-10 13:00:19.228973,101.0,102.0,101.0,102.0,901213.04076215,91922062.93694492
2022-05-10 13:00:28.181199,101.0,102.0,101.0,102.0,901410.84658739,91942091.32529415
2022-05-10 13:00:54.276920,101.0,102.0,101.0,102.0,1028821.60867001,104893605.61990307
2022-05-10 13:01:03.670995,102.0,102.0,102.0,102.0,196.2745098,20019.9999996
2022-05-10 13:01:12.976157,102.0,102.0,101.0,102.0,29780.36133956,3008667.37416983
2022-05-10 13:01:24.392437,102.0,102.0,101.0,102.0,74400.23388856,7518894.37416783
2022-05-10 13:01:48.116638,102.0,103.0,101.0,103.0,2970620.70165159,302933382.08599687
2022-05-10 13:02:05.198119,103.0,103.0,102.0,102.0,5578.2,569076.4
2022-05-10 13:02:14.304021,103.0,103.0,102.0,103.0,21123.32632201,2154879.28484502
2022-05-10 13:02:24.167635,103.0,103.0,102.0,103.0,67709.77686279,6909666.51143681
2022-05-10 13:02:32.508631,103.0,103.0,102.0,103.0,77800.01229967,7948960.76143545
2022-05-10 13:02:41.933601,103.0,103.0,102.0,103.0,132357.22858487,13537632.92452823
2022-05-10 13:02:51.664978,103.0,103.0,102.0,103.0,132507.22858487,13553082.92452823
2022-05-10 13:03:00.994682,103.0,103.0,102.0,103.0,141867.05085819,14517144.61868019
2022-05-10 13:03:11.144214,103.0,103.0,102.0,103.0,111894.67821662,11520430.71207581
2022-05-10 13:03:20.039451,103.0,103.0,102.0,103.0,126599.6344297,13032560.12416205
2022-05-10 13:03:29.249811,103.0,103.0,102.0,103.0,134071.32052464,13802047.34977734
2022-05-10 13:03:37.848138,103.0,103.0,102.0,103.0,453278.85663631,46417487.06997935
2022-05-10 13:03:46.941295,103.0,103.0,102.0,103.0,569738.81000056,58403919.91355592
2022-05-10 13:03:55.148595,103.0,103.0,102.0,103.0,583832.48968983,59855568.92155073
2022-05-10 13:04:03.234137,103.0,103.0,103.0,103.0,379.09200739,39046.47676117
2022-05-10 13:04:11.991746,103.0,103.0,102.0,103.0,295389.66352208,30234273.67610758
2022-05-10 13:04:20.638905,103.0,103.0,102.0,103.0,297330.4407063,30434173.72608224
2022-05-10 13:04:29.839422,103.0,103.0,102.0,103.0,341110.55930231,34941463.79883873
2022-05-10 13:04:38.355897,103.0,103.0,102.0,102.0,343943.92448277,35230467.04724565
2022-05-10 13:04:47.611757,103.0,103.0,102.0,102.0,374607.31568425,38367836.83571772
2022-05-10 13:04:55.628604,103.0,103.0,102.0,103.0,397779.11756273,40739619.56907024
2022-05-10 13:05:04.773833,103.0,103.0,102.0,102.0,34013.65546674,3472370.05178222
2022-05-10 13:05:13.909423,103.0,103.0,102.0,103.0,48927.29630689,4999126.06233955
2022-05-10 13:05:22.165538,103.0,103.0,102.0,103.0,49898.17009329,5099126.06233875
2022-05-10 13:05:29.823533,103.0,103.0,102.0,103.0,97456.46228876,9992909.01423611
2022-05-10 13:05:46.946984,103.0,103.0,102.0,102.0,127631.69151285,13091510.50188939
2022-05-10 13:06:04.309738,102.0,102.0,102.0,102.0,44239.97616576,4512477.56890752
2022-05-10 13:06:13.123733,102.0,103.0,102.0,103.0,121778.828099,12498979.31803124
2022-05-10 13:06:21.389498,102.0,103.0,102.0,103.0,121778.828099,12498979.31803124
2022-05-10 13:06:30.773592,102.0,103.0,102.0,103.0,169433.97625376,17406459.57797082
2022-05-10 13:06:39.571523,102.0,103.0,102.0,103.0,209127.0908615,21494850.38256804
2022-05-10 13:06:48.854630,102.0,103.0,102.0,102.0,211986.56798567,21786517.04923338
2022-05-10 13:07:15.885141,102.0,103.0,102.0,102.0,47211.41856658,4832350.62579167
2022-05-10 13:07:24.502813,102.0,103.0,102.0,102.0,47211.41856658,4832350.62579167
2022-05-10 13:07:33.813329,102.0,103.0,102.0,103.0,66628.89429473,6832350.62579112
2022-05-10 13:07:42.119961,102.0,103.0,102.0,102.0,81302.19866484,8329027.67154234
2022-05-10 13:07:50.819047,102.0,103.0,102.0,103.0,96358.43258861,9865442.46414535
2022-05-10 13:08:08.296902,103.0,103.0,103.0,103.0,10189.08021716,1049475.26236748
2022-05-10 13:08:17.230626,103.0,103.0,103.0,103.0,18431.96274143,1898492.16236729
2022-05-10 13:08:26.732698,103.0,103.0,103.0,103.0,21906.42939159,2256362.22733377
2022-05-10 13:08:35.766848,103.0,103.0,103.0,103.0,32559.3177411,3353609.7273333
2022-05-10 13:09:01.841277,103.0,103.0,102.0,103.0,78140.79262798,8048333.57345505
2022-05-10 13:09:19.640929,103.0,103.0,103.0,103.0,1787568.31890216,184119536.8469225
2022-05-10 13:09:27.686066,103.0,103.0,103.0,103.0,1826229.73576654,188101662.7839536
2022-05-10 13:09:36.904078,103.0,103.0,102.0,102.0,1900061.02702381,195671270.0358796
2022-05-10 13:09:53.526291,103.0,103.0,102.0,103.0,1976643.99330763,203559315.5631131
2022-05-10 13:10:02.179360,103.0,103.0,102.0,103.0,1986347.87922874,204558815.81298742
2022-05-10 13:10:10.540354,103.0,103.0,102.0,103.0,1986347.87922874,204558815.81298742
2022-05-10 13:10:20.087495,103.0,103.0,102.0,102.0,396.77612791,40639.99999827
2022-05-10 13:10:27.692496,103.0,103.0,102.0,103.0,20169.14865665,2057605.30860936
2022-05-10 13:10:35.054491,103.0,103.0,102.0,103.0,25022.47927289,2557498.36208208
2022-05-10 13:10:42.730953,103.0,103.0,102.0,103.0,39003.10061269,3997502.36008148
2022-05-10 13:10:51.543945,103.0,103.0,102.0,103.0,64090.73305321,6563329.22095504
2022-05-10 13:11:00.354939,103.0,103.0,102.0,103.0,167779.74291719,17243297.23694498
2022-05-10 13:11:20.713171,103.0,103.0,103.0,103.0,3881.55388324,399800.04997372
2022-05-10 13:11:30.276183,103.0,103.0,103.0,103.0,53565.77948887,5517275.28735361
2022-05-10 13:11:42.264111,103.0,103.0,103.0,103.0,98050.13388918,10099163.79058554
2022-05-10 13:12:09.489599,103.0,103.0,103.0,103.0,21936.50776541,2259460.29983723
2022-05-10 13:12:19.239722,103.0,103.0,103.0,103.0,82456.94465846,8493065.29982138
2022-05-10 13:12:28.632404,103.0,103.0,103.0,103.0,83040.05145446,8553125.29980938
2022-05-10 13:12:38.024474,103.0,103.0,102.0,103.0,85700.44094288,8825213.76551643
