,open,high,low,close,volume,value
2022-05-10 12:50:56.556950,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:51:06.267872,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:51:15.562466,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:51:37.198193,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:51:47.281188,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:51:57.237180,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:52:07.537025,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:52:16.595772,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:52:24.949969,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:52:36.303950,8.54,8.59,8.54,8.57,458358.66346763,3925672.59867581
2022-05-10 12:53:01.415068,8.58,8.58,8.58,8.58,235849.05660377,2023584.90566035
2022-05-10 12:53:08.705893,8.58,8.58,8.58,8.58,235849.05660377,2023584.90566035
2022-05-10 12:53:17.037972,8.58,8.58,8.58,8.58,235849.05660377,2023584.90566035
2022-05-10 12:53:25.698044,8.58,8.58,8.57,8.57,261709.60708706,2245259.84211997
2022-05-10 12:53:33.668221,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:53:41.737216,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:53:50.228210,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:53:59.088776,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:54:07.220033,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:54:15.732110,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:54:23.781637,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:54:33.083319,8.58,8.61,8.57,8.61,408803.34156438,3507627.80003538
2022-05-10 12:54:50.551497,8.59,8.59,8.59,8.59,63030.13552268,541428.86413982
