,open,high,low,close,volume,value
2022-05-10 12:50:57.501950,52.2,52.2,52.0,52.0,545454.57117968,28388427.36190368
2022-05-10 12:51:07.049871,52.2,52.2,52.0,52.1,593450.73079514,30889027.27786915
2022-05-10 12:51:16.359466,52.0,52.0,52.0,52.0,393443.34623528,20459054.00423456
2022-05-10 12:51:27.414199,52.0,52.0,52.0,52.0,401316.46165231,20868456.00592012
2022-05-10 12:51:38.102192,52.0,52.0,51.9,51.9,602331.11213392,31301116.36591569
2022-05-10 12:51:48.072186,52.0,52.0,51.9,51.9,676804.78661006,35166300.07122736
2022-05-10 12:51:57.976180,52.0,52.0,51.8,51.8,824278.73062987,42805450.37145352
2022-05-10 12:52:08.417119,51.9,52.0,51.9,51.9,48280.9864032,2505792.80971069
2022-05-10 12:52:25.574056,51.9,52.0,51.9,52.0,234275.14339975,12173457.06026262
2022-05-10 12:52:36.866949,51.9,52.0,51.9,52.0,288106.13231723,14972668.48397158
2022-05-10 12:52:46.193944,51.9,52.0,51.9,52.0,377297.35842823,19610612.24174358
2022-05-10 12:52:54.081073,51.9,52.0,51.9,52.0,377297.35842823,19610612.24174358
2022-05-10 12:53:01.983068,51.9,52.0,51.9,52.0,377297.35842823,19610612.24174358
2022-05-10 12:53:09.554978,52.0,52.0,52.0,52.0,19760.71579594,1027557.22138888
2022-05-10 12:53:17.525973,52.0,52.1,52.0,52.1,24760.71579594,1287768.20564163
2022-05-10 12:53:51.357975,52.0,52.1,52.0,52.0,34214.00305583,1779339.14315591
2022-05-10 12:53:59.844776,52.0,52.1,52.0,52.0,34214.00305583,1779339.14315591
2022-05-10 12:54:08.063032,52.0,52.1,52.0,52.0,34214.00305583,1779339.14315591
2022-05-10 12:54:24.543637,52.0,52.0,52.0,52.0,134462.65663249,6992058.14488948
2022-05-10 12:54:33.613319,52.0,52.0,52.0,52.0,134462.65663249,6992058.14488948
2022-05-10 12:54:42.147122,52.0,52.1,52.0,52.1,144059.58561521,7492058.14488919
2022-05-10 12:54:51.264497,52.0,52.1,52.0,52.1,144059.58561521,7492058.14488919
2022-05-10 12:55:01.567136,52.0,52.1,52.0,52.1,270419.11218589,14071533.89631204
2022-05-10 12:55:10.552259,52.1,52.1,52.1,52.1,9975.81813698,519740.12493666
2022-05-10 12:55:29.974967,52.1,52.1,52.0,52.0,50384.60465383,2620997.02381286
2022-05-10 12:55:39.897048,52.1,52.1,52.0,52.0,50384.60465383,2620997.02381286
2022-05-10 12:55:49.390748,52.1,52.1,52.0,52.1,55118.57012525,2867636.62487385
2022-05-10 12:55:58.745224,52.1,52.1,52.0,52.1,67834.52456122,3530137.85098789
2022-05-10 12:56:08.644199,52.1,52.1,52.0,52.1,67834.52456122,3530137.85098789
2022-05-10 12:56:35.229461,52.1,52.1,52.0,52.1,281168.54807358,14622474.42333609
2022-05-10 12:56:43.968866,52.1,52.1,52.0,52.1,281168.54807358,14622474.42333609
2022-05-10 12:56:54.873309,52.1,52.1,52.0,52.0,282867.02575781,14710795.26291605
2022-05-10 12:57:03.754050,52.1,52.1,52.0,52.0,282867.02575781,14710795.26291605
2022-05-10 12:57:12.824126,52.1,52.1,52.0,52.0,282867.02575781,14710795.26291605
2022-05-10 12:57:21.756212,51.9,52.0,51.9,51.9,50630.13050663,2629654.38867872
2022-05-10 12:57:31.853301,51.9,52.0,51.9,51.9,50630.13050663,2629654.38867872
2022-05-10 12:57:40.744186,51.9,52.0,51.9,51.9,60812.74250223,3159131.95125036
2022-05-10 12:57:59.738261,51.9,52.0,51.9,51.9,60812.74250223,3159131.95125036
2022-05-10 12:58:09.588409,51.9,52.0,51.9,51.9,60812.74250223,3159131.95125036
2022-05-10 12:58:18.658555,51.9,52.0,51.9,51.9,60812.74250223,3159131.95125036
2022-05-10 12:58:26.922551,52.0,52.0,52.0,52.0,99.99991396,5199.99552592
2022-05-10 12:58:35.112181,52.0,52.0,52.0,52.0,198195.97602451,10306190.75327452
2022-05-10 12:58:42.709272,52.0,52.0,52.0,52.0,403817.19640066,20998494.21283432
2022-05-10 12:59:06.705307,52.0,52.1,52.0,52.1,706059.02179521,36715840.2663657
2022-05-10 12:59:16.067369,51.9,51.9,51.8,51.8,240162.89422375,12459255.45677908
2022-05-10 12:59:24.807539,51.9,51.9,51.8,51.8,458980.63765793,23795941.34894321
2022-05-10 12:59:43.638705,51.9,51.9,51.7,51.7,684774.99507611,35474264.0824742
2022-05-10 13:00:01.365406,51.6,51.6,51.6,51.6,1110.1663597,57284.58416052
2022-05-10 13:00:13.588585,51.6,51.7,51.6,51.7,19784.77683011,1022761.94548072
2022-05-10 13:00:22.524202,51.6,51.7,51.6,51.6,161749.64656434,8349197.9672654
2022-05-10 13:00:31.224197,51.6,51.7,51.5,51.5,388144.09410898,20008512.01581437
2022-05-10 13:00:48.219885,51.6,51.7,51.5,51.5,1167519.33011209,60148828.13160808
2022-05-10 13:01:07.164078,51.5,51.5,51.5,51.5,34570.23513235,1780367.10931604
2022-05-10 13:01:16.721148,51.5,51.5,51.5,51.5,130052.61213338,6697709.52486913
2022-05-10 13:01:31.920496,51.5,51.6,51.4,51.6,239545.38161724,12347094.59578581
2022-05-10 13:01:42.805908,51.5,51.8,51.4,51.8,944005.23663181,48838115.08554054
2022-05-10 13:01:51.220636,51.5,51.8,51.4,51.7,948850.00960315,49088589.84815882
2022-05-10 13:01:59.632556,51.5,51.8,51.4,51.7,1094906.3663044,56611704.61320011
2022-05-10 13:02:08.253934,51.8,51.8,51.8,51.8,130345.56495964,6751900.26490935
2022-05-10 13:02:17.938019,51.8,51.8,51.8,51.8,194630.27496638,10081848.24325848
