,open,high,low,close,volume,value
2022-05-10 12:50:56.775951,193.0,193.0,193.0,193.0,5744.0466321,1108600.9999953
2022-05-10 12:51:06.497871,192.0,192.0,192.0,192.0,435.17183715,83552.9927328
2022-05-10 12:51:15.822466,192.0,193.0,192.0,193.0,5643.50517048,1088761.32606549
2022-05-10 12:51:26.721199,192.0,193.0,192.0,193.0,5643.50517048,1088761.32606549
2022-05-10 12:51:37.452192,192.0,193.0,192.0,193.0,5643.50517048,1088761.32606549
2022-05-10 12:51:47.533186,192.0,193.0,192.0,192.0,6618.76474494,1276011.16436181
2022-05-10 12:51:57.472180,192.0,193.0,192.0,192.0,6618.76474494,1276011.16436181
2022-05-10 12:52:07.819024,192.0,193.0,192.0,192.0,6618.76474494,1276011.16436181
2022-05-10 12:52:16.784773,192.0,192.0,192.0,192.0,2606.04139588,500359.94800896
2022-05-10 12:52:25.173056,192.0,192.0,192.0,192.0,2606.04139588,500359.94800896
2022-05-10 12:52:45.638944,192.0,193.0,192.0,192.0,25655.24325071,4927038.36113632
2022-05-10 12:52:53.689073,192.0,193.0,192.0,192.0,50635.90236415,9723324.9109168
2022-05-10 12:53:01.598068,192.0,193.0,192.0,192.0,73844.14206714,14179306.93389088
2022-05-10 12:53:09.065892,192.0,192.0,192.0,192.0,165.95368625,31863.10776
2022-05-10 12:53:25.926044,192.0,192.0,192.0,192.0,220.64118625,42363.10776
2022-05-10 12:53:33.864221,192.0,192.0,192.0,192.0,220.64118625,42363.10776
2022-05-10 12:53:42.019215,192.0,192.0,192.0,192.0,220.64118625,42363.10776
2022-05-10 12:53:59.347777,192.0,192.0,192.0,192.0,22046.60715063,4232948.57292096
2022-05-10 12:54:07.536033,193.0,193.0,193.0,193.0,26.046875,5027.046875
2022-05-10 12:54:16.039111,193.0,193.0,193.0,193.0,26.046875,5027.046875
2022-05-10 12:54:24.061637,193.0,193.0,193.0,193.0,26.046875,5027.046875
2022-05-10 12:54:33.289319,193.0,193.0,193.0,193.0,26.046875,5027.046875
2022-05-10 12:54:41.625919,193.0,193.0,193.0,193.0,8139.19250067,1570864.15262931
2022-05-10 12:54:50.770497,193.0,194.0,193.0,194.0,8409.8026233,1623117.81821399
2022-05-10 12:55:01.037135,193.0,194.0,193.0,194.0,8409.8026233,1623117.81821399
2022-05-10 12:55:10.190260,193.0,194.0,193.0,194.0,8409.8026233,1623117.81821399
2022-05-10 12:55:18.995993,193.0,194.0,193.0,194.0,178213.88969072,34573465.69999968
2022-05-10 12:55:29.319967,193.0,194.0,193.0,194.0,179759.50863382,34873315.77496108
2022-05-10 12:55:48.933748,193.0,194.0,193.0,194.0,179759.50863382,34873315.77496108
2022-05-10 12:55:58.278223,193.0,194.0,193.0,194.0,179759.50863382,34873315.77496108
2022-05-10 12:56:07.793198,193.0,194.0,193.0,194.0,179759.50863382,34873315.77496108
2022-05-10 12:56:16.997378,193.0,194.0,193.0,194.0,179759.50863382,34873315.77496108
2022-05-10 12:56:26.103468,193.0,193.0,193.0,193.0,2027.19883581,391249.37531133
2022-05-10 12:56:34.748462,193.0,193.0,193.0,193.0,2027.19883581,391249.37531133
2022-05-10 12:56:53.835780,193.0,193.0,193.0,193.0,2545.33355083,491249.37531019
2022-05-10 12:57:03.348051,193.0,193.0,193.0,193.0,5136.00712595,991249.37530835
2022-05-10 12:57:12.290126,193.0,193.0,193.0,193.0,518.13471502,99999.99999886
2022-05-10 12:57:40.255188,193.0,193.0,192.0,193.0,5899.48186527,1138399.99999711
2022-05-10 12:57:49.836267,193.0,193.0,192.0,193.0,5899.48186527,1138399.99999711
2022-05-10 12:58:09.080409,193.0,193.0,192.0,193.0,5899.48186527,1138399.99999711
2022-05-10 12:58:18.300556,193.0,193.0,193.0,193.0,96.58477213,18640.86102109
2022-05-10 12:58:26.529550,193.0,193.0,193.0,193.0,16137.22154466,3114483.75811938
2022-05-10 12:58:34.600181,193.0,193.0,193.0,193.0,16233.71215945,3133106.44677385
2022-05-10 12:58:42.296272,193.0,193.0,193.0,193.0,17770.55671903,3429717.44677279
2022-05-10 12:58:49.980929,193.0,193.0,193.0,193.0,17770.55671903,3429717.44677279
2022-05-10 12:58:58.038931,193.0,193.0,193.0,193.0,17770.55671903,3429717.44677279
2022-05-10 12:59:15.437369,193.0,193.0,193.0,193.0,17770.55671903,3429717.44677279
2022-05-10 12:59:24.336450,193.0,193.0,193.0,193.0,17770.55671903,3429717.44677279
2022-05-10 12:59:33.954625,193.0,193.0,193.0,193.0,17770.55671903,3429717.44677279
2022-05-10 12:59:50.972701,193.0,193.0,193.0,193.0,518.13471502,99999.99999886
2022-05-10 13:00:00.872407,193.0,193.0,193.0,193.0,518.13471502,99999.99999886
2022-05-10 13:00:13.209586,192.0,192.0,192.0,192.0,1010.1010101,193939.3939392
2022-05-10 13:00:21.922204,192.0,192.0,192.0,192.0,1010.1010101,193939.3939392
2022-05-10 13:00:30.761197,192.0,192.0,192.0,192.0,1010.1010101,193939.3939392
2022-05-10 13:00:38.812517,192.0,192.0,192.0,192.0,1010.1010101,193939.3939392
2022-05-10 13:00:47.597885,192.0,192.0,192.0,192.0,1010.1010101,193939.3939392
2022-05-10 13:00:56.984924,192.0,192.0,192.0,192.0,4655.1010101,893779.3939392
2022-05-10 13:01:06.716079,192.0,192.0,192.0,192.0,4427.0,849984.0
2022-05-10 13:01:16.135148,192.0,192.0,192.0,192.0,10637.56045264,2042411.60690688
2022-05-10 13:01:30.485496,192.0,192.0,192.0,192.0,10637.56045264,2042411.60690688
2022-05-10 13:01:42.360329,192.0,192.0,192.0,192.0,21010.66201514,4034047.10690688
2022-05-10 13:01:50.759635,192.0,192.0,192.0,192.0,21010.66201514,4034047.10690688
2022-05-10 13:01:59.102130,192.0,192.0,192.0,192.0,21010.66201514,4034047.10690688
2022-05-10 13:02:07.681488,192.0,192.0,192.0,192.0,57.29166666,10999.99999872
2022-05-10 13:02:17.537018,192.0,192.0,191.0,191.0,1698.72409909,324513.59459285
2022-05-10 13:02:26.629636,192.0,192.0,191.0,192.0,4067.59059123,779335.96108373
2022-05-10 13:02:35.559629,192.0,192.0,191.0,192.0,4067.59059123,779335.96108373
2022-05-10 13:02:44.793884,192.0,192.0,191.0,192.0,17701.0725508,3396964.49732117
2022-05-10 13:03:04.214749,192.0,193.0,191.0,192.0,24084.20275913,4622551.54419553
2022-05-10 13:03:32.058541,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:03:40.410232,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:03:49.567292,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:03:57.548594,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:04:05.691606,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:04:23.559427,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:04:41.376519,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:04:50.211756,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:04:57.970601,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:05:07.775040,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:05:16.423541,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:05:31.988910,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:05:40.696538,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:05:57.952741,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:06:06.773737,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:06:24.159590,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:06:51.795782,193.0,193.0,193.0,193.0,388.73255082,75025.38230826
2022-05-10 13:06:59.923616,193.0,193.0,193.0,193.0,20720.77619479,3999109.80559447
