,open,high,low,close,volume,value
2022-05-10 12:50:52.330785,78.6,78.6,78.5,78.5,102794.76749129,8073390.89193657
2022-05-10 12:51:01.820269,78.6,78.6,78.4,78.4,104354.76749129,8195694.89193657
2022-05-10 12:51:11.775375,78.4,78.4,78.4,78.4,134244.51530612,10524769.99999981
2022-05-10 12:51:21.842810,78.4,78.4,78.4,78.4,158147.25781241,12398745.01249295
2022-05-10 12:51:33.150196,78.4,78.4,78.3,78.3,164554.23443679,12900411.2821819
2022-05-10 12:51:42.942189,78.4,78.4,78.3,78.3,170285.95219446,13349204.78260746
2022-05-10 12:51:52.864184,78.4,78.4,78.2,78.2,216513.53493792,16964201.75314603
2022-05-10 12:52:13.031668,78.2,78.2,78.1,78.1,137445.75793386,10742809.2935186
2022-05-10 12:52:32.949952,78.2,78.2,78.1,78.2,369235.34072061,28868754.66744245
2022-05-10 12:52:41.750950,78.2,78.2,78.1,78.2,369235.34072061,28868754.66744245
2022-05-10 12:52:50.064030,78.2,78.2,78.1,78.2,369235.34072061,28868754.66744245
2022-05-10 12:52:57.931071,78.2,78.2,78.1,78.2,369235.34072061,28868754.66744245
2022-05-10 12:53:05.561680,78.2,78.2,78.1,78.2,369235.34072061,28868754.66744245
2022-05-10 12:53:13.954975,78.3,78.3,78.3,78.3,4708.0,368636.4
2022-05-10 12:53:22.254047,78.3,78.4,78.3,78.3,12974.70408163,1016196.59999979
2022-05-10 12:53:30.192154,78.3,78.4,78.3,78.3,15974.70408163,1251096.59999979
2022-05-10 12:53:38.024219,78.3,78.4,78.3,78.3,21150.70408163,1656377.39999979
2022-05-10 12:53:46.823213,78.3,78.4,78.3,78.4,26695.0,2091050.2
2022-05-10 12:53:56.006058,78.3,78.4,78.3,78.4,70396.84058887,5517274.5021674
2022-05-10 12:54:03.852899,78.3,78.4,78.3,78.4,75489.22660244,5916517.56563129
2022-05-10 12:54:12.578113,78.4,78.4,78.4,78.4,5521.17520048,432860.13571763
2022-05-10 12:54:29.194813,78.4,78.4,78.3,78.4,24453.63109105,1916868.47753833
2022-05-10 12:54:38.018316,78.4,78.4,78.3,78.4,32233.63109105,2526820.47753833
2022-05-10 12:54:46.960380,78.4,78.4,78.3,78.4,32233.63109105,2526820.47753833
2022-05-10 12:54:56.142586,78.4,78.4,78.3,78.4,44051.24219374,3453321.18798923
2022-05-10 12:55:14.814125,78.4,78.4,78.3,78.4,49796.24219374,3903729.18798923
2022-05-10 12:55:24.859241,78.4,78.4,78.4,78.4,637.75510204,49999.99999994
2022-05-10 12:55:35.032963,78.4,78.6,78.3,78.5,14374.29942561,1127379.37981038
2022-05-10 12:55:44.704495,78.4,78.6,78.3,78.6,24496.29942561,1922690.17981038
2022-05-10 12:56:03.607202,78.4,78.8,78.3,78.6,43079.60896219,3383985.37103096
2022-05-10 12:56:13.213374,78.4,78.8,78.3,78.6,43079.60896219,3383985.37103096
2022-05-10 12:56:21.540370,78.6,78.6,78.6,78.6,2850.0,224010.0
2022-05-10 12:56:30.835464,78.6,78.6,78.6,78.6,2850.0,224010.0
2022-05-10 12:56:39.951961,78.6,78.6,78.5,78.5,5625.85877862,441914.99999953
2022-05-10 12:56:59.528284,78.6,78.6,78.5,78.5,6114.9175919,480306.11684202
2022-05-10 12:57:07.982129,78.5,78.5,78.5,78.5,20637.53364684,1620046.39127694
2022-05-10 12:57:17.723215,78.5,78.5,78.5,78.5,25372.74755295,1991760.68290658
2022-05-10 12:57:27.205305,78.5,78.5,78.4,78.4,35850.74755295,2813235.88290658
2022-05-10 12:57:36.228039,78.5,78.5,78.4,78.4,35850.74755295,2813235.88290658
2022-05-10 12:57:45.800269,78.5,78.5,78.4,78.4,36350.74755295,2852435.88290658
2022-05-10 12:57:55.306264,78.5,78.5,78.4,78.4,38478.55400056,3019255.9083992
2022-05-10 12:58:05.116334,78.5,78.5,78.4,78.4,38478.55400056,3019255.9083992
2022-05-10 12:58:14.015482,78.4,78.4,78.4,78.4,14065.2303431,1102714.05889904
2022-05-10 12:58:23.028553,78.4,78.4,78.4,78.4,72372.26297763,5673985.41744618
2022-05-10 12:58:31.118548,78.4,78.4,78.4,78.4,89498.43158509,7016677.03627105
2022-05-10 12:58:38.826255,78.4,78.4,78.4,78.4,89498.43158509,7016677.03627105
2022-05-10 12:58:46.637931,78.4,78.4,78.4,78.4,90215.10996072,7072864.62092044
2022-05-10 12:58:54.622933,78.4,78.4,78.4,78.4,90215.10996072,7072864.62092044
