,open,high,low,close,volume,value
2022-05-10 12:50:52.718881,194.0,195.0,194.0,194.0,5507.66690909,1071046.35985063
2022-05-10 12:51:02.156269,194.0,195.0,194.0,194.0,5507.66690909,1071046.35985063
2022-05-10 12:51:12.109376,194.0,195.0,194.0,194.0,5507.66690909,1071046.35985063
2022-05-10 12:51:22.244807,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:51:43.278190,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:51:53.214183,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:52:03.810176,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:52:21.715770,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:52:33.232951,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:52:42.004946,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:52:58.207070,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:53:05.864679,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:53:14.246976,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:53:47.176212,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:54:04.121899,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:54:12.942111,194.0,194.0,194.0,194.0,2358.91563181,457629.63257114
2022-05-10 12:54:20.833639,195.0,195.0,195.0,195.0,256.41025641,49999.99999995
2022-05-10 12:54:29.721812,195.0,195.0,195.0,195.0,256.41025641,49999.99999995
2022-05-10 12:54:47.288381,195.0,195.0,195.0,195.0,256.41025641,49999.99999995
2022-05-10 12:54:56.447673,195.0,195.0,195.0,195.0,256.41025641,49999.99999995
2022-05-10 12:55:06.724261,195.0,195.0,195.0,195.0,256.41025641,49999.99999995
2022-05-10 12:55:15.211995,195.0,195.0,195.0,195.0,256.41025641,49999.99999995
2022-05-10 12:55:25.183246,195.0,195.0,195.0,195.0,856.0,166920.0
2022-05-10 12:55:45.166495,195.0,195.0,195.0,195.0,83353.9568564,16254021.586998
2022-05-10 12:55:54.757146,195.0,195.0,195.0,195.0,92148.2798564,17968914.571998
2022-05-10 12:56:03.976202,195.0,195.0,195.0,195.0,98008.2798564,19111614.571998
2022-05-10 12:56:13.561375,195.0,195.0,195.0,195.0,98008.2798564,19111614.571998
2022-05-10 12:56:21.945369,195.0,195.0,195.0,195.0,25628.0,4997460.0
2022-05-10 12:56:31.209464,195.0,195.0,195.0,195.0,25628.0,4997460.0
2022-05-10 12:56:40.286965,195.0,195.0,195.0,195.0,25628.0,4997460.0
2022-05-10 12:56:48.721065,195.0,195.0,195.0,195.0,25628.0,4997460.0
2022-05-10 12:56:59.795284,195.0,195.0,195.0,195.0,26653.64102564,5197459.9999998
2022-05-10 12:57:08.462128,195.0,195.0,195.0,195.0,26653.64102564,5197459.9999998
2022-05-10 12:57:18.139216,195.0,195.0,195.0,195.0,26653.64102564,5197459.9999998
2022-05-10 12:57:46.470269,195.0,195.0,194.0,194.0,4233.18793717,821738.45981098
2022-05-10 12:57:55.599264,195.0,195.0,194.0,194.0,4233.18793717,821738.45981098
2022-05-10 12:58:05.432411,195.0,195.0,195.0,195.0,2221.646,433220.97
2022-05-10 12:58:14.306483,195.0,195.0,195.0,195.0,2221.646,433220.97
2022-05-10 12:58:39.140255,195.0,195.0,195.0,195.0,2221.646,433220.97
2022-05-10 12:58:46.966931,195.0,195.0,195.0,195.0,10733.52083181,2093036.56220295
2022-05-10 12:58:54.907934,195.0,195.0,195.0,195.0,10733.52083181,2093036.56220295
2022-05-10 12:59:02.738220,195.0,195.0,195.0,195.0,10973.20288309,2139774.56220255
2022-05-10 12:59:11.052305,195.0,195.0,195.0,195.0,10973.20288309,2139774.56220255
2022-05-10 12:59:20.923391,194.0,195.0,194.0,194.0,12341.7672791,2395841.31368386
2022-05-10 12:59:29.730627,194.0,195.0,194.0,194.0,113119.7292791,21946765.94168386
2022-05-10 12:59:39.930708,194.0,195.0,194.0,194.0,125659.05092012,24379426.44768276
2022-05-10 12:59:47.747704,194.0,195.0,194.0,194.0,130751.27115554,25367317.17335424
2022-05-10 12:59:56.845859,194.0,195.0,194.0,194.0,130751.27115554,25367317.17335424
2022-05-10 13:00:09.611924,194.0,194.0,194.0,194.0,29025.04827215,5630859.3647971
2022-05-10 13:00:27.091199,194.0,194.0,194.0,194.0,29288.00605392,5681873.17446048
2022-05-10 13:00:43.666726,194.0,194.0,194.0,194.0,29288.00605392,5681873.17446048
2022-05-10 13:00:53.030678,194.0,194.0,193.0,193.0,34421.10704251,6672634.85597999
2022-05-10 13:01:02.700996,194.0,194.0,193.0,194.0,34446.88023838,6677634.85597877
2022-05-10 13:01:11.877075,194.0,194.0,193.0,194.0,34446.88023838,6677634.85597877
2022-05-10 13:01:22.589437,194.0,194.0,193.0,194.0,34446.88023838,6677634.85597877
2022-05-10 13:02:04.355120,194.0,194.0,194.0,194.0,5134.44754362,996082.82346228
2022-05-10 13:02:23.208015,194.0,194.0,194.0,194.0,11060.47809277,2145732.74999738
2022-05-10 13:02:40.995599,194.0,194.0,194.0,194.0,107125.66901036,20782379.78800984
2022-05-10 13:02:50.682528,194.0,194.0,194.0,194.0,107772.42837914,20907851.10555316
2022-05-10 13:02:59.787759,194.0,194.0,194.0,194.0,107772.42837914,20907851.10555316
2022-05-10 13:03:10.311215,194.0,194.0,194.0,194.0,107772.42837914,20907851.10555316
2022-05-10 13:03:19.140326,194.0,194.0,194.0,194.0,43888.31912784,8514333.91080096
2022-05-10 13:03:28.260387,194.0,194.0,194.0,194.0,43888.31912784,8514333.91080096
2022-05-10 13:03:36.972139,194.0,194.0,194.0,194.0,44403.78304536,8614333.91079984
2022-05-10 13:03:46.045295,194.0,194.0,194.0,194.0,54778.78304536,10627083.91079984
2022-05-10 13:04:10.960683,194.0,194.0,194.0,194.0,59778.78304536,11597083.91079984
2022-05-10 13:04:19.698905,194.0,194.0,194.0,194.0,59778.78304536,11597083.91079984
2022-05-10 13:04:28.990422,194.0,194.0,194.0,194.0,59778.78304536,11597083.91079984
2022-05-10 13:04:46.617758,194.0,194.0,194.0,194.0,3532.2377364,685254.1208616
2022-05-10 13:04:54.863603,194.0,194.0,194.0,194.0,3532.2377364,685254.1208616
2022-05-10 13:05:03.748834,194.0,194.0,194.0,194.0,34323.69403608,6658796.64299952
2022-05-10 13:05:12.928384,194.0,194.0,194.0,194.0,34323.69403608,6658796.64299952
2022-05-10 13:05:29.096533,194.0,194.0,194.0,194.0,9479.58190114,1839038.88882116
2022-05-10 13:05:46.222408,194.0,194.0,194.0,194.0,32897.2052001,6382057.8088194
2022-05-10 13:06:03.284739,194.0,194.0,194.0,194.0,32897.2052001,6382057.8088194
2022-05-10 13:06:12.217733,194.0,194.0,194.0,194.0,32897.2052001,6382057.8088194
2022-05-10 13:06:29.823594,194.0,194.0,194.0,194.0,32897.2052001,6382057.8088194
2022-05-10 13:06:38.702078,194.0,194.0,194.0,194.0,32897.2052001,6382057.8088194
2022-05-10 13:06:47.879631,194.0,194.0,194.0,194.0,25108.04717012,4870961.15100328
2022-05-10 13:06:56.595619,194.0,195.0,194.0,195.0,31350.59075986,6088257.15100258
2022-05-10 13:07:05.365726,194.0,195.0,194.0,195.0,31350.59075986,6088257.15100258
2022-05-10 13:07:14.567143,194.0,194.0,194.0,194.0,1727.04986702,335047.67420188
2022-05-10 13:07:32.873329,194.0,194.0,194.0,194.0,3195.11586702,619852.47820188
2022-05-10 13:07:41.266561,194.0,194.0,194.0,194.0,3195.11586702,619852.47820188
2022-05-10 13:07:49.918046,194.0,194.0,194.0,194.0,3195.11586702,619852.47820188
2022-05-10 13:07:58.560685,194.0,194.0,194.0,194.0,3195.11586702,619852.47820188
2022-05-10 13:08:25.726699,194.0,194.0,194.0,194.0,18041.23711341,3500000.00000154
2022-05-10 13:08:34.853848,194.0,194.0,194.0,194.0,18041.23711341,3500000.00000154
2022-05-10 13:08:43.590527,194.0,194.0,194.0,194.0,18041.23711341,3500000.00000154
2022-05-10 13:09:01.017277,194.0,195.0,194.0,195.0,79291.02987056,15443709.58764579
2022-05-10 13:09:18.666930,196.0,196.0,196.0,196.0,5908.37755102,1158041.99999992
2022-05-10 13:09:26.648927,196.0,196.0,196.0,196.0,46526.85781201,9119264.13115396
2022-05-10 13:09:35.787080,196.0,197.0,196.0,197.0,48526.85781201,9513264.13115396
2022-05-10 13:09:44.597168,196.0,197.0,195.0,195.0,48600.04853365,9527536.32187376
2022-05-10 13:09:52.673291,196.0,197.0,195.0,195.0,48600.04853365,9527536.32187376
2022-05-10 13:10:09.580354,196.0,196.0,196.0,196.0,132.0,25872.0
2022-05-10 13:10:19.238481,196.0,196.0,196.0,196.0,26861.10779607,5264777.12802972
2022-05-10 13:10:26.921496,196.0,196.0,196.0,196.0,26861.10779607,5264777.12802972
2022-05-10 13:10:34.300491,196.0,196.0,196.0,196.0,26891.72004096,5270777.12802816
2022-05-10 13:10:41.748953,196.0,196.0,196.0,196.0,26891.72004096,5270777.12802816
2022-05-10 13:10:50.745945,196.0,196.0,196.0,196.0,26891.72004096,5270777.12802816
2022-05-10 13:10:59.352940,196.0,196.0,196.0,196.0,26891.72004096,5270777.12802816
2022-05-10 13:11:19.701172,196.0,196.0,196.0,196.0,26891.72004096,5270777.12802816
2022-05-10 13:11:29.188185,196.0,196.0,196.0,196.0,25.51530612,5000.99999952
2022-05-10 13:11:41.338112,196.0,196.0,196.0,196.0,444.38775511,87100.00000156
2022-05-10 13:11:49.755346,196.0,196.0,196.0,196.0,3371.38775511,660792.00000156
2022-05-10 13:12:07.994600,196.0,196.0,196.0,196.0,3371.38775511,660792.00000156
2022-05-10 13:12:18.154723,196.0,196.0,196.0,196.0,3371.38775511,660792.00000156
2022-05-10 13:12:27.614404,197.0,197.0,197.0,197.0,50.7360406,9994.9999982
2022-05-10 13:12:37.150474,197.0,197.0,195.0,195.0,1514.22022427,296952.89999752
2022-05-10 13:12:46.761467,197.0,197.0,195.0,195.0,1514.22022427,296952.89999752
2022-05-10 13:12:55.550864,197.0,197.0,195.0,195.0,1514.22022427,296952.89999752
2022-05-10 13:13:14.193439,197.0,197.0,195.0,195.0,1514.22022427,296952.89999752
2022-05-10 13:13:23.049432,196.0,196.0,196.0,196.0,66.06122448,12947.99999808
2022-05-10 13:13:39.551275,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:13:47.934270,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:13:55.814264,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:14:04.014026,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:14:21.833837,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:14:30.577902,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:14:40.334070,196.0,196.0,196.0,196.0,825.90561222,161877.49999512
2022-05-10 13:15:07.779886,196.0,196.0,196.0,196.0,5098.79754,999364.31784
2022-05-10 13:15:15.562366,196.0,196.0,196.0,196.0,5155.1102951,1010401.6178396
2022-05-10 13:15:24.447935,196.0,196.0,196.0,196.0,5410.21233591,1060401.61783836
2022-05-10 13:15:33.292643,196.0,196.0,196.0,196.0,5542.21233591,1086273.61783836
2022-05-10 13:15:42.557079,196.0,196.0,196.0,196.0,13744.20914467,2693864.99235532
2022-05-10 13:15:52.399161,196.0,196.0,196.0,196.0,13744.20914467,2693864.99235532
2022-05-10 13:16:03.197184,196.0,196.0,196.0,196.0,13744.20914467,2693864.99235532
2022-05-10 13:16:12.585178,196.0,196.0,196.0,196.0,13744.20914467,2693864.99235532
2022-05-10 13:16:24.490726,197.0,197.0,197.0,197.0,597.6,117727.2
2022-05-10 13:16:35.467907,197.0,197.0,196.0,196.0,757.4047619,149048.9333324
2022-05-10 13:16:47.317842,197.0,197.0,196.0,196.0,757.4047619,149048.9333324
2022-05-10 13:16:59.124995,197.0,197.0,196.0,196.0,757.4047619,149048.9333324
2022-05-10 13:17:11.033140,197.0,197.0,196.0,196.0,757.4047619,149048.9333324
2022-05-10 13:17:22.944522,197.0,197.0,197.0,197.0,14152.37237478,2788017.35783166
2022-05-10 13:17:34.641659,197.0,197.0,197.0,197.0,14152.37237478,2788017.35783166
2022-05-10 13:17:46.208219,197.0,197.0,197.0,197.0,14152.37237478,2788017.35783166
2022-05-10 13:17:58.611400,197.0,197.0,197.0,197.0,14152.37237478,2788017.35783166
2022-05-10 13:18:10.726810,198.0,198.0,198.0,198.0,81.0,16038.0
2022-05-10 13:18:22.639028,198.0,198.0,198.0,198.0,1343.62626262,266037.99999876
2022-05-10 13:18:33.695345,198.0,198.0,197.0,197.0,7690.70138952,1516411.79999806
2022-05-10 13:18:41.852857,198.0,198.0,197.0,197.0,7690.70138952,1516411.79999806
2022-05-10 13:18:49.913944,198.0,198.0,197.0,197.0,7690.70138952,1516411.79999806
2022-05-10 13:19:18.331722,198.0,198.0,197.0,197.0,10916.25612484,2151846.0828561
2022-05-10 13:19:26.661717,198.0,198.0,197.0,197.0,10916.25612484,2151846.0828561
2022-05-10 13:19:34.086532,198.0,198.0,197.0,197.0,10916.25612484,2151846.0828561
2022-05-10 13:19:50.829873,197.0,197.0,197.0,197.0,149.0,29353.0
2022-05-10 13:19:59.904067,197.0,197.0,197.0,197.0,149.0,29353.0
2022-05-10 13:20:09.842871,197.0,197.0,197.0,197.0,149.0,29353.0
2022-05-10 13:20:20.568954,197.0,197.0,197.0,197.0,149.0,29353.0
2022-05-10 13:20:29.654026,197.0,197.0,197.0,197.0,5152.63102079,1015068.31109563
2022-05-10 13:20:38.214555,197.0,197.0,197.0,197.0,10512.98246579,2071057.54576063
2022-05-10 13:20:46.857602,197.0,197.0,197.0,197.0,10699.94,2107888.18
2022-05-10 13:20:55.202292,197.0,197.0,197.0,197.0,10699.94,2107888.18
2022-05-10 13:21:11.999065,197.0,197.0,197.0,197.0,10699.94,2107888.18
2022-05-10 13:21:30.597961,198.0,198.0,198.0,198.0,3851.59129771,762615.07694658
2022-05-10 13:21:40.936043,198.0,198.0,198.0,198.0,3851.59129771,762615.07694658
2022-05-10 13:21:50.142492,198.0,198.0,198.0,198.0,3851.59129771,762615.07694658
2022-05-10 13:21:58.765430,198.0,198.0,198.0,198.0,29650.64558429,5870827.82568942
2022-05-10 13:22:06.204872,198.0,198.0,198.0,198.0,29650.64558429,5870827.82568942
2022-05-10 13:22:16.203814,198.0,198.0,198.0,198.0,504.54570694,99900.04997412
2022-05-10 13:22:24.735810,198.0,198.0,198.0,198.0,504.54570694,99900.04997412
2022-05-10 13:22:33.264843,198.0,198.0,197.0,197.0,1035.36940786,204977.36956041
2022-05-10 13:22:42.869979,198.0,198.0,197.0,198.0,6083.35046783,1204477.61943447
2022-05-10 13:22:52.091134,198.0,198.0,197.0,198.0,6083.35046783,1204477.61943447
2022-05-10 13:23:00.854293,198.0,198.0,197.0,198.0,6083.35046783,1204477.61943447
2022-05-10 13:23:09.987163,198.0,198.0,197.0,198.0,6083.35046783,1204477.61943447
2022-05-10 13:23:19.616078,197.0,197.0,197.0,197.0,4893.4562643,964010.8840671
2022-05-10 13:23:28.632174,197.0,198.0,197.0,198.0,5491.33914103,1082391.69365964
2022-05-10 13:23:37.672689,197.0,198.0,197.0,198.0,5491.33914103,1082391.69365964
