,open,high,low,close,volume,value
2022-05-10 12:50:51.806785,669.0,670.0,669.0,669.0,286937.33579147,192011878.13295576
2022-05-10 12:51:21.338807,669.0,670.0,668.0,669.0,57896.09680607,38735911.36581284
2022-05-10 12:51:32.738195,669.0,670.0,668.0,668.0,92836.64471854,62077248.11487984
2022-05-10 12:51:42.531189,669.0,670.0,668.0,669.0,113762.57875166,76067951.17688622
2022-05-10 12:52:03.128176,668.0,668.0,667.0,667.0,1294.68164686,863694.37502248
2022-05-10 12:52:12.660673,668.0,668.0,667.0,668.0,100436.99429167,66993690.86165543
2022-05-10 12:52:21.060770,668.0,668.0,667.0,668.0,353638.083212,236130554.527521
2022-05-10 12:52:32.504952,668.0,668.0,667.0,667.0,629959.41499447,420675854.72538227
2022-05-10 12:52:49.734030,668.0,669.0,667.0,669.0,884891.34307992,590985221.5021608
2022-05-10 12:52:57.544071,668.0,669.0,667.0,669.0,914527.61078646,610794796.1941102
2022-05-10 12:53:13.572975,668.0,668.0,667.0,668.0,158200.07544818,105669149.7483446
2022-05-10 12:53:21.711047,668.0,669.0,667.0,668.0,192846.35514079,128814348.04190195
2022-05-10 12:53:29.792042,668.0,669.0,667.0,669.0,198253.67453188,132431489.91271359
2022-05-10 12:53:37.625218,668.0,669.0,667.0,668.0,242584.65010928,162035367.80282813
2022-05-10 12:53:55.630059,668.0,669.0,667.0,667.0,312532.97110375,208708314.68704554
2022-05-10 12:54:03.525900,668.0,668.0,667.0,668.0,18110.7640266,12097726.39129608
2022-05-10 12:54:12.265113,668.0,668.0,667.0,668.0,124580.91520804,83139472.6287761
2022-05-10 12:54:20.147639,668.0,669.0,667.0,668.0,257236.4996703,171869390.21615824
2022-05-10 12:54:28.734813,668.0,669.0,667.0,668.0,397994.04290988,265957544.85244858
2022-05-10 12:54:37.629317,668.0,669.0,667.0,668.0,416060.21035792,278022783.14406663
2022-05-10 12:54:55.434586,668.0,669.0,667.0,668.0,479779.01424999,320554349.55141777
2022-05-10 12:55:06.109132,668.0,668.0,667.0,668.0,86236.90128162,57589211.75694307
2022-05-10 12:55:14.406124,668.0,669.0,667.0,668.0,124220.73196964,82961480.39011818
2022-05-10 12:55:24.436240,668.0,669.0,667.0,668.0,152808.28625451,102060306.6863555
2022-05-10 12:55:34.650964,668.0,669.0,667.0,668.0,160802.47121782,107406093.12323621
2022-05-10 12:55:44.263496,668.0,669.0,667.0,669.0,236461.45091467,158021267.27724057
2022-05-10 12:55:54.189147,668.0,670.0,667.0,669.0,284742.22602933,190319342.0392207
2022-05-10 12:56:03.338202,669.0,669.0,669.0,669.0,19352.14467159,12946584.78529371
2022-05-10 12:56:12.674375,669.0,670.0,669.0,669.0,78175.72994646,52341091.68644691
2022-05-10 12:56:21.240370,669.0,670.0,669.0,670.0,88072.07228349,58967714.85917371
2022-05-10 12:56:39.548961,669.0,670.0,668.0,669.0,195594.8777614,130872965.34634012
2022-05-10 12:56:48.177066,669.0,670.0,668.0,669.0,216992.71776135,145184850.79833013
2022-05-10 12:57:07.559129,669.0,670.0,668.0,669.0,33263.37236833,22253831.90486145
2022-05-10 12:57:17.331220,669.0,670.0,668.0,669.0,261523.0751986,174732228.66624027
2022-05-10 12:57:26.737304,669.0,670.0,668.0,669.0,285952.36566938,191071224.7411921
2022-05-10 12:57:35.857040,669.0,670.0,668.0,669.0,293377.28158769,196038493.4905415
2022-05-10 12:57:45.377270,669.0,670.0,668.0,669.0,389882.90024924,260600458.71920204
2022-05-10 12:57:54.857264,669.0,670.0,668.0,669.0,410843.47426348,274631804.64687884
2022-05-10 12:58:04.599334,669.0,670.0,669.0,670.0,19275.81821831,12899999.99998968
2022-05-10 12:58:13.583482,669.0,670.0,669.0,669.0,35569.49737718,23800531.02893041
2022-05-10 12:58:22.689554,669.0,670.0,669.0,669.0,38803.5248704,25965323.94316324
2022-05-10 12:58:30.725548,669.0,670.0,669.0,670.0,49347.57039278,33029834.44315784
2022-05-10 12:59:02.066221,671.0,671.0,670.0,670.0,2987.64047843,2003219.06208254
2022-05-10 12:59:20.275392,671.0,671.0,669.0,670.0,306776.17227363,205561236.69000497
2022-05-10 12:59:29.128627,671.0,671.0,669.0,669.0,369699.11748075,247691940.50220525
2022-05-10 12:59:47.151704,671.0,671.0,669.0,669.0,493616.4731141,330640485.3129927
2022-05-10 12:59:56.112860,671.0,671.0,668.0,669.0,598691.26414171,400930520.5104638
2022-05-10 13:00:08.784600,668.0,670.0,668.0,669.0,88982.42858659,59529196.99774626
2022-05-10 13:00:17.599975,668.0,670.0,668.0,669.0,136546.00748981,91374025.54403523
