,open,high,low,close,volume,value
2022-05-10 12:50:58.087950,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:51:07.740870,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:51:16.971635,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:51:28.118198,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:51:38.806192,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:51:48.699185,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:51:58.603179,2800.0,2800.0,2800.0,2800.0,2051.58599271,5744440.779588
2022-05-10 12:52:09.183118,2800.0,2800.0,2800.0,2800.0,351.88971428,985291.199984
2022-05-10 12:52:17.840771,2800.0,2800.0,2800.0,2800.0,351.88971428,985291.199984
2022-05-10 12:52:26.252056,2800.0,2800.0,2800.0,2800.0,358.88741788,1004884.770064
2022-05-10 12:52:46.837943,2800.0,2800.0,2800.0,2800.0,358.88741788,1004884.770064
2022-05-10 12:52:54.546073,2800.0,2800.0,2800.0,2800.0,790.02937159,2212082.240452
2022-05-10 12:53:10.312977,2800.0,2800.0,2800.0,2800.0,1131.23056131,3167445.571668
2022-05-10 12:53:18.144973,2800.0,2800.0,2800.0,2800.0,1131.23056131,3167445.571668
2022-05-10 12:53:26.807043,2800.0,2800.0,2800.0,2800.0,1131.23056131,3167445.571668
2022-05-10 12:53:34.626220,2800.0,2800.0,2800.0,2800.0,1131.23056131,3167445.571668
2022-05-10 12:53:42.993215,2800.0,2800.0,2800.0,2800.0,1131.23056131,3167445.571668
2022-05-10 12:53:52.186975,2800.0,2800.0,2800.0,2800.0,1131.23056131,3167445.571668
2022-05-10 12:54:08.523033,2800.0,2800.0,2790.0,2790.0,2800.19188625,7818661.48595125
2022-05-10 12:54:16.868641,2800.0,2800.0,2790.0,2790.0,3271.51410825,9134721.91390265
2022-05-10 12:54:25.481722,2800.0,2805.0,2790.0,2800.0,4081.24458887,11403107.40463865
2022-05-10 12:54:34.273318,2800.0,2805.0,2790.0,2800.0,4383.24458887,12248707.40463865
2022-05-10 12:54:42.771123,2800.0,2805.0,2790.0,2800.0,4383.24458887,12248707.40463865
2022-05-10 12:54:51.808496,2800.0,2805.0,2790.0,2800.0,4383.24458887,12248707.40463865
2022-05-10 12:55:02.301134,2800.0,2805.0,2790.0,2800.0,4434.30066596,12391664.42049065
2022-05-10 12:55:11.160259,2800.0,2805.0,2790.0,2800.0,4434.30066596,12391664.42049065
2022-05-10 12:55:20.000992,2800.0,2805.0,2790.0,2800.0,4434.30066596,12391664.42049065
2022-05-10 12:55:30.604965,2805.0,2805.0,2805.0,2805.0,150.0,420750.0
2022-05-10 12:55:50.369150,2805.0,2805.0,2805.0,2805.0,1735.88976456,4869170.7895908
2022-05-10 12:55:59.389222,2805.0,2805.0,2805.0,2805.0,1735.88976456,4869170.7895908
2022-05-10 12:56:09.310294,2805.0,2805.0,2805.0,2805.0,1735.88976456,4869170.7895908
2022-05-10 12:56:17.965372,2805.0,2805.0,2805.0,2805.0,1735.88976456,4869170.7895908
2022-05-10 12:56:27.024467,2805.0,2805.0,2805.0,2805.0,54.58930481,153122.99999205
2022-05-10 12:56:35.821462,2805.0,2805.0,2805.0,2805.0,54.58930481,153122.99999205
2022-05-10 12:56:44.591878,2805.0,2805.0,2805.0,2805.0,361.01083032,1012635.3790476
2022-05-10 12:56:55.785309,2805.0,2810.0,2805.0,2810.0,1086.90371288,3052394.3790412
2022-05-10 12:57:50.876266,2800.0,2800.0,2800.0,2800.0,2198.7,6156360.0
2022-05-10 12:58:00.528261,2800.0,2800.0,2800.0,2800.0,2198.7,6156360.0
2022-05-10 12:58:10.112408,2800.0,2800.0,2800.0,2800.0,991.3804361,2775865.22108
2022-05-10 12:58:35.531182,2800.0,2800.0,2800.0,2800.0,1681.67000121,4708676.003388
2022-05-10 12:58:51.140935,2800.0,2800.0,2800.0,2800.0,1681.67000121,4708676.003388
2022-05-10 12:58:59.008930,2800.0,2800.0,2800.0,2800.0,1681.67000121,4708676.003388
2022-05-10 12:59:07.245308,2800.0,2800.0,2800.0,2800.0,2002.34876547,5606576.543316
2022-05-10 12:59:16.735369,2795.0,2795.0,2795.0,2795.0,782.63690158,2187470.1399161
2022-05-10 12:59:25.668629,2795.0,2795.0,2795.0,2795.0,782.63690158,2187470.1399161
2022-05-10 12:59:35.154623,2795.0,2795.0,2790.0,2790.0,794.49520158,2220554.7969161
2022-05-10 12:59:44.202705,2795.0,2795.0,2785.0,2785.0,1178.90443567,3291619.0973578
2022-05-10 12:59:52.039766,2795.0,2795.0,2785.0,2785.0,1256.67509747,3508210.3904708
2022-05-10 13:00:02.053406,2795.0,2795.0,2785.0,2785.0,1256.67509747,3508210.3904708
2022-05-10 13:00:14.439977,2795.0,2795.0,2785.0,2785.0,1256.67509747,3508210.3904708
2022-05-10 13:00:23.255204,2780.0,2780.0,2780.0,2780.0,3318.17631575,9224530.157785
2022-05-10 13:00:31.690196,2780.0,2785.0,2780.0,2780.0,3639.75187818,10118700.12638785
2022-05-10 13:00:39.757516,2780.0,2785.0,2780.0,2780.0,5333.11462643,14826248.56652285
2022-05-10 13:00:49.000673,2780.0,2785.0,2780.0,2780.0,5333.11462643,14826248.56652285
2022-05-10 13:00:57.978923,2780.0,2785.0,2775.0,2775.0,5340.91786967,14847902.56651385
2022-05-10 13:01:07.703077,2775.0,2775.0,2775.0,2775.0,1054.6055438,2926530.384045
2022-05-10 13:01:17.362147,2775.0,2775.0,2770.0,2775.0,1059.00775383,2938734.1929346
2022-05-10 13:01:33.558290,2775.0,2775.0,2770.0,2775.0,4224.32753264,11719566.04354515
2022-05-10 13:01:51.694635,2775.0,2775.0,2770.0,2775.0,5307.66871149,14725837.8148539
2022-05-10 13:02:00.327129,2775.0,2775.0,2770.0,2775.0,5307.66871149,14725837.8148539
2022-05-10 13:02:09.160939,2775.0,2780.0,2775.0,2780.0,608.33404571,1689429.3957646
2022-05-10 13:02:27.525632,2775.0,2785.0,2775.0,2785.0,936.33404571,2602909.3957646
2022-05-10 13:02:36.846627,2775.0,2785.0,2775.0,2785.0,3401.50404571,9468407.8457646
2022-05-10 13:02:46.047883,2775.0,2785.0,2775.0,2785.0,3401.50404571,9468407.8457646
2022-05-10 13:02:55.783544,2775.0,2785.0,2775.0,2785.0,3401.50404571,9468407.8457646
2022-05-10 13:03:05.433749,2775.0,2785.0,2775.0,2785.0,3401.50404571,9468407.8457646
2022-05-10 13:03:23.601254,2785.0,2785.0,2785.0,2785.0,774.83824404,2157924.5096514
2022-05-10 13:03:33.158539,2785.0,2785.0,2785.0,2785.0,774.83824404,2157924.5096514
2022-05-10 13:03:50.693292,2785.0,2785.0,2785.0,2785.0,774.83824404,2157924.5096514
2022-05-10 13:03:58.528593,2785.0,2785.0,2785.0,2785.0,774.83824404,2157924.5096514
2022-05-10 13:04:06.695697,2785.0,2785.0,2785.0,2785.0,774.83824404,2157924.5096514
2022-05-10 13:04:15.706908,2785.0,2785.0,2785.0,2785.0,774.83824404,2157924.5096514
2022-05-10 13:04:24.692425,2785.0,2785.0,2785.0,2785.0,243.28043087,677535.99997295
2022-05-10 13:04:33.541943,2785.0,2785.0,2785.0,2785.0,243.28043087,677535.99997295
2022-05-10 13:04:51.189756,2785.0,2785.0,2785.0,2785.0,243.28043087,677535.99997295
2022-05-10 13:04:59.180600,2785.0,2785.0,2775.0,2775.0,536.08682675,1490073.74853995
2022-05-10 13:05:08.683104,2785.0,2785.0,2775.0,2775.0,536.08682675,1490073.74853995
2022-05-10 13:05:32.955910,2780.0,2780.0,2770.0,2770.0,501.74337291,1390188.8551909
2022-05-10 13:05:41.880536,2780.0,2780.0,2770.0,2770.0,951.22982915,2635266.3389757
2022-05-10 13:05:50.561583,2780.0,2780.0,2770.0,2770.0,1313.78824267,3639553.1444261
2022-05-10 13:05:58.986741,2780.0,2780.0,2770.0,2770.0,2141.97019903,5933617.1635433
2022-05-10 13:06:07.814736,2780.0,2780.0,2770.0,2770.0,2141.97019903,5933617.1635433
2022-05-10 13:06:25.088590,2775.0,2775.0,2775.0,2775.0,1018.42264896,2826122.850864
2022-05-10 13:06:52.777869,2775.0,2785.0,2775.0,2785.0,2134.35111305,5923171.43040085
2022-05-10 13:07:01.023836,2775.0,2785.0,2775.0,2785.0,2134.35111305,5923171.43040085
2022-05-10 13:07:09.977874,2780.0,2780.0,2780.0,2780.0,1143.06245251,3177713.6179778
2022-05-10 13:07:28.561710,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:07:46.046959,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:07:54.788680,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:08:02.892903,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:08:12.286993,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:08:21.212703,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:08:30.942759,2780.0,2780.0,2775.0,2775.0,2166.54245251,6017870.6179778
2022-05-10 13:08:39.295844,2785.0,2785.0,2785.0,2785.0,17.95332136,49999.9999876
2022-05-10 13:08:56.980974,2785.0,2785.0,2785.0,2785.0,17.95332136,49999.9999876
2022-05-10 13:09:14.714334,2790.0,2790.0,2790.0,2790.0,6739.4908347,18803179.428813
2022-05-10 13:09:22.896927,2790.0,2800.0,2790.0,2800.0,7198.9563511,20089642.345923
2022-05-10 13:09:40.769075,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:09:48.801294,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:09:56.914297,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:10:05.865357,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:10:15.211582,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:10:30.681494,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:10:38.150112,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:10:46.540947,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:10:55.072942,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:11:15.203705,2790.0,2800.0,2790.0,2795.0,7219.24192365,20146340.52120025
2022-05-10 13:11:24.888168,2810.0,2810.0,2810.0,2810.0,500.89445438,1407513.4168078
2022-05-10 13:11:34.426056,2810.0,2810.0,2810.0,2810.0,500.89445438,1407513.4168078
2022-05-10 13:11:45.983348,2810.0,2810.0,2805.0,2805.0,4140.15019348,11615625.7649833
2022-05-10 13:12:13.644620,2810.0,2810.0,2805.0,2805.0,4585.37357108,12864477.3391513
2022-05-10 13:12:23.060329,2805.0,2805.0,2805.0,2805.0,356.50623886,1000000.0000023
2022-05-10 13:12:32.845382,2805.0,2805.0,2805.0,2805.0,392.77455279,1101732.62057595
2022-05-10 13:12:42.310470,2805.0,2805.0,2805.0,2805.0,601.35931407,1686812.87596635
2022-05-10 13:12:51.732866,2805.0,2805.0,2805.0,2805.0,637.00993795,1786812.87594975
2022-05-10 13:13:10.213002,2805.0,2805.0,2805.0,2805.0,637.00993795,1786812.87594975
2022-05-10 13:13:19.037435,2800.0,2800.0,2800.0,2800.0,173.31216744,485274.068832
2022-05-10 13:13:27.524186,2800.0,2800.0,2800.0,2800.0,173.31216744,485274.068832
2022-05-10 13:13:35.687277,2800.0,2800.0,2800.0,2800.0,173.31216744,485274.068832
2022-05-10 13:13:43.693272,2800.0,2800.0,2800.0,2800.0,173.31216744,485274.068832
2022-05-10 13:13:59.992028,2800.0,2800.0,2795.0,2795.0,1392.93316744,3894806.868832
2022-05-10 13:14:26.552474,2800.0,2800.0,2795.0,2795.0,1392.93316744,3894806.868832
2022-05-10 13:14:35.534987,2800.0,2800.0,2795.0,2795.0,1392.93316744,3894806.868832
2022-05-10 13:14:44.676067,2795.0,2795.0,2795.0,2795.0,1.9622792,5484.570364
