,open,high,low,close,volume,value
50:54.2,85.2,85.4,85.1,85.1,381421.9959,32483781.52
51:13.3,84.8,84.9,84.8,84.8,181898.3739,15429891.42
51:23.5,84.8,84.9,84.6,84.6,449925.0314,38131966.26
51:34.7,84.8,84.9,84.5,84.7,695164.1124,58873572.06
51:44.7,84.8,84.9,84.5,84.7,1266745.718,107292430.3
52:05.0,84.8,84.9,84.5,84.6,1435959.443,121619397.9
52:22.7,84.6,85,84.6,85,1106568.723,93705919.05
52:43.2,84.6,85,84.6,84.8,1135000.057,96116896.16
52:51.6,84.6,85,84.6,84.8,1137267.239,96309164.9
53:06.8,84.7,84.7,84.6,84.7,7345.84631,622184.85
53:15.2,84.7,84.7,84.6,84.7,141412.9774,11977670.85
53:31.6,84.7,84.9,84.6,84.9,386643.0731,32749036.96
53:57.2,84.7,84.9,84.6,84.8,458470.8955,38833045.71
54:05.1,84.7,84.9,84.6,84.8,458470.8955,38833045.71
54:14.0,84.7,84.8,84.7,84.7,43622.85483,3697688.117
54:21.8,84.7,84.9,84.7,84.9,75425.44834,6397728.306
54:31.1,84.7,84.9,84.7,84.9,536635.76,45554483.77
54:58.0,84.7,84.9,84.7,84.7,979624.8421,83099380.78
55:07.7,84.9,85,84.9,85,68953.22001,5856278.2
55:36.5,84.9,85.3,84.8,85.3,1512421.074,128917490.8
55:55.9,84.9,85.5,84.8,85.4,2036456.381,173671266.9
56:05.0,84.9,85.6,84.8,85.6,2040468.249,174014682.8
56:14.8,85.5,85.5,85.5,85.5,137954.0518,11795071.43
56:23.4,85.5,85.5,85.5,85.5,138938.8161,11879268.78
56:49.8,85.5,85.5,85.1,85.1,1349960.066,115191744.5
57:00.9,85.5,85.5,85.1,85.3,1354904.921,115613305
57:09.6,85.2,85.2,85.2,85.2,250,21300
57:19.3,85.2,85.2,85.2,85.2,4208.79,358588.908
57:28.6,85.2,85.3,85.2,85.3,231853.0523,19774834.44
57:37.8,85.2,85.5,85.2,85.5,453517.3755,38727134.07
57:47.5,85.2,85.5,85.2,85.5,658285.0334,56234768.83
57:57.1,85.2,85.5,85.2,85.5,688981.251,58859295.43
58:06.7,85.5,85.5,85.5,85.5,25129.47549,2148570.155
58:32.6,85.5,85.5,85.4,85.4,411792.6958,35207825.49
58:40.1,85.5,85.5,85.4,85.4,429792.6958,36745025.49
58:48.1,85.5,85.5,85.4,85.4,445346.9161,38073355.9
58:55.9,85.5,85.5,85.3,85.3,514586.9161,43979644.9
59:03.9,85.2,85.2,85.2,85.2,6000,511200
59:12.5,85.2,85.3,85,85.2,146158.7608,12450951.62
59:22.0,85.2,85.3,85,85,169649.1873,14447637.88
59:31.2,85.2,85.3,85,85,182799.7371,15565434.61
59:41.0,85.2,85.3,84.9,84.9,234954.1147,19993742.36
59:48.8,85.2,85.3,84.8,84.8,246139.1488,20942233.24
59:58.1,85.2,85.3,84.5,84.5,449280.3843,38122584.52
00:11.0,84.5,84.6,84.5,84.6,252401.2004,21332125.05
00:44.6,84.5,84.7,84.4,84.4,1487366.851,125740364.8
01:03.9,84.4,84.4,84.4,84.4,116263.5249,9812641.503
01:13.3,84.4,84.4,84.4,84.4,116263.5249,9812641.503
01:25.0,84.4,84.5,84.4,84.5,240210.8144,20278361.21
01:39.6,84.4,84.8,84.4,84.6,911489.8379,77010264.85
01:56.7,84.4,84.8,84.4,84.6,924082.2622,78075583.96
02:32.8,84.6,84.9,84.6,84.9,164377.8406,13950737.84
02:42.3,84.6,84.9,84.6,84.8,468875.3089,39778988
02:52.0,84.6,85.1,84.6,85.1,520171.7292,44135672.94
03:01.3,84.6,85.2,84.6,85.2,709739.6809,60269256.56
03:38.1,85.2,85.2,85,85,57721.79813,4911303.74
03:47.2,85.2,85.2,85,85,72494.34558,6166970.274
04:12.2,84.9,85,84.9,85,388765.8856,33012280.74
04:20.9,84.9,85,84.9,85,398731.8438,33859387.19
04:30.2,84.9,85,84.9,85,680338.5469,57795956.95
04:38.5,84.9,85.2,84.9,84.9,1220783.518,103823808.7
04:47.8,84.9,85.2,84.9,84.9,1221651.749,103897537.9
04:55.8,84.9,85.2,84.9,85,1265314.08,107606838.9
05:05.0,85.1,85.1,85,85,9244.996908,785832.0815
05:14.1,85.1,85.1,85,85,16801.96894,1428174.704
05:30.1,85.1,85.1,84.9,84.9,246243.7148,20907802.49
05:47.2,85.1,85.1,84.6,84.6,314363.2976,26680636.81
05:55.6,85.1,85.1,84.6,84.6,318397.5436,27021967.97
06:21.6,84.7,85.1,84.6,85,578072.0645,49077082.81
06:31.0,84.7,85.1,84.6,85,603674.7798,51253313.61
06:39.8,84.7,85.2,84.6,85.2,613210.5081,52065553.88
06:49.2,84.7,85.4,84.6,85.4,806676.8566,68575246.92
06:57.6,84.7,85.6,84.6,85.5,975622.6973,83020288.75
07:16.1,85.5,85.5,85.5,85.5,64009.82495,5472840.033
07:24.9,85.5,85.5,85.5,85.5,175351.9192,14992589.09
07:34.1,85.5,85.5,85.5,85.5,224894.8522,19228509.86
07:51.1,85.5,85.5,85.4,85.4,245351.8969,20975541.48
07:59.6,85.5,85.5,85.3,85.3,382604.4751,32685003.53
08:08.6,85.5,85.5,85.3,85.3,382604.4751,32685003.53
08:26.9,85.3,85.5,85.3,85.3,9477.6612,808561.7767
08:36.0,85.3,85.5,85.3,85.3,10934.88806,932863.2278
08:44.6,85.3,85.5,85.3,85.5,346366.1147,29612233.11
08:53.6,85.3,85.6,85.3,85.6,521982.4056,44644878.96
09:02.1,85.8,85.8,85.7,85.8,99649.22777,8549803.743
09:10.6,85.8,85.9,85.7,85.9,271247.9725,23289359.23
09:19.9,85.8,86.2,85.7,86.2,530710.9085,45594758.19
09:27.9,85.8,86.2,85.7,86.2,545481.0583,46867355.45
09:37.1,85.8,86.2,85.7,86.2,652260.3215,56071727.93
09:45.5,85.8,86.4,85.7,86.3,945786.9622,81403104.61
09:53.7,85.8,86.4,85.7,86.4,1631342.368,140532515.9
10:10.8,86.4,86.4,86.4,86.4,9321.947148,805416.2336
10:27.9,86.4,86.4,86.3,86.4,366448.1044,31661000.21
10:43.0,86.4,86.4,86.3,86.4,376459.2192,32525676.32
10:51.8,86.4,86.4,86.3,86.3,383972.357,33174071.68
11:00.6,86.4,86.4,86.3,86.3,384435.8564,33214071.68
11:10.6,86.2,86.3,86.2,86.3,88629.68281,7648327.146
11:21.0,86.2,86.4,86.2,86.4,89089.72806,7688075.056
11:50.8,86.2,86.4,86.2,86.4,487309.688,42081511.14
11:59.6,86.2,86.5,86.2,86.4,561916.7207,48528025.22
12:09.7,86.4,86.4,86.4,86.4,13883.10474,1199500.25
12:28.9,86.4,86.4,86,86,181775.1793,15651567.76
12:38.2,86.4,86.4,86,86,188768.7353,16253013.58
12:47.8,86.4,86.4,86,86.1,263405.8613,22671843.22
12:56.7,86.4,86.4,85.7,85.7,351946.7926,30262751.49
13:15.2,85.7,85.8,85.7,85.8,19918.71904,1708981.045
13:24.2,85.7,85.8,85.7,85.8,37549.25138,3221680.721
13:40.7,85.7,85.9,85.6,85.7,314970.0539,27003562.98
13:49.1,85.7,85.9,85.6,85.7,317635.7539,27232013.47
13:57.1,85.7,85.9,85.6,85.6,457533.3017,39214712.79
14:05.0,85.5,85.5,85.5,85.5,74926.94505,6406253.801
14:13.8,85.5,85.6,85.5,85.6,75067.05004,6418239.776
14:23.1,85.5,85.6,85.5,85.6,127519.3911,10908160.17
14:31.9,85.5,85.7,85.5,85.7,157253.6057,13453723.81
14:41.6,85.5,85.8,85.5,85.8,163530.7755,13992249.8
14:50.8,85.5,85.8,85.5,85.8,211258.9998,18087331.44
14:59.9,85.5,85.8,85.5,85.7,228095.7635,19531378.91
15:08.9,85.7,85.7,85.7,85.7,42093.47072,3607410.44
15:16.6,85.7,85.9,85.6,85.6,164314.8481,14079311.04
15:25.7,85.7,85.9,85.6,85.6,164314.8481,14079311.04
15:34.6,85.7,85.9,85.6,85.8,266116.5493,22813897.01
15:43.7,85.7,86.1,85.6,86.1,275996.4076,23664552.81
15:54.0,85.7,86.1,85.6,86,361889.2591,31056362.79
16:14.2,86,86.1,86,86.1,511827.4519,44066839.83
16:26.0,86,86.1,86,86,1302102.711,112030512.1
16:37.0,86,86.2,86,86,1406257.42,120997743.7
16:48.8,86,86.2,86,86.2,1479644.753,127323012
17:12.7,86.3,86.5,86.3,86.5,857214.9299,74128091.36
17:24.4,86.3,86.7,86.3,86.7,1079471.618,93367826.14
17:36.2,86.3,86.7,86.3,86.7,1190153.659,102963854.5
17:48.0,86.3,86.8,86.3,86.8,1201665.827,103962222.8
18:00.5,86.3,86.9,86.3,86.7,1257654.891,108820079.4
18:12.2,86.7,86.9,86.7,86.8,100312.8988,8700102.761
18:24.2,86.7,86.9,86.7,86.8,114497.118,9931292.985
