,open,high,low,close,volume,value
2022-05-10 12:50:54.391880,684.0,684.0,682.0,682.0,2795.47478946,1909320.93799064
2022-05-10 12:51:03.783268,684.0,684.0,682.0,682.0,2795.47478946,1909320.93799064
2022-05-10 12:51:23.704806,681.0,681.0,681.0,681.0,6511.02175358,4434005.81418798
2022-05-10 12:51:34.878194,681.0,681.0,680.0,680.0,14909.54865609,10145004.10789478
2022-05-10 12:51:44.888188,681.0,681.0,680.0,681.0,15008.28287048,10212242.10789437
2022-05-10 12:51:54.654182,681.0,681.0,680.0,680.0,47636.7775602,32399618.49690397
2022-05-10 12:52:05.159617,680.0,680.0,680.0,680.0,250.999,170679.32
2022-05-10 12:52:22.854970,680.0,682.0,680.0,682.0,3964.59629166,2696248.9763288
2022-05-10 12:52:43.375945,680.0,682.0,680.0,682.0,10483.55057732,7142175.79914892
2022-05-10 12:52:51.713074,680.0,684.0,680.0,683.0,16527.13584853,11275958.79914336
2022-05-10 12:53:06.893679,682.0,682.0,682.0,682.0,366.38563049,249874.99999418
2022-05-10 12:53:23.633045,682.0,684.0,682.0,684.0,536.08548715,365627.7694852
2022-05-10 12:53:31.696153,682.0,684.0,682.0,684.0,544.8191116,371601.568609
2022-05-10 12:53:39.552217,682.0,684.0,682.0,683.0,16124.44127618,11011002.56860072
2022-05-10 12:54:05.215899,682.0,684.0,682.0,684.0,16148.17490063,11027206.36772452
2022-05-10 12:54:14.156115,682.0,682.0,682.0,682.0,83.33333333,56833.33333106
2022-05-10 12:54:22.023638,682.0,684.0,682.0,684.0,9275.95448913,6344586.20389826
2022-05-10 12:54:31.293320,682.0,684.0,682.0,682.0,15308.27870092,10458631.31633904
2022-05-10 12:54:48.558498,682.0,684.0,682.0,684.0,16372.20713621,11184248.00191818
2022-05-10 12:54:58.130672,682.0,684.0,682.0,684.0,16372.20713621,11184248.00191818
2022-05-10 12:55:07.850261,684.0,684.0,683.0,683.0,5444.68432694,3723619.39530002
2022-05-10 12:55:16.562995,684.0,684.0,683.0,684.0,7925.63857901,5420592.1037159
2022-05-10 12:55:26.693240,684.0,685.0,683.0,685.0,31139.86411936,21300600.7941707
2022-05-10 12:55:36.800962,684.0,685.0,683.0,685.0,31139.86411936,21300600.7941707
2022-05-10 12:55:56.054145,684.0,685.0,683.0,685.0,31139.86411936,21300600.7941707
2022-05-10 12:56:05.218201,684.0,685.0,683.0,685.0,31148.43888596,21306474.5092917
2022-05-10 12:56:14.942374,684.0,685.0,683.0,685.0,31148.43888596,21306474.5092917
2022-05-10 12:56:23.671604,687.0,687.0,687.0,687.0,8.70827285,5982.58344795
2022-05-10 12:56:50.097064,687.0,687.0,684.0,685.0,5365.33503026,3672482.2690837
2022-05-10 12:57:01.036052,687.0,687.0,684.0,685.0,5365.33503026,3672482.2690837
2022-05-10 12:57:09.741127,682.0,682.0,682.0,682.0,9944.00452819,6781811.08822558
2022-05-10 12:57:28.792303,682.0,682.0,682.0,682.0,12125.82402965,8269811.9882213
2022-05-10 12:57:37.898188,682.0,686.0,682.0,686.0,12134.54495988,8275794.54635908
2022-05-10 12:57:47.671268,682.0,686.0,682.0,686.0,12134.54495988,8275794.54635908
2022-05-10 12:57:57.204262,682.0,686.0,682.0,683.0,12149.54495988,8286039.54635908
