,price,volume,value
2022-05-11 12:37:59.844719,1390.0,34591436.35715498,53741163777.43446
2022-05-11 12:38:13.541137,1390.0,34591553.29215863,53741326317.08954
2022-05-11 12:38:26.215635,1390.0,34591553.29215863,53741326317.08954
2022-05-11 12:38:39.902404,1390.0,34591553.2921596,53741326317.09089
2022-05-11 12:38:52.682147,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:39:05.784577,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:39:18.985798,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:39:31.807745,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:39:44.588170,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:39:56.708722,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:40:08.065042,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:40:19.904754,1390.0,34591685.396027,53741509941.466576
2022-05-11 12:40:33.377746,1390.0,34592814.66435023,53743079624.43586
2022-05-11 12:40:46.183259,1390.0,34592818.48791512,53743084939.19106
2022-05-11 12:40:58.701747,1390.0,34592818.48791512,53743084939.19106
2022-05-11 12:41:11.463776,1390.0,34593034.48691512,53743385177.80106
2022-05-11 12:41:24.232524,1390.0,34593034.48691512,53743385177.80106
2022-05-11 12:41:38.015371,1390.0,34593034.48691512,53743385177.80106
2022-05-11 12:41:50.087433,1390.0,34593297.98556979,53743751440.93105
2022-05-11 12:42:02.265387,1390.0,34593297.98556979,53743751440.93105
2022-05-11 12:42:15.197437,1390.0,34593297.98556979,53743751440.93105
2022-05-11 12:42:27.574407,1390.0,34593297.98556979,53743751440.93105
2022-05-11 12:42:39.777861,1390.0,34593297.98556979,53743751440.93105
2022-05-11 12:42:53.432763,1390.0,34594392.97260864,53745273472.915054
2022-05-11 12:43:07.362194,1385.0,34597665.69988136,53749806200.18777
2022-05-11 12:43:20.939661,1385.0,34597665.69988136,53749806200.18777
2022-05-11 12:43:33.651610,1385.0,34597665.69988136,53749806200.18777
2022-05-11 12:43:46.750055,1385.0,34597665.69988136,53749806200.18777
2022-05-11 12:43:58.983033,1385.0,34597665.69988136,53749806200.18777
2022-05-11 12:44:11.972861,1385.0,34597665.69988136,53749806200.18777
2022-05-11 12:44:24.590735,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:44:36.831639,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:44:49.600294,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:45:02.933898,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:45:15.197704,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:45:26.581880,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:45:39.844724,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:45:52.916986,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:46:06.158574,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:46:19.476882,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:46:32.474520,1390.0,34598385.78045689,53750807112.18776
2022-05-11 12:46:46.641633,1390.0,34598405.78045689,53750834912.18776
2022-05-11 12:46:59.665077,1385.0,34598462.56665689,53750913561.07475
2022-05-11 12:47:13.025427,1385.0,34598462.56665689,53750913561.07475
2022-05-11 12:47:26.237273,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:47:39.500952,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:47:52.412130,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:48:05.394675,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:48:18.667373,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:48:31.972457,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:48:45.894509,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:48:59.041684,1385.0,34598625.48856576,53751139207.91854
2022-05-11 12:49:11.972533,1390.0,34602040.48856576,53755886057.91854
2022-05-11 12:49:24.614453,1390.0,34602361.19256576,53756331836.47854
2022-05-11 12:49:37.238693,1390.0,34603021.64523166,53757249865.68414
2022-05-11 12:49:50.848351,1390.0,34603921.64523166,53758500865.68414
2022-05-11 12:50:03.765357,1390.0,34604361.19256576,53759111836.47854
2022-05-11 12:50:16.744157,1390.0,34604361.19256576,53759111836.47854
2022-05-11 12:50:30.897237,1390.0,34604361.19256576,53759111836.47854
2022-05-11 12:50:43.840104,1390.0,34604361.19256576,53759111836.47854
2022-05-11 12:50:58.202564,1390.0,34604516.08728279,53759326752.00695
2022-05-11 12:51:11.179948,1385.0,34604747.89537091,53759648191.66583
2022-05-11 12:51:25.885530,1385.0,34604901.90271413,53759861876.411736
2022-05-11 12:51:39.100830,1385.0,34605055.55602602,53760075069.93935
2022-05-11 12:51:51.764389,1390.0,34605132.11789652,53760181490.93934
2022-05-11 12:52:05.638987,1385.0,34605732.11789652,53761012490.93934
2022-05-11 12:52:18.615351,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:52:31.374249,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:52:43.489926,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:52:56.885095,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:53:10.799952,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:53:23.993884,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:53:37.160951,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:53:50.277364,1385.0,34607620.04011137,53763627263.20691
2022-05-11 12:54:04.029669,1380.0,34607720.04011137,53763765263.20691
2022-05-11 12:54:17.869780,1380.0,34619266.00328061,53779698692.38046
2022-05-11 12:54:31.205084,1380.0,34619266.00328061,53779698692.38046
2022-05-11 12:54:44.400063,1375.0,34619271.122943,53779705731.916245
2022-05-11 12:54:57.333833,1375.0,34619271.122943,53779705731.916245
2022-05-11 12:55:10.557428,1375.0,34619271.122943,53779705731.916245
2022-05-11 12:55:22.267759,1375.0,34619316.88048544,53779768648.5371
2022-05-11 12:55:34.721118,1380.0,34619353.31137843,53779818923.169426
2022-05-11 12:55:48.681543,1380.0,34619465.30942154,53779973425.918015
2022-05-11 12:56:01.013332,1380.0,34619472.56969917,53779983426.9175
2022-05-11 12:56:13.385999,1380.0,34619472.56969917,53779983426.9175
2022-05-11 12:56:26.829582,1380.0,34620186.19324971,53780967677.41725
2022-05-11 12:56:40.093645,1375.0,34620364.04022479,53781212217.00799
2022-05-11 12:56:53.610482,1375.0,34620364.04022479,53781212217.00799
2022-05-11 12:57:06.053445,1380.0,34620935.94016428,53781999615.66029
2022-05-11 12:57:18.695264,1380.0,34620935.94016428,53781999615.66029
2022-05-11 12:57:32.520596,1380.0,34624826.96371482,53787369228.160034
2022-05-11 12:57:46.325963,1385.0,34626239.15357351,53789318068.21738
2022-05-11 12:57:59.976573,1385.0,34626246.38759318,53789328069.216866
2022-05-11 12:58:12.072793,1385.0,34626246.38759318,53789328069.216866
2022-05-11 12:58:24.418951,1380.0,34626275.37310042,53789368069.21686
2022-05-11 12:58:36.572700,1385.0,34626286.21758922,53789383070.716095
2022-05-11 12:58:48.231873,1385.0,34626286.21758922,53789383070.716095
2022-05-11 12:59:00.329131,1385.0,34626286.21758922,53789383070.716095
2022-05-11 12:59:12.864968,1385.0,34626371.29057618,53789500896.80303
2022-05-11 12:59:25.459652,1380.0,34627505.17480864,53791065675.09617
