,price,volume,value
2022-05-11 12:37:59.754719,140250.0,182865.19995231,26816550513.00828
2022-05-11 12:38:13.437147,140350.0,182867.19923731,26816831160.32803
2022-05-11 12:38:26.095659,140350.0,182867.19923731,26816831160.32803
2022-05-11 12:38:39.797364,140350.0,182867.19923731,26816831160.32803
2022-05-11 12:38:52.576681,140500.0,182867.53096022,26816877767.396885
2022-05-11 12:39:05.679982,140500.0,182867.53096022,26816877767.396885
2022-05-11 12:39:18.895344,140350.0,182902.84337462,26821832016.344807
2022-05-11 12:39:31.702113,140350.0,182902.84337462,26821832016.344807
2022-05-11 12:39:44.482515,140350.0,182902.84337462,26821832016.344807
2022-05-11 12:39:56.618278,140350.0,182902.84337462,26821832016.344807
2022-05-11 12:40:07.943246,140350.0,182902.84337462,26821832016.344807
2022-05-11 12:40:19.770581,140300.0,182902.89575355,26821839365.108685
2022-05-11 12:40:33.286582,140050.0,182910.83775013,26822952130.91395
2022-05-11 12:40:46.062211,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:40:58.580701,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:41:11.357949,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:41:24.142477,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:41:37.910331,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:41:49.997432,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:42:02.129627,140300.0,182910.8838722,26822958601.84037
2022-05-11 12:42:15.106559,140050.0,182911.16321619,26822997723.96617
2022-05-11 12:42:27.451544,140050.0,182916.4673225,26823740564.054886
2022-05-11 12:42:39.687021,140050.0,182916.4673225,26823740564.054886
2022-05-11 12:42:53.176262,140050.0,182916.4673225,26823740564.054886
2022-05-11 12:43:07.225082,140250.0,182916.53425206,26823749950.92568
2022-05-11 12:43:20.833701,140250.0,182916.84680385,26823793786.314224
2022-05-11 12:43:33.561615,140250.0,182916.84680385,26823793786.314224
2022-05-11 12:43:46.659042,140250.0,182916.84680385,26823793786.314224
2022-05-11 12:43:58.893250,140250.0,182916.84680385,26823793786.314224
2022-05-11 12:44:11.655676,140250.0,182916.84680385,26823793786.314224
2022-05-11 12:44:24.500799,140000.0,182917.16901858,26823838896.376423
2022-05-11 12:44:36.695287,140000.0,182917.16901858,26823838896.376423
2022-05-11 12:44:49.510224,140000.0,182917.16901858,26823838896.376423
2022-05-11 12:45:02.828154,140000.0,182917.16901858,26823838896.376423
2022-05-11 12:45:15.094370,139950.0,182945.20328908,26827763599.58306
2022-05-11 12:45:26.476778,139950.0,182977.11649551,26832229852.82294
2022-05-11 12:45:39.753688,140550.0,182989.74049551,26834004116.669228
2022-05-11 12:45:52.810761,140550.0,182989.74049551,26834004116.669228
2022-05-11 12:46:06.052273,140350.0,182990.10124881,26834054748.394882
2022-05-11 12:46:19.370505,140350.0,182990.10124881,26834054748.394882
2022-05-11 12:46:32.383321,140350.0,182990.10124881,26834054748.394882
2022-05-11 12:46:46.536633,140250.0,182991.57014881,26834260761.61988
2022-05-11 12:46:59.559521,140250.0,182991.57014881,26834260761.61988
2022-05-11 12:47:12.920423,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:47:26.129754,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:47:39.351372,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:47:52.306132,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:48:05.289534,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:48:18.471914,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:48:31.822318,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:48:45.758660,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:48:58.936908,140250.0,183005.83039837,26836260761.62067
2022-05-11 12:49:11.881617,140600.0,183009.54393414,26836782884.74993
2022-05-11 12:49:24.524049,140600.0,183009.54393414,26836782884.74993
2022-05-11 12:49:37.148801,140600.0,183009.54393414,26836782884.74993
2022-05-11 12:49:50.758351,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:50:03.675356,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:50:16.639158,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:50:30.746421,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:50:43.733143,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:50:58.096597,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:51:11.044975,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:51:25.763964,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:51:38.995888,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:51:51.643280,140550.0,183015.23610774,26837582919.749413
2022-05-11 12:52:05.548367,140100.0,183018.99754851,26838110083.688053
2022-05-11 12:52:18.447861,139900.0,183041.37069361,26841242086.687542
2022-05-11 12:52:31.284052,139900.0,183041.37069361,26841242086.687542
2022-05-11 12:52:43.400057,139800.0,183063.02069002,26844268756.18566
2022-05-11 12:52:56.703550,139800.0,183063.02069002,26844268756.18566
2022-05-11 12:53:10.708612,139800.0,183063.02069002,26844268756.18566
2022-05-11 12:53:23.888834,139800.0,183063.02069002,26844268756.18566
2022-05-11 12:53:37.055421,139800.0,183063.02069002,26844268756.18566
2022-05-11 12:53:50.172364,139800.0,183063.02069002,26844268756.18566
2022-05-11 12:54:03.923590,139750.0,183063.11372758,26844281758.184673
2022-05-11 12:54:17.748915,139650.0,183064.19422081,26844432649.06424
2022-05-11 12:54:31.115069,139450.0,183065.8109827,26844658340.295475
2022-05-11 12:54:44.235063,139450.0,183065.8109827,26844658340.295475
2022-05-11 12:54:57.243654,139450.0,183065.8109827,26844658340.295475
2022-05-11 12:55:10.465596,139450.0,183065.8109827,26844658340.295475
2022-05-11 12:55:22.178016,139450.0,183065.8538827,26844664322.700474
2022-05-11 12:55:34.631064,139450.0,183065.8538827,26844664322.700474
2022-05-11 12:55:48.590638,139450.0,183077.9622914,26846352840.29369
2022-05-11 12:56:00.907866,139600.0,183092.7522914,26848417524.29369
2022-05-11 12:56:13.279653,139600.0,183119.84481012,26852196986.345882
2022-05-11 12:56:26.677970,139600.0,183119.84481012,26852196986.345882
2022-05-11 12:56:39.943573,139600.0,183119.84481012,26852196986.345882
2022-05-11 12:56:53.457495,139600.0,183119.84481012,26852196986.345882
2022-05-11 12:57:05.948440,139600.0,183119.84481012,26852196986.345882
2022-05-11 12:57:18.605538,139600.0,183119.84481012,26852196986.345882
2022-05-11 12:57:32.339998,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:57:46.219915,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:57:59.705111,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:58:11.982723,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:58:24.283457,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:58:36.481144,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:58:48.141704,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:59:00.239017,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:59:12.759968,139900.0,183120.19198752,26852245556.46414
2022-05-11 12:59:25.352954,139750.0,183120.30645104,26852261558.462193
2022-05-11 12:59:37.205646,139750.0,183120.30645104,26852261558.462193
2022-05-11 12:59:49.182819,139750.0,183120.30645104,26852261558.462193
2022-05-11 13:00:00.931754,139750.0,183120.30645104,26852261558.462193
2022-05-11 13:00:14.175009,139550.0,183128.9320375,26853465275.27136
2022-05-11 13:00:26.488973,139550.0,183128.93223807,26853465303.260902
2022-05-11 13:00:39.569612,139900.0,183142.52128566,26855364887.565525
2022-05-11 13:00:51.942630,139900.0,183142.52128566,26855364887.565525
2022-05-11 13:01:04.108614,139900.0,183142.52128566,26855364887.565525
2022-05-11 13:01:17.624753,140150.0,183143.68378566,26855527715.690525
2022-05-11 13:01:31.351837,140150.0,183143.82128566,26855546986.315525
2022-05-11 13:01:43.660950,140000.0,183158.73410068,26857634780.418327
2022-05-11 13:01:55.446435,140000.0,183158.73410068,26857634780.418327
2022-05-11 13:02:07.929810,140000.0,183158.73410068,26857634780.418327
2022-05-11 13:02:19.542666,140000.0,183158.73410068,26857634780.418327
2022-05-11 13:02:31.185822,140000.0,183158.73410068,26857634780.418327
2022-05-11 13:02:43.300696,140000.0,183158.84124353,26857649780.417328
2022-05-11 13:02:54.700893,140000.0,183158.84124353,26857649780.417328
2022-05-11 13:03:07.423883,140000.0,183158.84124353,26857649780.417328
2022-05-11 13:03:19.259549,140000.0,183158.84124353,26857649780.417328
2022-05-11 13:03:31.063087,139400.0,183213.12173678,26865216481.176376
2022-05-11 13:03:42.738715,139450.0,183248.39555122,26870133667.423172
2022-05-11 13:03:54.062784,139400.0,183300.91794092,26877455288.54735
2022-05-11 13:04:05.862307,139400.0,183300.91794092,26877455288.54735
2022-05-11 13:04:17.082295,139400.0,183300.91794092,26877455288.54735
2022-05-11 13:04:29.198850,139400.0,183300.91794092,26877455288.54735
2022-05-11 13:04:41.955430,139400.0,183300.91794092,26877455288.54735
2022-05-11 13:04:55.556333,139400.0,183300.91794092,26877455288.54735
2022-05-11 13:05:07.390182,139400.0,183300.91794092,26877455288.54735
