,price,volume,value
2022-05-11 12:37:54.278654,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:38:06.919204,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:38:20.504773,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:38:33.337649,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:38:46.924965,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:39:00.172762,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:39:13.296916,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:39:26.117599,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:39:38.752021,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:39:51.598531,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:40:02.986697,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:40:14.379823,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:40:27.356739,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:40:40.315754,205.0,69307859.77476129,14449192510.870857
2022-05-11 12:40:53.574055,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:41:05.401482,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:41:18.434376,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:41:31.486574,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:41:44.487659,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:41:56.745360,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:42:09.627620,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:42:21.998226,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:42:34.376404,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:42:46.748153,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:43:01.749589,204.0,69307989.77476129,14449219030.870857
2022-05-11 12:43:14.945653,205.0,69310336.31542458,14449700071.70683
2022-05-11 12:43:27.965937,205.0,69310336.31542458,14449700071.70683
2022-05-11 12:43:41.454179,205.0,69310336.31542458,14449700071.70683
2022-05-11 12:43:53.359242,205.0,69310336.31542458,14449700071.70683
2022-05-11 12:44:06.096859,205.0,69310965.16712344,14449828986.305098
2022-05-11 12:44:19.326857,205.0,69310965.16712344,14449828986.305098
2022-05-11 12:44:31.292883,205.0,69310965.16712344,14449828986.305098
2022-05-11 12:44:43.621435,205.0,69310965.16712344,14449828986.305098
2022-05-11 12:44:56.905385,205.0,69315272.06012344,14450711899.370098
2022-05-11 12:45:09.959654,205.0,69315272.06012344,14450711899.370098
2022-05-11 12:45:34.102636,205.0,69315272.06012344,14450711899.370098
2022-05-11 12:45:46.822792,205.0,69316872.06012344,14451039899.370098
2022-05-11 12:46:00.342304,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:46:13.779312,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:46:26.800830,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:46:40.606791,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:46:53.981417,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:47:07.234679,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:47:20.072510,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:47:33.857184,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:47:46.488478,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:48:00.042648,205.0,69334774.50402714,14454709900.370356
2022-05-11 12:48:12.657115,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:48:26.292381,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:48:39.242955,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:48:53.517328,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:49:05.884803,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:49:18.642406,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:49:31.542487,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:49:44.567926,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:49:58.006506,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:50:11.080387,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:50:24.551099,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:50:38.070944,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:50:51.742817,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:51:05.348482,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:51:18.830016,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:51:33.197846,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:51:46.056756,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:51:59.702501,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:52:12.210033,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:52:25.887071,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:52:38.136908,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:52:50.723482,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:53:05.425830,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:53:18.213950,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:53:31.075777,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:53:44.442706,204.0,69345640.98935817,14456926663.377886
2022-05-11 12:53:57.920029,205.0,69349193.41802187,14457654911.253946
2022-05-11 12:54:11.996643,205.0,69349193.41802187,14457654911.253946
2022-05-11 12:54:25.515110,205.0,69349193.41802187,14457654911.253946
2022-05-11 12:54:38.512069,205.0,69349193.41802187,14457654911.253946
2022-05-11 12:54:51.599593,205.0,69349193.41802187,14457654911.253946
2022-05-11 12:55:04.599150,205.0,69349193.41802187,14457654911.253946
2022-05-11 12:55:17.132323,205.0,69349408.04241212,14457698909.253946
2022-05-11 12:55:29.149646,205.0,69349458.04241212,14457709159.253946
2022-05-11 12:55:43.035199,205.0,69349458.04241212,14457709159.253946
2022-05-11 12:55:55.668218,205.0,69349458.04241212,14457709159.253946
2022-05-11 12:56:07.799535,204.0,69349492.02299464,14457716091.29278
2022-05-11 12:56:20.911644,204.0,69349492.02299464,14457716091.29278
2022-05-11 12:56:34.372507,204.0,69349492.02299464,14457716091.29278
2022-05-11 12:56:47.146005,204.0,69349492.02299464,14457716091.29278
2022-05-11 12:57:00.075628,204.0,69349492.02299464,14457716091.29278
2022-05-11 12:57:13.253895,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:57:26.485586,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:57:40.100663,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:57:53.484331,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:58:06.943267,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:58:18.987280,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:58:31.386973,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:58:43.193884,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:58:54.566753,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:59:07.122670,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:59:19.833504,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:59:31.566241,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:59:44.084251,205.0,69349523.02299464,14457722446.29278
2022-05-11 12:59:55.296355,205.0,69349523.02299464,14457722446.29278
2022-05-11 13:00:08.184368,205.0,69349523.02299464,14457722446.29278
2022-05-11 13:00:21.016887,205.0,69349523.02299464,14457722446.29278
2022-05-11 13:00:34.288935,204.0,69369523.02299464,14461784968.96412
2022-05-11 13:00:46.397862,204.0,69369523.02299464,14461784968.96412
2022-05-11 13:00:58.619401,203.0,69372023.02299464,14462292468.96412
2022-05-11 13:01:11.492270,203.0,69372052.29128732,14462298410.427536
2022-05-11 13:01:25.299827,203.0,69372052.29128732,14462298410.427536
2022-05-11 13:01:38.177353,203.0,69372052.29128732,14462298410.427536
2022-05-11 13:01:50.072923,203.0,69372052.29128732,14462298410.427536
2022-05-11 13:02:02.835996,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:02:14.640514,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:02:26.061192,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:02:38.018265,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:02:49.688874,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:03:00.894869,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:03:14.020941,203.0,69396961.57248095,14467354994.509842
2022-05-11 13:03:25.876324,203.0,69397085.57763048,14467380167.555195
2022-05-11 13:03:37.641063,203.0,69397085.57763048,14467380167.555195
2022-05-11 13:03:49.054549,203.0,69397085.57763048,14467380167.555195
2022-05-11 13:04:00.524108,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:04:11.975773,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:04:23.851558,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:04:36.248002,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:04:49.103713,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:05:02.039792,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:05:14.597201,203.0,69407553.22666112,14469505100.308416
2022-05-11 13:05:26.923846,203.0,69410767.85105136,14470160669.059635
2022-05-11 13:05:39.493341,203.0,69410767.85105136,14470160669.059635
2022-05-11 13:05:52.790251,203.0,69410767.85105136,14470160669.059635
2022-05-11 13:06:05.212220,203.0,69410767.85105136,14470160669.059635
2022-05-11 13:06:17.181419,203.0,69410767.85105136,14470160669.059635
2022-05-11 13:06:28.812181,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:06:40.461085,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:06:52.089788,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:07:03.753173,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:07:15.970425,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:07:28.129191,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:07:40.056399,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:07:51.926576,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:08:04.316663,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:08:17.134900,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:08:29.559224,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:08:42.157178,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:08:55.088995,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:09:07.860167,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:09:21.087921,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:09:33.985788,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:09:46.354946,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:09:58.570569,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:10:11.394683,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:10:23.547782,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:10:36.110648,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:10:47.971053,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:11:00.886671,204.0,69432918.67427582,14474679436.997423
2022-05-11 13:11:14.526196,205.0,69445918.67427582,14477344436.997423
2022-05-11 13:11:27.384413,205.0,69445918.67427582,14477344436.997423
2022-05-11 13:11:39.766624,204.0,69482671.57061727,14484842061.997423
2022-05-11 13:11:52.477001,204.0,69482671.57061727,14484842061.997423
2022-05-11 13:12:04.904924,204.0,69482671.57061727,14484842061.997423
2022-05-11 13:12:18.643736,204.0,69482671.57061727,14484842061.997423
2022-05-11 13:12:32.968266,204.0,69484748.57061727,14485265769.997423
2022-05-11 13:12:46.474037,204.0,69486101.01261728,14485541668.165422
2022-05-11 13:13:00.270691,204.0,69500564.58861727,14488492237.669422
2022-05-11 13:13:15.490360,204.0,69500564.58861727,14488492237.669422
2022-05-11 13:13:30.332960,204.0,69500564.58861727,14488492237.669422
2022-05-11 13:13:43.289067,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:13:55.832748,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:14:10.086208,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:14:23.447586,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:14:37.619639,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:14:51.395457,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:15:03.908778,204.0,69514569.51292962,14491349242.229143
2022-05-11 13:15:18.484572,204.0,69514645.99924304,14491364845.43708
2022-05-11 13:15:32.337551,204.0,69514645.99924304,14491364845.43708
2022-05-11 13:15:46.584877,204.0,69514645.99924304,14491364845.43708
2022-05-11 13:16:00.690902,204.0,69514645.99924304,14491364845.43708
2022-05-11 13:16:14.719234,204.0,69514645.99924304,14491364845.43708
2022-05-11 13:16:28.462258,204.0,69514645.99924304,14491364845.43708
2022-05-11 13:16:41.901974,204.0,69541547.62234981,14496852776.550863
2022-05-11 13:16:55.357926,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:17:08.637392,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:17:22.059217,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:17:34.615569,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:17:47.183591,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:17:59.784329,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:18:13.148251,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:18:25.901198,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:18:39.140952,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:18:52.403646,204.0,69542849.56134982,14497118372.106863
2022-05-11 13:19:05.290163,204.0,69557045.15831059,14500014273.88686
2022-05-11 13:19:17.343728,204.0,69557045.15831059,14500014273.88686
2022-05-11 13:19:29.673785,204.0,69557045.15831059,14500014273.88686
2022-05-11 13:19:41.614658,203.0,69575404.53331059,14503741227.01186
2022-05-11 13:19:53.659643,203.0,69575404.53331059,14503741227.01186
